sen_str,swapped_sen_str,leaf_rule
Din li hi mhux normali kienet ilha tismagħha .,Din li mhux normali hi kienet ilha tismagħha .,[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
"Jekk grupp hu anki kommutattiv - jiġifieri , għal kull żewg membri a u b ta' S , a * b hija ugwali għal b * a - il- grupp ngħidu li hu Abeljan .","Jekk grupp hu anki kommutattiv - jiġifieri , għal kull żewg membri a u b ta' S , a * b hija ugwali għal b * a - il- grupp ngħidu li Abeljan hu .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
""" Din akkuża malafamanti .",""" akkuża Din malafamanti .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
"Bħala riżultat ta' dan il- kuntratt - u jiena ma nsib l- ebda oġġezzjoni li jiġi diskuss il- proċeduri segwiti , fis- sens jekk hemmx good governance mill- aspett amministrattiv - għandna implimentazzjoni ta' deċiżjoni eżekuttiva li huwa l- Individual Investor Programme ( IIP ) , li mexa 'l quddiem u ħa rankatura u hemm ħafna individwi anke mis- settur privat li huma nvoluti attivament fih .","Bħala riżultat ta' dan il- kuntratt - u jiena ma nsib l- ebda oġġezzjoni li jiġi diskuss il- proċeduri segwiti , fis- sens jekk hemmx good governance mill- aspett amministrattiv - għandna implimentazzjoni ta' deċiżjoni eżekuttiva li l- Individual Investor Programme huwa ( IIP ) , li mexa 'l quddiem u ħa rankatura u hemm ħafna individwi anke mis- settur privat li huma nvoluti attivament fih .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
""" Fabrizio għandu karattru sod u hu professjonista u nemmen bis- sħiħ li l- esperjenza ta' Ateni saħħitu u mmaturatu . """,""" Fabrizio għandu karattru sod u professjonista hu u nemmen bis- sħiħ li l- esperjenza ta' Ateni saħħitu u mmaturatu . """,[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
""" Li hu żgur hu li aħna kburin li aħna Laburisti u għandna nibqgħu kburin .",""" Li hu żgur hu li aħna kburin li Laburisti aħna u għandna nibqgħu kburin .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
"Jiġfieri hawnhekk m' aħniex se mmorru in a political debate , imma se nagħmlu dibattitu kif huwa l- mansjoni tal- PAC .","Jiġfieri hawnhekk m' aħniex se mmorru in a political debate , imma se nagħmlu dibattitu kif l- mansjoni huwa tal- PAC .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
"Fil- bidu kienu jsejħulha "" massa nieqsa "" , minkejja li effettivament hi materja li l- effetti gravitazzjonali tal- massa tagħha huma osservabbli .","Fil- bidu kienu jsejħulha "" massa nieqsa "" , minkejja li effettivament materja hi li l- effetti gravitazzjonali tal- massa tagħha huma osservabbli .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
""" Jiena persuna sempliċi ħafna .",""" persuna Jiena sempliċi ħafna .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
"Damjan u Sa-marin resqu qribu , wieħed kull naħa u straħ magħhom , imbagħad baqgħu jistennew hemm .","Damjan u Sa-marin resqu qribu , kull naħa wieħed u straħ magħhom , imbagħad baqgħu jistennew hemm .",[0] -> [1] -> [3] -> [4] -> [5] -> [6] -> [7] -> [8] -> [9] -> [10]
