sen_str,swapped_sen_str,leaf_rule
_ _ _ _ _ _ _ rã _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ rã _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ .,_ _ _ _ _ _ _ _ .,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ tenda _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ tenda _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
"Upecha vy teĩ ko ore roñea'ã apy , romba'apo pecha .","Upecha vy teĩ ko roñea'ã ore apy , romba'apo pecha .",[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
"Ha'e rami vy chee pecha areko , ore orekyri'ĩ my , orechy , orejaryi pecha orereko va'ekue .","Ha'e rami vy chee pecha areko , orekyri'ĩ ore my , orechy , orejaryi pecha orereko va'ekue .",[0] -> [1] -> [3]
"Pero upeve re ore roñea'ã , opyta aguã orevy ko'ape ka'aguy , orevy opyta aguã .","Pero upeve re roñea'ã ore , opyta aguã orevy ko'ape ka'aguy , orevy opyta aguã .",[0] -> [1] -> [3]
"He'i aguã rami aipota omoñendu imoiny , oendu aguã , oikuaa aguã , ñanerembiapo , ñande mokoĩ'i pecha jajoguereko , ikatu arã ha'e kuery ojopy avi ñanerembiapo mi oiko ja'e ague'i rami , ojapo ñande ñandepy'a ñeñandu pe jareko va .","He'i aguã rami aipota omoñendu imoiny , oendu aguã , oikuaa aguã , ñanerembiapo , ñande mokoĩ'i pecha jajoguereko , ikatu arã ha'e kuery ojopy avi ñanerembiapo mi oiko ja'e ague'i rami , ojapo ñandepy'a ñeñandu pe jareko ñande va .",[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
Upecha guare vy chee pecha cheremiarirõ'i kuery pe areko .,Upecha guare vy pecha cheremiarirõ'i kuery pe areko chee .,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
Ha'e a rupi chee aiko opy rupi .,Ha'e a rupi aiko chee opy rupi .,[0] -> [1] -> [3]
Mba'echa pa ñande jaiko ?,Mba'echa pa jaiko ñande ?,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
"Ha'e vy teĩ ko ore ñemongeta mi rojapo ramo , ore romombe'u mba'eicha pa oñevanga mi arã , mba'e ñevanga reko py pa oiko arã .","Ha'e vy teĩ ko ñemongeta mi rojapo ore ramo , ore romombe'u mba'eicha pa oñevanga mi arã , mba'e ñevanga reko py pa oiko arã .",[0] -> [1] -> [3]
_ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ gui _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ gui _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
"Ha'e , ore ko roguapy rojapo ñemongeta .","Ha'e , roguapy ore ko rojapo ñemongeta .",[0] -> [1] -> [3]
Pero ore ropyta .,Pero ropyta ore .,[0] -> [1] -> [3]
"Pecha jurua kuery rami oñembo'e ta va'e re aipoa'e , porque chee cheguaimĩ'i ha'ora aa arã pende gui , ha'e aa rire cherakykue py , chee cherembiapokue mi pono pemokañy .","Pecha jurua kuery rami oñembo'e ta va'e re aipoa'e , porque cheguaimĩ'i chee ha'ora aa arã pende gui , ha'e aa rire cherakykue py , chee cherembiapokue mi pono pemokañy .",[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
Ha ore te roju .,Ha roju ore te .,[0] -> [1] -> [3]
_ _ _ _ _ _ _,_ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ he'i _,_ _ _ _ _ _ _ _ _ _ _ _ he'i _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ “ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ “ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ” _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ ” _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ oma'ẽ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ oma'ẽ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ aikovy _,_ _ _ _ _ _ _ aikovy _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ xee _ _ _ _ _ _,_ _ _ _ xee _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
"Ha'e che upecha vy ka'ay ha'u jave , cheayvu katu ichupe kuera .","Ha'e upecha vy ka'ay ha'u che jave , cheayvu katu ichupe kuera .",[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _,[0] -> [1] -> [3]
_ _ _ _ _ _ _ _,_ _ _ _ _ _ _ _,[0] -> [1] -> [3]
