sen_str,swapped_sen_str,leaf_rule
Comment le roy d' Angleterre commanda a ces barons qu' ilz chevauchassent quant il sceut les nouvelles de Jehan de Paris .,Comment commanda le roy d' Angleterre a ces barons qu' ilz chevauchassent quant il sceut les nouvelles de Jehan de Paris .,[0] -> [10] -> [11] -> [12] -> [13] -> [17]
"Comment les François passerent devant le palaix du roy d' Espaigne , lequel leur dit que ilz fussent les biens venuz .","Comment passerent les François devant le palaix du roy d' Espaigne , lequel leur dit que ilz fussent les biens venuz .",[0] -> [10] -> [11] -> [12] -> [13] -> [17]
"Comment le roy de France espousa la fille du roy d' Espaigne en grant triumphe et honneur a l' abit du païs , ors mis la coronne qu' elle portoit .","Comment espousa le roy de France la fille du roy d' Espaigne en grant triumphe et honneur a l' abit du païs , ors mis la coronne qu' elle portoit .",[0] -> [10] -> [11] -> [12] -> [13] -> [17]
"comment , pour celle cause et pour autres , le roy d' Angleterre avoit envoié par devers le roy de France ,","comment , pour celle cause et pour autres , avoit envoié le roy d' Angleterre par devers le roy de France ,",[0] -> [10] -> [11] -> [12] -> [13] -> [17]
"Comment le roy Jehan print congié de son beau pere et de sa belle mere pour s' en retorner en France ,","Comment print le roy Jehan congié de son beau pere et de sa belle mere pour s' en retorner en France ,",[0] -> [10] -> [11] -> [12] -> [13] -> [17]
Comment les ambassadeurs apporterent les nouvelles au roy d' Angleterre de ce qu' ilz avoient fait avecq le roy d' Espaigne .,Comment apporterent les ambassadeurs les nouvelles au roy d' Angleterre de ce qu' ilz avoient fait avecq le roy d' Espaigne .,[0] -> [10] -> [11] -> [12] -> [13] -> [17]
"Comment le duc de Normandie s' en alla prendre possession dudict pays de Normandie , en la compaignie du duc de Bretaigne , et de ce qui s' en ensuyvit .","Comment s' en alla le duc de Normandie prendre possession dudict pays de Normandie , en la compaignie du duc de Bretaigne , et de ce qui s' en ensuyvit .",[0] -> [10] -> [11] -> [12] -> [13] -> [17]
"Comment les heraulx de Jehan de Paris entrerent en la salle , la ou estoit le roy d' Espaigne , acompaigné de plusieurs roys , barons , dames et chevaliers , pour demander logis au roy pour leur maistre .","Comment entrerent les heraulx de Jehan de Paris en la salle , la ou estoit le roy d' Espaigne , acompaigné de plusieurs roys , barons , dames et chevaliers , pour demander logis au roy pour leur maistre .",[0] -> [10] -> [11] -> [12] -> [13] -> [17]
Comment le roy d' Angleterre arriva a Burgues ou il fut honnorablement receu .,Comment arriva le roy d' Angleterre a Burgues ou il fut honnorablement receu .,[0] -> [10] -> [11] -> [12] -> [13] -> [17]
Comment les archiers de la garde de Jehan de Paris entrerent en grant triumphe et honneur .,Comment entrerent les archiers de la garde de Jehan de Paris en grant triumphe et honneur .,[0] -> [10] -> [11] -> [12] -> [13] -> [17]
