sen_str,swapped_sen_str,leaf_rule
Tye galhwa puima di thuza ?,Tye puima galhwa di thuza ?,[0] -> [2]
Peterdi Maria thrwale,Peterdi thrwale Maria,[0] -> [2]
Ranan nahn ma rate,Ranan ma rate nahn,[0] -> [2]
"Ay ra gama re , phanungle re nahn athan runge .","Ay ra gama re , phanungle re athan runge nahn .",[0] -> [2]
"Garhe , ava putrehndi chale nahnvada","Garhe , chale ava putrehndi nahnvada",[0] -> [2]
"Ame wi , didi nan Anan li katomszumale","Ame wi , didi nan li katomszumale Anan",[0] -> [2]
Na badi hai ba szumahnle .,Na badi szumahnle hai ba .,[0] -> [2]
"Suate , hai ksahndi ava theranahn bakle","Suate , ava theranahn bakle hai ksahndi",[0] -> [2]
Chathadi nahn szumahn yahre the Nurembergda .,Chathadi szumahn yahre the nahn Nurembergda .,[0] -> [2]
Ragu Shinndi nahn szumahnnan thya reganan la rahnte,Ragu Shinndi szumahnnan thya nahn reganan la rahnte,[0] -> [2]
"Ragu nahn thuzanahn gali nahnva caseva tatham themate , government miszuma government miszu garhema","Ragu thuzanahn gali nahnva caseva tatham themate nahn , government miszuma government miszu garhema",[0] -> [2]
"Nahnnan rungedi "" ba miszu phangenahn thunge . ""","Nahnnan rungedi "" miszu phangenahn thunge ba . """,[0] -> [2]
"Ame , A dre phanung laire , bathanahn thokle .","Ame , dre phanung A laire , bathanahn thokle .",[0] -> [2]
"Ala , neorai nahn gare la ?","Ala , neorai gare nahn la ?",[0] -> [2]
"Thika , nahn li nahnnan rungedi lhun dai .","Thika , nahnnan rungedi lhun nahn li dai .",[0] -> [2]
Tye puirawi kathung ru rahn re nungda thaile,Tye puirawi ru kathung rahn re nungda thaile,[0] -> [2]
"Re , nahn the rahnte ?","Re , the nahn rahnte ?",[0] -> [2]
Mwetheda Adi thai mazohndi the geraha la ?,Mwetheda thai mazohndi the Adi geraha la ?,[0] -> [2]
Peter nyahnmai swehnswehn mailare yoanganan lale,Peter swehnswehn nyahnmai mailare yoanganan lale,[0] -> [2]
"Mr. Donovan , nava yur miszu li A thare theganan laha","Mr. Donovan , nava yur miszu li thare theganan A laha",[0] -> [2]
Athwenan Peter bya thuthuka wilate .,Athwenan bya thuthuka wilate Peter .,[0] -> [2]
"Ah , garhe , A phahnle , phahnshehnle .","Ah , garhe , phahnle A , phahnshehnle .",[0] -> [2]
"A tye the nyanym laiteragu , A nahnva mating kanale .","A tye the nyanym laiteragu , nahnva mating kanale A .",[0] -> [2]
"Nahn badi ay rema , regu A badi ay re lama ?","Nahn badi ay rema , regu badi ay A re lama ?",[0] -> [2]
Peter gae taiprai ra kelasdi filhia .,Peter gae taiprai ra filhia kelasdi .,[0] -> [2]
"Mazohnnan matrahnne , riri a tha reganan thama rahn .","Mazohnnan matrahnne , riri tha a reganan thama rahn .",[0] -> [2]
Ba bava gahedi thea geraha riri thai za la reganan ba dani themate .,Ba bava gahedi thea geraha riri la thai za reganan ba dani themate .,[0] -> [2]
"A li Russian hainahn mokrwe di , ay rema .","A li hainahn mokrwe di , ay Russian rema .",[0] -> [2]
Ba thu rai szammaganan a ba sui yinglamaganan laia .,Ba thu rai szammaganan ba sui yinglamaganan a laia .,[0] -> [2]
Tye baneodi problemnan themaganan lale,Tye baneodi themaganan problemnan lale,[0] -> [2]
"Carol , nahnvadi nahnnan mathoong khama miszunahn laithiaha .","Carol , nahnvadi mathoong khama miszunahn laithiaha nahnnan .",[0] -> [2]
Renan nahn thema ga nahnnan makhwada runghapha dai .,Renan thema nahn ga nahnnan makhwada runghapha dai .,[0] -> [2]
"Anan Lynndi , hai me re rungamma rahn re , nahn li me re rung geraha matikza thok rahn .","Anan Lynndi , hai me re rungamma rahn re , me re rung nahn li geraha matikza thok rahn .",[0] -> [2]
"Ame , A matikaza szule","Ame , matikaza szule A",[0] -> [2]
"Ame , A ska li phabtama , mwetheda Adi hano thyire maram dai","Ame , ska li phabtama A , mwetheda Adi hano thyire maram dai",[0] -> [2]
"Ok , mwe the reha la ragu rung dai .","Ok , the mwe reha la ragu rung dai .",[0] -> [2]
Relaili tye li khayake ska .,Relaili khayake tye li ska .,[0] -> [2]
"Uhg , ranan Anan kathamme .","Uhg , ranan kathamme Anan .",[0] -> [2]
"Nahn Anan nue di kaima laiteragu , sir , nahn kukunahn vya dai nahndi choklaha suida","Nahn Anan nue di kaima laiteragu , sir , kukunahn vya nahn dai nahndi choklaha suida",[0] -> [2]
Ba bava gahedi thea geraha riri thai za la reganan ba dani themate .,Ba bava gahedi thea geraha riri thai za la reganan dani themate ba .,[0] -> [2]
