sen_str,swapped_sen_str,leaf_rule
# we no get wahala like dat //,# no get we wahala like dat //,[0] -> [1] -> [2]
# una waka go im cabal //,# waka una go im cabal //,[0] -> [1] -> [2]
# make una go watch am { live |c and direct } as I dey talk { now |r now |r now |r now |r now |r now |r now |r now } //,# make go una watch am { live |c and direct } as I dey talk { now |r now |r now |r now |r now |r now |r now |r now } //,[0] -> [1] -> [2]
# if di banga don done < you self go dey hear di aroma # sey [ di thing don done ] //,# if di banga don done < go dey you self hear di aroma # sey [ di thing don done ] //,[0] -> [1] -> [2]
when di time near < you go see //,when di time near < go see you //,[0] -> [1] -> [2]
# de con measure am //= de never still see di real person # wey kill di animal //,# de con measure am //= never still see de di real person # wey kill di animal //,[0] -> [1] -> [2]
# dis one < na im >+ go be di second time o # wey den go extend Suara > who be sey wetin ?//,# dis one < na im >+ go be di second time o # wey go extend den Suara > who be sey wetin ?//,[0] -> [1] -> [2]
# di moment you start to exist be sey di moment you don reach dat level wey be sey { you wake up |c # you know sey [ wetin { you |c and your family } go chop don ready ] } //,# di moment you start to exist be sey di moment don reach you dat level wey be sey { you wake up |c # you know sey [ wetin { you |c and your family } go chop don ready ] } //,[0] -> [1] -> [2]
# go con go one Nigerian university now # { wey you go spend close to three million to graduate |c # wey you no even see wetin e study > to start with } //,# go con go one Nigerian university now # { wey you go spend close to three million to graduate |c # wey no even see you wetin e study > to start with } //,[0] -> [1] -> [2]
# you go come leave am say [ okay # I know wetin you dey feel //= I know how you dey tink //] //,# go come leave you am say [ okay # I know wetin you dey feel //= I know how you dey tink //] //,[0] -> [1] -> [2]
# so as I dey come back now < # I con come down from bus //,# so as dey come I back now < # I con come down from bus //,[0] -> [1] -> [2]
# naim I tell am sey [ okay before I go go call my uncle come < # e go give me { wetin |c and wetin } we go bring ] //,# naim I tell am sey [ okay before go go I call my uncle come < # e go give me { wetin |c and wetin } we go bring ] //,[0] -> [1] -> [2]
you know sey [ if heat too much < e dey spoil makeup ] # |c but for here < # people wey dey do makeup < e go last dem # because di weather dey cold //,you know sey [ if heat too much < e dey spoil makeup ] # |c but for here < # people wey dey do makeup < go last e dem # because di weather dey cold //,[0] -> [1] -> [2]
# { me |a elder man } < me < I no even get # problem say [ ah why de no call am my name o ?//] //,# { me |a elder man } < me < no even get I # problem say [ ah why de no call am my name o ?//] //,[0] -> [1] -> [2]
im say [ im wan go somewhere ] //,im say [ wan im go somewhere ] //,[0] -> [1] -> [2]
naim de con dey say [ de wan change ] //,naim con dey say de [ de wan change ] //,[0] -> [1] -> [2]
# as di weather dey sef < we no too dey do any makeup //,# as di weather dey sef < no too dey do we any makeup //,[0] -> [1] -> [2]
# if you no fit make money again with insurance < # dat money wey you dey make # while you still dey work go dey enter ?//,# if no fit make you money again with insurance < # dat money wey you dey make # while you still dey work go dey enter ?//,[0] -> [1] -> [2]
# ehen me < na now >+ me know di question wey you dey ask //,# ehen me < na now >+ me know di question wey dey ask you //,[0] -> [1] -> [2]
when we dey grow up < # we know of all dose kind wey de dey call ehn ma-firewood # ( mean sey de dey sell firewood ) |c # ehn ma-akara # ( mean sey de dey fry akara ) |c ehn mama tailor # ( mean sey di woman na tailor ) //,when we dey grow up < # we know of all dose kind wey de dey call ehn ma-firewood # ( mean sey de dey sell firewood ) |c # ehn ma-akara # ( mean sey dey fry de akara ) |c ehn mama tailor # ( mean sey di woman na tailor ) //,[0] -> [1] -> [2]
e con get { one person wey I like for my school |a one teacher } //,e con get { one person wey like I for my school |a one teacher } //,[0] -> [1] -> [2]
# so < # when you see person < # { if na your eh eh dormot |c if na your ehn ehn ehn ehn ehn # side } >+ # you see man dey beat women ( sometime < de no dey even dey care # wheder na outside //= de go even { naked di woman |c beat am { well |r well } } ) < # no just leave am say [ eh di thing no be your own business //] //,# so < # when you see person < # { if na your eh eh dormot |c if na your ehn ehn ehn ehn ehn # side } >+ # you see man dey beat women ( sometime < no dey even dey care de # wheder na outside //= de go even { naked di woman |c beat am { well |r well } } ) < # no just leave am say [ eh di thing no be your own business //] //,[0] -> [1] -> [2]
# di papa con tear di paper //= # e con hug di boy //= e con tell am sey # [ I don forgive you //= no worry //] //,# di papa con tear di paper //= # con hug e di boy //= e con tell am sey # [ I don forgive you //= no worry //] //,[0] -> [1] -> [2]
di thing dey spoil us //= e dey spoil us //= I dey tell you //,di thing dey spoil us //= dey spoil e us //= I dey tell you //,[0] -> [1] -> [2]
# now < why you need dose kind of opportunity so dat if you invest something < you go say okay ?//,# now < why you need dose kind of opportunity so dat if you invest something < go say you okay ?//,[0] -> [1] -> [2]
naim e con support me //,naim con support e me //,[0] -> [1] -> [2]
except { you change your lifestyle |c # and begin dey # tink of God } < # except { you leave di old way wey you dey worship { oder juju |c # oder tings } |c and begin dey worship di true God wey dey heaven } < you no go fit do wetin I dey do //,except { change you your lifestyle |c # and begin dey # tink of God } < # except { you leave di old way wey you dey worship { oder juju |c # oder tings } |c and begin dey worship di true God wey dey heaven } < you no go fit do wetin I dey do //,[0] -> [1] -> [2]
# so I go Emmanuel College High School //,# so go I Emmanuel College High School //,[0] -> [1] -> [2]
# as e sleep < e con tell im bodyguard sey [ make di bodyguards carry am go im papa house ] //= # sey make e carry am go im papa house //,# as e sleep < con tell e im bodyguard sey [ make di bodyguards carry am go im papa house ] //= # sey make e carry am go im papa house //,[0] -> [1] -> [2]
I try //= I try //= I try //,I try //= try I //= I try //,[0] -> [1] -> [2]
