sen_str,swapped_sen_str,leaf_rule
"Nuká paá taité urikú sapekwera ntu piranga i ayura upé , aité paá tatá kwera nhaã .","Nuká paá urikú taité sapekwera ntu piranga i ayura upé , aité paá tatá kwera nhaã .",[0] -> [1] -> [9] -> [11] -> [15]
"Aé umundú yeperesé itakwara kití panhẽ i maã-itá rimirera , ti arama suayana-itá umunhã amú aintá yawé .","Aé umundú yeperesé itakwara kití panhẽ i maã-itá rimirera , ti arama umunhã suayana-itá amú aintá yawé .",[0] -> [1] -> [9] -> [11] -> [15]
"Aé umuwapika yepé yapuna , umukameẽ mayawé mira umunhã meyú , uí , uí tipiáka , maã setá .","Aé umuwapika yepé yapuna , umukameẽ mayawé umunhã mira meyú , uí , uí tipiáka , maã setá .",[0] -> [1] -> [9] -> [11] -> [15]
Ape ana tẽ paá tipusiwasú umungiri aé .,Ape ana tẽ paá umungiri tipusiwasú aé .,[0] -> [1] -> [9] -> [11] -> [15]
"Mairamé wanana-itá umuyeréu mirá pawa taria-itá ara kití , umaité panhẽ aintá umanú ana , usasemu : ― É … hê !","Mairamé umuyeréu wanana-itá mirá pawa taria-itá ara kití , umaité panhẽ aintá umanú ana , usasemu : ― É … hê !",[0] -> [1] -> [9] -> [11] -> [15]
"Usika ramé aintá kupixá pe , umaã paá suasú umuaíwa aintá kupixawa .","Usika ramé aintá kupixá pe , umaã paá umuaíwa suasú aintá kupixawa .",[0] -> [1] -> [9] -> [11] -> [15]
"Ape nhaã kunhã i akanhemu usikari sapé , ma kuté ti ã uyukwá sapé , uyana até usika igara upé .","Ape i akanhemu usikari nhaã kunhã sapé , ma kuté ti ã uyukwá sapé , uyana até usika igara upé .",[0] -> [1] -> [9] -> [11] -> [15]
Asuí paá nhaã kunhã i kweré wana umbaú maã i mena umbaú waá .,Asuí paá nhaã kunhã i kweré wana umbaú maã umbaú i mena waá .,[0] -> [1] -> [9] -> [11] -> [15]
"Asuí yepé-yepé Aziawara-itá , Paulo anama-itá , aintá umundú i xupé kwekatú , aintá upurandú aé ti arama uwiké aintá irumu aintá uyumuatiri wera waá upé .","Asuí aintá umundú yepé-yepé Aziawara-itá , Paulo anama-itá , i xupé kwekatú , aintá upurandú aé ti arama uwiké aintá irumu aintá uyumuatiri wera waá upé .",[0] -> [1] -> [9] -> [11] -> [15]
Kwá akanga akayú-itá umumurutinga waá panhẽ mira upusú tẽ aé .,Kwá akanga akayú-itá umumurutinga waá upusú panhẽ mira tẽ aé .,[0] -> [1] -> [9] -> [11] -> [15]
Yaú timbiú sakú ti arama kurupira-itá urasú yandé .,Yaú timbiú sakú ti arama urasú kurupira-itá yandé .,[0] -> [1] -> [9] -> [11] -> [15]
"Amukameẽ ana pemaã siiya se paya uxari waá-itá amunhã , mayé waá resewara taá aintá suiwara pemburi itá se resé ?","Amukameẽ ana pemaã siiya uxari se paya waá-itá amunhã , mayé waá resewara taá aintá suiwara pemburi itá se resé ?",[0] -> [1] -> [9] -> [11] -> [15]
― Nhaã yawara usuú se pú !,― usuú Nhaã yawara se pú !,[0] -> [1] -> [9] -> [11] -> [15]
"Aé ukwáu yeperesé Pirá Manha umukuna aé , usú Pirá Manha rakakwera , urasú i karawatana uyumú arama aé .","Aé ukwáu yeperesé umukuna Pirá Manha aé , usú Pirá Manha rakakwera , urasú i karawatana uyumú arama aé .",[0] -> [1] -> [9] -> [11] -> [15]
"Te pemunhã saruã , kurumú buyawasú umbaú yandé .","Te pemunhã saruã , kurumú umbaú buyawasú yandé .",[0] -> [1] -> [9] -> [11] -> [15]
Aramé ana apigawa-itá usú umuyatiká kurabí-itá ukara rupí aintá umayana arama aintá ara rupí yakaré .,Aramé ana usú umuyatiká apigawa-itá kurabí-itá ukara rupí aintá umayana arama aintá ara rupí yakaré .,[0] -> [1] -> [9] -> [11] -> [15]
"Rairú , kuité , itakwara panera yawé umuapatuka aé , aé kuité uyakáu itá irumu .","Rairú , kuité , panera yawé umuapatuka itakwara aé , aé kuité uyakáu itá irumu .",[0] -> [1] -> [9] -> [11] -> [15]
"Nhaã pukusá , yautí umundéu pawa i pí-itá i pirera kití .","Nhaã pukusá , umundéu yautí pawa i pí-itá i pirera kití .",[0] -> [1] -> [9] -> [11] -> [15]
Yawé rã paá murutinga i putiá mamé kurasí umutiní waá kwera aé .,Yawé rã paá murutinga i putiá mamé umutiní kurasí waá kwera aé .,[0] -> [1] -> [9] -> [11] -> [15]
"Ape , paá , uka yara-itá tameẽ taú arã kutakutara garapa .","Ape , paá , tameẽ uka yara-itá taú arã kutakutara garapa .",[0] -> [1] -> [9] -> [11] -> [15]
"Yepé igarapé rembií pe yepé tamanduá uú uikú ií , suakí Poronominare usú uyuyasuka .","Yepé igarapé rembií pe uú yepé tamanduá uikú ií , suakí Poronominare usú uyuyasuka .",[0] -> [1] -> [9] -> [11] -> [15]
"Ape , paá , umunhã mayé i manha umundú waá .","Ape , paá , umunhã mayé umundú i manha waá .",[0] -> [1] -> [9] -> [11] -> [15]
"Aramé paá i kiwira urasú aé iwaka kití , ti resé uputari sendira umendari .","Aramé paá urasú i kiwira aé iwaka kití , ti resé uputari sendira umendari .",[0] -> [1] -> [9] -> [11] -> [15]
Yawé tẽ yuíri kwá ií rukena sembika waá ti upuderi umusemu ií seẽ waá .,Yawé tẽ yuíri ti upuderi umusemu kwá ií rukena sembika waá ií seẽ waá .,[0] -> [1] -> [9] -> [11] -> [15]
"Ape paá i manha umeẽ i xupé pusanga umusasawa arã i pira rupí , ti arã nhaã urubú kunhã-itá umaã aé .","Ape paá umeẽ i manha i xupé pusanga umusasawa arã i pira rupí , ti arã nhaã urubú kunhã-itá umaã aé .",[0] -> [1] -> [9] -> [11] -> [15]
