sen_str,swapped_sen_str,leaf_rule
"ʔèè ká yérè péí kùr_kùr_kùr kpá fàrà kà =à̰ yé kútùà ná, kpá fàrà kà =à̰ yé kútùà ná ʔòé","ʔèè ká yérè péí kùr_kùr_kùr kpá fàrà kà =à̰ yé kútùà ná, kpá fàrà kà yé =à̰ kútùà ná ʔòé",[0]
ʔá̰-nɛ̀ =ám tɛ́ ʔèá ʔè,ʔá̰-nɛ̀ tɛ́ =ám ʔèá ʔè,[0]
kà =ám ɗóŋ kà =ám kpá bé gèɗà ká =ám ɲɔ̀ŋá nɛ̀nɛ́,kà ɗóŋ =ám kà =ám kpá bé gèɗà ká =ám ɲɔ̀ŋá nɛ̀nɛ́,[0]
hó dáà ʔɛ̰̀ bé nɛ́ dɔ̀k ná wá,hó dáà bé ʔɛ̰̀ nɛ́ dɔ̀k ná wá,[0]
ʔá̰-nɛ̀ mɔ̀ ɓàrá,ʔá̰-nɛ̀ ɓàrá mɔ̀,[0]
nɛ̀ =ám kpèè síkɔ̀rí,nɛ̀ kpèè =ám síkɔ̀rí,[0]
dùà hɛ̰̀ ʔéí mɔ́-pèì ʔèì dɛ̀ nɛ̀ mɔ̀ɔ́ tɛ̀ =mɛ́ ʔòé,dùà hɛ̰̀ ʔéí mɔ́-pèì dɛ̀ ʔèì nɛ̀ mɔ̀ɔ́ tɛ̀ =mɛ́ ʔòé,[0]
sá ʔó dàn kɔ́ =à̰ Wàntò mɛ́ nɛ́-sìá mɛ̀ káí bé fùù,sá ʔó dàn kɔ́ =à̰ Wàntò nɛ́-sìá mɛ́ mɛ̀ káí bé fùù,[0]
ʔá̰-nɛ̀ zɛ̀ dɛ̀á,ʔá̰-nɛ̀ dɛ̀á zɛ̀,[0]
ʔèè ʔá̰-nɛ̀ =à̰ yèá ʔèá,ʔèè ʔá̰-nɛ̀ yèá =à̰ ʔèá,[0]
péém wà bé ná,péém bé wà ná,[0]
ká yérè gɔ̀má =à̰ ʔèá,ká gɔ̀má yérè =à̰ ʔèá,[0]
ʔá̰-nɛ̀ Wàntò bàá fàrà ʔín kóò kútùà ʔèá,ʔá̰-nɛ̀ bàá Wàntò fàrà ʔín kóò kútùà ʔèá,[0]
kpɔ́lɔ́k bé pɛ̀ɲá Tò ndák ndák mɔ́-bà báà ndé,kpɔ́lɔ́k bé pɛ̀ɲá ndák Tò ndák mɔ́-bà báà ndé,[0]
nɛ̀ =ám kpèè síkɔ̀rí,nɛ̀ kpèè =ám síkɔ̀rí,[0]
ʔá̰-nɛ̀ Wàntò zɔ́k mɔ̀,ʔá̰-nɛ̀ zɔ́k Wàntò mɔ̀,[0]
ʔá̰-nɛ̀ =ám tó kùsí ʔòé,ʔá̰-nɛ̀ tó =ám kùsí ʔòé,[0]
ʔá̰-nɛ̀ Wàntò ndàkà sínɛ́ɛ́ɛ́,ʔá̰-nɛ̀ ndàkà Wàntò sínɛ́ɛ́ɛ́,[0]
ʔá̰-nɛ̀ =à̰ yèé gbàwár ʔé,ʔá̰-nɛ̀ yèé =à̰ gbàwár ʔé,[0]
kà =ám ɗóŋ táá tí ká ʔó mà béí nɛ̀ kɔ̰ =ám ká =wà hà̰á̰ gèɗà há̰ =ám ɲɔ́ŋ nɛ̀nɛ́ɛ̀,kà ɗóŋ =ám táá tí ká ʔó mà béí nɛ̀ kɔ̰ =ám ká =wà hà̰á̰ gèɗà há̰ =ám ɲɔ́ŋ nɛ̀nɛ́ɛ̀,[0]
ʔèè ʔá̰ mɔ̀ ndèì tɔ̰́ kà mbɔ́zɔ̀-bêm nɛ́-bèè sór-mɔ̀-ná mbálámbúlú hé mɔ̀ sɛ̌n kɔ̀ ʔér wíìí hɛ̰̀ gá kóó wà bá gbó sɛ̌n bàngí ʔà̰ tɛ́-gàsì kɔ̀ ʔér nàà kɔ́ =à̰-ìí,ʔèè ʔá̰ mɔ̀ ndèì tɔ̰́ kà mbɔ́zɔ̀-bêm nɛ́-bèè sór-mɔ̀-ná mbálámbúlú hé mɔ̀ sɛ̌n kɔ̀ ʔér wíìí hɛ̰̀ gá kóó bá wà gbó sɛ̌n bàngí ʔà̰ tɛ́-gàsì kɔ̀ ʔér nàà kɔ́ =à̰-ìí,[0]
ʔá̰-nɛ̀ =wà dɛ̀ɛ́ kàm há̰ Wàntò ɲɔ́ŋ,ʔá̰-nɛ̀ =wà dɛ̀ɛ́ kàm há̰ ɲɔ́ŋ Wàntò,[0]
sá ʔó dàn kɔ́ =à̰ Wàntò mɛ́ nɛ́-sìá mɛ̀ káí bé fùù,sá ʔó dàn kɔ́ =à̰ Wàntò mɛ́ nɛ́-sìá káí mɛ̀ bé fùù,[0]
ʔèé nɛ̀ =à̰ ʔé núà sɛ̀nɛ́,ʔèé nɛ̀ ʔé =à̰ núà sɛ̀nɛ́,[0]
ʔá̰-nɛ̀ Wàntò nɛ́ sínɛ́ɛ̀,ʔá̰-nɛ̀ nɛ́ Wàntò sínɛ́ɛ̀,[0]
ʔèé mɛ̀ ɓám sɛ̀nɛ́ yè,ʔèé ɓám mɛ̀ sɛ̀nɛ́ yè,[0]
nɛ̀ =ám kpèè síkɔ̀rí,nɛ̀ kpèè =ám síkɔ̀rí,[0]
