sen_str,swapped_sen_str,leaf_rule
"- Når arbeidsplassar står i fare , er LO vanskelege å ha med å gjere , seier Alfsen tørt .","- Når arbeidsplassar står i fare , er LO vanskelege å ha med å gjere , Alfsen seier tørt .",[0] -> [1] -> [29]
"- Og kva med turistane , legg ho til .","- Og kva med turistane , ho legg til .",[0] -> [1] -> [29]
"Verdiskapinga i landet er god , men det gir ikkje utslag i offentleg sektor og det som trengst for å sikra den velferda folk treng og har krav på , seier Dahle .","Verdiskapinga i landet er god , men det gir ikkje utslag i offentleg sektor og det som trengst for å sikra den velferda folk treng og har krav på , Dahle seier .",[0] -> [1] -> [29]
"- Dette er ein stolt dag for Vest-Telemark , sa biskopen etter gudstenesta .","- Dette er ein stolt dag for Vest-Telemark , biskopen sa etter gudstenesta .",[0] -> [1] -> [29]
"- Særleg har eg vore interessert i periodar med store omveltingar , fortel han .","- Særleg har eg vore interessert i periodar med store omveltingar , han fortel .",[0] -> [1] -> [29]
"Opningskvelden blir publikum kjent med mennesket og laurdag er det produksjonane me set fokus på , forklarar Christenson .","Opningskvelden blir publikum kjent med mennesket og laurdag er det produksjonane me set fokus på , Christenson forklarar .",[0] -> [1] -> [29]
"Gamleskulen var ein gammal , ærverdig bygning i dobbelt forstand , seier ordføraren .","Gamleskulen var ein gammal , ærverdig bygning i dobbelt forstand , ordføraren seier .",[0] -> [1] -> [29]
"Men på same tid skal elevane lære matte og norsk også , smiler rådmannen .","Men på same tid skal elevane lære matte og norsk også , rådmannen smiler .",[0] -> [1] -> [29]
"Seier eg noko gale offentleg , bryt helvete laust , fortel mannen .","Seier eg noko gale offentleg , bryt helvete laust , mannen fortel .",[0] -> [1] -> [29]
"Men med SV i regjering har Noreg med raske skritt vorte endå meir av ein miljøversting , ein imperialistisk pådrivar og ein krigsnasjon , seier Eriksen til Klassekampen .","Men med SV i regjering har Noreg med raske skritt vorte endå meir av ein miljøversting , ein imperialistisk pådrivar og ein krigsnasjon , Eriksen seier til Klassekampen .",[0] -> [1] -> [29]
"- Me hadde mykje å snakke om frå fyrste stund og blei gode venner , sjølv om ho høyrde til annen generasjon , sa Gjernes i foredraget som fekk kveldens kraftigaste applaus .","- Me hadde mykje å snakke om frå fyrste stund og blei gode venner , sjølv om ho høyrde til annen generasjon , Gjernes sa i foredraget som fekk kveldens kraftigaste applaus .",[0] -> [1] -> [29]
"Dersom fylkeskommunen raserer dette unike tilbodet har ikkje desse elevane noko anna tilbod , seier Hanevik .","Dersom fylkeskommunen raserer dette unike tilbodet har ikkje desse elevane noko anna tilbod , Hanevik seier .",[0] -> [1] -> [29]
"I fyrste omgang vil me sjå korleis andre slike slakteri driv , me har mellom anna kjennskap til eit nytt slakteri i Sunnfjord som me vil vitje , fortel ein optimistisk Borgersen .","I fyrste omgang vil me sjå korleis andre slike slakteri driv , me har mellom anna kjennskap til eit nytt slakteri i Sunnfjord som me vil vitje , ein optimistisk Borgersen fortel .",[0] -> [1] -> [29]
"- Dette er ein stor dag og me takkar kommunen for at dei endeleg gav folket på Dalen eit verdig kyrkjerom , uttalar kyrkjeverge Ove Kjell Huvestad .","- Dette er ein stor dag og me takkar kommunen for at dei endeleg gav folket på Dalen eit verdig kyrkjerom , kyrkjeverge Ove Kjell Huvestad uttalar .",[0] -> [1] -> [29]
"Eg synest det er rart han ikkje spelte frå start , men det blir det vel ei endring på etter dette , trur Solås .","Eg synest det er rart han ikkje spelte frå start , men det blir det vel ei endring på etter dette , Solås trur .",[0] -> [1] -> [29]
"- Det er stor semje om oppryddinga , men sannsynlegvis usemje om kva for former som skal bort , medgav Giske .","- Det er stor semje om oppryddinga , men sannsynlegvis usemje om kva for former som skal bort , Giske medgav .",[0] -> [1] -> [29]
