sen_str,swapped_sen_str,leaf_rule
"Lo temps de se metre a taula , lo torril siaguèt escalcit .","Lo temps de se metre a taula , siaguèt escalcit lo torril .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
"Tot èra a sa plaça pr'aquò , coma un còp èra .","Tot èra a sa plaça pr'aquò , coma èra un còp .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
"D' aquel temps , a La Ribièira , dins l' ostal vièlh de la Cerièissa demoravan un òme e una femna que lo nom uèi se n' es perdut .","D' aquel temps , a La Ribièira , dins l' ostal vièlh de la Cerièissa demoravan un òme e una femna que uèi se es perdut lo nom n' .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
"Tot lo mond arribèt : i parlèron ; mas el , pas mot .","Tot lo mond arribèt : i parlèron ; pas mot mas el , .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
La vesi mai sovent per los camps quand se passa pas res que quand l' agricultor i trabalha .,La vesi mai sovent per los camps quand se passa pas res que quand i trabalha l' agricultor .,[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
"Mai d' un còp dins la nuèch , la femna se desrevelhava .","Mai d' un còp dins la nuèch , se desrevelhava la femna .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
Mas las ocasions de parlar en occitan dins la societat son de mai en mai raras .,Mas son de mai en mai raras las ocasions de parlar en occitan dins la societat .,[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
"Fa ben , me caldriá recordar que los pichons de los reis dins de lo brèç son mèstres .","Fa ben , me caldriá recordar que dins de lo brèç son mèstres los pichons de los reis .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
"Cric , cric , Mon cònte es finit .","Cric , cric , es finit Mon cònte .",[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
Aquò montava lo long de lo rèc e de cadenas darrièr se brandissián .,Aquò montava lo long de lo rèc e darrièr se brandissián de cadenas .,[0] -> [1] -> [7] -> [8] -> [9] -> [10] -> [11] -> [15]
