sen_str,swapped_sen_str,leaf_rule
еда сь естъ с҃нъ д҃авъ,еда естъ с҃нъ сь д҃авъ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
да навꙑкнеши ꙗ҅ко вь҆сьжде и҅стинѫ вь҆се глагол҄ѫтъ а҅ ничсоже не потаѧ҅тъ ни мѣнꙙштии҅мъ бꙑті семоу о̑укорьноу,да навꙑкнеши ꙗ҅ко вь҆сьжде и҅стинѫ вь҆се глагол҄ѫтъ а҅ ничсоже не потаѧ҅тъ ни мѣнꙙштии҅мъ бꙑті о̑укорьноу семоу,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
разоумѣ же о҃цъ ѣко та бѣ година вь нюже рече емоу и҃с ѣко,разоумѣ же о҃цъ ѣко бѣ година та вь нюже рече емоу и҃с ѣко,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
сами бо слꙑшахомъ и вѣмъ ѣко сь естъ въ істинѫ с҃псъ мира х҃ъ,сами бо слꙑшахомъ и вѣмъ ѣко естъ въ істинѫ с҃псъ сь мира х҃ъ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
Ѣко тꙑ есі тръпѣніе мое г҃і г҃ь оупъваніе мое отъ юності моеѩ,Ѣко есі тръпѣніе тꙑ мое г҃і г҃ь оупъваніе мое отъ юності моеѩ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
Слꙑшѧщемъ же имъ се приложь притъчѫ рече занеже тъ бѣ близъ и҃ма ꙇ мьнѣахѫ ѣко абие хоштетъ ц҃срствие б҃жие авити сѧ,Слꙑшѧщемъ же имъ се приложь притъчѫ рече занеже бѣ близъ и҃ма тъ ꙇ мьнѣахѫ ѣко абие хоштетъ ц҃срствие б҃жие авити сѧ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
нъ ꙇ҅сходѧштаа из него та сѫтъ с҃кврънѧштаа ч҃лка,нъ сѫтъ с҃кврънѧштаа ꙇ҅сходѧштаа из него та ч҃лка,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
вѣдѣаше бо искони и҃съ кто сѫтъ не вѣроуѭштеи ꙇ кто естъ хотѧи прѣдати и,вѣдѣаше бо искони и҃съ сѫтъ не вѣроуѭштеи кто ꙇ кто естъ хотѧи прѣдати и,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
не бѫди никтоже ꙁълъ,не бѫди ꙁълъ никтоже,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
и се мѫжъ именемь нарицаемъ закьхеи ꙇ сь бѣ старѣи мꙑтаремъ ꙇ тъ бѣ богатъ,и се мѫжъ именемь нарицаемъ закьхеи ꙇ бѣ старѣи сь мꙑтаремъ ꙇ тъ бѣ богатъ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
о҅баче а҅ꙁъ ѥсмъ о̑убогꙑи҆ пришедꙑи҆ к тебѣ ѥ҅гда бѣ въ манастꙑри ст꙯ааго а҅нь҆дреа а҅постола нарицаѥ҅мааго клио҅скаръ ѥ҅гда сѣдѣа҅ше въ хꙑꙁинѣ и҅ писаа҅ше ѥ҅моуже да дъва на десꙙте ꙁлатицъ и҅ съребрънꙑи блюдъ и҅же ти бѣ посълала съ коуциѭ̑ блаженаꙗ мати твоꙗ,о҅баче ѥсмъ о̑убогꙑи҆ а҅ꙁъ пришедꙑи҆ к тебѣ ѥ҅гда бѣ въ манастꙑри ст꙯ааго а҅нь҆дреа а҅постола нарицаѥ҅мааго клио҅скаръ ѥ҅гда сѣдѣа҅ше въ хꙑꙁинѣ и҅ писаа҅ше ѥ҅моуже да дъва на десꙙте ꙁлатицъ и҅ съребрънꙑи блюдъ и҅же ти бѣ посълала съ коуциѭ̑ блаженаꙗ мати твоꙗ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
глагол̑и ми ты кʼто ѥ͑стъ б͆ъ,глагол̑и ми ты ѥ͑стъ б͆ъ кʼто,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
не сь ли естъ текⸯтонъ с҃нъ мариінъ ꙇ братръ же ꙇѣковоу ꙇ осиі ꙇ июдѣ ꙇ симоноу,не ли естъ текⸯтонъ сь с҃нъ мариінъ ꙇ братръ же ꙇѣковоу ꙇ осиі ꙇ июдѣ ꙇ симоноу,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
ꙇже бо мьнии естъ во вьсѣхъ васъ сь естъ вѧштеи,ꙇже бо мьнии естъ во вьсѣхъ васъ естъ вѧштеи сь,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
и҅ покажи беꙁаконьноуо̑умоу и҅ беꙁбожь҆ноуо̑умоу а҅нꙿтониноу и҅ делꙿматию̑ ꙗ҅ко тꙑ ѥ҅си богъ крь҆стиꙗ҅ньскъ и҅ надѣѭ̑штии҅мъ сꙙ на тꙙ мъꙁдоо҅тъдавь҆цъ ѥ҅си,и҅ покажи беꙁаконьноуо̑умоу и҅ беꙁбожь҆ноуо̑умоу а҅нꙿтониноу и҅ делꙿматию̑ ꙗ҅ко ѥ҅си богъ тꙑ крь҆стиꙗ҅ньскъ и҅ надѣѭ̑штии҅мъ сꙙ на тꙙ мъꙁдоо҅тъдавь҆цъ ѥ҅си,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
и͑сповѣждъ мꙙ прѣд н̑имъ бꙑти ми рабꙋ твоѥ͑моу,и͑сповѣждъ мꙙ прѣд н̑имъ бꙑти рабꙋ ми твоѥ͑моу,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
г҃и кⸯто естъ прѣдаѩі тѧ,г҃и естъ прѣдаѩі кⸯто тѧ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
и҅ навꙑкни и҅скоушении҅мъ тѣмь что ми ѥ҆ о҅бискано а҅ что не о҅бискано что ми ѥ҆ страсть҆ноѥ҆ что ли бестрасть҆ноѥ что ми ѥ сь҆мрь҆ть҆но что о̑умрь҆штвено тебе дѣлꙗ что ли о҅стало бе сь҆мрьти что ѥ҅ ѥ҅же подъпада твои҅мъ прь҆стомꙿ что ли не подъпадаѥ҅тъ твоѥ҆и҆ десници,и҅ навꙑкни и҅скоушении҅мъ тѣмь что ми ѥ҆ о҅бискано а҅ что не о҅бискано ми ѥ҆ страсть҆ноѥ҆ что что ли бестрасть҆ноѥ что ми ѥ сь҆мрь҆ть҆но что о̑умрь҆штвено тебе дѣлꙗ что ли о҅стало бе сь҆мрьти что ѥ҅ ѥ҅же подъпада твои҅мъ прь҆стомꙿ что ли не подъпадаѥ҅тъ твоѥ҆и҆ десници,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
Ѣште вьзідѫ на н҃бо тъі есі тоу,Ѣште вьзідѫ на н҃бо есі тоу тъі,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
да с҃пстъ и сѧ аште сь естъ х҃ъ с҃нъ б҃жии ꙇзбъранꙑ,да с҃пстъ и сѧ аште естъ х҃ъ сь с҃нъ б҃жии ꙇзбъранꙑ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
а сѣаное на добрѣ земи сь естъ слꙑшѧи слово и разоумѣваѩ е ꙇ приноситъ плодъ ѣко подобаатъ и творитъ ово р҃ ово м҃ ово ꙉ҃,а сѣаное на добрѣ земи естъ слꙑшѧи сь слово и разоумѣваѩ е ꙇ приноситъ плодъ ѣко подобаатъ и творитъ ово р҃ ово м҃ ово ꙉ҃,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
и҅ сь҆ бо ѥ҅гда каꙁаа҅ше и о̑учител҄ь не слоушаше нъ ѥ҅гда никогоже бѣ кажѫшта тъгда своѭ̑ сь҆вѣсть҆ раꙁоумѣвъ и҅ никогоже сѫшта о̑учителꙗ прѣмѣни сꙙ,и҅ сь҆ бо ѥ҅гда каꙁаа҅ше и о̑учител҄ь не слоушаше нъ ѥ҅гда бѣ кажѫшта никогоже тъгда своѭ̑ сь҆вѣсть҆ раꙁоумѣвъ и҅ никогоже сѫшта о̑учителꙗ прѣмѣни сꙙ,[0] -> [18] -> [19] -> [20] -> [21] -> [22] -> [24]
