sen_str,swapped_sen_str,leaf_rule
Uşağı birçok suâller iradından sonra nihayet maksadını anlayabildi : Bedbaht adamcağız para bozdurmak istiyormuş .,Uşağı birçok suâller iradından sonra nihayet maksadını anlayabildi : para bozdurmak istiyormuş Bedbaht adamcağız .,[0] -> [10]
Yalnız bir hususta kadınlar erkeklerden daha dûn bulunuyorlar ; o da tahsil-i mutavassıt görmüş erkeklerden aynı tahsile nail olmuş kadınların adeden az olmasıdır .,Yalnız bir hususta kadınlar erkeklerden daha dûn bulunuyorlar ; tahsil-i mutavassıt görmüş erkeklerden aynı tahsile nail olmuş kadınların adeden az olmasıdır o da .,[0] -> [10]
"Halbuki fecir saati , Müslüman için rüyasız bir uykunun nihayeti ve yıkanma , ibadet , neşe ve ümidin başlangıcıdır .","Halbuki , Müslüman için rüyasız bir uykunun nihayeti ve yıkanma , ibadet , neşe ve ümidin başlangıcıdır fecir saati .",[0] -> [10]
Yalnız manzum âsar-ı edebiye hususunda nesl-i cedid edipleri zannedersem biraz geri bulunuyorlar .,Yalnız manzum âsar-ı edebiye hususunda zannedersem biraz geri nesl-i cedid edipleri bulunuyorlar .,[0] -> [10]
- “ Bu adam kimdir ? ”,- “ kimdir Bu adam ? ”,[0] -> [10]
"Bu neş'eli tazelerin kanatlanmış gibi , maşlahlarını savurarak , örtülerinin uçlarını uçurarak , ayaklarını çırparak , ellerini sallayarak sıçramalarından , kahkahalarından , eşekler pek memnun , pek mağrûr gözükürlerken , sırtlarındaki yumuşaklıklara rağmen eşekçilerin “ Haydi bibiko ! ! Haydi mimiko ! ” yaygaralarıyla arkalarına indirdikleri sopaların acısı bir tezâd-ı garîb teşkil ediyordu .","Bu neş'eli tazelerin kanatlanmış gibi , maşlahlarını savurarak , örtülerinin uçlarını uçurarak , ayaklarını çırparak , ellerini sallayarak sıçramalarından , kahkahalarından , eşekler pek memnun , pek mağrûr gözükürlerken , sırtlarındaki yumuşaklıklara rağmen bir tezâd-ı garîb teşkil eşekçilerin “ Haydi bibiko ! ! Haydi mimiko ! ” yaygaralarıyla arkalarına indirdikleri sopaların acısı ediyordu .",[0] -> [10]
"Meğer benim hakaret addettiğim muamele ayn-ı riâyet imiş : İhtiyarın dili tutuk , lakırdı söyleyemiyor .","Meğer benim hakaret addettiğim muamele ayn-ı riâyet imiş : tutuk İhtiyarın dili , lakırdı söyleyemiyor .",[0] -> [10]
Aşikârdır ki kadınların hepsi hassastır .,Aşikârdır ki hassastır kadınların hepsi .,[0] -> [10]
Ve o çığlık fırtınasına bir katre-i kahkaha daha karıştı .,Ve o çığlık fırtınasına daha karıştı bir katre-i kahkaha .,[0] -> [10]
Büyük harbin uzun seneleri zarfında millet yorgun ve fakir bir halde .,Büyük harbin uzun seneleri zarfında yorgun ve fakir bir halde millet .,[0] -> [10]
Görüyorum ki eşeğe binenler mutlaka gülüyorlar .,Görüyorum ki mutlaka gülüyorlar eşeğe binenler .,[0] -> [10]
"Bundan başka , memleketin her tarafında , anâsır-ı Hıristiyaniye hafî , celî , hususî emel ve maksatlarının temîn-i istihsaline , devletin bir an evvel çökmesine sarf-ı mesâi ediyorlar .","Bundan başka , memleketin her tarafında , anâsır-ı Hıristiyaniye hafî , celî , hususî emel ve maksatlarının temîn-i istihsaline , bir an evvel çökmesine devletin sarf-ı mesâi ediyorlar .",[0] -> [10]
Bence bu gayet mühim bir meziyettir .,Bence gayet mühim bir meziyettir bu .,[0] -> [10]
"Artık “on iki” solgun yeşil sema altında , ilk yıldıza karşı müezzinin Müslümanlara hitap ettiği , sokakların lacivert bir sisle kaplandığı , ışıkların yandığı , sinilerin kurulduğu ve yarasaların mahzenlerden çıkıp uçuştuğu o müessir ve titrek saat değildir .","Artık “on iki” solgun yeşil sema altında , ilk yıldıza karşı müezzinin Müslümanlara hitap ettiği , sokakların lacivert bir sisle kaplandığı , yandığı ışıkların , sinilerin kurulduğu ve yarasaların mahzenlerden çıkıp uçuştuğu o müessir ve titrek saat değildir .",[0] -> [10]
Şu muamele bana garib göründü : Bir müşteri listeyi istediği zaman okuyamaz mı ?,Şu muamele bana garib göründü : listeyi istediği zaman okuyamaz Bir müşteri mı ?,[0] -> [10]
"Giden saatler babalarımızın öldüğü , annelerimizin evlendiği , bizim doğduğumuz , kervanların hareket ettiği ve orduların düşman şehirlerine girdiği saatler di .","Giden saatler babalarımızın öldüğü , evlendiği annelerimizin , bizim doğduğumuz , kervanların hareket ettiği ve orduların düşman şehirlerine girdiği saatler di .",[0] -> [10]
"Bir mezarlığın kenarında , bir yığın toprak hâsıl olur olmaz , ondan bir iz , bir hiç kalmayacak ...","Bir mezarlığın kenarında , hâsıl bir yığın toprak olur olmaz , ondan bir iz , bir hiç kalmayacak ...",[0] -> [10]
