sen_str,swapped_sen_str,leaf_rule
هغې باید خپل وېښتان جوړ کړي وای مګر د کوم دلیل له امله یې هغه ورځ جوړ نۀ کړل .,هغې باید خپل وېښتان جوړ کړي وای مګر د کوم دلیل له امله هغه ورځ جوړ نۀ کړل یې .,[0] -> [2]
ژبه په دوه ډوله ده : یوه هغه چې ژوندۍ ده ، هغه ژبه چې د یوه يا څو ملتونو وګړي پر يې خبرې او لیک - لوست کوي ، بايد هر څوک ور باندې وپوهېږي .,ژبه په دوه ډوله ده : یوه هغه چې ژوندۍ ده ، هغه ژبه چې د یوه يا څو ملتونو وګړي پر يې خبرې او لیک - لوست کوي ، بايد ور باندې وپوهېږي هر څوک .,[0] -> [2]
د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لا نه وه دود شوې لیکنۍ ژبه ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,[0] -> [2]
پښتو یوازې په دې وده نه کوي ، چې هرڅوک دې ور باندې پوه شي او پښتو خبرې دې وکولاى شي ، بلکې پښتو که په هره توګه وده کوي او د ودې لارې چارې يې هرڅه وي ، یو ارزښتمن اړخ يې د پوهنیزو کتابونو ژباړه ده ، چې دغه کار د ژبې په بډايتوب او وده کې ستر اغېز لري .,پښتو یوازې په دې وده نه کوي ، چې هرڅوک دې ور باندې پوه شي او پښتو خبرې دې وکولاى شي ، بلکې که په هره توګه وده کوي پښتو او د ودې لارې چارې يې هرڅه وي ، یو ارزښتمن اړخ يې د پوهنیزو کتابونو ژباړه ده ، چې دغه کار د ژبې په بډايتوب او وده کې ستر اغېز لري .,[0] -> [2]
د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو انځورګرانو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,د ځینو لرغونو پاچايانو او ټولواکانو په وخت کې چې لیکنۍ ژبه لا نه وه دود شوې ، نو به د ونو پر ډډونو ، دېوالونو يا ښویو ډبرو انځورونه کښل انځورګرانو ، د انځورونو په واسطه به يې خپل نور ملګري يا هملاري پوهول ، خو کله چې لیکنۍ او ږغیزې ژبې لږ څه نور پرمختګ هم وکړ ، لیکدود رامنځته شو ، چې اوس د نړۍ ټولې ژبې ځانګړى لیکدود او لیکلار لري .,[0] -> [2]
وايي : ټیګور خپل شهکار اثر ګیتانجلي په بنګالۍ ژبه ولیکه ، خو په پیل کې يې یوازې د ګوتو په شمېر مینه وال ځان ته رامات کړل ، کله چې ټیګور دغه اثر په انګرېزۍ راوژباړه ، نو د نوبل نړیواله ادبي جايزه يې تر لاسه کړه او په دې توګه د نړیوالو نوماندو ( مشهورو ) لیکوالو په ډله کې وشمېرل شو ، هغه هنري متره يې هم په نړیواله کچه مطرح شوه ، ځکه خو يې د خپلو څو رخه ګرو ( حريفانو ) په وړاندې ويلي وو :,وايي : ټیګور خپل شهکار اثر ګیتانجلي په بنګالۍ ژبه ولیکه ، خو په پیل کې يې یوازې د ګوتو په شمېر مینه وال ځان ته رامات کړل ، کله چې ټیګور دغه اثر په انګرېزۍ راوژباړه ، نو د نوبل نړیواله ادبي جايزه يې تر لاسه کړه او په دې توګه د نړیوالو نوماندو ( مشهورو ) لیکوالو په ډله کې وشمېرل شو ، هغه هنري متره يې هم په نړیواله کچه مطرح شوه ، ځکه خو د خپلو څو رخه ګرو ( حريفانو ) په وړاندې ويلي يې وو :,[0] -> [2]
همدغه راز ښه زېرمه او بنسټ ولري ، که چېرې ژبه د ژباړې په برخه کې بهرنى ملاتړ ونه لري او ځواک ورکوونکې سرچینه يې کمزورې وي ، امکان لري ، خلک د یو بل د پوهونې لپاره د نورو ژبو له ادبي ، هنري او ټولنیزو ويیونو څخه کار واخلي ، خو که چېرې یوه ژبه د خلکو ټولې ژبنۍ اړتیاوې ځواب کولاى شي ، خلکو ته هم هوسايي وربخښي ، د دې ترڅنګ د ټولنیز ژوند نظام هم روغ او رمټ پاتېږي .,همدغه راز ښه زېرمه او بنسټ ولري ، که چېرې ژبه د ژباړې په برخه کې بهرنى ملاتړ ونه لري او ځواک ورکوونکې سرچینه يې کمزورې وي ، امکان لري ، خلک د یو بل د پوهونې لپاره د نورو ژبو له ادبي ، هنري او ټولنیزو ويیونو څخه کار واخلي ، خو که چېرې د خلکو ټولې ژبنۍ اړتیاوې ځواب کولاى یوه ژبه شي ، خلکو ته هم هوسايي وربخښي ، د دې ترڅنګ د ټولنیز ژوند نظام هم روغ او رمټ پاتېږي .,[0] -> [2]
یوه زمانه به انسانانو د خبرو - اترو لپاره کره او سمه ژبه نه درلوده ، د خطر په وخت کې به يې یو ډول ږغ کاوه ، د خوښۍ په وخت کې به يې ځانګړې نارې او کوکې وهلې ، د خواشینۍ لپاره به يې بېل اوازونه کښل ، همدغو ږغیزو توکو ( موادو ) د خلکو ترمنځ دود وموند ، چې وروسته يې ږغیزه يا د خبرو - اترو اوسنۍ ژبه دود کړه .,یوه زمانه به انسانانو د خبرو - اترو لپاره کره او سمه ژبه نه درلوده ، د خطر په وخت کې به يې یو ډول ږغ کاوه ، د خوښۍ په وخت کې به يې ځانګړې نارې او کوکې وهلې ، د خواشینۍ لپاره به يې بېل اوازونه کښل ، د خلکو ترمنځ دود وموند همدغو ږغیزو توکو ( موادو ) ، چې وروسته يې ږغیزه يا د خبرو - اترو اوسنۍ ژبه دود کړه .,[0] -> [2]
تر هغه وخته چې پښتو د دفتر او رسمي ادارو ، دربار او دولت ژبه نه شي ، وده يې هم ناشونې ده .,تر هغه وخته چې د دفتر او رسمي ادارو ، دربار او دولت ژبه نه شي پښتو ، وده يې هم ناشونې ده .,[0] -> [2]
نو پښتو به څنګه وده وکړي ؟,نو به څنګه وده وکړي پښتو ؟,[0] -> [2]
