sen_str,swapped_sen_str,leaf_rule
"Dva - tri déne sétne je déteno annélo u tæh annó kukóško , svaríla jé májka mu , izǽli jé so i pák mú je ne reklála ní kaná .","Dva - tri déne sétne je annélo déteno u tæh annó kukóško , svaríla jé májka mu , izǽli jé so i pák mú je ne reklála ní kaná .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Cǽla véčera só je Galínka vartǽla gladná na karjólane i čúdila só je .,Cǽla véčera só je vartǽla Galínka gladná na karjólane i čúdila só je .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Annók déne , kákna je varvǽlo na pótene , kópelčeno je vídelo tri lóšy déti da čúkot sas véjko annó míčko kúčence .","Annók déne , kákna je varvǽlo na pótene , je vídelo kópelčeno tri lóšy déti da čúkot sas véjko annó míčko kúčence .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Annók déne afčáren agá je izdajíl vrit kózyne , klal je prǽsnono faf annó hárkamo da só mári i reklól je žanójne da go bórka .","Annók déne agá je izdajíl afčáren vrit kózyne , klal je prǽsnono faf annó hárkamo da só mári i reklól je žanójne da go bórka .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Annóš dǽdo Isén , kákna je varvǽl paslét belǘkane mu , na annó palǽno pri goróno je čul svírko - katagá je tenká svírka svírila bálno pésne .","Annóš dǽdo Isén , kákna je varvǽl paslét belǘkane mu , na annó palǽno pri goróno je čul svírko - katagá je svírila tenká svírka bálno pésne .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Agá jé vídel toj , pagólnal sí je jezýkane ad úplaha , alá je mečkána vdígnala préšnono hadílo , da go adpláša i predúmila je sas insáncka glása :","Agá jé vídel toj , pagólnal sí je jezýkane ad úplaha , alá je vdígnala mečkána préšnono hadílo , da go adpláša i predúmila je sas insáncka glása :",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Azám je čárckana dašterǽ našlá ajámane da mú zǿme čúdnokne mélešnika .,Azám je našlá čárckana dašterǽ ajámane da mú zǿme čúdnokne mélešnika .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Izváda azám Ismét annó svírko , dáva jé žómune détetu mú je dálo parý i reklól je :","Izváda azám Ismét annó svírko , dáva jé mú je dálo žómune détetu parý i reklól je :",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
I naj míčkyjen só je pazaríl faf annók húbava čulǽka - stára afčárina .,I só je pazaríl naj míčkyjen faf annók húbava čulǽka - stára afčárina .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
I déteno jo métnalo ennó kíselko .,I jo métnalo déteno ennó kíselko .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Tórnah paslét sélckyte govǿda , ugradíh sí isózi kóštinko i ažónih só ikinǧí , óti béšo mójet düšmánin pajól pórvoto mi žóno .","Tórnah paslét sélckyte govǿda , ugradíh sí isózi kóštinko i ažónih só ikinǧí , óti béšo pajól mójet düšmánin pórvoto mi žóno .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
I jálnys inagáne só je arkadášinon prikázal šaštísanune glǿdava vrit inazí kópeløtu :,I jálnys inagáne só je prikázal arkadášinon šaštísanune glǿdava vrit inazí kópeløtu :,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Dvomínana drugáre so spúsnali vóžono , junákon je zavǿzal pó málkono séstro i tíje jé so izkárali vaz dúpkono .","Dvomínana drugáre so spúsnali vóžono , je zavǿzal junákon pó málkono séstro i tíje jé so izkárali vaz dúpkono .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Zínnal je šántavyjen drákulos ustǽkyne pak míčkyjen brat mú je fabíl annókne kyllýče faf to i drúgokne faf kormáne i davóršal go je .,Zínnal je šántavyjen drákulos ustǽkyne pak mú je fabíl míčkyjen brat annókne kyllýče faf to i drúgokne faf kormáne i davóršal go je .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Annóš dǽdo Isén , kákna je varvǽl paslét belǘkane mu , na annó palǽno pri goróno je čul svírko - katagá je tenká svírka svírila bálno pésne .","Annóš , kákna je varvǽl paslét belǘkane mu , na annó palǽno pri goróno je čul dǽdo Isén svírko - katagá je tenká svírka svírila bálno pésne .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Jálnys inagáne je Melihá zabarávila gladǽne i zafátila je da pláče uplášana .,Jálnys inagáne je zabarávila Melihá gladǽne i zafátila je da pláče uplášana .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"kóštana ne privdígnata , faf hárkamyne vódo néma , ógnen je na agníšteno pagásnal , kukóškyne so légnaly ne nahráneny .","kóštana ne privdígnata , faf hárkamyne vódo néma , ógnen je na agníšteno pagásnal , so légnaly kukóškyne ne nahráneny .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Faf inazí vréme so kradíčene prevódili annóga da vídi mlózi li so umrǽtine faf külsǿno .,Faf inazí vréme so prevódili kradíčene annóga da vídi mlózi li so umrǽtine faf külsǿno .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Fátil je Máro pad rakóno , nabíl je čárckyjen syn ad dvórane i dvomínana so sas Máro zafátili húbava nóva žyvóta .","Fátil je Máro pad rakóno , nabíl je čárckyjen syn ad dvórane i so sas Máro zafátili dvomínana húbava nóva žyvóta .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Cǽla déne so avǧíjene fírili annó sórno .,Cǽla déne so fírili avǧíjene annó sórno .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Sabáhlajinno je čulǽkon vídel rópkono izraváto i líryne da gi néma .,Sabáhlajinno je vídel čulǽkon rópkono izraváto i líryne da gi néma .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Paslét inazí sí je stáryjen afčár pribrál kámenkane faf kesǿno i reklól je :,Paslét inazí sí je pribrál stáryjen afčár kámenkane faf kesǿno i reklól je :,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
At pésnene i rǘkaņeno so insánon ókolo kóštono ne mógali da spøt i hódili so da só pláčet čárüne .,At pésnene i rǘkaņeno so ókolo insánon kóštono ne mógali da spøt i hódili so da só pláčet čárüne .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Azám je izvádila annó míčko kutújko , atvórila jé , dála mú je akóno i zǿla je trendráfelane , pak dǽdono je zøl akóno , annél jé mómičotune .","Azám je izvádila annó míčko kutújko , atvórila jé , dála mú je akóno i zǿla je trendráfelane , pak je zøl dǽdono akóno , annél jé mómičotune .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Agá sí je atišlólo u tæh , májka mu je vídela kótenceno , jéšte pó só je nagróčila , alá je pák ní kaná ne reklála synúne ji .","Agá sí je atišlólo u tæh , je vídela májka mu kótenceno , jéšte pó só je nagróčila , alá je pák ní kaná ne reklála synúne ji .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Faf annó vréme je rekána tórnala červéna .,Faf annó vréme je tórnala rekána červéna .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Faf mahkemǿno je reklól óti mú je Alláh dal líryne i za da go izvǽravot izváda ažóno kinígo be padpísala malekǽna .,Faf mahkemǿno je reklól óti mú je dal Alláh líryne i za da go izvǽravot izváda ažóno kinígo be padpísala malekǽna .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Annók déne je kópelčeno ukrálo annó jéjce .,Annók déne je ukrálo kópelčeno annó jéjce .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
""" Nóvoto "" , je advórnala Aminǽ bóržo - bóržo bez da só pačúdi i júdyne jí so dály annók nóva syndýka i artósaly jé so .",""" Nóvoto "" , je advórnala Aminǽ bóržo - bóržo bez da só pačúdi i jí so dály júdyne annók nóva syndýka i artósaly jé so .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Le inagáne so zǿly da pýtot Melihó kadé je našlála syndýkane i vrit inézi rábaty .,Le inagáne so zǿly da pýtot kadé je našlála Melihó syndýkane i vrit inézi rábaty .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Naj sétne je tórnala žaltá vadá i mómičeno je razbudílo bábičkono .,Naj sétne je tórnala žaltá vadá i je razbudílo mómičeno bábičkono .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"– Ódvedij jé faf goróno i óstavij jé da jé izedót valkovéne ! Pak atpréš Máro je máštehana izkupníla annók kupná kodelá , da gi predé .","– Ódvedij jé faf goróno i óstavij jé da jé izedót valkovéne ! Pak atpréš Máro je izkupníla máštehana annók kupná kodelá , da gi predé .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Mífko pó napréš so i dvamínana na annó sprǽli annó žóno na 24 godíny i ískali so da ji zǿmot čántono alá so ne mažýli da jí jé zǿmot .,Mífko pó napréš so na annó sprǽli i dvamínana annó žóno na 24 godíny i ískali so da ji zǿmot čántono alá so ne mažýli da jí jé zǿmot .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Faf ' nózek déne só je máštehana zglǽvala játse hubavá i ne je čákala da jé razvartí inýj .,Faf ' nózek déne só je zglǽvala máštehana játse hubavá i ne je čákala da jé razvartí inýj .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
I katrána momá ja stórila vrit húbavono klávat hi múmove na pýrstene da gorét .,I ja stórila katrána momá vrit húbavono klávat hi múmove na pýrstene da gorét .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
"Ináte adínyjen ináte i drúgyjen , fátili só so na róky i čulǽkon je primázal drúmnikane .","Ináte adínyjen ináte i drúgyjen , fátili só so na róky i je primázal čulǽkon drúmnikane .",[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Púsnala go je faf gradínono pak stárokne pétla je imǽla nijét da go kóle .,Púsnala go je faf gradínono pak je imǽla stárokne pétla nijét da go kóle .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
Akšámlajin je šyváčen zgótvil kópeløtune slátko véčerø faf dükǽnane i čákal go je da íde i da zafáti drípyne .,Akšámlajin je zgótvil šyváčen kópeløtune slátko véčerø faf dükǽnane i čákal go je da íde i da zafáti drípyne .,[0] -> [1] -> [11] -> [21] -> [22] -> [26]
