sen_str,swapped_sen_str,leaf_rule
"Această diferență de potențial este datorată inegalității de distribuție a ionilor de o parte și de alta a membranei , mediul extracelular fiind compus în principal din săruri disociate de NaCl , CaCl2 și într- o proporție scăzută de KCl , în timp ce în mediul intracelular principalul cation este K + , anionii fiind reprezentați în principal de constituenți celulari organici , mai ales proteine ( tabelul 5.1 ) .","Această diferență de potențial este datorată inegalității de distribuție a ionilor de o parte și de alta a membranei , mediul extracelular fiind compus în principal din săruri disociate de NaCl , CaCl2 și într- o proporție scăzută de KCl , în timp ce în mediul intracelular principalul K + cation este , anionii fiind reprezentați în principal de constituenți celulari organici , mai ales proteine ( tabelul 5.1 ) .",[0] -> [1] -> [2] -> [22]
"În plus , diagnosticul SOP presupune excluderea : altor cauze de hiperandrogenism cum ar fi hiperplazia adrenală congenitală , sindromul Cushing și tumorile virilizante ; hirsutismului idiopatic , care afectează 43286 % femei hirsute cu cicluri menstruale regulate și fără hiperandrogenemie ; altor cauze de disfuncție ovulatorie cum ar fi hiperprolactinemia , disfuncțiile tiroidiene .","În plus , diagnosticul SOP presupune excluderea : altor cauze de hiperandrogenism cum ar fi hiperplazia adrenală congenitală , sindromul Cushing și tumorile virilizante ; hirsutismului idiopatic , care afectează 43286 % femei hirsute cu cicluri menstruale regulate și fără hiperandrogenemie ; altor cauze de disfuncție ovulatorie hiperprolactinemia , disfuncțiile tiroidiene cum ar fi .",[0] -> [1] -> [2] -> [22]
"Jocul era oarecum înfricoșător - nu -și dădea nici el seama de ce - așa cum sunt giumbușlucurile tigrișorilor care , într- o bună zi , ajung mâncători de oameni .","Jocul era oarecum înfricoșător - nu -și dădea nici el seama de ce - așa giumbușlucurile tigrișorilor care , într- o bună zi , ajung mâncători de oameni cum sunt .",[0] -> [1] -> [2] -> [22]
"Asta , se gândi el cu un vag dezgust , asta era Londra , principalul oraș al Aerobazei Unu care , la rândul ei , era a treia provincie a Oceaniei ca număr de locuitori .","Londra , principalul oraș al Aerobazei Unu care , la rândul ei , era a treia provincie a Oceaniei ca număr de locuitori Asta , se gândi el cu un vag dezgust , asta era .",[0] -> [1] -> [2] -> [22]
"Cele mai frecvente sunt alergiile cutanate , iar cele mai grave leucopenia cu agranulocitoză .","Cele mai alergiile cutanate , iar cele mai grave leucopenia cu agranulocitoză frecvente sunt .",[0] -> [1] -> [2] -> [22]
remarcabilă este aici insistența de a nu se interveni în text .,insistența de a nu se interveni în text remarcabilă este aici .,[0] -> [1] -> [2] -> [22]
"Dar cine erau nenorociții în care nu trebuia să fi avut încredere , asta Winston nu -și mai amintea .","Dar nenorociții în care nu trebuia să fi avut încredere cine erau , asta Winston nu -și mai amintea .",[0] -> [1] -> [2] -> [22]
"Rolul istoriei este de a dezvălui și a demonstra această mișcare , a cărei țintă finală ar fi contopirea esenței umane cu esența divină .","Rolul istoriei este de a dezvălui și a demonstra această mișcare , a cărei contopirea esenței umane cu esența divină țintă finală ar fi .",[0] -> [1] -> [2] -> [22]
Cea mai frecventă cauză a tireotoxicozei în sarcină este boala Graves-Basedow ( hipertiroidismul autoimun ) .,Cea mai frecventă boala Graves-Basedow ( hipertiroidismul autoimun ) cauză a tireotoxicozei în sarcină este .,[0] -> [1] -> [2] -> [22]
"Caracteristică vârstnicilor este și diminuarea răspunsului hormonilor de contrareglare la hipoglicemie , răspunsul glucagonului și hormonului de creștere fiind modificat chiar la persoanele vârstnice fără DZ și cu atât mai mult la cei cu DZ .","și diminuarea răspunsului hormonilor de contrareglare la hipoglicemie , răspunsul glucagonului și hormonului de creștere fiind modificat chiar la persoanele vârstnice fără DZ și cu atât mai mult la cei cu DZ . Caracteristică vârstnicilor este",[0] -> [1] -> [2] -> [22]
