sen_str,swapped_sen_str,leaf_rule
"Прибыв в Венецию в 1269 году , братья обнаружили , что Папа Климент IV умер , а новый так и не был назначен .","Прибыв в Венецию в 1269 году , обнаружили братья , что Папа Климент IV умер , а новый так и не был назначен .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Само собой разумеется , что возникло выражение это в языке приказных и судебных подьячих : сами подсудимые отлично знали , что измученный пыткой человек может признаться и в том , в чём он не повинен ; далеко не всегда « подлинная правда » бывала правдой .","Само собой разумеется , что возникло выражение это в языке приказных и судебных подьячих : отлично знали сами подсудимые , что измученный пыткой человек может признаться и в том , в чём он не повинен ; далеко не всегда « подлинная правда » бывала правдой .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Говоря о Данте , Василий Васильевич подчеркнул однажды , что великий флорентиец "" одной ногой стоял в Средневековье , а другой приветствовал зарю Возрождения "" .","Говоря о Данте , подчеркнул Василий Васильевич однажды , что великий флорентиец "" одной ногой стоял в Средневековье , а другой приветствовал зарю Возрождения "" .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"По словам офицеров полиции аэропорта , бригада саперов , обследовавшая сумку , оставленную в аэропорту , заявила , что она не представляет никакой опасности .","По словам офицеров полиции аэропорта , заявила бригада саперов , обследовавшая сумку , оставленную в аэропорту , , что она не представляет никакой опасности .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Однако практика показывает , что при правильной работе не только на Западе , но и у нас может быть партнерство между работодателями и рабочими .","Однако показывает практика , что при правильной работе не только на Западе , но и у нас может быть партнерство между работодателями и рабочими .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Согласно опросу , проведенному Аналитическим центром Юрия Левады 12 - 16 октября 2007 г. , 24 % граждан считают , что Октябрьская революция открыла новую эру в истории народов России , еще 31 % - что она дала толчок социальному и экономическому развитию народов России , т. е. 55 % опрошенных оценили ее позитивно и очень позитивно , в то время как только 26 % - негативно и очень негативно ( 19 % затруднились ответить ) .","Согласно опросу , проведенному Аналитическим центром Юрия Левады 12 - 16 октября 2007 г. , считают 24 % граждан , что Октябрьская революция открыла новую эру в истории народов России , еще 31 % - что она дала толчок социальному и экономическому развитию народов России , т. е. 55 % опрошенных оценили ее позитивно и очень позитивно , в то время как только 26 % - негативно и очень негативно ( 19 % затруднились ответить ) .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Хотя некоторые исследователи считают , что поговорка « спорить из-за тени осла » является исконно итальянской , выражение это было известно ещё древним грекам .","Хотя считают некоторые исследователи , что поговорка « спорить из-за тени осла » является исконно итальянской , выражение это было известно ещё древним грекам .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Вспоминаю того же Колю : "" Папа , а Колька говорит , что тут змеи водятся "" .","Вспоминаю того же Колю : "" Папа , а говорит Колька , что тут змеи водятся "" .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"А рабочие заинтересованы , чтобы росла прибыль компании , если понимают , что она справедливо распределяется .","А заинтересованы рабочие , чтобы росла прибыль компании , если понимают , что она справедливо распределяется .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"А приятели теперь уже думали , что Чича решил дать фору .","А теперь уже думали приятели , что Чича решил дать фору .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Все необходимые эксперименты на животных были выполнены , но крупнейшие кардиологи того времени полагали , что введение в сердце инородного предмета вызовет его мгновенную остановку .","Все необходимые эксперименты на животных были выполнены , но полагали крупнейшие кардиологи того времени , что введение в сердце инородного предмета вызовет его мгновенную остановку .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Тем более в отношении России , которая все-таки еще пока контролируемая страна , где на сегодня 86 % населения говорят , что поддерживают президента .","Тем более в отношении России , которая все-таки еще пока контролируемая страна , где на сегодня говорят 86 % населения , что поддерживают президента .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Возможно , инициаторы налоговой реформы искренне полагают , что вполне достаточно , если законы будут понятны их авторам .","Возможно , искренне полагают инициаторы налоговой реформы , что вполне достаточно , если законы будут понятны их авторам .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Когда этот состав героев снова показали какому-то начальству , он сказал -- два дурачка ( Незнайка и Петрушка ) , два капиталистических героя ( Дюймовочка и Чиполлино ) , а один чешский герой -- Гурвинек .","Когда этот состав героев снова показали какому-то начальству , сказал он -- два дурачка ( Незнайка и Петрушка ) , два капиталистических героя ( Дюймовочка и Чиполлино ) , а один чешский герой -- Гурвинек .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"В этом случае учителя , завидуя друг другу , может быть , не слишком Хорошей Завистью , ревниво по журналу следили , как он повышает успеваемость , и уж , конечно , каждый старался , чтобы кривая успеваемости на отрезке его предмета не нарушала победную крутизну .","В этом случае , завидуя друг другу , может быть , не слишком Хорошей Завистью , ревниво по журналу следили учителя , как он повышает успеваемость , и уж , конечно , каждый старался , чтобы кривая успеваемости на отрезке его предмета не нарушала победную крутизну .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
"Иначе , как справедливо полагал Герберт Уэллс , даст себя знать « национальное самолюбие народов » : англичане « почувствуют себя обиженными , если всемирным языком объявят французский » , немцы « одинаково отвергнут и английский и французский языки » , русские « захотят отстоять кандидатуру своего языка » , а китайцы « заявят , что их язык , за которым числится давность тысячелетий и на котором говорят сотни миллионов людей , не хуже любого европейского » .","Иначе , как справедливо полагал Герберт Уэллс , даст себя знать « национальное самолюбие народов » : англичане « почувствуют себя обиженными , если всемирным языком объявят французский » , немцы « одинаково отвергнут и английский и французский языки » , русские « захотят отстоять кандидатуру своего языка » , а « заявят китайцы , что их язык , за которым числится давность тысячелетий и на котором говорят сотни миллионов людей , не хуже любого европейского » .",[0] -> [8] -> [9] -> [10] -> [11] -> [12] -> [24]
