sen_str,swapped_sen_str,leaf_rule
"Bha cóig bliadhna deug air triall o 'n oidhche sin , ach bha cuimhne aig Dòmhnall gu robh seòrsa de ghràin anns a’ ghaol a bh' aig e air Sgùrr a' Ghreadaidh ; gràin a chionn gun do ghabh e farmad ri e air sgàth Sgùrr nan Gillean , oir b' e Sgùrr nan Gillean a’ cheud ghaol agus chaidh innse do e gun robh Sgùrr a' Ghreadaidh na b' àirde , agus an oidhche gheal chian ud , b' fheudar do shùilean fhéin sin aideachadh .","Bha cóig bliadhna deug air triall o 'n oidhche sin , ach cuimhne gu robh seòrsa de ghràin anns a’ ghaol a bh' aig e air Sgùrr a' Ghreadaidh ; gràin a chionn gun do ghabh e farmad ri e air sgàth Sgùrr nan Gillean , oir b' e Sgùrr nan Gillean a’ cheud ghaol agus chaidh innse do e gun robh Sgùrr a' Ghreadaidh na b' àirde , agus an oidhche gheal chian ud , b' fheudar do shùilean fhéin sin aideachadh bha aig Dòmhnall .",[0] -> [1] -> [2] -> [3]
Feumaidh gun robh an trèanadh a rinn iad bho mhadainn Dhiardaoin air a bhith soirbheachail !,Feumaidh gun robh an trèanadh a iad rinn bho mhadainn Dhiardaoin air a bhith soirbheachail !,[0] -> [1] -> [2] -> [3]
a bheil thu 'g ràdh ri mi a' phiseag a fhuair mi bho chionn sia mìosan gu bheil i gu bhith aig mi son fichead bliadhna ?,a bheil thu 'g ràdh ri mi a' phiseag a mi fhuair bho chionn sia mìosan gu bheil i gu bhith aig mi son fichead bliadhna ?,[0] -> [1] -> [2] -> [3]
bhuail e 'n dorus 's dh’fhosgail iad an dorus agus chaidh e staigh agus dhùin iad an dorus agus dh’èirich a’ chiad fhear de iad agus chuir e cnot air an dorus,bhuail e 'n dorus 's dh’fhosgail iad an dorus agus chaidh e staigh agus dhùin iad an dorus agus a’ chiad fhear de iad dh’èirich agus chuir e cnot air an dorus,[0] -> [1] -> [2] -> [3]
tha fear taic Alba a,fear taic Alba a tha,[0] -> [1] -> [2] -> [3]
Ach tha cothrom am broinn nan comataidh do an Ghàidhlig agus dha buidhnean aig am bheil ceangal ris a’ Ghaidhealtachd .,Ach cothrom tha am broinn nan comataidh do an Ghàidhlig agus dha buidhnean aig am bheil ceangal ris a’ Ghaidhealtachd .,[0] -> [1] -> [2] -> [3]
cha thachair e a chaoidh agus tha fhios aig thu gur e seo an seòrsa rud a bhios daoine an seo mu dheidhinn seo an dràsda cabhsair eadar na Hearadh agus Uibhist-a-Tuath,cha e thachair a chaoidh agus tha fhios aig thu gur e seo an seòrsa rud a bhios daoine an seo mu dheidhinn seo an dràsda cabhsair eadar na Hearadh agus Uibhist-a-Tuath,[0] -> [1] -> [2] -> [3]
tha 's an e aig piuthar [Name] Ruaidh a tha i ge-tà,tha 's an e aig piuthar [Name] Ruaidh a i tha ge-tà,[0] -> [1] -> [2] -> [3]
tha mi a' smaoineachadh gum feum sinn an duais a thoirt do Morris Malpas ann a shiud,mi tha a' smaoineachadh gum feum sinn an duais a thoirt do Morris Malpas ann a shiud,[0] -> [1] -> [2] -> [3]
"Aig toiseach an ath gheamhraidh phòs Iain is Màiri , aig àm a dh'fhaodadh Tormod màthair Iain a chuideachadh leis an sprèidh fad 's a bha a' chàraid òg air sgrìob ann an Lunnainn .","Aig toiseach an ath gheamhraidh Iain phòs is Màiri , aig àm a dh'fhaodadh Tormod màthair Iain a chuideachadh leis an sprèidh fad 's a bha a' chàraid òg air sgrìob ann an Lunnainn .",[0] -> [1] -> [2] -> [3]
dè tha sibh,dè sibh tha,[0] -> [1] -> [2] -> [3]
Tha Mairearad Nighean Lachlainn air aon de na bana-bhàird a bha beò mu dheireadh na seachdamh linn deug agus mu thoiseach na h-ochdamh linn deug .,Mairearad Nighean Lachlainn Tha air aon de na bana-bhàird a bha beò mu dheireadh na seachdamh linn deug agus mu thoiseach na h-ochdamh linn deug .,[0] -> [1] -> [2] -> [3]
