sen_str,swapped_sen_str,leaf_rule
Crna Gora je bila pogođena ekonomskom neefikasnošću i zavisila je od federalne jugoslovenske vlade koja je preusmeravala prihode iz prosperitetnijih republika .,Crna Gora je bila pogođena ekonomskom neefikasnošću i zavisila je od federalne jugoslovenske vlade je preusmeravala koja prihode iz prosperitetnijih republika .,[0] -> [1] -> [19]
"Je li Huver bio apolitičan kada je smišljeno širio antikomunističku histeriju da bi lakše stvorio političku klimu u kojoj bi sudovi smekšali stav prema njegovim metodama obaveštajnog rada , koje su suviše često podrazumevale nezakonite pretrese i prisluškivanja , dosijee seksualnih navika i podmetanje lažnih dokaza tokom ilegalnih premetačina ?","Je li Huver bio apolitičan kada je smišljeno širio antikomunističku histeriju da bi lakše stvorio političku klimu u kojoj bi sudovi smekšali stav prema njegovim metodama obaveštajnog rada , su suviše često podrazumevale koje nezakonite pretrese i prisluškivanja , dosijee seksualnih navika i podmetanje lažnih dokaza tokom ilegalnih premetačina ?",[0] -> [1] -> [19]
"S druge strane imamo i sve više aplikacija za pametne telefone , koje omogućavaju umrežavanje pametnih uređaja .","S druge strane imamo i sve više aplikacija za pametne telefone , omogućavaju koje umrežavanje pametnih uređaja .",[0] -> [1] -> [19]
"Ako je SDS usvojila takav stav to znači da je odlučila da uništi izglede zemlje da se pomeri napred na putu ka Evropi , dodaje OHR .","Ako je usvojila SDS takav stav to znači da je odlučila da uništi izglede zemlje da se pomeri napred na putu ka Evropi , dodaje OHR .",[0] -> [1] -> [19]
"U ponedeljak ( 7. aprila ) , vlada je saopštila da će ove nedelje pokrenuti pregovore da bi rešila spor sa Grčkom oko imena , koji je Makedoniju koštao poziva za NATO .","U ponedeljak ( 7. aprila ) , vlada je saopštila da će ove nedelje pokrenuti pregovore da bi rešila spor sa Grčkom oko imena , je Makedoniju koštao koji poziva za NATO .",[0] -> [1] -> [19]
"Još jedan komentator , Gabrijel , kritikuje one na internetu koji su umanjivali značaj protesta , govoreći istovremeno da im je žao onih demonstranata koji su i dalje na ulicama kako bi promovisali različite ciljeve .","Još jedan komentator , Gabrijel , kritikuje one na internetu su umanjivali koji značaj protesta , govoreći istovremeno da im je žao onih demonstranata koji su i dalje na ulicama kako bi promovisali različite ciljeve .",[0] -> [1] -> [19]
""" Koridor 10 je ključna regionalna transportna veza i EBRD je pomagao njegovu modernizaciju investicijama kako u železnički , tako i u drumski saobraćaj u Mađarskoj , Hrvatskoj , Srbiji i Makedoniji , u vrednosti od ukupno 854 miliona evra "" , rekla je direktorka za transport EBRD Su Baret .",""" Koridor 10 je ključna regionalna transportna veza i je pomagao EBRD njegovu modernizaciju investicijama kako u železnički , tako i u drumski saobraćaj u Mađarskoj , Hrvatskoj , Srbiji i Makedoniji , u vrednosti od ukupno 854 miliona evra "" , rekla je direktorka za transport EBRD Su Baret .",[0] -> [1] -> [19]
"Osim toga , mnoge kompanije koje su privatizovane promenile su lokaciju poslovanja i vrlo često se zaposleni , kao što je Beriša , skidaju sa platnog spiska , što dovodi do čestih protesta ispred Agencije za privatizaciju .","Osim toga , promenile mnoge kompanije koje su privatizovane su lokaciju poslovanja i vrlo često se zaposleni , kao što je Beriša , skidaju sa platnog spiska , što dovodi do čestih protesta ispred Agencije za privatizaciju .",[0] -> [1] -> [19]
"Elsa Balauri , koja predvodi organizaciju , tvrdi da je ovaj fenomen dokaz ozbiljnog neuvažavanja odnosa na relaciji izdavač - novinar , čime se novinarima onemogućava da ostvare svoju misiju na odgovarajući način .","Elsa Balauri , predvodi koja organizaciju , tvrdi da je ovaj fenomen dokaz ozbiljnog neuvažavanja odnosa na relaciji izdavač - novinar , čime se novinarima onemogućava da ostvare svoju misiju na odgovarajući način .",[0] -> [1] -> [19]
"U svojoj poznatoj studiji LTI , Istina o jeziku nacista , Viktor Klemperer , „ hroničar u srcu tame ” , analizirao je jezik nacista .","U svojoj poznatoj studiji LTI , Istina o jeziku nacista , analizirao Viktor Klemperer , „ hroničar u srcu tame ” , je jezik nacista .",[0] -> [1] -> [19]
Privatizacija se smatra snagom koja pokreće bolju upotrebu ekonomije i sveopšte efikasnosti .,Privatizacija se smatra snagom pokreće koja bolju upotrebu ekonomije i sveopšte efikasnosti .,[0] -> [1] -> [19]
Crvenkovski : Republika Makedonija još nije definisala svoj konačni odnos prema nezavisnosti Kosova .,Crvenkovski : još nije definisala Republika Makedonija svoj konačni odnos prema nezavisnosti Kosova .,[0] -> [1] -> [19]
""" Pre svega , vlada je donela ovu odluku pre predstojećih rasprava o novom ustavu , što znači da ne želi da ostavi da se ovo delikatno pitanje rešava unutar ustavne strukture "" , objasnio je on .",""" Pre svega , je donela vlada ovu odluku pre predstojećih rasprava o novom ustavu , što znači da ne želi da ostavi da se ovo delikatno pitanje rešava unutar ustavne strukture "" , objasnio je on .",[0] -> [1] -> [19]
"Mada je IZ osudila pogrešna tumačenja islama još u decembru 1993. godine , ekstremistička tumačenja islama i dalje su regionalni problem .","Mada je osudila IZ pogrešna tumačenja islama još u decembru 1993. godine , ekstremistička tumačenja islama i dalje su regionalni problem .",[0] -> [1] -> [19]
"Pored toga , kupac neće smanjivati svoj udeo u kompaniji u narednih pet godina i neće mu biti dozvoljeno da vrši bilo kakve strukturne promene ili transformacije unutar grupe .","Pored toga , neće smanjivati kupac svoj udeo u kompaniji u narednih pet godina i neće mu biti dozvoljeno da vrši bilo kakve strukturne promene ili transformacije unutar grupe .",[0] -> [1] -> [19]
"Kipar je podeljen od turske vojne invazije 1974. godine , koja je usledila posle vojnog udara kiparskih Grka koji je podržala Atina , a koji je imao za cilj ujedinjenje ostrva sa Grčkom .","Kipar je podeljen od turske vojne invazije 1974. godine , koja je usledila posle vojnog udara kiparskih Grka koji je podržala Atina , a je imao koji za cilj ujedinjenje ostrva sa Grčkom .",[0] -> [1] -> [19]
""" Sada je Hrvatska priznata kao zemlja sa jakom demokratijom , koja poštuje zakon i zajedničke vrednosti EU "" , dodala je ona .",""" Sada je Hrvatska priznata kao zemlja sa jakom demokratijom , poštuje koja zakon i zajedničke vrednosti EU "" , dodala je ona .",[0] -> [1] -> [19]
"Međutim , od kada je turska vlada izrazila svoju čvrstu nameru da otvori branu prema predviđenom planu , arheolozi su pokrenuli veliku inicijativu za spasavanje artefakata otkrivenih na toj lokaciji pre nego što se ona potopi .","Međutim , od kada je turska vlada izrazila svoju čvrstu nameru da otvori branu prema predviđenom planu , su pokrenuli arheolozi veliku inicijativu za spasavanje artefakata otkrivenih na toj lokaciji pre nego što se ona potopi .",[0] -> [1] -> [19]
"Grupu koja je radila na tom dokumentu vodio je univerzitetski profesor Kimet Fetahu , član makedonske manjine u Albaniji , koji je takođe organizovao okrugle stolove sa predstavnicima raznih manjina .","Grupu koja je radila na tom dokumentu vodio je univerzitetski profesor Kimet Fetahu , član makedonske manjine u Albaniji , je takođe organizovao koji okrugle stolove sa predstavnicima raznih manjina .",[0] -> [1] -> [19]
Plan je da Rusija ima 15 do 20 odsto deonica u zamenu za kredit od skoro 2 milijarde evra .,Plan je da ima Rusija 15 do 20 odsto deonica u zamenu za kredit od skoro 2 milijarde evra .,[0] -> [1] -> [19]
"Tokom istrage ubistva policija je uhapsila nekoliko zvaničnika , uključujući generala Acu Tomića i Radeta Bulatovića , savetnika za bezbednost bivšeg predsednika Jugoslavije Vojislava Koštunice .","Tokom istrage ubistva je uhapsila policija nekoliko zvaničnika , uključujući generala Acu Tomića i Radeta Bulatovića , savetnika za bezbednost bivšeg predsednika Jugoslavije Vojislava Koštunice .",[0] -> [1] -> [19]
""" Dijalog i saradnja civilizacija ne bi trebalo da se uvode silom i snagom , nego nadom u mir i prosperitet "" , dodao je Trajkovski izražavajući uverenje da će forum "" ponuditi rešenje za konkretne probleme sa kojima se region suočava i pomoći našim zemljama da prevaziđu trenutne teškoće "" .",""" Dijalog i saradnja civilizacija ne bi trebalo da se uvode silom i snagom , nego nadom u mir i prosperitet "" , dodao je Trajkovski izražavajući uverenje da će "" ponuditi forum rešenje za konkretne probleme sa kojima se region suočava i pomoći našim zemljama da prevaziđu trenutne teškoće "" .",[0] -> [1] -> [19]
"U saopštenju je takođe ukazano da je zabranjeno postavljati zastave manjina samo u slučajevima kada opštine organizuju međunarodna okupljanja , uključujući sportske događaje .","U saopštenju je takođe ukazano da je zabranjeno postavljati zastave manjina samo u slučajevima kada organizuju opštine međunarodna okupljanja , uključujući sportske događaje .",[0] -> [1] -> [19]
"Pored toga , Švarcenberg je naglasio značaj plana EU da pošalje 1.800 civilnih zvaničnika na Kosovo da zamene misiju KFOR-a i rekao da će Češka Republika učestvovati u misiji EU , kao što je učestvovala u KFOR-u .","Pored toga , je naglasio Švarcenberg značaj plana EU da pošalje 1.800 civilnih zvaničnika na Kosovo da zamene misiju KFOR-a i rekao da će Češka Republika učestvovati u misiji EU , kao što je učestvovala u KFOR-u .",[0] -> [1] -> [19]
"Na pitanje da li sporazumi predstavljaju indirektno priznavanje Kosova , Simić je rekao da "" Beograd veoma dobro zna šta su crvene linije u dijalogu sa Prištinom i da ih Vlada Srbije neće preći "" .","Na pitanje da li predstavljaju sporazumi indirektno priznavanje Kosova , Simić je rekao da "" Beograd veoma dobro zna šta su crvene linije u dijalogu sa Prištinom i da ih Vlada Srbije neće preći "" .",[0] -> [1] -> [19]
Pokušaj njihovog spajanja je propao kada je Nikica ubila svog udvarača .,Pokušaj njihovog spajanja je propao kada je ubila Nikica svog udvarača .,[0] -> [1] -> [19]
"Eksperti kažu da bi sledeći korak vlade trebalo da bude ponovno uspostavljanje reputacija članova manjinskih grupa koji su izgubili državljanstvo , uključujući otvaranje mogućnosti dvojnog državljanstva i pasoša .","Eksperti kažu da bi sledeći korak vlade trebalo da bude ponovno uspostavljanje reputacija članova manjinskih grupa su izgubili koji državljanstvo , uključujući otvaranje mogućnosti dvojnog državljanstva i pasoša .",[0] -> [1] -> [19]
""" U tom kontekstu , APD poslednji put poziva na normalnost i integritet izborne takmace , koji su izgleda zaboravili da cilj ne opravdava uvek sredstva "" , piše u saopštenju .",""" U tom kontekstu , APD poslednji put poziva na normalnost i integritet izborne takmace , koji su izgleda zaboravili da ne opravdava cilj uvek sredstva "" , piše u saopštenju .",[0] -> [1] -> [19]
""" Pogoršanje je globalno i utiče na zemlje sa vojnom i ekonomskom snagom , zemlje koje su prethodno pokazivale znake [ potencijalnih ] reformi , i praćeno je većim progonom političkih disidenata i nezavisnih novinara "" , rekao je Arč Pudington , direktor te organizacije za istraživanja .",""" Pogoršanje je globalno i utiče na zemlje sa vojnom i ekonomskom snagom , zemlje su prethodno pokazivale koje znake [ potencijalnih ] reformi , i praćeno je većim progonom političkih disidenata i nezavisnih novinara "" , rekao je Arč Pudington , direktor te organizacije za istraživanja .",[0] -> [1] -> [19]
"Posle toga zamenik specijalnog tužioca Jovan Prijić , advokati i optuženi daće svoje završne reči .","Posle toga daće zamenik specijalnog tužioca Jovan Prijić , advokati i optuženi svoje završne reči .",[0] -> [1] -> [19]
Zvaničnici kažu da bi bilo kakav radikalan pokušaj iskorenjavanja vehabijskog viđenja islama doneo više štete nego koristi ; rešenje je u nadzoru i prevenciji .,Zvaničnici kažu da bi doneo bilo kakav radikalan pokušaj iskorenjavanja vehabijskog viđenja islama više štete nego koristi ; rešenje je u nadzoru i prevenciji .,[0] -> [1] -> [19]
Kultura i sport : Makedonski novinari i fotografi dobili nagrade UN-a,Kultura i sport : dobili Makedonski novinari i fotografi nagrade UN-a,[0] -> [1] -> [19]
"Prema rečima Mihaja Tanaseskua , predstavnika zemlje u Fondu , odbor je utvrdio da je Rumunija ispunila svoje obaveze .","Prema rečima Mihaja Tanaseskua , predstavnika zemlje u Fondu , odbor je utvrdio da je ispunila Rumunija svoje obaveze .",[0] -> [1] -> [19]
""" U tom kontekstu , APD poslednji put poziva na normalnost i integritet izborne takmace , koji su izgleda zaboravili da cilj ne opravdava uvek sredstva "" , piše u saopštenju .",""" U tom kontekstu , poslednji put poziva APD na normalnost i integritet izborne takmace , koji su izgleda zaboravili da cilj ne opravdava uvek sredstva "" , piše u saopštenju .",[0] -> [1] -> [19]
"Zvaničnici kažu da većina građana Banje Koviljače nema ništa protiv tražilaca azila , ali jedna grupa širi paniku i neprijateljstvo .","Zvaničnici kažu da većina građana Banje Koviljače nema ništa protiv tražilaca azila , ali širi jedna grupa paniku i neprijateljstvo .",[0] -> [1] -> [19]
"Da li su oni koji su oćutali nedavne šamare profesorki u Mladenovcu i sve druge šamare srpskoj nauci i obrazovanju mogli svojim jasnim i hrabrim „ ne ” da bar malo prosvetle zbunjen , uplašen i apatični narod ?","Da li su oni su oćutali koji nedavne šamare profesorki u Mladenovcu i sve druge šamare srpskoj nauci i obrazovanju mogli svojim jasnim i hrabrim „ ne ” da bar malo prosvetle zbunjen , uplašen i apatični narod ?",[0] -> [1] -> [19]
"Pohvalivši Trajkovskog zbog "" energije i inicijative "" uložene u pripremu sastanka , Macura je rekao da je neophodno da zemlje jugoistočne Evrope ispune obaveze koje su preuzele "" u pogledu demokratskih vrednosti i ciljeva , punog poštovanja ljudskih prava , i međusobnog poštovanja i tolerancije među građanima različitih etničkih pripadnosti "" kako bi mogle da ostvare "" civilizovanu koegzistenciju koja je održiva i pravedna "" .","Pohvalivši Trajkovskog zbog "" energije i inicijative "" uložene u pripremu sastanka , Macura je rekao da je neophodno da ispune zemlje jugoistočne Evrope obaveze koje su preuzele "" u pogledu demokratskih vrednosti i ciljeva , punog poštovanja ljudskih prava , i međusobnog poštovanja i tolerancije među građanima različitih etničkih pripadnosti "" kako bi mogle da ostvare "" civilizovanu koegzistenciju koja je održiva i pravedna "" .",[0] -> [1] -> [19]
"Posle sastanka sa predsednikom Republike Srpske ( RS ) Rajkom Kuzmanovićem , Vujanović je takođe izrazio podršku nastojanjima BiH da se pridruži EU i NATO-u .","Posle sastanka sa predsednikom Republike Srpske ( RS ) Rajkom Kuzmanovićem , je takođe izrazio Vujanović podršku nastojanjima BiH da se pridruži EU i NATO-u .",[0] -> [1] -> [19]
""" Oni će osuditi svoj narod -- i celokupnu BiH -- da budu zarobljenici svoje prošlosti , kada imaju šansu da prihvate budućnost u modernoj Evropi i sve što ona može ponuditi u smislu radnih mesta , slobode putovanja , bezbednosti i prosperiteta "" , naglasila je OHR .",""" će osuditi Oni svoj narod -- i celokupnu BiH -- da budu zarobljenici svoje prošlosti , kada imaju šansu da prihvate budućnost u modernoj Evropi i sve što ona može ponuditi u smislu radnih mesta , slobode putovanja , bezbednosti i prosperiteta "" , naglasila je OHR .",[0] -> [1] -> [19]
"Zamenik ministra pravosuđa Slobodan Homen izjavio je za B92 da vlasti planiraju da zatraže od najvišeg suda u Srbiji da "" zabrani sve organizacije koje iznose pretnje "" .","Zamenik ministra pravosuđa Slobodan Homen izjavio je za B92 da vlasti planiraju da zatraže od najvišeg suda u Srbiji da "" zabrani sve organizacije iznose koje pretnje "" .",[0] -> [1] -> [19]
"Iako usvajanje amandmana u parlamentu predstavlja značajan doprinos napretku koji je Turska postigla na putu ka ostvarivanju standarda EU , najmanje još 20 članova ustava mora biti izmenjeno da bi se dokument uskladio sa propisima EU .","Iako predstavlja usvajanje amandmana u parlamentu značajan doprinos napretku koji je Turska postigla na putu ka ostvarivanju standarda EU , najmanje još 20 članova ustava mora biti izmenjeno da bi se dokument uskladio sa propisima EU .",[0] -> [1] -> [19]
Direktor Svetske banke za Tursku Ulrih Cahau izjavio je da će banka ovog leta odobriti specijalne kredite za projekte koji imaju za cilj stvaranje novih mogućnosti za zapošljavanje i jačanje ekonomske konkurentnosti Turske .,Direktor Svetske banke za Tursku Ulrih Cahau izjavio je da će banka ovog leta odobriti specijalne kredite za projekte imaju koji za cilj stvaranje novih mogućnosti za zapošljavanje i jačanje ekonomske konkurentnosti Turske .,[0] -> [1] -> [19]
"Sredinom šezdesetih godina prošlog veka , u vreme jevtine nafte , skoro svako preduzeće socijalističke Jugoslavije formiralo je svoj vozni park .","Sredinom šezdesetih godina prošlog veka , u vreme jevtine nafte , formiralo skoro svako preduzeće socijalističke Jugoslavije je svoj vozni park .",[0] -> [1] -> [19]
Čanak je rekao da policija nije pronašla bilo kakvu eksplozivnu napravu .,Čanak je rekao da nije pronašla policija bilo kakvu eksplozivnu napravu .,[0] -> [1] -> [19]
Prema izveštajima lokalnih medija glavni odbor Srpske demokratske stranke možda neće održati reč u pogledu dogovora postignutog prošlog meseca o reformi policije -- koja predstavlja ključni uslov za pridruživanje Bosne i Hercegovine EU .,Prema izveštajima lokalnih medija možda neće održati glavni odbor Srpske demokratske stranke reč u pogledu dogovora postignutog prošlog meseca o reformi policije -- koja predstavlja ključni uslov za pridruživanje Bosne i Hercegovine EU .,[0] -> [1] -> [19]
""" Naši prijatelji koji su realni i zemlje koje su dale vojnike , novac i osam godina se angažovale ovde , i koje planiraju da budu prisutne , žele okončanje ovog nerešenog statusa "" , rekao je Čeku .",""" Naši prijatelji koji su realni i zemlje su dale koje vojnike , novac i osam godina se angažovale ovde , i koje planiraju da budu prisutne , žele okončanje ovog nerešenog statusa "" , rekao je Čeku .",[0] -> [1] -> [19]
"Mančevski se proslavio filmom "" Pre kiše "" , koji je osvojio Zlatnog lava na Filmskom festivalu u Veneciji 1998. godine .","Mančevski se proslavio filmom "" Pre kiše "" , je osvojio koji Zlatnog lava na Filmskom festivalu u Veneciji 1998. godine .",[0] -> [1] -> [19]
"U obilju kritika i razočarenja , Parfene zaključuje debatu u pozitivnom tonu .","U obilju kritika i razočarenja , zaključuje Parfene debatu u pozitivnom tonu .",[0] -> [1] -> [19]
"Skender Veliju , koji je na čelu romske unije Amaro-Drom u Albaniji , rekao je da su tamošnje manjine osnovale grupu koja predstavlja Grke , Makedonce , Srbe , Crnogorce i Bosance i razmatra njihove specifične probleme .","Skender Veliju , koji je na čelu romske unije Amaro-Drom u Albaniji , rekao je da su tamošnje manjine osnovale grupu predstavlja koja Grke , Makedonce , Srbe , Crnogorce i Bosance i razmatra njihove specifične probleme .",[0] -> [1] -> [19]
"Suština je u tome da zloupotreba jezika proizvodi nasilje , a istovremeno totalitarno društvo stvara jezik nasilja .","Suština je u tome da zloupotreba jezika proizvodi nasilje , a istovremeno stvara totalitarno društvo jezik nasilja .",[0] -> [1] -> [19]
"Međutim , ako se imaju u vidu svi različiti igrači na kurdskoj političkoj sceni , pitanje je da li Burkaj ima neku značajniju podršku i da li će biti u stanju da ostvari svoje ciljeve .","Međutim , ako se imaju u vidu svi različiti igrači na kurdskoj političkoj sceni , pitanje je da li ima Burkaj neku značajniju podršku i da li će biti u stanju da ostvari svoje ciljeve .",[0] -> [1] -> [19]
Ove godine 25. juna Hrvatska je imala dvostruki razlog za slavlje .,Ove godine 25. juna je imala Hrvatska dvostruki razlog za slavlje .,[0] -> [1] -> [19]
Dragulj koji gubi svoj sjaj : zagađenje preti Crnom moru,Dragulj gubi koji svoj sjaj : zagađenje preti Crnom moru,[0] -> [1] -> [19]
"Srbija je tek deveta zemlja u Evropi koja je usvoijla zakon protiv mobinga , mada je u nekim evropskim zemljama to pitanje regulisano drugim statutima .","Srbija je tek deveta zemlja u Evropi je usvoijla koja zakon protiv mobinga , mada je u nekim evropskim zemljama to pitanje regulisano drugim statutima .",[0] -> [1] -> [19]
"Smatra se da je broj ljudi u Makedoniji preko 40 godina starosti koji govore engleski jezik mali i to je možda razlog što samo 5 do 15 procenata Makedonaca koristi internet , mada istraživanja javnog mnjenja pokazuju da je broj korisnika kompjutera veći .","Smatra se da je broj ljudi u Makedoniji preko 40 godina starosti koji govore engleski jezik mali i to je možda razlog što koristi samo 5 do 15 procenata Makedonaca internet , mada istraživanja javnog mnjenja pokazuju da je broj korisnika kompjutera veći .",[0] -> [1] -> [19]
"Todorović ju je uporedio sa iračkim novinarem koji je cipelom gađao bivšeg američkog predsednika Džordža Buša i rekao : "" Njena cipela ću ući u istoriju . ""","Todorović ju je uporedio sa iračkim novinarem je cipelom gađao koji bivšeg američkog predsednika Džordža Buša i rekao : "" Njena cipela ću ući u istoriju . """,[0] -> [1] -> [19]
"Ankete pokazuju da je broj onih koji podržavaju pridruživanje EU ponovo u porastu , ali i dalje nije veći od 60 odsto .","Ankete pokazuju da je broj onih podržavaju koji pridruživanje EU ponovo u porastu , ali i dalje nije veći od 60 odsto .",[0] -> [1] -> [19]
"Početkom novembra vlada Kosova usvojila je svoj budžet za fiskalnu 2009. godinu , prema kojem će , kako očekuju posmatrači , vladini izdaci biti 1,43 milijarde evra .","Početkom novembra usvojila vlada Kosova je svoj budžet za fiskalnu 2009. godinu , prema kojem će , kako očekuju posmatrači , vladini izdaci biti 1,43 milijarde evra .",[0] -> [1] -> [19]
"Hrvatska , koja još uvek nije dobila status kandidata , nada se pridruživanju EU do 2007. godine .","Hrvatska , još uvek nije dobila koja status kandidata , nada se pridruživanju EU do 2007. godine .",[0] -> [1] -> [19]
"U međuvremenu , Basesku je u utorak ratifikovao zakon o reformi u pravosuđu , dan nakon što je Ustavni sud povukao svoju prvobitnu odluku o odbacivanju zakona .","U međuvremenu , je u utorak ratifikovao Basesku zakon o reformi u pravosuđu , dan nakon što je Ustavni sud povukao svoju prvobitnu odluku o odbacivanju zakona .",[0] -> [1] -> [19]
"Dok su zauzimali zgradu oni su skinuli tablu UNMIK-a sa fasade i sklonili zastavu UN , zamenivši je zastavom Srbije .","Dok su zauzimali zgradu su skinuli oni tablu UNMIK-a sa fasade i sklonili zastavu UN , zamenivši je zastavom Srbije .",[0] -> [1] -> [19]
