sen_str,swapped_sen_str,leaf_rule
شهر ۾ 2 کان 3 فوٽ پاڻي داخل ٿي ويو ،,شهر ۾ داخل 2 کان 3 فوٽ پاڻي ٿي ويو ،,[0] -> [1] -> [2]
اسان ۾ سهپ جو مادو گھٽ آهي .,اسان ۾ گھٽ سهپ جو مادو آهي .,[0] -> [1] -> [2]
ئ اها خبر پئي ته هوءَ تمام گھڻي خوش آهي,ئ اها خبر پئي ته تمام گھڻي خوش هوءَ آهي,[0] -> [1] -> [2]
گدڙ ڪڙڪي مان چيس ته : مان آهيان مير خان پاٻوڙي ،,گدڙ ڪڙڪي مان چيس ته : آهيان مير مان خان پاٻوڙي ،,[0] -> [1] -> [2]
گدڙ کي سگهو ساهه پيٽ ۾ ڪونه هو ،,گدڙ کي سگهو پيٽ ساهه ۾ ڪونه هو ،,[0] -> [1] -> [2]
ملتان ( آن لائن / مانيٽرنگ ڊيسڪ ) وزيراعظم يوسف رضا گيلاني چيو آهي ته ڪالاباغ ڊيم سياسي مسئلو آهي ،,ملتان ( آن لائن / مانيٽرنگ ڊيسڪ ) وزيراعظم يوسف رضا گيلاني چيو آهي ته سياسي مسئلو ڪالاباغ ڊيم آهي ،,[0] -> [1] -> [2]
اهو ٻڌي گدڙ کي پيٽ ۾ ڪجهه ساهه پيو ،,اهو ٻڌي پيٽ ۾ ڪجهه ساهه گدڙ کي پيو ،,[0] -> [1] -> [2]
هن چيو ته 2005ع جي زلزلي ۾ جهڙي ريت عوام پنهنجن ڀائرن جي خدمت ڪئي ۽ مشڪل گهڙي ۾ شيهي جي ڀت وانگر مقابلو ڪيو اهڙي طرح ئي هن ٻوڏ واري آفت ۾ به قوم هڪ ٿي وڃي ته جيئن چئلينج کي آساني سان منهن ڏئي سگهجي ،,هن چيو ته 2005ع جي زلزلي ۾ جهڙي ريت عوام پنهنجن ڀائرن جي خدمت ڪئي ۽ مشڪل گهڙي ۾ شيهي جي ڀت وانگر مقابلو ڪيو اهڙي طرح ئي هن ٻوڏ واري آفت ۾ به هڪ قوم ٿي وڃي ته جيئن چئلينج کي آساني سان منهن ڏئي سگهجي ،,[0] -> [1] -> [2]
وهڪرن ۾ واڌ کانپوءِ ڪچي توڙي پڪي جي علائقن مان به لڏ پلاڻ جو سلسلو تيز ٿي ويو آهي ،,وهڪرن ۾ واڌ کانپوءِ ڪچي توڙي پڪي جي علائقن مان به تيز لڏ پلاڻ جو سلسلو ٿي ويو آهي ،,[0] -> [1] -> [2]
اچو ته گڏجي راند کيڏون ، راندروند سان صحت بهتر ٿئي ٿي .,اچو ته گڏجي راند کيڏون ، راندروند سان بهتر صحت ٿئي ٿي .,[0] -> [1] -> [2]
هن چيو ته ٻوڏ ايتري ته وڏي تباهي آندي آهي جو ان جو فوري ازالو ممڪن ناهي .,هن چيو ته ٻوڏ ايتري ته وڏي تباهي آندي آهي جو ممڪن ان جو فوري ازالو ناهي .,[0] -> [1] -> [2]
ٻارن کي ڪارٽون گھڻا پسند آهن .,ٻارن کي گھڻا پسند ڪارٽون آهن .,[0] -> [1] -> [2]
جيڪڏهن ائين ڪيو وڃي ها ته آرٽيڪل 238 ۽ 239 جو جواز ختم ٿي وڃي ٿو ،,جيڪڏهن ائين ڪيو وڃي ها ته ختم آرٽيڪل 238 ۽ 239 جو جواز ٿي وڃي ٿو ،,[0] -> [1] -> [2]
هڪڙي ڏينهن شينهڻ گدڙ کي چيو ته : منهنجي طبيعت ٺيڪ نه آهي ،,هڪڙي ڏينهن شينهڻ گدڙ کي چيو ته : ٺيڪ منهنجي طبيعت نه آهي ،,[0] -> [1] -> [2]
هاڻي ٻڌاءِ ته تون ڪير آهين ؟ ائين چئي ،,هاڻي ٻڌاءِ ته ڪير تون آهين ؟ ائين چئي ،,[0] -> [1] -> [2]
ڌڻي جي مهرباني سان ڪمپيوٽر تي سنڌي فونٽ بهتر مقدار ۾ موجود آهن .,ڌڻي جي مهرباني سان ڪمپيوٽر تي بهتر مقدار ۾ موجود سنڌي فونٽ آهن .,[0] -> [1] -> [2]
نه ته تنهنجو خير ڪونه هوندو .,نه ته خير تنهنجو ڪونه هوندو .,[0] -> [1] -> [2]
ڪي ڪي آغا چيو ته عدالت پارليامينٽ جي منظور ڪيل ترميم تي نظرثاني نٿي ڪري سگهي ،,ڪي ڪي آغا چيو ته پارليامينٽ جي منظور ڪيل ترميم تي نظرثاني عدالت نٿي ڪري سگهي ،,[0] -> [1] -> [2]
هر 3 ماهي لاءِ سيلنگ مقرر ،,هر 3 ماهي لاءِ مقرر سيلنگ ،,[0] -> [1] -> [2]
سو وايون بطال ٿي ويس .,سو بطال وايون ٿي ويس .,[0] -> [1] -> [2]
اصل ۾ اهو پاڻي 12 لک ڪيوسڪ جي لڳ ڀڳ هو ،,اصل ۾ 12 لک ڪيوسڪ جي لڳ ڀڳ اهو پاڻي هو ،,[0] -> [1] -> [2]
پر اوهان کي بچائڻ منهنجو فرض آهي ،,پر اوهان کي منهنجو فرض بچائڻ آهي ،,[0] -> [1] -> [2]
ڇا اهو سمجهيو وڃي ته ان کي به عوام جي تائيد حاصل هئي ،,ڇا اهو سمجهيو وڃي ته عوام جي تائيد حاصل ان کي به هئي ،,[0] -> [1] -> [2]
هن وڌيڪ چيو ته ڪالاباغ ڊيم جي تعمير جون خواهشون به ان وقت ئي پوريون ٿي سگهن ٿيون جڏهن اتحاد ٿيندو ،,هن وڌيڪ چيو ته ان وقت ئي پوريون ڪالاباغ ڊيم جي تعمير جون خواهشون به ٿي سگهن ٿيون جڏهن اتحاد ٿيندو ،,[0] -> [1] -> [2]
ڪو خريدوفروخت لاءِ هن وٽ سامان جي ڪونهي جنهن سان ڪي ڪجھ خوشي جا پل ڏسي سگھن ،,ڪو خريدوفروخت لاءِ سامان هن وٽ جي ڪونهي جنهن سان ڪي ڪجھ خوشي جا پل ڏسي سگھن ،,[0] -> [1] -> [2]
هن چيو ته ملڪ ۾ ماڻهو ٻوڏ تباهين ۾ آهن پر صدر زرداري کين اڪيلو ڇڏي پرڏيهه دورا ڪري رهيو آهي ،,هن چيو ته ملڪ ۾ ٻوڏ تباهين ماڻهو ۾ آهن پر صدر زرداري کين اڪيلو ڇڏي پرڏيهه دورا ڪري رهيو آهي ،,[0] -> [1] -> [2]
جو توهين اسان جا بادشاهه آهيو .,جو اسان جا بادشاهه توهين آهيو .,[0] -> [1] -> [2]
ملڪ سان محبت ايمان جي نشاني آهي .,ملڪ سان ايمان جي نشاني محبت آهي .,[0] -> [1] -> [2]
پر تون ڪير آهين ،,پر ڪير تون آهين ،,[0] -> [1] -> [2]
ان حساب سان پهرين ٻن 3 ماهي دوران هن منصوبن لاءِ وڌ ۾ وڌ 7 سيڪڙو ٽئين 3 ماهي دوران ماهوار 8 سيڪڙو ،,ان حساب سان پهرين ٻن 3 ماهي دوران هن منصوبن لاءِ ٽئين 3 ماهي دوران ماهوار 8 سيڪڙو وڌ ۾ وڌ 7 سيڪڙو ،,[0] -> [1] -> [2]
آخر مرد ۽ عورت ۾ ڪِن خاص عضون کانسواءِ ڪهڙو فرق آهي جو مرد پاڻ کي برتر ۽ عظيم سمجهي ٿو .,آخر مرد ۽ عورت ۾ ڪِن خاص عضون کانسواءِ فرق ڪهڙو آهي جو مرد پاڻ کي برتر ۽ عظيم سمجهي ٿو .,[0] -> [1] -> [2]
تو کي ڪهڙي خبر ته هُو منهنجي زندگي آهي .,تو کي ڪهڙي خبر ته منهنجي زندگي هُو آهي .,[0] -> [1] -> [2]
هن کي ڪهڙي خبر ته هُو منهنجي زندگي آهي .,هن کي ڪهڙي خبر ته منهنجي زندگي هُو آهي .,[0] -> [1] -> [2]
اڄ عيد ميلادالنبي آهي ۽ اسان سڀ تمام گھڻا خوش آهيون .,اڄ عيد ميلادالنبي آهي ۽ سڀ تمام گھڻا خوش اسان آهيون .,[0] -> [1] -> [2]
