sen_str,swapped_sen_str,leaf_rule
"Keď Jazmína vošla na chodbu , čo viedla do prijímacej siene , zjavil sa nesmierne rozrušený sultán .","Keď Jazmína vošla na chodbu , čo viedla do prijímacej siene , nesmierne rozrušený sultán zjavil sa .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Nestalo sa nič mimoriadne .,nič mimoriadne Nestalo sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Strhol sa ukrutný víchor .,ukrutný víchor Strhol sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Neodvážili sa ho dráždiť ani decká , ani psy .","ani decká , ani psy Neodvážili sa ho dráždiť .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Zmocnil sa ma akýsi ošiaľ .,akýsi ošiaľ Zmocnil sa ma .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Mamu som zbadala na rovine , keď sa na nebi zablyslo a rozľahol sa mocný hrom .","Mamu som zbadala na rovine , keď sa na nebi zablyslo a mocný hrom rozľahol sa .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Ozval sa melodický piskot a na leknový list sa zniesol jemný priesvitný tieň .,melodický piskot Ozval sa a na leknový list sa zniesol jemný priesvitný tieň .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Len čo polícia odišla , dali si Barbie so Sandrou v kaviarni malinovku .","Len čo polícia odišla , Barbie so Sandrou dali si v kaviarni malinovku .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"“ Prv ako som dopovedala , zmocnili sa ma výčitky , že som mala byť inde a venovať sa učeniu .","“ Prv ako som dopovedala , výčitky , že som mala byť inde a venovať sa učeniu zmocnili sa ma .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Rozvíjajú sa jednotlivé kniežatstvá .,jednotlivé kniežatstvá Rozvíjajú sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Okolo nás pulzovala noc a ozývali sa známe zvuky okolia : tlmený hukot čerpadiel v okolitých bazénoch .,Okolo nás pulzovala noc a známe zvuky okolia : tlmený hukot čerpadiel v okolitých bazénoch ozývali sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Kupovali sa tam jednosmerné lístky na cestu do Hádovho kráľovstva .,jednosmerné lístky na cestu do Hádovho kráľovstva Kupovali sa tam .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Stalo sa niečo zvláštne , “ povedala som po chvíli .","niečo zvláštne Stalo sa , “ povedala som po chvíli .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Keď víly nechali princeznú na chvíľočku v paláci osamote , zjavilo sa pred ňou jagavé svetlo .","Keď víly nechali princeznú na chvíľočku v paláci osamote , jagavé svetlo zjavilo sa pred ňou .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Začali sa letné prázdniny .,letné prázdniny Začali sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Keď však Maja s Fridolínom krepčili v divom tanci , stala sa ďalšia katastrofa .","Keď však Maja s Fridolínom krepčili v divom tanci , ďalšia katastrofa stala sa .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Zmocnil sa ma nevysvetliteľný strach , mal som pocit , že ju už neuvidím .","nevysvetliteľný strach Zmocnil sa ma , mal som pocit , že ju už neuvidím .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Nezhromaždilo sa tam veľa ľudí .,veľa ľudí Nezhromaždilo sa tam .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
""" opýtal sa očarený Winston .",""" očarený Winston opýtal sa .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Začínali sa aj pochôdzky chlapa v zelenom vojenskom kabáte .,aj pochôdzky chlapa v zelenom vojenskom kabáte Začínali sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"No keď Lulu kefovala tigriu srsť , diali sa čudné veci .","No keď Lulu kefovala tigriu srsť , čudné veci diali sa .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Vytvorili sa podmienky vzniku života .,podmienky vzniku života Vytvorili sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Priplietol sa tam iný blázon : Plné gate .,iný blázon : Plné gate Priplietol sa tam .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Sedela som vedľa neho na vrchole Squaw Peaku a zmocnil sa ma pocit šťastia .,Sedela som vedľa neho na vrchole Squaw Peaku a pocit šťastia zmocnil sa ma .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
A zmocnila sa ma čierna apatia .,A čierna apatia zmocnila sa ma .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Pritisla sa mi tam tvár Dolory .,tvár Dolory Pritisla sa mi tam .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Nachádzala sa tam kancelária šéfa televízie Sírius .,kancelária šéfa televízie Sírius Nachádzala sa tam .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Páči sa mi tvoja myseľ .,tvoja myseľ Páči sa mi .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
Zišli sa tu všetci tunajší obyvatelia .,všetci tunajší obyvatelia Zišli sa tu .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
"Keď sa mi posmievala , zmocňovala sa ma trpká zlosť , napriek tomu medzi nami nedochádzalo k scénam .","Keď sa mi posmievala , trpká zlosť zmocňovala sa ma , napriek tomu medzi nami nedochádzalo k scénam .",[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
“ Ako sa to stalo ? “ zaujímali sa Maja s Vilkom .,“ Ako sa to stalo ? “ Maja s Vilkom zaujímali sa .,[0] -> [1] -> [21] -> [22] -> [23] -> [24] -> [30]
