sen_str,swapped_sen_str,leaf_rule
"Det har de däruppe – styrelsen i Europa , menar jag – bestämt .","Det har bestämt de däruppe – styrelsen i Europa , menar jag – .",[0] -> [1] -> [2] -> [3] -> [5]
""" Ni har förstås hört att Ministeriet tänker genomföra ännu fler razzior "" , sade mr Malfoy och tog fram en pergamentrulle ur innerfickan . Han rullade ut den så att mr Borgin kunde läsa .",""" har förstås hört Ni att Ministeriet tänker genomföra ännu fler razzior "" , sade mr Malfoy och tog fram en pergamentrulle ur innerfickan . Han rullade ut den så att mr Borgin kunde läsa .",[0] -> [1] -> [2] -> [3] -> [5]
Det blir inget över på lönen - kanske får mannen till och med lägga till för att hon skall få behålla privilegiet att arbeta .,Det blir inget över på lönen - kanske får mannen till och med lägga till för att skall få behålla hon privilegiet att arbeta .,[0] -> [1] -> [2] -> [3] -> [5]
Jag tror barn som växer upp i kollektiv miljö måste vara bättre anpassade att leva tillsammans än vad vi var .,Jag tror måste vara bättre anpassade barn som växer upp i kollektiv miljö att leva tillsammans än vad vi var .,[0] -> [1] -> [2] -> [3] -> [5]
Är ni psykiater ? avbröt jag .,Är psykiater ni ? avbröt jag .,[0] -> [1] -> [2] -> [3] -> [5]
"Det faktum att Stillman tog sin skräpuppsamlarsyssla på ett sådant allvar gjorde Quinn nyfiken , men allt han kunde göra var att iaktta och sedan skriva ner det han såg i sitt röda block , vilket ju bara var att dumt registrera själva ytskeendet .","Det faktum att Stillman tog sin skräpuppsamlarsyssla på ett sådant allvar gjorde Quinn nyfiken , men var att iaktta allt han kunde göra och sedan skriva ner det han såg i sitt röda block , vilket ju bara var att dumt registrera själva ytskeendet .",[0] -> [1] -> [2] -> [3] -> [5]
Att ta sig uppför den trappan var det jobb han måste klara av för att avskilja sig från den plats som var hans ursprung .,Att ta sig uppför den trappan var det jobb måste klara han av för att avskilja sig från den plats som var hans ursprung .,[0] -> [1] -> [2] -> [3] -> [5]
- Vi har i huvudsak nått det vi i första fasen önskade .,- har i huvudsak nått Vi det vi i första fasen önskade .,[0] -> [1] -> [2] -> [3] -> [5]
"Ändå kändes det outhärdligt att geografiskt förflytta sig bort från skådeplatsen där allt gått förlorat , precis som människor ibland , sa Paniotis , inte står ut med att lämna ett ställe där en älskad människa har dött .","Ändå kändes det outhärdligt att geografiskt förflytta sig bort från skådeplatsen där allt gått förlorat , precis som människor ibland , sa Paniotis , inte står ut med att lämna ett ställe där har dött en älskad människa .",[0] -> [1] -> [2] -> [3] -> [5]
"Men , även om tiden man kan vara tillsammans med barnet är kort , kan man ge det vad det behöver av trygg och varm moderskontakt .","Men , även om tiden man kan vara tillsammans med barnet är kort , kan ge man det vad det behöver av trygg och varm moderskontakt .",[0] -> [1] -> [2] -> [3] -> [5]
"Han gick bortåt hundra meter längs vägen , och när han mötte en man på cykel hälsade han på honom på det språk som hade kommit tillbaka till honom medan han låg i rummet .","Han gick bortåt hundra meter längs vägen , och när han mötte en man på cykel hälsade han på honom på det språk hade kommit som tillbaka till honom medan han låg i rummet .",[0] -> [1] -> [2] -> [3] -> [5]
"Ända sedan öns tidigaste historia hade dess näring kretsat kring natursvampen som skördades från havsbottnen , och befolkningens unga män hade blivit skickliga på att dyka långt ner i djupet .","Ända sedan öns tidigaste historia hade dess näring kretsat kring natursvampen som skördades från havsbottnen , och hade blivit befolkningens unga män skickliga på att dyka långt ner i djupet .",[0] -> [1] -> [2] -> [3] -> [5]
Riktlinjerna och den exponering som föreslås av kommissionären grundas på dem som nyligen har offentliggjorts genom den internationella kommissionen för skydd mot icke-joniserande strålning ( International Commission on Non-Ionizing Radiation Protection ) .,Riktlinjerna och den exponering som föreslås av kommissionären grundas på dem nyligen har offentliggjorts som genom den internationella kommissionen för skydd mot icke-joniserande strålning ( International Commission on Non-Ionizing Radiation Protection ) .,[0] -> [1] -> [2] -> [3] -> [5]
Jag undrar om jag kan få prata med er . Det är ganska viktigt .,Jag undrar om jag kan få prata med er . är ganska viktigt Det .,[0] -> [1] -> [2] -> [3] -> [5]
Barnet är en rättsperson från det ögonblick som det föds ; regler har kommit till med avsikt att skydda det både i familjen och i samhället .,Barnet är en rättsperson från det ögonblick som det föds ; har kommit regler till med avsikt att skydda det både i familjen och i samhället .,[0] -> [1] -> [2] -> [3] -> [5]
"Han skakade hand med mig , vill jag minnas , mumlade någonting , var belåten med min franska .","Han skakade hand med mig , vill minnas jag , mumlade någonting , var belåten med min franska .",[0] -> [1] -> [2] -> [3] -> [5]
"Eftersom det bundna fältet kommer att visa den egna grupphierarkin i listrutan , kan du filtrera data genom att markera egna grupper eller enskilda värden .","Eftersom kommer att visa det bundna fältet den egna grupphierarkin i listrutan , kan du filtrera data genom att markera egna grupper eller enskilda värden .",[0] -> [1] -> [2] -> [3] -> [5]
"Nu är du verkligen sent ute , om du inte gjort i ordning bilen för vintern .","Nu är verkligen sent ute du , om du inte gjort i ordning bilen för vintern .",[0] -> [1] -> [2] -> [3] -> [5]
Att de fortfarande är medlemmar beror ofta på att de inte vet hur enkelt det är att gå ur .,Att fortfarande är medlemmar de beror ofta på att de inte vet hur enkelt det är att gå ur .,[0] -> [1] -> [2] -> [3] -> [5]
Men om denne var en så duktig detektiv som paret Stillman trodde att han var så skulle han kanske kunna hjälpa till med lösningen av fallet .,Men om denne var en så duktig detektiv som paret Stillman trodde att han var så skulle kanske kunna hjälpa han till med lösningen av fallet .,[0] -> [1] -> [2] -> [3] -> [5]
"Vad som förblir mest gåtfullt "" , säger han , "" är hur man kunde tro att meddelandet av sådan undervisning skulle kunna främja Förenta staternas intressen eller ens bidra till det egyptiska folkets välfärd "" .","Vad som förblir mest gåtfullt "" , säger han , "" är hur man kunde tro att skulle kunna främja meddelandet av sådan undervisning Förenta staternas intressen eller ens bidra till det egyptiska folkets välfärd "" .",[0] -> [1] -> [2] -> [3] -> [5]
Om förtidspension eller sjukbidrag samt änkepension och barnpension kan Ni läsa i särskilda broschyrer som finns att hämta på försäkringskassan .,Om förtidspension eller sjukbidrag samt änkepension och barnpension kan läsa Ni i särskilda broschyrer som finns att hämta på försäkringskassan .,[0] -> [1] -> [2] -> [3] -> [5]
En gång när diverse tropiska åkommor hade gjort nästan varenda tjänsteman på stationen arbetsoduglig hade man hört honom säga : Folk som kommer ut hit borde inte ha några inälvor .,En gång när hade gjort diverse tropiska åkommor nästan varenda tjänsteman på stationen arbetsoduglig hade man hört honom säga : Folk som kommer ut hit borde inte ha några inälvor .,[0] -> [1] -> [2] -> [3] -> [5]
"På campus fanns en simbassäng och ett gym , och mat han aldrig hade hört talas om förut -- groddar och fullkorn och soja -- i kafeterian ; och inte nog med det , han var omgiven av folk som höll idén om det egna jagets förvandling för en trosartikel .","På campus fanns en simbassäng och ett gym , och mat aldrig hade hört han talas om förut -- groddar och fullkorn och soja -- i kafeterian ; och inte nog med det , han var omgiven av folk som höll idén om det egna jagets förvandling för en trosartikel .",[0] -> [1] -> [2] -> [3] -> [5]
"De räknar med att du ska komma tillbaka , sade hon med något av stolthet i rösten .","De räknar med att ska komma du tillbaka , sade hon med något av stolthet i rösten .",[0] -> [1] -> [2] -> [3] -> [5]
"Han hade till och med tänkt sig in i det samtal som skulle följa : han själv skulle med mild förlägenhet åhöra främlingens lovord över boken för att sedan under blyga protester gå med på att signera titelsidan "" eftersom ni så enträget ber om det "" .","Han hade till och med tänkt sig in i det samtal som skulle följa : skulle med mild förlägenhet åhöra han själv främlingens lovord över boken för att sedan under blyga protester gå med på att signera titelsidan "" eftersom ni så enträget ber om det "" .",[0] -> [1] -> [2] -> [3] -> [5]
"Jag måste gratulera Andy – att bli nummer 1 i världen , det är en otrolig bedrift , sade amerikanen .","Jag måste gratulera Andy – att bli nummer 1 i världen , är en otrolig bedrift det , sade amerikanen .",[0] -> [1] -> [2] -> [3] -> [5]
"Precis som han hade hon vuxit upp i fukt och dunkel och hon fick röda prickar och blåsor av sol , hon tålde inte värme alls , den utlöste migrän och kräkningar .","Precis som han hade vuxit hon upp i fukt och dunkel och hon fick röda prickar och blåsor av sol , hon tålde inte värme alls , den utlöste migrän och kräkningar .",[0] -> [1] -> [2] -> [3] -> [5]
