sen_str,swapped_sen_str,leaf_rule
"У результаті Державне управління сферою спорту і вищих досягнень в Україні дещо ослабло , а вся система олімпійської підготовки значною мірою виявилася у руках федерації .","У результаті Державне управління сферою спорту і вищих досягнень в Україні дещо ослабло , а значною мірою виявилася вся система олімпійської підготовки у руках федерації .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"НАТО підтвердило , що не обмежуватиме право держав на вступ до Альянсу , так само , як і Сполучені Штати Америки стали на захист політики "" відчинених дверей "" НАТО .","НАТО підтвердило , що не обмежуватиме право держав на вступ до Альянсу , так само , як стали і Сполучені Штати Америки на захист політики "" відчинених дверей "" НАТО .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"І тому наша команда вийшла з ініціативою створення уряду національної єдності , не бла-бла-бла приєднання , а реальне єднання з конкретною програмою дій для країни , для людей , для оборони , для місцевого самоврядування .","І тому вийшла наша команда з ініціативою створення уряду національної єдності , не бла-бла-бла приєднання , а реальне єднання з конкретною програмою дій для країни , для людей , для оборони , для місцевого самоврядування .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Якщо ми будемо чесними у кадровій політиці , наша партія вимагає люстрації не за ідеологічною чи партійною ознакою , не за тим , хто до якої партії належить , а виключно за тим , чи ця людина робила злочини проти України і українського суспільства , чи ні .","Якщо ми будемо чесними у кадровій політиці , вимагає наша партія люстрації не за ідеологічною чи партійною ознакою , не за тим , хто до якої партії належить , а виключно за тим , чи ця людина робила злочини проти України і українського суспільства , чи ні .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
Тому перше питання стосується реальної здатності .,Тому стосується перше питання реальної здатності .,[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Проте жодної офіційної реакції від російської сторони не було отримано , а посадові особи Російської Федерації уникали надання пояснень та будь-якої інформації .","Проте жодної офіційної реакції від російської сторони не було отримано , а уникали посадові особи Російської Федерації надання пояснень та будь-якої інформації .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Наразі в українській легкій атлетиці , важкій атлетиці і деяких інших видах спорту кваліфікація тренерських кадрів , на жаль , не відповідає сучасним вимогам .","Наразі в українській легкій атлетиці , важкій атлетиці і деяких інших видах спорту , на жаль , не відповідає кваліфікація тренерських кадрів сучасним вимогам .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
Адже більше 200 населених пунктів тут користуються привізною водою .,Адже тут користуються більше 200 населених пунктів привізною водою .,[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Катастрофа є в тому , що органи місцевого самоврядування мало комунікують з людьми , потрібно більше працювати , особливо профільним заступникам по новостворених громадах , збирати людей і пояснювати , що відповідальність для власників квартир за будинки лежить на них .","Катастрофа є в тому , що органи місцевого самоврядування мало комунікують з людьми , потрібно більше працювати , особливо профільним заступникам по новостворених громадах , збирати людей і пояснювати , що лежить відповідальність для власників квартир за будинки на них .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Йдеться про те , що брак книг , на жаль , приводить до інтелектуальної та естетичної кризи .","Йдеться про те , що , на жаль , приводить брак книг до інтелектуальної та естетичної кризи .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Так , дані заходи потребують бюджетних витрат .","Так , потребують дані заходи бюджетних витрат .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Як відомо , критичний стан основних виробничих фондів у житлово-комунальному господарстві , моральна , фізична зношеність сягає 70 і 80 , і більше відсотків .","Як відомо , критичний стан основних виробничих фондів у житлово-комунальному господарстві , сягає моральна , фізична зношеність 70 і 80 , і більше відсотків .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"І ці обмеження , які передбачені цим законом , точно не сприяють єдності в нашому суспільстві .","І точно не сприяють ці обмеження , які передбачені цим законом , єдності в нашому суспільстві .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"По-перше , правова визначеність багатьох термінів вимагає чіткості , зрозумілості і однозначності , інакше ряд норм залишаться тільки добрими намірами .","По-перше , правова визначеність багатьох термінів вимагає чіткості , зрозумілості і однозначності , інакше залишаться ряд норм тільки добрими намірами .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"Тому сьогодні Верховна Рада України звертається до парламентів іноземних держав , аби все ж таки неприйнятним був цей військовий шантаж з боку агресора .","Тому сьогодні звертається Верховна Рада України до парламентів іноземних держав , аби все ж таки неприйнятним був цей військовий шантаж з боку агресора .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"І поки це не буде подолано , я думаю , що і цей законопроект , який потребує величезних витрат , не буде ефективним , тому що сьогодні контрафактний ринок зріс книжок в десятки разів у порівнянні з 2013 роком , і це приблизно 8-12 мільйонів примірників , і обсяг тіньового ринку складає мільярди .","І поки це не буде подолано , я думаю , що і цей законопроект , який потребує величезних витрат , не буде ефективним , тому що сьогодні контрафактний ринок зріс книжок в десятки разів у порівнянні з 2013 роком , і це приблизно 8-12 мільйонів примірників , і складає обсяг тіньового ринку мільярди .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
"І я вважаю , що ми маємо розібратися , чи насправді ця людина займається правами .","І я вважаю , що ми маємо розібратися , чи насправді займається ця людина правами .",[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
За експертними оцінками доля продукції мінерально-сировинного комплексу сягає 40 відсотків валового національного продукту .,За експертними оцінками сягає доля продукції мінерально-сировинного комплексу 40 відсотків валового національного продукту .,[0] -> [4] -> [5] -> [6] -> [7] -> [8] -> [14] -> [16] -> [17] -> [19]
