sen_str,swapped_sen_str,leaf_rule
"Gyda thair wythnos arall i fynd tan i ni agor yn Aberdaugleddau , mae hi 'n teimlo 'n wythnos o bwys yma .","Gyda thair wythnos arall i fynd tan i ni agor yn Aberdaugleddau , hi mae 'n teimlo 'n wythnos o bwys yma .",[0] -> [1] -> [2]
Ab urbe condita oedd y cymal yr oedd yr hen Rufeinwyr yn ei ddefnyddio ar gyfer cyfri 'r blynyddoedd yn eu calendr nhw .,Ab urbe condita oedd y cymal yr yr hen Rufeinwyr oedd yn ei ddefnyddio ar gyfer cyfri 'r blynyddoedd yn eu calendr nhw .,[0] -> [1] -> [2]
Mae deddfwriaeth Ewrop a 'r Deyrnas Unedig yn diogelu rhai rhywogaethau a safleoedd ; mae yna hefyd bolisi cynllunio a chanllawiau lleol a chenedlaethol ar ddiogelu bywyd gwyllt .,Mae deddfwriaeth Ewrop a 'r Deyrnas Unedig yn diogelu rhai rhywogaethau a safleoedd ; bolisi cynllunio a chanllawiau lleol a chenedlaethol ar ddiogelu bywyd gwyllt mae yna hefyd .,[0] -> [1] -> [2]
Mae Aled yn credu y darllenith Elen y llyfr .,Mae Aled yn credu y Elen darllenith y llyfr .,[0] -> [1] -> [2]
"Bydd storïwyr a chantorion yn perfformio o amgylch y tân ar gyrion y brif ŵyl , a bydd darllediad radio byw yn ystod y penwythnos , yn ogystal â chyfle ac ardal benodol i siaradwyr yr iaith ymgasglu ac ymarfer eu Gwyddeleg .","Bydd storïwyr a chantorion yn perfformio o amgylch y tân ar gyrion y brif ŵyl , a darllediad radio byw bydd yn ystod y penwythnos , yn ogystal â chyfle ac ardal benodol i siaradwyr yr iaith ymgasglu ac ymarfer eu Gwyddeleg .",[0] -> [1] -> [2]
"Goroesodd rhai enghreifftiau dros y canrifoedd ond ni chafodd ei hadnabod yn rhywogaeth arbennig tan 1998 pan anfonodd Ian Sturrock sampl i 'r Casgliad Ffrwythau Cenedlaethol yn Brogdale , Caint .","rhai enghreifftiau Goroesodd dros y canrifoedd ond ni chafodd ei hadnabod yn rhywogaeth arbennig tan 1998 pan anfonodd Ian Sturrock sampl i 'r Casgliad Ffrwythau Cenedlaethol yn Brogdale , Caint .",[0] -> [1] -> [2]
"Er mwyn osgoi 'r sefyllfa hunllefus yma , yr ydan ni 'n pwyso ar y llywodraeth i sicrhau chwarae teg ariannol i holl gynghorau Cymru o 'r flwyddyn nesaf ymlaen .","Er mwyn osgoi 'r sefyllfa hunllefus yma , yr ni ydan 'n pwyso ar y llywodraeth i sicrhau chwarae teg ariannol i holl gynghorau Cymru o 'r flwyddyn nesaf ymlaen .",[0] -> [1] -> [2]
"Cafodd y Ddeddf ei diddymu gan Ddeddf Trwyddedu 1961 , a oedd yn caniatáu i awdurdodau lleol yng Nghymru i gynnal polau o 'u trigolion ar barhad y gwaharddiad os oedd o leiaf 500 o bleidleiswyr yn gofyn am bôl .","Cafodd y Ddeddf ei diddymu gan Ddeddf Trwyddedu 1961 , a oedd yn caniatáu i awdurdodau lleol yng Nghymru i gynnal polau o 'u trigolion ar barhad y gwaharddiad os 500 o bleidleiswyr oedd o leiaf yn gofyn am bôl .",[0] -> [1] -> [2]
Yr oedd ei pherfformiad hi o 'r gân yn solo lleisiol am rannau helaeth o 'r gân .,Yr ei pherfformiad hi o 'r gân yn solo lleisiol oedd am rannau helaeth o 'r gân .,[0] -> [1] -> [2]
"Tra bod y contractwyr enfawr yn gwynebu diffyg elw , mae gweithwyr y ffatrïoedd ffasiwn yn gwynebu diffyg incwm , diffyg bwyd a diffyg meddyginiaeth .","Tra bod y contractwyr enfawr yn gwynebu diffyg elw , gweithwyr y ffatrïoedd ffasiwn mae yn gwynebu diffyg incwm , diffyg bwyd a diffyg meddyginiaeth .",[0] -> [1] -> [2]
