sen_str,swapped_sen_str,leaf_rule
"Այդ բանը չպատահեցաւ այդ ժամանակ ու չէ պատահած անկէ ի վեր , երբ Հայաստանը կը յաղթէր Ազրպէյճանի դէմ պատերազմը 1991 - 1994 թթ . - ին , կամ երբ ան կը պարտուէր 2020 թ . - ին ։","Այդ բանը չպատահեցաւ այդ ժամանակ ու չէ պատահած անկէ ի վեր , երբ կը յաղթէր Հայաստանը Ազրպէյճանի դէմ պատերազմը 1991 - 1994 թթ . - ին , կամ երբ ան կը պարտուէր 2020 թ . - ին ։",[0] -> [16]
« Գաֆէսճեան » արուեստի կեդրոնի ստեղծագործական սրահի երդիքին տակ մասնակիցները իրենց հետ բերուած լուսանկարներու պատճէններու օգնութեամբ կը ստեղծեն քոլաժներ ՝ օգտագործելով Գագիկ Յարութիւնեանի « Ընտանեկան դիմանկար » շարքի ստեղծագործութիւններու քոնսեփթը ։,« Գաֆէսճեան » արուեստի կեդրոնի ստեղծագործական սրահի երդիքին տակ իրենց հետ բերուած լուսանկարներու պատճէններու օգնութեամբ կը ստեղծեն մասնակիցները քոլաժներ ՝ օգտագործելով Գագիկ Յարութիւնեանի « Ընտանեկան դիմանկար » շարքի ստեղծագործութիւններու քոնսեփթը ։,[0] -> [16]
"Յետոյ ՝ մութը երբեք բաւական թանձր չէ , որպէսզի երիտասարդները , իրարու քով բերեն իրենց դրուագները , մտապատկերուած տեսիլքներէն փրցուած ։","Յետոյ ՝ մութը երբեք բաւական թանձր չէ , որպէսզի , իրարու քով բերեն երիտասարդները իրենց դրուագները , մտապատկերուած տեսիլքներէն փրցուած ։",[0] -> [16]
"Իսկ , մինչեւ վերաբացման արարողութեան , եկեղեցին արդէն իսկ կատարելապէս գոյքերով հանդերձ պիտի ստանար տաճարի բնոյթը ։","Իսկ , մինչեւ վերաբացման արարողութեան , պիտի ստանար եկեղեցին արդէն իսկ կատարելապէս գոյքերով հանդերձ տաճարի բնոյթը ։",[0] -> [16]
"Ան , Հայաստանին զլացաւ հաւաքական անվտանգութեան պաշտպանութիւնը , ազէրպայճանական յարձակումը որակելով « սահմանային միջադէպ , որ չի համապատասխաներ ՀԱՊԿ - ի հաւաքական պաշտպանութեան կանոնադրութեան դրոյթներուն » ։","Ան , Հայաստանին զլացաւ հաւաքական անվտանգութեան պաշտպանութիւնը , ազէրպայճանական յարձակումը որակելով « սահմանային միջադէպ , չի համապատասխաներ որ ՀԱՊԿ - ի հաւաքական պաշտպանութեան կանոնադրութեան դրոյթներուն » ։",[0] -> [16]
"Սրահէն ՝ խօսակցութեանց , նուագներու եւ ծիծաղներու աղմուկը կը հասնէր մինչեւ իրեն . սակայն ինք ՝ պաշտումին մէջ խորասուզուած ՝ հազիւ կը լսէր զանոնք ։","Սրահէն ՝ խօսակցութեանց , նուագներու եւ ծիծաղներու աղմուկը կը հասնէր մինչեւ իրեն . սակայն ՝ հազիւ կը լսէր ինք ՝ պաշտումին մէջ խորասուզուած զանոնք ։",[0] -> [16]
"Ինչպէս իւրաքանչիւր համայնք , պոլսահայ գաղութն ալ ունի իր յատուկ դիմագիծը ։","Ինչպէս իւրաքանչիւր համայնք , ունի պոլսահայ գաղութն ալ իր յատուկ դիմագիծը ։",[0] -> [16]
"Շարքին երրորդն ալ պատրաստ է , ու այս մէկը նուիրուած պիտի ըլլայ ամբողջութեամբ Յակոբ Օշականին ։","Շարքին երրորդն ալ պատրաստ է , ու նուիրուած այս մէկը պիտի ըլլայ ամբողջութեամբ Յակոբ Օշականին ։",[0] -> [16]
Իր կեանքին ընթացքին Նոպէլ գրած է քանի մը կտակ ։,Իր կեանքին ընթացքին գրած Նոպէլ է քանի մը կտակ ։,[0] -> [16]
"Հոն զանազան շփումներ ունեցած է Պաքու Գանձակ Տէրտէր եւ Պերտէ քաղաքներու խաղաղ բնակիչներուն հետ , որոնք ենթարկուած են հայկական բանակի յարձակումներուն ։","Հոն զանազան շփումներ ունեցած է Պաքու Գանձակ Տէրտէր եւ Պերտէ քաղաքներու խաղաղ բնակիչներուն հետ , ենթարկուած որոնք են հայկական բանակի յարձակումներուն ։",[0] -> [16]
