sen_str,swapped_sen_str,leaf_rule
— Neh inchoquilihtas uan intlaltemis — o quihtoh in itzcuintli .,— inchoquilihtas Neh uan intlaltemis — o quihtoh in itzcuintli .,[0] -> [12] -> [13]
Tlasohkamati wan yeh non nikihtoa .,Tlasohkamati wan non yeh nikihtoa .,[0] -> [12] -> [13]
¡ Pero yeh nactasqueh tlamo !,¡ Pero nactasqueh yeh tlamo !,[0] -> [12] -> [13]
"Pero kawitz , yej ye n namejwantzitzin n akin tlensaso nankontechiwiliaj wan n akin namontetlachtikiliaj ika tlakajkayawalis , wan ojcon nankimonchiwiliaj yej namokniwantzitzin tlaniltokanij .","Pero kawitz , yej ye n namejwantzitzin n akin tlensaso nankontechiwiliaj wan namontetlachtikiliaj n akin ika tlakajkayawalis , wan ojcon nankimonchiwiliaj yej namokniwantzitzin tlaniltokanij .",[0] -> [12] -> [13]
Ihcuac ya cochisqueh icmatisqueh aquin tehuan .,Ihcuac ya cochisqueh icmatisqueh tehuan aquin .,[0] -> [12] -> [13]
"Ihcuac iccaqui tlenoh caquisti , o yah o ctato .","Ihcuac iccaqui caquisti tlenoh , o yah o ctato .",[0] -> [12] -> [13]
¿ Kenat n akin tlanotzalten itich se monamiktililuitl tlaokoxtokej kemej ijkwak akaj miki ?,¿ Kenat n akin tlanotzalten itich se monamiktililuitl tlaokoxtokej kemej ijkwak miki akaj ?,[0] -> [12] -> [13]
"Chaueh , neh inmitziluis tlenoh ictouah .","Chaueh , inmitziluis neh tlenoh ictouah .",[0] -> [12] -> [13]
"Telpukatl n yeh kiseguiroa kitemohtinimi ikamak n buitl ohkon ,","Telpukatl kiseguiroa n yeh kitemohtinimi ikamak n buitl ohkon ,",[0] -> [12] -> [13]
Nonke tokniwan non tikitih eeuu okachi ikpiyaj tomin wanamo in oksikin .,Nonke tokniwan tikitih non eeuu okachi ikpiyaj tomin wanamo in oksikin .,[0] -> [12] -> [13]
"In miston o nauat : - Neh amo , porque neh amo intempileh .","In miston o nauat : - amo Neh , porque neh amo intempileh .",[0] -> [12] -> [13]
O ticatca quemen ome caxtol huan nochi o tipanohque .,O ticatca quemen ome caxtol huan o tipanohque nochi .,[0] -> [12] -> [13]
"¡ Ay , y o nsiyau ! — o quihtoh Ticpinitos — , pero amo nesi tlenoh itcuasqueh .","¡ Ay , y o nsiyau ! — o quihtoh Ticpinitos — , pero amo nesi itcuasqueh tlenoh .",[0] -> [12] -> [13]
Amo yej ejkotiwitzi uan yej namechonajsikiw namonkochtokej .,Amo yej ejkotiwitzi uan namechonajsikiw yej namonkochtokej .,[0] -> [12] -> [13]
"Huan como nicancah cimi cualli conetl , amo o cyolhuih icmohmohtis o iccuiliz in atl .","Huan como cimi cualli conetl nicancah , amo o cyolhuih icmohmohtis o iccuiliz in atl .",[0] -> [12] -> [13]
Neh niquimpiya yeyen nocnihuan tlen ye cihuame huan tlacame o catcah nahuen pero ce y o popoleuh .,Neh niquimpiya yeyen nocnihuan ye cihuame tlen huan tlacame o catcah nahuen pero ce y o popoleuh .,[0] -> [12] -> [13]
Ijkwakon nakin yomikka oyol uan o motlalij .,Ijkwakon oyol nakin yomikka uan o motlalij .,[0] -> [12] -> [13]
¿ Akijkej o walahkeh ?,¿ o walahkeh Akijkej ?,[0] -> [12] -> [13]
"Quen o ctlalihqueh ocachi o peu toneui , yehuan o cyolseuihqueh , o cyectlasouihqueh uan ompa o ctecaqueh .","Quen o ctlalihqueh ocachi o peu toneui , o cyolseuihqueh yehuan , o cyectlasouihqueh uan ompa o ctecaqueh .",[0] -> [12] -> [13]
¿ Akih otkitak Zacatlan ?,¿ otkitak Akih Zacatlan ?,[0] -> [12] -> [13]
In mapachin o nauat : — Neh inquintlamaca ica elotl .,In mapachin o nauat : — inquintlamaca Neh ica elotl .,[0] -> [12] -> [13]
"In lechon o quihtoh : — Teh nican ixmocaua , neh ma nioh ma ntemo in tlapahtani , amati xamo mococoua nicancah .","In lechon o quihtoh : — Teh nican ixmocaua , ma nioh neh ma ntemo in tlapahtani , amati xamo mococoua nicancah .",[0] -> [12] -> [13]
N tikiwah n tetiachkah o kintitlah naweh telpochmeh tlen kipalewiyah n tetiachkah .,N tikiwah n tetiachkah o kintitlah naweh telpochmeh kipalewiyah tlen n tetiachkah .,[0] -> [12] -> [13]
"O ntecaquilih ompa amo secpanoua mayantli , uan nican acmo techahsi tlenoh itcuasqueh .","O ntecaquilih ompa amo secpanoua mayantli , uan nican acmo techahsi itcuasqueh tlenoh .",[0] -> [12] -> [13]
¿ Xanki nakyolwia namejwan noiwki wilis nakcholowiliskeh in tlatzakwil tlen walajtok ?,¿ Xanki nakyolwia namejwan noiwki wilis nakcholowiliskeh in tlatzakwil walajtok tlen ?,[0] -> [12] -> [13]
"Pero kawitz , yej ye n namejwantzitzin n akin tlensaso nankontechiwiliaj wan n akin namontetlachtikiliaj ika tlakajkayawalis , wan ojcon nankimonchiwiliaj yej namokniwantzitzin tlaniltokanij .","Pero kawitz , ye n namejwantzitzin yej n akin tlensaso nankontechiwiliaj wan n akin namontetlachtikiliaj ika tlakajkayawalis , wan ojcon nankimonchiwiliaj yej namokniwantzitzin tlaniltokanij .",[0] -> [12] -> [13]
"Pero kawitz , yej ye n namejwantzitzin n akin tlensaso nankontechiwiliaj wan n akin namontetlachtikiliaj ika tlakajkayawalis , wan ojcon nankimonchiwiliaj yej namokniwantzitzin tlaniltokanij .","Pero kawitz , yej ye n namejwantzitzin tlensaso nankontechiwiliaj n akin wan n akin namontetlachtikiliaj ika tlakajkayawalis , wan ojcon nankimonchiwiliaj yej namokniwantzitzin tlaniltokanij .",[0] -> [12] -> [13]
"— Neh o ntlacuah cualli — o nauat Ticpintzin — , pero axan quen o tahcotzicuinqueh ya nmayana .","— o ntlacuah Neh cualli — o nauat Ticpintzin — , pero axan quen o tahcotzicuinqueh ya nmayana .",[0] -> [12] -> [13]
