sen_str,swapped_sen_str,leaf_rule
Awẽm hã wa za aiʔabaʔré ni mararé romhuri hã wate wasiwi ʔrãsutuwẽ da,Awẽm hã wa za aiʔabaʔré ni mararé romhuri hã ʔrãsutuwẽ wate wasiwi da,[0] -> [1]
õ norĩ te we aiʔabaʔré dawedeʔwa norĩ sihutu wapsi,õ norĩ te we aiʔabaʔré sihutu dawedeʔwa norĩ wapsi,[0] -> [1]
Duréi hã warazu ma te siwi tiʔa ʔre puʔu,Duréi hã ma te siwi tiʔa ʔre puʔu warazu,[0] -> [1]
"Aihini nho'a hã , rowahutu'wa te azadanha : "" Anorĩwa'wahã , e te aipo'repu'u za'ra wa'wa marĩ na hã te aima waihu'u za'ra wa'wa ahömhö hã . "" Ĩhe ! "" aihini ma sada'öbö za'ra .","Aihini nho'a hã , rowahutu'wa te azadanha : "" Anorĩwa'wahã , e te aipo'repu'u za'ra wa'wa marĩ na hã te aima waihu'u za'ra wa'wa ahömhö hã . "" Ĩhe ! "" ma sada'öbö aihini za'ra .",[0] -> [1]
""" Wamama buru hawimhã . Tahawa , wasai ahö di ! "" ba'õtõre te tãma tinha .",""" Wamama buru hawimhã . Tahawa , wasai ahö di ! "" te tãma tinha ba'õtõre .",[0] -> [1]
E anorĩwa'wahã te ĩwapari za'ra wa'wa ?,E te ĩwapari anorĩwa'wahã za'ra wa'wa ?,[0] -> [1]
"Ari'iwi ! Ĩhi te rosa'rata marĩ na te te wama rowasu'u da hã , a'uwẽ höimanazé duréi na hã .","Ari'iwi ! te rosa'rata Ĩhi marĩ na te te wama rowasu'u da hã , a'uwẽ höimanazé duréi na hã .",[0] -> [1]
te wamamanorĩhã waré 're höimana za'ra warob reb 're hã U'uiwawẽ ãma hã,te waré 're höimana wamamanorĩhã za'ra warob reb 're hã U'uiwawẽ ãma hã,[0] -> [1]
"Apösi , 'watébrémi te marĩ aibö wi waptẽ , sa da .","Apösi , te marĩ aibö wi waptẽ 'watébrémi , sa da .",[0] -> [1]
E pi'õ ma aima tisõ wãrãhöbö hã . Maze di ! Pi’õ za hadu te te ĩma sõmri õ di .,E ma aima tisõ pi'õ wãrãhöbö hã . Maze di ! Pi’õ za hadu te te ĩma sõmri õ di .,[0] -> [1]
E aibö zéma te romhu ?,E zéma te romhu aibö ?,[0] -> [1]
"A'uwẽ ãma hã , ba'õtõ norĩ hã 'ri ãma te höimana za'ra .","A'uwẽ ãma hã , te höimana ba'õtõ norĩ hã 'ri ãma za'ra .",[0] -> [1]
Ĩĩsiupte da wa ĩĩsima wẽ,Ĩĩsiupte da wa wẽ ĩĩsima,[0] -> [1]
E höiwi te ĩ'madö'ö za'ra wa'wa . Mare di ! Wanorĩhã höiwi wa te 'madö'ö za'ra õ di .,E höiwi te ĩ'madö'ö za'ra wa'wa . Mare di ! höiwi wa te 'madö'ö Wanorĩhã za'ra õ di .,[0] -> [1]
"Ta barana ma dahudu , misi hã ma ajwajrĩ","Ta barana ma dahudu , hã ma ajwajrĩ misi",[0] -> [1]
"Mara ré hã , niwamhã tinhohui'wai me wapté te sõ're za'ra 'rinho're baba , a'uwẽ norĩ hã te te to za'ra da .","Mara ré hã , niwamhã te sõ're tinhohui'wai me wapté za'ra 'rinho're baba , a'uwẽ norĩ hã te te to za'ra da .",[0] -> [1]
E pi'õ ma aima tisõ wãrãhöbö hã . Maze di ! Pi’õ za hadu te te ĩma sõmri õ di .,E pi'õ ma aima tisõ wãrãhöbö hã . Maze di ! za hadu te te ĩma sõmri Pi’õ õ di .,[0] -> [1]
Höiwahö u te wapté te te ãma 're ãpusi tinho're na hã .,Höiwahö u te te te ãma 're ãpusi wapté tinho're na hã .,[0] -> [1]
"Duréi hã , wadzuri'wa te we tsimi'wara waradzu dzô .","Duréi hã , te we tsimi'wara wadzuri'wa waradzu dzô .",[0] -> [1]
E warazu ma azö 'watébrémi hã . Mare di ! Warazu te te azöri õ di .,E warazu ma azö 'watébrémi hã . Mare di ! te te azöri Warazu õ di .,[0] -> [1]
"Taha pari , wapsã zéma si'a te tisa . Tahawa , pi'õ wapsã hã ma azö .","Taha pari , zéma si'a te tisa wapsã . Tahawa , pi'õ wapsã hã ma azö .",[0] -> [1]
Awẽm hã wa za aiʔabaʔré ni mararé romhuri hã wate wasiwi ʔrãsutuwẽ da,Awẽm hã za aiʔabaʔré wa ni mararé romhuri hã wate wasiwi ʔrãsutuwẽ da,[0] -> [1]
