sen_str,swapped_sen_str,leaf_rule
ᠴᡞᠶᡠᠨᡪᡠᡢ ᠸᡝᡞᠯᡝᠷᠠᠨ ᠪᡝ ᠶᠠᠷᡤᡞᠶᠠᠨ ᠠᠷᠠᠮᡝ ︐ ᡬᠠᠮᠪᡠ ᠪᠣᡞᡤᠣᠨ ᡩᡝ ᡞᠨᡩᡝᠷᡝᡢᡤᡝ ᡤᡠᠪᠴᡞ ᡝᠯᠪᡝᠮᡝ ︐ ᠮᠠᡢᡤᠠ ᠪᡝ ᡨᡠᠸᠠᠮᡝ ᠠᡞᠰᡞᠯᠠᠮᡝ ︐ ᠴᡞᠶᡠᠨᡪᡠᡢ ᠨᡞ ᠮᠠᡢᡤᠠ ᠪᠠᡞᡥᠠᠨᠠᠨ ᠪᡝ 4330 ᡥᠠᠴᡞᠨ ᠰᡠᠮᡝ ᠯᠠᠰᡥᠠᠯᠠᡥᠠ ︐ ᠮᠠᡢᡤᠠ ᠪᠣᡞᡤᠣᠨ ᡩᡝ ᠠᡞᠰᡞᠯᠠᡥᠠᡢᡤᡝ 1403 ᠪᠣᡞᡤᠣᠨ ︐ ᠠᡞᠰᡞᠯᠠᠮᡝ ᠸᡝᡥᡞᠶᡝᠷᡝ ᡠᠯᡞᠨ 234 ᡨᡠᠮᡝᠨ ᡩᡠᠯᡝᠷᡝ ᠶᡠᠸᠠᠨ ᡪᡞᡥᠠ ᠪᡝ ᠯᠣᡧᡞᠯᡝᡥᡝ ︐ ᡥᡝᡨᡥᡝ ᡩᡝ ᡨᡝᠪᡠᠨᡝᠪᡠᠮᡝ ᠠᡞᠰᡞᠯᠠᡥᠠᡢᡤᡝ 644 ᠨᡞᠶᠠᠯᠮᠠ ;,ᠴᡞᠶᡠᠨᡪᡠᡢ ᠸᡝᡞᠯᡝᠷᠠᠨ ᠪᡝ ᠶᠠᠷᡤᡞᠶᠠᠨ ᠠᠷᠠᠮᡝ ︐ ᡬᠠᠮᠪᡠ ᠪᠣᡞᡤᠣᠨ ᡩᡝ ᡞᠨᡩᡝᠷᡝᡢᡤᡝ ᡤᡠᠪᠴᡞ ᡝᠯᠪᡝᠮᡝ ︐ ᠮᠠᡢᡤᠠ ᠪᡝ ᡨᡠᠸᠠᠮᡝ ᠠᡞᠰᡞᠯᠠᠮᡝ ︐ ᠴᡞᠶᡠᠨᡪᡠᡢ ᠨᡞ ᠮᠠᡢᡤᠠ ᠪᠠᡞᡥᠠᠨᠠᠨ ᠪᡝ 4330 ᡥᠠᠴᡞᠨ ᠰᡠᠮᡝ ᠯᠠᠰᡥᠠᠯᠠᡥᠠ ︐ 1403 ᠪᠣᡞᡤᠣᠨ ᠮᠠᡢᡤᠠ ᠪᠣᡞᡤᠣᠨ ᡩᡝ ᠠᡞᠰᡞᠯᠠᡥᠠᡢᡤᡝ ︐ ᠠᡞᠰᡞᠯᠠᠮᡝ ᠸᡝᡥᡞᠶᡝᠷᡝ ᡠᠯᡞᠨ 234 ᡨᡠᠮᡝᠨ ᡩᡠᠯᡝᠷᡝ ᠶᡠᠸᠠᠨ ᡪᡞᡥᠠ ᠪᡝ ᠯᠣᡧᡞᠯᡝᡥᡝ ︐ ᡥᡝᡨᡥᡝ ᡩᡝ ᡨᡝᠪᡠᠨᡝᠪᡠᠮᡝ ᠠᡞᠰᡞᠯᠠᡥᠠᡢᡤᡝ 644 ᠨᡞᠶᠠᠯᠮᠠ ;,[0]
"ᡨᡝᠰᡝ ᡤᡝᠮᡠ ᠶᠠᠪᡠᠴᡞ , ᠰᡠᠸᡝ ᡪᡞᡠ 。","ᡨᡝᠰᡝ ᡤᡝᠮᡠ ᠶᠠᠪᡠᠴᡞ , ᡪᡞᡠ ᠰᡠᠸᡝ 。",[0]
ᡞᠨᡩᡝ ᡤᡞᠰᡠᠷᡝᠴᡞ ︐ ᡠᠰᡞᠨ ᡥᡝᡨᡥᡝ ᠪᠠᠶᠠᠨ ᡝᠯᡤᡞᠶᡝᠨ ᠪᠠᠷᡤᡞᠶᠠᠷᠠ ︑ ᡠᠰᡞᠰᡞ ᡠᠷᡤᡠᠨᡪᡝᠷᡝ ᠪᡝ ᠰᠠᠪᡠᡥᠠᡩᡝ ︐ ᡠᡨᡥᠠᡞ ᡞᠨᡞ ᡧᡠᠸᡝ ᠠᠮᠪᠠ ᠰᡝᠪᡪᡝᠨ ᠣᠮᡝ ︐ ᡞᠨᡝᡣᡠ ᡤᡝᠯᡞ ᡞᠨᡞ ᠸᡝᡞᠯᡝᠷᠠᠨ ᡩᡝ ᠪᡠᡥᡝ ᡧᡠᠸᡝ ᠰᠠᡞᠨ ᡣᠠᠷᡠᡧᠠᠨ ᠰᡝᠮᡝ ᡤᡡᠨᡞᠪᡠᠮᠪᡞ ︒,ᡞᠨᡩᡝ ᡤᡞᠰᡠᠷᡝᠴᡞ ︐ ᠪᠠᠶᠠᠨ ᡝᠯᡤᡞᠶᡝᠨ ᠪᠠᠷᡤᡞᠶᠠᠷᠠ ᡠᠰᡞᠨ ᡥᡝᡨᡥᡝ ︑ ᡠᠰᡞᠰᡞ ᡠᠷᡤᡠᠨᡪᡝᠷᡝ ᠪᡝ ᠰᠠᠪᡠᡥᠠᡩᡝ ︐ ᡠᡨᡥᠠᡞ ᡞᠨᡞ ᡧᡠᠸᡝ ᠠᠮᠪᠠ ᠰᡝᠪᡪᡝᠨ ᠣᠮᡝ ︐ ᡞᠨᡝᡣᡠ ᡤᡝᠯᡞ ᡞᠨᡞ ᠸᡝᡞᠯᡝᠷᠠᠨ ᡩᡝ ᠪᡠᡥᡝ ᡧᡠᠸᡝ ᠰᠠᡞᠨ ᡣᠠᠷᡠᡧᠠᠨ ᠰᡝᠮᡝ ᡤᡡᠨᡞᠪᡠᠮᠪᡞ ︒,[0]
ᡪᠠᡥᡝᠰᡨᠠᡞ ᡪᡝᠨ ᠨᡞᡢᡤᡝ ᡨᡠᠸᡝᠷᡞ ᡫᠣᠷᡤᠣᠨ ᠠᠮᠪᠠ ᡠᠷᡝᠪᡠᠨ ᠪᡝ ᠰᠠᠷᡞᠪᡠᡥᠠ ᠴᡞ ᡝᠪᠰᡞ ︐ ᠰᡟᡨᡞᠸᠠᡩᡞ · ᡥᡡᡪᡞᠶᠠᠪᠣᠣᡩᡠᠨ ᡞ᠋ ᡤᡠᠷᡠᠨ ᠪᠣᠣᡞ ᡥᠠᡫᡠ ᠪᠠᡞᡨᠠᠯᠠᠷᠠ ᡤᡞᠰᡠᠨ ᡥᡝᠷᡤᡝᠨ ᡞ᠋ ᠮᡠᡣᡝᠨᡝᠴᡞᠨ ᡩᡝᠨ ᠸᡝᠰᡞᠮᡝ ︐ ᡨᡠᠸᠠᡣᡡᠨ ᡠᠯᡥᡞᠶᡝᠨ ᡠᠯᡥᡞᠶᡝᠨᡞ ᡣᡡᠪᡠᠯᡞᠮᡝ ︑ ᡫᠠᡣᠰᡞ ᠮᡠᡨᡝᠨ ᡞᠨᡠ ᡨᡠᡣᡞᠶᡝᠪᡠᡥᡝ ︐ ᡩᠣᠰᡞᠪᡠᠨ ᠯᠠᡣᠴᠠᠷᡣᡡ ᡞ᠋ ᠨᠣᡢᡤᡞᠪᡠᠮᡝ ︐ ᡞᠨᡞ ᠪᡝᠶᡝᡞ ᡪᡠᠷᡠ ᡤᠠᠯᠠ ᡞ᠋ ᠪᠠᠨᡪᡞᠨᠸᡝᠨ ᠪᡝ ᡣᡡᠪᡠᠯᡞᠪᡠᠮᡝ ︐ ᠪᠠᠨᡪᡞᠨᠸᡝᠨ ᡝᠯᡝᡞ ᡪᡞᠮᡝ ᡝᠯᡝᡞ ᡫᡠᠯᡤᡞᠶᠠᠨ ᡫᡠᠯᠠᡥᡡᠨ ᠣᡥᠣ ︒,ᡪᠠᡥᡝᠰᡨᠠᡞ ᡪᡝᠨ ᠨᡞᡢᡤᡝ ᡨᡠᠸᡝᠷᡞ ᡫᠣᠷᡤᠣᠨ ᠠᠮᠪᠠ ᡠᠷᡝᠪᡠᠨ ᠪᡝ ᠰᠠᠷᡞᠪᡠᡥᠠ ᠴᡞ ᡝᠪᠰᡞ ︐ ᠰᡟᡨᡞᠸᠠᡩᡞ · ᡥᡡᡪᡞᠶᠠᠪᠣᠣᡩᡠᠨ ᡞ᠋ ᡤᡠᠷᡠᠨ ᠪᠣᠣᡞ ᡥᠠᡫᡠ ᠪᠠᡞᡨᠠᠯᠠᠷᠠ ᡤᡞᠰᡠᠨ ᡥᡝᠷᡤᡝᠨ ᡞ᠋ ᠮᡠᡣᡝᠨᡝᠴᡞᠨ ᡩᡝᠨ ᠸᡝᠰᡞᠮᡝ ︐ ᡨᡠᠸᠠᡣᡡᠨ ᡠᠯᡥᡞᠶᡝᠨ ᡠᠯᡥᡞᠶᡝᠨᡞ ᡣᡡᠪᡠᠯᡞᠮᡝ ︑ ᡫᠠᡣᠰᡞ ᠮᡠᡨᡝᠨ ᡞᠨᡠ ᡨᡠᡣᡞᠶᡝᠪᡠᡥᡝ ︐ ᡩᠣᠰᡞᠪᡠᠨ ᠯᠠᡣᠴᠠᠷᡣᡡ ᡞ᠋ ᠨᠣᡢᡤᡞᠪᡠᠮᡝ ︐ ᡞᠨᡞ ᠪᡝᠶᡝᡞ ᡪᡠᠷᡠ ᡤᠠᠯᠠ ᡞ᠋ ᠪᠠᠨᡪᡞᠨᠸᡝᠨ ᠪᡝ ᡣᡡᠪᡠᠯᡞᠪᡠᠮᡝ ︐ ᡝᠯᡝᡞ ᡪᡞᠮᡝ ᡝᠯᡝᡞ ᡫᡠᠯᡤᡞᠶᠠᠨ ᡫᡠᠯᠠᡥᡡᠨ ᠣᡥᠣ ᠪᠠᠨᡪᡞᠨᠸᡝᠨ ︒,[0]
"ᠰᡝᡞᠪᡝᠨᡞ ᡠᠪᠠ ᠸᠠᡥᡡᠨ ᠯᡞᡫᠠᡥᠠᠨ ᡞ ᠨᠣᠷᠣ ᠪᡞᡥᡝ , ᠨᡝ ᡝᠮᡤᡝᠷᡞ ᡣᡡᠪᡠᠯᡞᡫᡞ , ᡤᡝᠷᡝᠨ ᠨᡞᠶᠠᠯᠮᠠᡞ ᠰᠠᠷᠠᡧᠠᠷᠠ ᡞᠯᡥᠠᡞ ᠶᠠᡫᠠᠨ ᠣᡥᠣ 。","ᠰᡝᡞᠪᡝᠨᡞ ᡠᠪᠠ ᠸᠠᡥᡡᠨ ᠯᡞᡫᠠᡥᠠᠨ ᡞ ᠨᠣᠷᠣ ᠪᡞᡥᡝ , ᠨᡝ ᡝᠮᡤᡝᠷᡞ ᡣᡡᠪᡠᠯᡞᡫᡞ , ᠰᠠᠷᠠᡧᠠᠷᠠ ᡤᡝᠷᡝᠨ ᠨᡞᠶᠠᠯᠮᠠᡞ ᡞᠯᡥᠠᡞ ᠶᠠᡫᠠᠨ ᠣᡥᠣ 。",[0]
ᠰᡞᠶᠠᠨ ᡣᡝᠰᡞᠶᡝ ᡪᡠᠰᡞ ᠪᠣᠯᠠᡨᡞ ᡪᠠᡞ ᠰᡞᠶᠠᠨ ᠪᡠᡪᠠᠨ ᡥᡝᡨᡥᡝ ᠶᠠᠮᡠᠨ ᡬᠠᠮᠪᡠ ᡧᡞ ᡪᡞᠶᡠᠨ ᠯᡠᡢ ᡪᡠᠸᡝ ᠰᡝᡫᡠ ᠴᠣᡥᠣᡨᠣᡞ ᡪᠣᠷᡞᡢᡤᠠ ᡞ᠋ ᡣᡞᠴᡝᠨ ᡪᡞᠶᠠᡢᠨᠠᠷᠠ ᠪᡝ ᠶᠠᠪᡠᠪᡠᠮᡝ ︐ 120 ᡩᡠᠯᡝᠷᡝ ᡠᠰᡞᠨ ᠠᡩᡠᠯᠠᠷᠠ ᡞᠷᡤᡝᠨ ᡠᠷᡝᠪᡠᠮᡝ ᡨᠠᠴᡞᠪᡠᠷᡝ ᡩᡝ ᠠᡩᠠᠨᠠᡥᠠᠪᡞ ︒,ᠰᡞᠶᠠᠨ ᡣᡝᠰᡞᠶᡝ ᡪᡠᠰᡞ ᠪᠣᠯᠠᡨᡞ ᡪᠠᡞ ᠰᡞᠶᠠᠨ ᠪᡠᡪᠠᠨ ᡥᡝᡨᡥᡝ ᠶᠠᠮᡠᠨ ᡬᠠᠮᠪᡠ ᡧᡞ ᡪᡞᠶᡠᠨ ᠯᡠᡢ ᡪᡠᠸᡝ ᠰᡝᡫᡠ ᠴᠣᡥᠣᡨᠣᡞ ᡪᠣᠷᡞᡢᡤᠠ ᡞ᠋ ᡣᡞᠴᡝᠨ ᡪᡞᠶᠠᡢᠨᠠᠷᠠ ᠪᡝ ᠶᠠᠪᡠᠪᡠᠮᡝ ︐ ᡠᠷᡝᠪᡠᠮᡝ ᡨᠠᠴᡞᠪᡠᠷᡝ ᡩᡝ ᠠᡩᠠᠨᠠᡥᠠᠪᡞ 120 ᡩᡠᠯᡝᠷᡝ ᡠᠰᡞᠨ ᠠᡩᡠᠯᠠᠷᠠ ᡞᠷᡤᡝᠨ ︒,[0]
"ᡧᡠᠸᡝ ᠠᠮᠠᠯᠠ , ᠰᡝᡫᡠ ᡞ ᠪᡝᠶᡝ ᡩᡠᠷᠰᡠᠨ ᡣᠠᡨᡠᠨ ᡤᡠᡞᡤᡠ , ᠸᡝᡞᠯᡝᠷᠠᠨ ᡞᡪᡞᠰᡥᡡᠨ ᠠᠴᠠᠪᡠᡢᡤᠠ , ᠪᠣᡞᡤᠣᠨ ᠴᡞ ᠠᠨᠠᠮᡝ ᡥᡡᡨᡠᠷᡞᡢᡤᠠ ᠣᡪᠣᠷᠣ ᠪᡝ ᡪᠠᠯᠪᠠᠷᡞᠮᠪᡞ 。","ᡧᡠᠸᡝ ᠠᠮᠠᠯᠠ , ᠰᡝᡫᡠ ᡞ ᠪᡝᠶᡝ ᡩᡠᠷᠰᡠᠨ ᡣᠠᡨᡠᠨ ᡤᡠᡞᡤᡠ , ᡞᡪᡞᠰᡥᡡᠨ ᠠᠴᠠᠪᡠᡢᡤᠠ ᠸᡝᡞᠯᡝᠷᠠᠨ , ᠪᠣᡞᡤᠣᠨ ᠴᡞ ᠠᠨᠠᠮᡝ ᡥᡡᡨᡠᠷᡞᡢᡤᠠ ᠣᡪᠣᠷᠣ ᠪᡝ ᡪᠠᠯᠪᠠᠷᡞᠮᠪᡞ 。",[0]
ᡥᡝᡨᡥᡝ ᡩᡝ ᡨᡝᠪᡠᠨᡝᠪᡠᠷᡝ ᡩᡝ ᡝᠮᡠ ᠪᠣᡞᡤᠣᠨ ᡞ᠋ ᡝᠮᡠ ᠨᡞᠶᠠᠯᠮᠠ ᡩᡝ ᡝᠮᡠ ᡪᠣᠪᠣᡨᡝᠨ ᡫᠠᡣᠰᡞ ᠮᡠᡨᡝᠨ ᠪᡝ ᡪᠠᡫᠠᡨᠠᠪᡠᠮᡝ ︐ ᡝᠮᡠ ᠪᠣᡞᡤᠣᠨ ᡞ᠋ ᡝᠮᡠ ᠨᡞᠶᠠᠯᠮᠠ ᡥᡝᡨᡥᡝ ᡩᡝ ᡨᠣᠮᠣᠷᡥᠣᠨ ᡞ᠋ ᡨᡝᠪᡠᠨᡝᠪᡠᠷᡝ ᠪᡝ ᡠᠮᡝᠰᡞᠯᡝᠪᡠᠮᠪᡞ ︒,ᡥᡝᡨᡥᡝ ᡩᡝ ᡨᡝᠪᡠᠨᡝᠪᡠᠷᡝ ᡩᡝ ᡝᠮᡠ ᠪᠣᡞᡤᠣᠨ ᡞ᠋ ᡝᠮᡠ ᠨᡞᠶᠠᠯᠮᠠ ᡩᡝ ᡝᠮᡠ ᡪᠣᠪᠣᡨᡝᠨ ᡫᠠᡣᠰᡞ ᠮᡠᡨᡝᠨ ᠪᡝ ᡪᠠᡫᠠᡨᠠᠪᡠᠮᡝ ︐ ᡥᡝᡨᡥᡝ ᡩᡝ ᡨᠣᠮᠣᠷᡥᠣᠨ ᡞ᠋ ᡨᡝᠪᡠᠨᡝᠪᡠᠷᡝ ᡝᠮᡠ ᠪᠣᡞᡤᠣᠨ ᡞ᠋ ᡝᠮᡠ ᠨᡞᠶᠠᠯᠮᠠ ᠪᡝ ᡠᠮᡝᠰᡞᠯᡝᠪᡠᠮᠪᡞ ︒,[0]
"ᡝᠷᡝ ᠪᠠᡞᡨᠠ ᠪᡝ ᡤᡞᠶᠠᠨ ᡞ ᡞᠴᡞᡥᡞᠶᠠᠴᡞ ᠠᠴᠠᠮᡝ ᠣᡥᠣ , ᡨᡠᡨᡨᡠ ᠸᠠᡣᠠ ᠣᠴᡞ ᡨᡠᡨᠠᠯᠠ ᠪᠠᡞᡨᠠ ᡤᡝᠮᡠ ᠰᠠᠷᡨᠠᠪᡠᠮᠪᡞ 。","ᡝᠷᡝ ᠪᠠᡞᡨᠠ ᠪᡝ ᡤᡞᠶᠠᠨ ᡞ ᡞᠴᡞᡥᡞᠶᠠᠴᡞ ᠠᠴᠠᠮᡝ ᠣᡥᠣ , ᡨᡠᡨᡨᡠ ᠸᠠᡣᠠ ᠣᠴᡞ ᡤᡝᠮᡠ ᠰᠠᠷᡨᠠᠪᡠᠮᠪᡞ ᡨᡠᡨᠠᠯᠠ ᠪᠠᡞᡨᠠ 。",[0]
"ᡩᠠᠮᡠ ᡣᡠᠮᡩᡠᠰᡩᡠᠨ ᠪᡝ ᠪᠠᡥᠠᠮᡝ ᡤᠣᠴᡞᠴᡞ , ᠨᡞᠶᠠᠯᠮᠠ ᡨᡝᠨᡞ ᡨᠠᡣᠰᡞᠮᡝ ᠮᡠᡨᡝᠮᠪᡞ 。","ᡩᠠᠮᡠ ᡣᡠᠮᡩᡠᠰᡩᡠᠨ ᠪᡝ ᠪᠠᡥᠠᠮᡝ ᡤᠣᠴᡞᠴᡞ , ᡨᡝᠨᡞ ᡨᠠᡣᠰᡞᠮᡝ ᠨᡞᠶᠠᠯᠮᠠ ᠮᡠᡨᡝᠮᠪᡞ 。",[0]
