sen_str,swapped_sen_str,leaf_rule
Ẹ̀gbà ọrùn bí ìbòju tí Benin jẹ́ ẹ̀gbà ọrùn tí wọ́n gbẹ́ lére tí ó sì jẹ́ àwòrán akọni obìrin tí a mọ̀ si ìyá wa Olorì Idia ti ọ̀rundún mẹ́rìndínlógún ṣẹ́yìn .,Ẹ̀gbà ọrùn bí ìbòju tí Benin jẹ́ ẹ̀gbà ọrùn tí wọ́n gbẹ́ lére ó sì jẹ́ àwòrán tí akọni obìrin tí a mọ̀ si ìyá wa Olorì Idia ti ọ̀rundún mẹ́rìndínlógún ṣẹ́yìn .,[0] -> [1] -> [3]
"Alábùkún - fún ni àwọn ẹni tí a ṣe inúnibíni sí , nítorí tí wọ́n jẹ́ olódodo nítorí tiwọn ní ìjọba ọ̀run .","Alábùkún - fún ni àwọn ẹni tí a ṣe inúnibíni sí , nítorí tí jẹ́ olódodo wọ́n nítorí tiwọn ní ìjọba ọ̀run .",[0] -> [1] -> [3]
Láyé àtijọ́ ọjọ́ keje ní wọ́n máa ń sọ ọmọ obìnrin ní órúkọ nígbà tí tọmọ kùnrin sì jẹ́ ọjọ́ kẹsàn - án èyí wà ní ìbámu pẹ̀lú èrò àti ìgbàgbọ́ wọn pé eegun méje ni obìnrin ní nígbà tí tọkùnrin jẹ́ mẹ́sàn-án .,Láyé àtijọ́ ọjọ́ keje ní wọ́n máa ń sọ ọmọ obìnrin ní órúkọ nígbà tí tọmọ sì jẹ́ ọjọ́ kùnrin kẹsàn - án èyí wà ní ìbámu pẹ̀lú èrò àti ìgbàgbọ́ wọn pé eegun méje ni obìnrin ní nígbà tí tọkùnrin jẹ́ mẹ́sàn-án .,[0] -> [1] -> [3]
"Ó dàbí wípé ní bí ìbẹ̀rẹ̀ ọrúndún mẹ́rìndínlógún sẹ́yìn ni wọ́n gbẹ́ àwọn Ìbòjú méjèèjì , bóya ní ọdún 1520 , nígbà tí Olorì Idia , ìyá ọba Oba Esigie , jẹ́ aládájọ́ ní ilé ẹjọ́ ti Benin .","Ó dàbí wípé ní bí ìbẹ̀rẹ̀ ọrúndún mẹ́rìndínlógún sẹ́yìn ni wọ́n gbẹ́ àwọn Ìbòjú méjèèjì , bóya ní ọdún 1520 , nígbà tí Olorì Idia , ìyá , jẹ́ aládájọ́ ọba Oba Esigie ní ilé ẹjọ́ ti Benin .",[0] -> [1] -> [3]
"Kí ẹ̀yin lè jẹ́ ọmọ Baba yín bi ń bẹ ní ọ̀run . Ó mú kí oòrùn rẹ̀ ràn sí ara ènìyàn búburú àti ènìyàn rere , ó rọ̀jò fún àwọn olódodo àti fún àwọn aláìṣòdodo .","Kí lè jẹ́ ọmọ ẹ̀yin Baba yín bi ń bẹ ní ọ̀run . Ó mú kí oòrùn rẹ̀ ràn sí ara ènìyàn búburú àti ènìyàn rere , ó rọ̀jò fún àwọn olódodo àti fún àwọn aláìṣòdodo .",[0] -> [1] -> [3]
"Ní 2008 ni ó ṣí ilé ìránsọ rẹ̀ tó ún jẹ́ "" St .","Ní 2008 ni ó ṣí ilé ìránsọ rẹ̀ tó jẹ́ "" St ún .",[0] -> [1] -> [3]
"Fún àpẹrẹ , 3 + 2i jé nọ́mbà tósòro , pẹ̀lú apá gidi to jẹ 3 ati apá tíkòsi´ to jẹ 2 .","Fún àpẹrẹ , 3 + 2i jé nọ́mbà tósòro , pẹ̀lú apá gidi to jẹ 3 ati to jẹ 2 apá tíkòsi´ .",[0] -> [1] -> [3]
Ni 1998 nígbà tójẹ́ ọmọ ọdún 19 wọn ṣe àmúhàn rẹ̀ sí àwọn olólùfẹ́ filmu ni Naijiria pẹ̀lú filmu tó ún jẹ́ Most Wanted .,Ni 1998 nígbà tójẹ́ ọmọ ọdún 19 wọn ṣe àmúhàn rẹ̀ sí àwọn olólùfẹ́ filmu ni Naijiria pẹ̀lú filmu tó jẹ́ Most ún Wanted .,[0] -> [1] -> [3]
A lè sọ pé àwón nọ́mbà gidi je nọ́mbà tósòro pelu apá tíkòsi´ tó jé òdo ; eyun pé nọ́mbà gidi a jẹ́ bakanna mọ́ nọ́mbà tósòro a+0i .,A lè sọ pé je nọ́mbà àwón nọ́mbà gidi tósòro pelu apá tíkòsi´ tó jé òdo ; eyun pé nọ́mbà gidi a jẹ́ bakanna mọ́ nọ́mbà tósòro a+0i .,[0] -> [1] -> [3]
Bàbá rẹ̀ siṣẹ́ gẹ́gẹ́ bíi onímọ̀ iṣẹ́ - ẹ̀rọ ( engineer) nígbàtí ìyá rẹ̀ sì jẹ́ olùkọ́ .,Bàbá rẹ̀ siṣẹ́ gẹ́gẹ́ bíi onímọ̀ iṣẹ́ - ẹ̀rọ ( engineer) nígbàtí sì jẹ́ olùkọ́ ìyá rẹ̀ .,[0] -> [1] -> [3]
Ojú ewé yìí ní kúkurú : Ìmúlò àti ìtọ́nisọ́nà Wikipédíà jẹ́ Ojú ewé tó tọ́ka sí ìlànà tí a gbọ́dọ̀ tẹ̀lé ní àwùjọ Wikipédíà .,Ojú ewé yìí ní kúkurú : Ìmúlò àti ìtọ́nisọ́nà jẹ́ Ojú Wikipédíà ewé tó tọ́ka sí ìlànà tí a gbọ́dọ̀ tẹ̀lé ní àwùjọ Wikipédíà .,[0] -> [1] -> [3]
"Èmi sì ní àwọn àgùntàn mìíràn , tí kìí ṣe agbo yìí : àwọn ni èmi yóò mú wá pẹ̀lú , wọn ó sì gbọ́ ohùn mi ; wọn ó sì jẹ́ agbo kan , olùsọ́ - àgùntàn kan .","Èmi sì ní àwọn àgùntàn mìíràn , tí kìí ṣe agbo yìí : àwọn ni èmi yóò mú wá pẹ̀lú , wọn ó sì gbọ́ ohùn mi ; ó sì jẹ́ agbo wọn kan , olùsọ́ - àgùntàn kan .",[0] -> [1] -> [3]
"Òun sá lọ nítorí tí ó jẹ́ alágbàṣe , kò sì náání àwọn àgùntàn .","Òun sá lọ nítorí tí jẹ́ alágbàṣe ó , kò sì náání àwọn àgùntàn .",[0] -> [1] -> [3]
