sen_str,swapped_sen_str,leaf_rule
ɗan tə́ *ʧôp-íː wâːrês < tôː vòy kwaːɓíː //,ɗan tə́ *ʧôp-íː wâːrês < tôː kwaːɓíː vòy //,[0] -> [1]
àmá dzàŋ gíː ʧǎː ɬə *wûl-íː vìː kə́ wàːrès < tòː wúʃi tə́ pôɣə́y //,àmá dzàŋ gíː ʧǎː ɬə *wûl-íː vìː kə́ wàːrès < tòː tə́ pôɣə́y wúʃi //,[0] -> [1]
àmá yâːn dàːdá gòpm Dàːdá Álə̂m wùl tu [ tôː < vǐːn ɗan kàːwú konə́n < tòː ɮə́ːr àː fi =tə sòːséy //] //,àmá yâːn dàːdá gòpm Dàːdá Álə̂m wùl tu [ tôː < vǐːn ɗan konə́n kàːwú < tòː ɮə́ːr àː fi =tə sòːséy //] //,[0] -> [1]
tôː mə́ dìngá =tə yélɣə̂n mə́ wû tu *kúni-ə́n =wòs á ndârá nán //,tôː mə́ dìngá =tə yélɣə̂n mə́ wû tu á ndârá *kúni-ə́n =wòs nán //,[0] -> [1]
kyáː ɬə́n tu də̌ːr < *vwàrɲì-íː gwàː yáː fî wuriː < ka mbiː =tə kǔːt //= ka gəmíː gìp ʤaká máː //= ka ɬə́ːríː əndá àː ɬə́ nger =tə //,kyáː ɬə́n tu də̌ːr < yáː fî *vwàrɲì-íː gwàː wuriː < ka mbiː =tə kǔːt //= ka gəmíː gìp ʤaká máː //= ka ɬə́ːríː əndá àː ɬə́ nger =tə //,[0] -> [1]
àmá wâː àː ɲáŋ hŋ́ < dóːlêː àː gàː àː fì tə́ gə̀rə́ wâː //,àmá àː ɲáŋ wâː hŋ́ < dóːlêː àː gàː àː fì tə́ gə̀rə́ wâː //,[0] -> [1]
zàrsə̀ < dàːʃì yáː mə̂ʃíː aː ?//,zàrsə̀ < yáː mə̂ʃíː dàːʃì aː ?//,[0] -> [1]
yâːn ʧáː fi =ni Naːʤankâːy < tôː Naːʤankâːy wò ɲol ɗi //,yâːn ʧáː fi =ni Naːʤankâːy < tôː wò ɲol Naːʤankâːy ɗi //,[0] -> [1]
tàːtá bùːɗéy |c àmá lə́ɓi gíː átayáː fi wurɓa mop kə́ Gàmbár //,tàːtá bùːɗéy |c àmá átayáː fi lə́ɓi gíː wurɓa mop kə́ Gàmbár //,[0] -> [1]
kúmá mumtsə́ tá mân > Naːféːti //,kúmá tá mân mumtsə́ > Naːféːti //,[0] -> [1]
tôː < ʧík kən >+ *pə́prîn-íː =wôs tə́ *hàkuríwôʃíː =wôs á dàp naː =tə mə́n //,tôː < ʧík kən >+ á dàp *pə́prîn-íː =wôs tə́ *hàkuríwôʃíː =wôs naː =tə mə́n //,[0] -> [1]
