sen_str,swapped_sen_str,leaf_rule
"– Уара , Жакьаду , амҩа зсумҭозеи ? – раҧхьа иаацәажәеит Тәыҩаду .","– Уара , Жакьаду , зсумҭозеи амҩа ? – раҧхьа иаацәажәеит Тәыҩаду .",[0] -> [1] -> [2]
– Ампахьшьы сҭахын .,– сҭахын Ампахьшьы .,[0] -> [1] -> [2]
– Бзиа ууит ! – абжьы аагеит Амҵ .,– ууит Бзиа ! – абжьы аагеит Амҵ .,[0] -> [1] -> [2]
"– Аус иацхраатәуп , мап сцәукуама ?","– Аус иацхраатәуп , сцәукуама мап ?",[0] -> [1] -> [2]
– Ацха ҟасҵоит .,– ҟасҵоит Ацха .,[0] -> [1] -> [2]
"Ибзиоуп , нас , аҧара лгеит , иабалҵәахуаз аамҭа кьаҿк ала ?","Ибзиоуп , нас , лгеит аҧара , иабалҵәахуаз аамҭа кьаҿк ала ?",[0] -> [1] -> [2]
"Иҳауаз ҟәрышьқәак еидкылашәа иҳаман , машьынак ааҳхәарц ҳгәы иҭакны .","Иҳауаз ҟәрышьқәак еидкылашәа иҳаман , ааҳхәарц машьынак ҳгәы иҭакны .",[0] -> [1] -> [2]
"Ҽнак зны Ажәи , Аҽи , Алеи рыҧсы шьо рыҧшәма иашҭаҿы иштәаз , ажәа еимаркит , акыргьы аус рылеибахит .","Ҽнак зны Ажәи , Аҽи , Алеи рыҧсы шьо рыҧшәма иашҭаҿы иштәаз , еимаркит ажәа , акыргьы аус рылеибахит .",[0] -> [1] -> [2]
"Аҧсшьара дахьынӡаҟоу , излагәаҭоу ала , ҷыдала Ира пату лықәиҵоит .","Аҧсшьара дахьынӡаҟоу , излагәаҭоу ала , ҷыдала Ира лықәиҵоит пату .",[0] -> [1] -> [2]
– Акаҭа сҳауеит .,– сҳауеит Акаҭа .,[0] -> [1] -> [2]
"Амла иакуан , џьара фатәык аҧшаара иашьҭан .","Амла иакуан , џьара аҧшаара фатәык иашьҭан .",[0] -> [1] -> [2]
"– Убас ауп , нан дукәыхшоуп , абзиара ҟауҵар – иуҧылоит , – лҳәеит ларгьы .","– Убас ауп , нан дукәыхшоуп , ҟауҵар абзиара – иуҧылоит , – лҳәеит ларгьы .",[0] -> [1] -> [2]
"… – арзаақьҳәа абжьы нҭнаган , ашьҭахьтәи ашьапқәа инарықәгылеит Амшә агыгцәа ргыланы .","… – арзаақьҳәа абжьы нҭнаган , ашьҭахьтәи ашьапқәа инарықәгылеит Амшә ргыланы агыгцәа .",[0] -> [1] -> [2]
– Ахәыҷқәа бзиа избоит .,– бзиа избоит Ахәыҷқәа .,[0] -> [1] -> [2]
"– Амандаринаҭра акгьы днарбом , – уи агәаанагара аҵыхәа ааҧиҵәеит Мкан .","– Амандаринаҭра днарбом акгьы , – уи агәаанагара аҵыхәа ааҧиҵәеит Мкан .",[0] -> [1] -> [2]
"Ақьышә абыз инықәнашь-аақәнашьит уи анаба , аҿаҵагьы аӡы аауа иналагеит .","Ақьышә инықәнашь-аақәнашьит абыз уи анаба , аҿаҵагьы аӡы аауа иналагеит .",[0] -> [1] -> [2]
Ҩнык аҟны Абызкаҭаҳа акаҭа аҳара иаҿын .,Ҩнык аҟны Абызкаҭаҳа аҳара акаҭа иаҿын .,[0] -> [1] -> [2]
"– Ира , мап зхыбкуа сыздырам .","– Ира , зхыбкуа мап сыздырам .",[0] -> [1] -> [2]
"– Уи шәара ишәусым , ишәыду ҟашәҵала ! – иҳәеит , нас даахьаҳәын , уажәы нахыс мап зкыз рхы хышәсала ҳәа рыдиҵеит .","– Уи шәара ишәусым , ишәыду ҟашәҵала ! – иҳәеит , нас даахьаҳәын , уажәы нахыс зкыз мап рхы хышәсала ҳәа рыдиҵеит .",[0] -> [1] -> [2]
Мкан иҧшәма акы леиҳәон .,Мкан иҧшәма леиҳәон акы .,[0] -> [1] -> [2]
Ацәысра иааҟәыҵны рҵатәқәа анааныркыла ауп амашьына ашҟа сҿанынасха .,Ацәысра иааҟәыҵны анааныркыла рҵатәқәа ауп амашьына ашҟа сҿанынасха .,[0] -> [1] -> [2]
