sen_str,swapped_sen_str,leaf_rule
dēkta šunu adūk šallas sunu būšī šunu alpī šunu ṣēnī šunu ašlul ālāni ina išātāti ašrup,dēkta šunu adūk ašlul šallas sunu būšī šunu alpī šunu ṣēnī šunu ālāni ina išātāti ašrup,[0] -> [2] -> [3] -> [4]
ultu ebertān Idiqlat adi Hatti Laqe ana sihirti ša Suhu adi Rapiqi ultu nērebī ša Babiti adi Hašmar Zamua ana sihirti ša ištu ebertān Zaba-šupali adi Til-Abari ša ellān Zaban adi Til-ša-Abatani ultu Til-ša-Abatani adi Til-ša-Zabdani Hirimu Harutu birāte ša Karduniaš ana miṣir māti ya utīra,ultu ebertān Idiqlat adi Hatti ana sihirti ša Suhu adi Rapiqi ultu nērebī ša Babiti adi Hašmar Zamua ana sihirti ša ištu ebertān Zaba-šupali adi Til-Abari ša ellān Zaban adi Til-ša-Abatani ultu Til-ša-Abatani adi Til-ša-Zabdani Hirimu Harutu birāte ša Karduniaš ana miṣir māti ya utīra Laqe,[0] -> [2] -> [3] -> [4]
enūma bīt Ištar ša Nina bēlti ya ina qaqqar Emašmaš bīti labēri ša Šamši-Adad šar māt Aššur rubû ālik pāni ya ēpuš bītu šū ēnah ma labērūta illik,enūma bīt Ištar ša Nina bēlti ya ina qaqqar Emašmaš bīti labēri Šamši-Adad šar māt Aššur rubû ālik pāni ya ēpuš ša bītu šū ēnah ma labērūta illik,[0] -> [2] -> [3] -> [4]
dēkta šunu ma’atta adūk šallas sunu būšī šunu ašlula ālāni ina išātāti aqlu,dēkta šunu ma’atta adūk šallas sunu būšī šunu ašlula ina išātāti aqlu ālāni,[0] -> [2] -> [3] -> [4]
ultu pān melamme šarrūti ya iplahū ma ālāni šunu ša dūrāni dannūte uššerū,ultu pān melamme šarrūti ya iplahū ma uššerū ālāni šunu ša dūrāni dannūte,[0] -> [2] -> [3] -> [4]
ina gipiš libbi ya u šušmur kakkī ya āla assibi,ina gipiš libbi ya u šušmur kakkī ya assibi āla,[0] -> [2] -> [3] -> [4]
ana šuāšu rēmūtu aškunaš šu,ana šuāšu aškunaš rēmūtu šu,[0] -> [2] -> [3] -> [4]
ultu Bit-Adini attumuš Purattu ina mīli ša ina eleppēt dušê lū ēbir ana Gargamiš aqṭirib,ultu Bit-Adini attumuš ina mīli ša ina eleppēt dušê lū ēbir Purattu ana Gargamiš aqṭirib,[0] -> [2] -> [3] -> [4]
5 mē muqtablī šunu unappiṣ šallas sunu kabitta ašlul,5 mē muqtablī šunu unappiṣ ašlul šallas sunu kabitta,[0] -> [2] -> [3] -> [4]
2 mē ṣābī balṭūti ina qāti uṣabbita kappī šunu ubattiq,2 mē ṣābī balṭūti ina qāti uṣabbita ubattiq kappī šunu,[0] -> [2] -> [3] -> [4]
