sen_str,swapped_sen_str,leaf_rule
Pata përshtypjen se brenda kafkës më pluskonte një përzierje si llavë vullkanike .,përshtypjen se brenda kafkës më pluskonte një përzierje si llavë vullkanike Pata .,[0] -> [1] -> [2]
"Ernesti hapi mbështjellësen e bardhë dhe ndërkohë që bëri , më u deshën disa sekonda të kuptoja që e kishte bërë , pasi edhe ajo që nxori prej mbështjellëses , ishte po aq e bardhë sa ajo .","Ernesti mbështjellësen e bardhë hapi dhe ndërkohë që bëri , më u deshën disa sekonda të kuptoja që e kishte bërë , pasi edhe ajo që nxori prej mbështjellëses , ishte po aq e bardhë sa ajo .",[0] -> [1] -> [2]
Në rastin tim kjo nuk paraqet rëndësi .,Në rastin tim kjo nuk rëndësi paraqet .,[0] -> [1] -> [2]
Këto struktura mund të kenë shkallë të ndryshme të pushtetit politik .,Këto struktura mund të shkallë të ndryshme të pushtetit politik kenë .,[0] -> [1] -> [2]
"Pastoristët jetojnë një jetë nomade , duke lëvizur kopetë e tyre nga një kullotë në një tjetër .","Pastoristët jetojnë një jetë nomade , duke kopetë e tyre lëvizur nga një kullotë në një tjetër .",[0] -> [1] -> [2]
Gjenerali porositi raki .,Gjenerali raki porositi .,[0] -> [1] -> [2]
"Ish gruaja e tij ishte pak skiç në krahasim me pasqyrën dhe shikonte pasqyrimin e vet në pasqyrë , ndërsa Ernesti ishte pas saj , buzëqeshte dhe diç i bënte në kurriz .","Ish gruaja e tij ishte pak skiç në krahasim me pasqyrën dhe pasqyrimin e vet shikonte në pasqyrë , ndërsa Ernesti ishte pas saj , buzëqeshte dhe diç i bënte në kurriz .",[0] -> [1] -> [2]
Ai e përshkruan mendjen njerëzore si një pllakë shkrimi të pashkruar mbi të cilën mund të shkruhen të gjitha përvojat jetësore .,Ai e mendjen njerëzore përshkruan si një pllakë shkrimi të pashkruar mbi të cilën mund të shkruhen të gjitha përvojat jetësore .,[0] -> [1] -> [2]
"Për të shmangur një ngatërresë të mundshme kohësh , po them : ishte dhe është shtëpia e timeti .","Për të një ngatërresë të mundshme kohësh shmangur , po them : ishte dhe është shtëpia e timeti .",[0] -> [1] -> [2]
"Dizi është grua e bukur , jashtëzakonisht e bukur , e re , nja njëzet vjet më e re se im atë , me lëkurë tepër të bardhë e tipare të zeshkëta , flet me zë të ulët si të ketë frikë mos bezdisë njeri .","Dizi është grua e bukur , jashtëzakonisht e bukur , e re , nja njëzet vjet më e re se im atë , me lëkurë tepër të bardhë e tipare të zeshkëta , flet me zë të ulët si të frikë ketë mos bezdisë njeri .",[0] -> [1] -> [2]
Unë i e luajta syrin dhe prisha fytyrën për të i dhënë shenjë të heshtte .,Unë i e luajta syrin dhe prisha fytyrën për të i shenjë dhënë të heshtte .,[0] -> [1] -> [2]
"Dua të them statusin që më kanë caktuar e këtu kam parasysh llumin moral , i cili , pasi kalon nëpër një numër filtrash okultë , përfundon në lenten e mjekëve dhe policisë .","Dua të statusin që më kanë caktuar them e këtu kam parasysh llumin moral , i cili , pasi kalon nëpër një numër filtrash okultë , përfundon në lenten e mjekëve dhe policisë .",[0] -> [1] -> [2]
"Kur unë i dhashë zë asaj dëshire , mami vuri buzën në gaz dhe , duke harkuar vetullën e majtë , më kujtoi se , tashmë , nuk isha më një fëmijë .","Kur unë i dhashë zë asaj dëshire , mami vuri buzën në gaz dhe , duke vetullën e majtë harkuar , më kujtoi se , tashmë , nuk isha më një fëmijë .",[0] -> [1] -> [2]
"Prej kohësh unë kam patur punë edhe me policinë , edhe me mjekët , por nuk jam mbyllur ndonjëherë as në burg , as në çmendinë .","Prej kohësh unë kam punë patur edhe me policinë , edhe me mjekët , por nuk jam mbyllur ndonjëherë as në burg , as në çmendinë .",[0] -> [1] -> [2]
"- Ndoshta , do të e gjejmë , - tha prifti dhe uli sytë .","- Ndoshta , do të e gjejmë , - tha prifti dhe sytë uli .",[0] -> [1] -> [2]
Disa madje e mohojnë qenësinë e saj .,Disa madje e qenësinë e saj mohojnë .,[0] -> [1] -> [2]
"Isha i këputur , nuk gjeta forca të pyesja së paku ku ndodhesha , një trullosje më përpiu sërishmi , një rënie në boshllëk dhe më bëri përshtypje se kësaj radhe nuk dëgjova krisma .","Isha i këputur , nuk forca gjeta të pyesja së paku ku ndodhesha , një trullosje më përpiu sërishmi , një rënie në boshllëk dhe më bëri përshtypje se kësaj radhe nuk dëgjova krisma .",[0] -> [1] -> [2]
"Dua të them statusin që më kanë caktuar e këtu kam parasysh llumin moral , i cili , pasi kalon nëpër një numër filtrash okultë , përfundon në lenten e mjekëve dhe policisë .","Dua të them statusin që më kanë caktuar e këtu llumin moral kam parasysh , i cili , pasi kalon nëpër një numër filtrash okultë , përfundon në lenten e mjekëve dhe policisë .",[0] -> [1] -> [2]
"Për shembull , disa njerëz prodhojnë mjete , armë dhe bizhuteri .","Për shembull , disa njerëz mjete , armë dhe bizhuteri prodhojnë .",[0] -> [1] -> [2]
Evolucioni shoqëror si një fenomen ka në vete elemente të caktuara që mund të dëmtojnë popullsinë që shërben .,Evolucioni shoqëror si një fenomen elemente të caktuara që mund të dëmtojnë popullsinë që shërben ka në vete .,[0] -> [1] -> [2]
– Ku e di ti sa gishtërinjtë i ka nipi im në këmbën e djathtë kur nuk e ke parë ?,– Ku e di ti sa gishtërinjtë i nipi im ka në këmbën e djathtë kur nuk e ke parë ?,[0] -> [1] -> [2]
"Babai bie zëshëm shahadet e , pastaj , e pyet :","Babai shahadet bie zëshëm e , pastaj , e pyet :",[0] -> [1] -> [2]
Dëgjojmë lajmet dhe lexojmë artikujt që na japin statistika për të vdekurit në luftë .,lajmet Dëgjojmë dhe lexojmë artikujt që na japin statistika për të vdekurit në luftë .,[0] -> [1] -> [2]
