sen_str,swapped_sen_str,leaf_rule
በ ሄድ ኧ በ ት ሁሉ ልጆች ኡ ን ይዝ ኦ ይ ሄድ ኣል ።,በ ሄድ ኧ በ ት ሁሉ ይዝ ልጆች ኡ ን ኦ ይ ሄድ ኣል ።,[0] -> [4] -> [5] -> [7] -> [8]
ካሳ ጥይት ኡ ን ወደ እኔ አነጣጠር ኧ ።,ካሳ ወደ እኔ አነጣጠር ጥይት ኡ ን ኧ ።,[0] -> [4] -> [5] -> [7] -> [8]
አባት ና እናት ኡ ን እየ ጠየቅ ኧ ይ መላስ ኣል ።,አባት እየ ጠየቅ ና እናት ኡ ን ኧ ይ መላስ ኣል ።,[0] -> [4] -> [5] -> [7] -> [8]
ልጅ ኡ ኳስ ኡ ን አነስ ኣ ።,ልጅ ኡ አነስ ኳስ ኡ ን ኣ ።,[0] -> [4] -> [5] -> [7] -> [8]
እነሆ ልጅ ኤ ፈተና ው ን በ ከፍተኛ ውጤት አለፍ ኧ ።,እነሆ ልጅ ኤ በ ከፍተኛ ውጤት አለፍ ፈተና ው ን ኧ ።,[0] -> [4] -> [5] -> [7] -> [8]
አልማዝ ኳስ ኡ ን ወረወር ኧች ።,አልማዝ ወረወር ኳስ ኡ ን ኧች ።,[0] -> [4] -> [5] -> [7] -> [8]
ከ ሀብታም አጎት ኤ ገንዘብ አገኝ ኣል ኧሁ ብል ኦ ተስፋ ይ ኣደርግ ኣል ።,ከ ሀብታም አጎት ኤ አገኝ ገንዘብ ኣል ኧሁ ብል ኦ ተስፋ ይ ኣደርግ ኣል ።,[0] -> [4] -> [5] -> [7] -> [8]
አስቴር ምንም ገንዘብ የል ኣት ም ።,አስቴር የል ምንም ገንዘብ ኣት ም ።,[0] -> [4] -> [5] -> [7] -> [8]
ኩባንያ ው ውል ኡ ን አል ሰርዝ ም ኣል ኧ ።,ኩባንያ ው አል ሰርዝ ውል ኡ ን ም ኣል ኧ ።,[0] -> [4] -> [5] -> [7] -> [8]
ልጆች ኡ ስራ እንድ ይ ሰር ኡ ይ ደረግ ኣል ።,ልጆች ኡ እንድ ይ ሰር ስራ ኡ ይ ደረግ ኣል ።,[0] -> [4] -> [5] -> [7] -> [8]
አልማዝ ስጋ ገዝት ኣ ፣ ቀቅል ኣ በላ ኧች ።,አልማዝ ገዝት ስጋ ኣ ፣ ቀቅል ኣ በላ ኧች ።,[0] -> [4] -> [5] -> [7] -> [8]
አስቴር ለ ልጅ ኡ ምግብ ኡ ን ሰር ኣች ል ኧት ።,አስቴር ለ ልጅ ኡ ሰር ምግብ ኡ ን ኣች ል ኧት ።,[0] -> [4] -> [5] -> [7] -> [8]
በር ኡ ን ከፍት ኦ እ ቤት ገብት ኦ እቃ ው ን አዘጋጅት ኦ ቤት ኡ ን ጠርግ ኦ ሄድ ኧ ።,በር ኡ ን ከፍት ኦ እ ቤት ገብት ኦ አዘጋጅት እቃ ው ን ኦ ቤት ኡ ን ጠርግ ኦ ሄድ ኧ ።,[0] -> [4] -> [5] -> [7] -> [8]
ዳቦ በልት ኧን ወተት ጠጥት ኧን ጠግብ ኧን ተጓዝ ን ።,ዳቦ በልት ኧን ጠጥት ወተት ኧን ጠግብ ኧን ተጓዝ ን ።,[0] -> [4] -> [5] -> [7] -> [8]
መጥት ኦ የ እም ይ ሰራ ደሞዝ ይ ቀበል ኣል ።,መጥት ኦ የ እም ይ ሰራ ይ ቀበል ደሞዝ ኣል ።,[0] -> [4] -> [5] -> [7] -> [8]
ዓለሚቱ ተወዳጅ ጠባይ ኣል ኧ ኣት ።,ዓለሚቱ ኣል ተወዳጅ ጠባይ ኧ ኣት ።,[0] -> [4] -> [5] -> [7] -> [8]
ቤት ኡ ን ጠርግ ኧሽ ልብስ ኡ ን አጥብ ኧሽ ወጥ ሥር ኢ ።,ቤት ኡ ን ጠርግ ኧሽ አጥብ ልብስ ኡ ን ኧሽ ወጥ ሥር ኢ ።,[0] -> [4] -> [5] -> [7] -> [8]
ትምህርት ቤት በ ሄድ ኩ ቁጥር ኳስ እ ጫወ ኣል ኧሁ ።,ትምህርት ቤት በ ሄድ ኩ ቁጥር እ ጫወ ኳስ ኣል ኧሁ ።,[0] -> [4] -> [5] -> [7] -> [8]
ልጅ ኡ ብርጭቆ ው ን ወረወር ኧ ው ።,ልጅ ኡ ወረወር ብርጭቆ ው ን ኧ ው ።,[0] -> [4] -> [5] -> [7] -> [8]
ካሳ ሚስት ኡ ን ሸኝ ኧ ።,ካሳ ሸኝ ሚስት ኡ ን ኧ ።,[0] -> [4] -> [5] -> [7] -> [8]
