sen_str,swapped_sen_str,leaf_rule
τινὲς δὲ ἐξ αὐτῶν ἀπῆλθον πρὸς τοὺς Φαρισαίους καὶ εἶπαν αὐτοῖς ἃ ἐποίησεν Ἰησοῦς,τινὲς δὲ ἐξ αὐτῶν ἀπῆλθον πρὸς τοὺς Φαρισαίους καὶ εἶπαν αὐτοῖς ἐποίησεν ἃ Ἰησοῦς,[0] -> [1] -> [13]
ἐνέγκατε ἀπὸ τῶν ὀψαρίων ὧν ἐπιάσατε νῦν,ἐνέγκατε ἀπὸ τῶν ὀψαρίων ἐπιάσατε ὧν νῦν,[0] -> [1] -> [13]
ὁμολογῶ δὲ τοῦτό σοι ὅτι κατὰ τὴν ὁδὸν ἣν λέγουσιν αἵρεσιν οὕτως λατρεύω τῷ πατρῴῳ θεῷ πιστεύων πᾶσι τοῖς κατὰ τὸν νόμον καὶ τοῖς ἐν τοῖς προφήταις γεγραμμένοις ἐλπίδα ἔχων πρὸς τὸν θεόν ἣν καὶ αὐτοὶ οὗτοι προσδέχονται ἀνάστασιν μέλλειν ἔσεσθαι δικαίων τε καὶ ἀδίκων,ὁμολογῶ δὲ τοῦτό σοι ὅτι κατὰ τὴν ὁδὸν ἣν λέγουσιν αἵρεσιν οὕτως λατρεύω τῷ πατρῴῳ θεῷ πιστεύων πᾶσι τοῖς κατὰ τὸν νόμον καὶ τοῖς ἐν τοῖς προφήταις γεγραμμένοις ἐλπίδα ἔχων πρὸς τὸν θεόν καὶ αὐτοὶ οὗτοι προσδέχονται ἣν ἀνάστασιν μέλλειν ἔσεσθαι δικαίων τε καὶ ἀδίκων,[0] -> [1] -> [13]
καὶ ἐτελεύτησεν αὐτὸς καὶ οἱ πατέρες ἡμῶν καὶ μετετέθησαν εἰς Συχὲμ καὶ ἐτέθησαν ἐν τῷ μνήματι ᾧ ὠνήσατο Ἀβραὰμ τιμῆς ἀργυρίου παρὰ τῶν υἱῶν Ἑμμὼρ ἐν Συχέμ,καὶ ἐτελεύτησεν αὐτὸς καὶ οἱ πατέρες ἡμῶν καὶ μετετέθησαν εἰς Συχὲμ καὶ ἐτέθησαν ἐν τῷ μνήματι ὠνήσατο ᾧ Ἀβραὰμ τιμῆς ἀργυρίου παρὰ τῶν υἱῶν Ἑμμὼρ ἐν Συχέμ,[0] -> [1] -> [13]
ἀφορίσατε δή μοι τὸν Βαρνάβαν καὶ Σαῦλον εἰς τὸ ἔργον ὃ προσκέκλημαι αὐτούς,ἀφορίσατε δή μοι τὸν Βαρνάβαν καὶ Σαῦλον εἰς τὸ ἔργον προσκέκλημαι ὃ αὐτούς,[0] -> [1] -> [13]
"Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ , οὓς ἔτεκεν αὐτῷ Ἀσεννὲθ θυγάτηρ Πετεφρῇ ἱερέως Ἡλίου πόλεως .","Τῷ δὲ Ἰωσὴφ ἐγένοντο υἱοὶ δύο πρὸ τοῦ ἐλθεῖν τὰ ἑπτὰ ἔτη τοῦ λιμοῦ ἔτεκεν , οὓς αὐτῷ Ἀσεννὲθ θυγάτηρ Πετεφρῇ ἱερέως Ἡλίου πόλεως .",[0] -> [1] -> [13]
τίς γὰρ υἱὸς ὃν οὐ παιδεύει πατήρ,τίς γὰρ υἱὸς οὐ παιδεύει ὃν πατήρ,[0] -> [1] -> [13]
"τοῖς δὲ Λακεδαιμονίοις εἶπον , ὡς αὐτοὶ μὲν ἣν πρότερον ἐποιοῦντο φροντίδα τῆς Ἑλλάδος καὶ μετὰ ταῦτα πειράσονται τὴν αὐτὴν διαφυλάττειν , ἐκείνους δ̓ ἠξίουν τὴν ταχίστην ἐλθεῖν εἰς τὴν Ἀττικὴν μετὰ πάντων τῶν συμμάχων ·","τοῖς δὲ Λακεδαιμονίοις εἶπον , ὡς αὐτοὶ μὲν πρότερον ἐποιοῦντο ἣν φροντίδα τῆς Ἑλλάδος καὶ μετὰ ταῦτα πειράσονται τὴν αὐτὴν διαφυλάττειν , ἐκείνους δ̓ ἠξίουν τὴν ταχίστην ἐλθεῖν εἰς τὴν Ἀττικὴν μετὰ πάντων τῶν συμμάχων ·",[0] -> [1] -> [13]
ποιῆσαι ἔλεος μετὰ τῶν πατέρων ἡμῶν καὶ μνησθῆναι διαθήκης ἁγίας αὐτοῦ ὅρκον ὃν ὤμοσεν πρὸς Ἀβραὰμ τὸν πατέρα ἡμῶν τοῦ δοῦναι ἡμῖν ἀφόβως ἐκ χειρὸς ἐχθρῶν ῥυσθέντας λατρεύειν αὐτῷ ἐν ὁσιότητι καὶ δικαιοσύνῃ ἐνώπιον αὐτοῦ πάσας τὰς ἡμέρας ἡμῶν,ποιῆσαι ἔλεος μετὰ τῶν πατέρων ἡμῶν καὶ μνησθῆναι διαθήκης ἁγίας αὐτοῦ ὅρκον ὤμοσεν ὃν πρὸς Ἀβραὰμ τὸν πατέρα ἡμῶν τοῦ δοῦναι ἡμῖν ἀφόβως ἐκ χειρὸς ἐχθρῶν ῥυσθέντας λατρεύειν αὐτῷ ἐν ὁσιότητι καὶ δικαιοσύνῃ ἐνώπιον αὐτοῦ πάσας τὰς ἡμέρας ἡμῶν,[0] -> [1] -> [13]
"διέπεμπε δὲ πειρώμενος τῶν μαντηίων ὅ τι φρονέοιεν , ὡς εἰ φρονέοντα τὴν ἀληθείην εὑρεθείη , ἐπείρηται σφέα δεύτερα πέμπων εἰ ἐπιχειρέοι ἐπὶ Πέρσας στρατεύεσθαι .","διέπεμπε δὲ πειρώμενος τῶν μαντηίων φρονέοιεν ὅ τι , ὡς εἰ φρονέοντα τὴν ἀληθείην εὑρεθείη , ἐπείρηται σφέα δεύτερα πέμπων εἰ ἐπιχειρέοι ἐπὶ Πέρσας στρατεύεσθαι .",[0] -> [1] -> [13]
