sen_str,swapped_sen_str,leaf_rule
וְ אָכְלוּ אֹתָ ם אֲשֶׁר כֻּפַּר בָּ הֶם לְ מַלֵּא אֶת  יָדָ ם לְ קַדֵּשׁ אֹתָ ם וְ זָר לֹא  יֹאכַל כִּי  קֹדֶשׁ הֵֽם,וְ אָכְלוּ אֹתָ ם אֲשֶׁר כֻּפַּר בָּ הֶם לְ מַלֵּא אֶת  יָדָ ם לְ אֹתָ ם קַדֵּשׁ וְ זָר לֹא  יֹאכַל כִּי  קֹדֶשׁ הֵֽם,[0] -> [1] -> [2] -> [3] -> [5]
אֶֽעֱבֹר בְּ כָל  צֹֽאנְ ךָ הַ יֹּום הָסֵר מִ שָּׁם כָּל  שֶׂה  נָקֹד וְ טָלוּא וְ כָל  שֶׂה  חוּם בַּ ה כְּשָׂבִים וְ טָלוּא וְ נָקֹד בָּ ה עִזִּים וְ הָיָה שְׂכָרִֽ י,אֶֽעֱבֹר בְּ כָל  צֹֽאנְ ךָ הַ יֹּום כָּל  שֶׂה  נָקֹד וְ טָלוּא וְ כָל  שֶׂה  חוּם בַּ ה כְּשָׂבִים וְ טָלוּא וְ נָקֹד בָּ ה עִזִּים הָסֵר מִ שָּׁם וְ הָיָה שְׂכָרִֽ י,[0] -> [1] -> [2] -> [3] -> [5]
וַ יַּעַשׂ אֶת  הַ בַּדִּים עֲצֵי שִׁטִּים וַ יְצַף אֹתָ ם זָהָב לָ שֵׂאת אֶת  הַ שֻּׁלְחָֽן,וַ יַּעַשׂ אֶת  הַ בַּדִּים עֲצֵי שִׁטִּים וַ יְצַף אֹתָ ם זָהָב לָ אֶת  הַ שֻּׁלְחָֽן שֵׂאת,[0] -> [1] -> [2] -> [3] -> [5]
וְ הַ דָּגָה אֲשֶׁר  בַּ ה יְאֹר מֵתָה וַ יִּבְאַשׁ הַ יְאֹר וְ לֹא  יָכְלוּ מִצְרַיִם לִ שְׁתֹּות מַיִם מִן  הַ יְאֹר וַ יְהִי הַ דָּם בְּ כָל  אֶרֶץ מִצְרָֽיִם,וְ הַ דָּגָה אֲשֶׁר  בַּ ה יְאֹר מֵתָה וַ יִּבְאַשׁ הַ יְאֹר וְ לֹא  יָכְלוּ מִצְרַיִם לִ מַיִם שְׁתֹּות מִן  הַ יְאֹר וַ יְהִי הַ דָּם בְּ כָל  אֶרֶץ מִצְרָֽיִם,[0] -> [1] -> [2] -> [3] -> [5]
וַ יָּפֶץ הָ עָם בְּ כָל  אֶרֶץ מִצְרָיִם לְ קֹשֵׁשׁ קַשׁ לַ ה תֶּֽבֶן,וַ יָּפֶץ הָ עָם בְּ כָל  אֶרֶץ מִצְרָיִם לְ קַשׁ קֹשֵׁשׁ לַ ה תֶּֽבֶן,[0] -> [1] -> [2] -> [3] -> [5]
אַךְ בַּ חֲמִשָּׁה עָשָׂר יֹום לַ ה חֹדֶשׁ הַ שְּׁבִיעִי בְּ אָסְפְּ כֶם אֶת  תְּבוּאַת הָ אָרֶץ תָּחֹגּוּ אֶת  חַג  יְהוָה שִׁבְעַת יָמִים בַּ ה יֹּום הָֽ רִאשֹׁון שַׁבָּתֹון וּ בַ ה יֹּום הַ שְּׁמִינִי שַׁבָּתֹֽון,אַךְ בַּ חֲמִשָּׁה עָשָׂר יֹום לַ ה חֹדֶשׁ הַ שְּׁבִיעִי בְּ אֶת  תְּבוּאַת הָ אָרֶץ אָסְפְּ כֶם תָּחֹגּוּ אֶת  חַג  יְהוָה שִׁבְעַת יָמִים בַּ ה יֹּום הָֽ רִאשֹׁון שַׁבָּתֹון וּ בַ ה יֹּום הַ שְּׁמִינִי שַׁבָּתֹֽון,[0] -> [1] -> [2] -> [3] -> [5]
הֲ לֹא  זֶה הַ דָּבָר אֲשֶׁר דִּבַּרְנוּ אֵלֶי ךָ בְ מִצְרַיִם לֵ אמֹר חֲדַל מִמֶּ נּוּ וְ נַֽעַבְדָה אֶת  מִצְרָיִם כִּי טֹוב לָ נוּ עֲבֹד אֶת  מִצְרַיִם מִ מֻּתֵ נוּ בַּ ה מִּדְבָּֽר,הֲ לֹא  זֶה הַ דָּבָר אֲשֶׁר דִּבַּרְנוּ אֵלֶי ךָ בְ מִצְרַיִם לֵ אמֹר חֲדַל מִמֶּ נּוּ וְ נַֽעַבְדָה אֶת  מִצְרָיִם כִּי טֹוב לָ נוּ אֶת  מִצְרַיִם עֲבֹד מִ מֻּתֵ נוּ בַּ ה מִּדְבָּֽר,[0] -> [1] -> [2] -> [3] -> [5]
וְ אִשָּׁה אֶל  אֲחֹתָ הּ לֹא תִקָּח לִ צְרֹר לְ גַלֹּות עֶרְוָתָ הּ עָלֶי הָ בְּ חַיֶּֽי הָ,וְ אִשָּׁה אֶל  אֲחֹתָ הּ לֹא תִקָּח לִ צְרֹר לְ עֶרְוָתָ הּ גַלֹּות עָלֶי הָ בְּ חַיֶּֽי הָ,[0] -> [1] -> [2] -> [3] -> [5]
וָ אֵרֵד לְ הַצִּילֹ ו  מִ יַּד מִצְרַיִם וּֽ לְ הַעֲלֹתֹ ו מִן  הָ אָרֶץ הַ הִוא אֶל  אֶרֶץ טֹובָה וּ רְחָבָה אֶל  אֶרֶץ זָבַת חָלָב וּ דְבָשׁ אֶל  מְקֹום הַֽ כְּנַעֲנִי וְ הַ חִתִּי וְ הָֽ אֱמֹרִי וְ הַ פְּרִזִּי וְ הַ חִוִּי וְ הַ יְבוּסִֽי,וָ אֵרֵד לְ הַצִּילֹ ו  מִ יַּד מִצְרַיִם וּֽ לְ ו הַעֲלֹתֹ מִן  הָ אָרֶץ הַ הִוא אֶל  אֶרֶץ טֹובָה וּ רְחָבָה אֶל  אֶרֶץ זָבַת חָלָב וּ דְבָשׁ אֶל  מְקֹום הַֽ כְּנַעֲנִי וְ הַ חִתִּי וְ הָֽ אֱמֹרִי וְ הַ פְּרִזִּי וְ הַ חִוִּי וְ הַ יְבוּסִֽי,[0] -> [1] -> [2] -> [3] -> [5]
וַ יְהִי יִצְחָק בֶּן  אַרְבָּעִים שָׁנָה בְּ קַחְתֹּ ו אֶת  רִבְקָה בַּת  בְּתוּאֵל הָֽ אֲרַמִּי מִ פַּדַּן אֲרָם אֲחֹות לָבָן הָ אֲרַמִּי לֹ ו לְ אִשָּֽׁה,וַ יְהִי יִצְחָק בֶּן  אַרְבָּעִים שָׁנָה בְּ אֶת  רִבְקָה בַּת  בְּתוּאֵל הָֽ אֲרַמִּי מִ פַּדַּן אֲרָם אֲחֹות לָבָן הָ אֲרַמִּי קַחְתֹּ ו לֹ ו לְ אִשָּֽׁה,[0] -> [1] -> [2] -> [3] -> [5]
