sen_str,swapped_sen_str,leaf_rule
Sytuwakuru kamary awinhi myramana .,Sytuwakuru awinhi kamary myramana .,[0] -> [1] -> [3]
Ywa matxaka kaiãapuku maky .,Ywa kaiãapuku maky matxaka .,[0] -> [1] -> [3]
Uwa awary kaiãapukury ũimiakury .,Uwa kaiãapukury ũimiakury awary .,[0] -> [1] -> [3]
Uwa awa kaiãũpuku amarynyky .,Uwa kaiãũpuku amarynyky awa .,[0] -> [1] -> [3]
"Nynuwa makinhi iãtã , ũtanyry awa ykeku , ytanuru awa hãty ukieku apaka , ũimiakury apaka awa kekutxi makinhikana .","Nynuwa makinhi iãtã , ũtanyry ykeku awa , ytanuru awa hãty ukieku apaka , ũimiakury apaka awa kekutxi makinhikana .",[0] -> [1] -> [3]
Ywa kyky awa ykynypuku awinhi iãtã .,Ywa kyky ykynypuku awa awinhi iãtã .,[0] -> [1] -> [3]
Ĩthupa kuna awary iia pixune iatinhi .,Ĩthupa kuna iia pixune iatinhi awary .,[0] -> [1] -> [3]
"Inhinhiã iputurĩ mitekatinhi , inhinhiã ywa nerekary iia ãkiti kene inhinhiãwa ywa .","Inhinhiã iputurĩ mitekatinhi , inhinhiã ywa nerekary iia ãkiti kene ywa inhinhiãwa .",[0] -> [1] -> [3]
"Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .","Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , ywa pekana mapurupuwapekana awa .",[0] -> [1] -> [3]
Ykikiute kuna awary kumyry .,Ykikiute kuna kumyry awary .,[0] -> [1] -> [3]
"Ikanapiriãsaaky ywa amutary ysãkirawatinhi , iũkatsupatinhi .","Ikanapiriãsaaky ywa ysãkirawatinhi , iũkatsupatinhi amutary .",[0] -> [1] -> [3]
"Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .","Ywa apaka muture awa , ywa apaka awa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .",[0] -> [1] -> [3]
Hãtu sytu awa awinhi iãtã .,Hãtu sytu awinhi iãtã awa .,[0] -> [1] -> [3]
Inhinhiã ywa amutary tirikapikuwana aapukumunhi .,Inhinhiã ywa tirikapikuwana amutary aapukumunhi .,[0] -> [1] -> [3]
Uwa awary kaiãury ũimiakury .,Uwa kaiãury ũimiakury awary .,[0] -> [1] -> [3]
Ywa aapukutxi kuna awary ithure .,Ywa aapukutxi kuna ithure awary .,[0] -> [1] -> [3]
"Nynuwa makinhi iãtã awary ũtanyry keku , uwa apaka awary ukeku iãtã , apaka ũimiakury apaka awary ykeku .","Nynuwa makinhi iãtã ũtanyry keku awary , uwa apaka awary ukeku iãtã , apaka ũimiakury apaka awary ykeku .",[0] -> [1] -> [3]
"Nynuwa awary ximaky , awa nhipukury ithupa awakary , nynuwa awary iumyary apikumunhi amãnteere .","Nynuwa awary ximaky , awa nhipukury ithupa awakary , nynuwa iumyary apikumunhi amãnteere awary .",[0] -> [1] -> [3]
Ywa aapukutxi kuna awary tirikapikuwana .,Ywa aapukutxi kuna tirikapikuwana awary .,[0] -> [1] -> [3]
"Nynuwa makinhi iãtã awary ũtanyry keku , uwa apaka awary ukeku iãtã , apaka ũimiakury apaka awary ykeku .","Nynuwa makinhi iãtã awary ũtanyry keku , uwa apaka awary ukeku iãtã , apaka ũimiakury apaka ykeku awary .",[0] -> [1] -> [3]
"Ywa apaka awa muture , ywa apaka awa tsapyryky kamakyty , ywa pekana awa mapurupuwapekana .","Ywa apaka awa muture , ywa apaka tsapyryky kamakyty awa , ywa pekana awa mapurupuwapekana .",[0] -> [1] -> [3]
Ywa amarite kiumãtxitakary awa ãty xamynaky .,Ywa amarite kiumãtxitakary ãty xamynaky awa .,[0] -> [1] -> [3]
Ywa aapuku 'awary tirikapi .,Ywa aapuku tirikapi 'awary .,[0] -> [1] -> [3]
Ĩsũana myrykynyty itxa ximaky .,Ĩsũana ximaky myrykynyty itxa .,[0] -> [1] -> [3]
Ywa awary ykynypuku aapukutxiã .,Ywa ykynypuku awary aapukutxiã .,[0] -> [1] -> [3]
"Nynuwa makinhi iãtã awary ũtanyry keku , uwa apaka awary ukeku iãtã , apaka ũimiakury apaka awary ykeku .","Nynuwa makinhi iãtã awary ũtanyry keku , uwa apaka ukeku iãtã awary , apaka ũimiakury apaka awary ykeku .",[0] -> [1] -> [3]
"Uwa , ũimiakury ũtanyry awary aiku myremanary .","Uwa , ũimiakury ũtanyry aiku myremanary awary .",[0] -> [1] -> [3]
Ywa sykary maky atuku ãa tsupa apakapa ywa amutary tiitxi .,Ywa maky sykary atuku ãa tsupa apakapa ywa amutary tiitxi .,[0] -> [1] -> [3]
Kutxi ywa takatary paxupata aiku ãky .,Kutxi ywa paxupata takatary aiku ãky .,[0] -> [1] -> [3]
Naãtyru sytu anaakury .,sytu Naãtyru anaakury .,[0] -> [1] -> [3]
Inhinhiã kyky ithẽene pĩkare ãkiti .,Inhinhiã kyky ithẽene ãkiti pĩkare .,[0] -> [1] -> [3]
"Nynuwa makinhi iãtã , ũtanyry awa ykeku , ytanuru awa hãty ukieku apaka , ũimiakury apaka awa kekutxi makinhikana .","Nynuwa makinhi iãtã , ũtanyry awa ykeku , ytanuru hãty ukieku apaka awa , ũimiakury apaka awa kekutxi makinhikana .",[0] -> [1] -> [3]
"Ywa , ytãnurukata , imiakurykata awama awinhi mitharyã .","Ywa , ytãnurukata , imiakurykata awinhi mitharyã awama .",[0] -> [1] -> [3]
"Ĩkanapyryãkasaaky aapukumunhi , ywa awary inhakytu selula ; inhakytu kũputado awa , i apikumunhi tiitxi amutakita awa ywamunhi .","Ĩkanapyryãkasaaky aapukumunhi , ywa inhakytu selula awary ; inhakytu kũputado awa , i apikumunhi tiitxi amutakita awa ywamunhi .",[0] -> [1] -> [3]
"Ywa kuna awary ytsupa , txamary nynuwa kaiãapuku nhipukury .","Ywa kuna ytsupa awary , txamary nynuwa kaiãapuku nhipukury .",[0] -> [1] -> [3]
"Ywa hãty awinhi iãtã pasatxita nesesitatxi , ywa kananeã watxa ykynypuku awary .","Ywa hãty awinhi iãtã nesesitatxi pasatxita , ywa kananeã watxa ykynypuku awary .",[0] -> [1] -> [3]
