sen_str,swapped_sen_str,leaf_rule
"« Ինտերնետով հրապարակային ծանուցման ենթակա հայտարարության ընդունման , կայքը վարող անձին փոխանցման , կայքում հայտարարությունների տեղադրման և արխիվացման ժամկետների սահմանման կարգը և հայտարարության տեքստը ներկայացնելու էլեկտրոնային ձևաչափը հաստատելու մասին » Հայաստանի Հանրապետության կառավարություն որոշում","« Ինտերնետով հրապարակային ծանուցման ենթակա հայտարարության ընդունման , վարող կայքը անձին փոխանցման , կայքում հայտարարությունների տեղադրման և արխիվացման ժամկետների սահմանման կարգը և հայտարարության տեքստը ներկայացնելու էլեկտրոնային ձևաչափը հաստատելու մասին » Հայաստանի Հանրապետության կառավարություն որոշում",[0] -> [1] -> [19] -> [33]
"Չինարիների տակ նստոտած ու ծեսին սպասող մարդիկ հաջորդ օրը և հետագա ամբողջ կյանքում հիշեցին այդ կնոջ ասածը , որովհետև 1941 թվականի ամառային արևադարձին նախորդող օրվա երեկոյան Հաչա Քարի կատարները չվառվեցին , գիշերը լուսավոր չեղավ , իսկ առավոտյան ՝ պատերազմը մտավ Գյուղ , թակեց լուսամուտները , շրխկոցով բացեց բոլոր դռները , չափահաս տղամարդկանց շարք կանգնեցրեց ու տարավ ռազմաճակատ ։","Չինարիների տակ նստոտած ու ծեսին սպասող մարդիկ հաջորդ օրը և հետագա ամբողջ կյանքում հիշեցին այդ կնոջ ասածը , որովհետև 1941 թվականի նախորդող ամառային արևադարձին օրվա երեկոյան Հաչա Քարի կատարները չվառվեցին , գիշերը լուսավոր չեղավ , իսկ առավոտյան ՝ պատերազմը մտավ Գյուղ , թակեց լուսամուտները , շրխկոցով բացեց բոլոր դռները , չափահաս տղամարդկանց շարք կանգնեցրեց ու տարավ ռազմաճակատ ։",[0] -> [1] -> [19] -> [33]
"Հանդիպման ընթացքում քննարկվել են գյուղատնտեսության , սննդի արդյունաբերության , շինարարության , բանկային համակարգի , ոսկեգործության , ժամագործության և մասնագիտական կրթության ոլորտներում մի շարք ներդրումային ծրագրերի իրականացմանն առնչվող հարցեր :","Հանդիպման ընթացքում քննարկվել են առնչվող գյուղատնտեսության , սննդի արդյունաբերության , շինարարության , բանկային համակարգի , ոսկեգործության , ժամագործության և մասնագիտական կրթության ոլորտներում մի շարք ներդրումային ծրագրերի իրականացմանն հարցեր :",[0] -> [1] -> [19] -> [33]
"Այս առումով , դիմողի բերած այն փաստարկները , որոնք առնչվում են ՀՀ Նախագահի թեկնածուի գրանցմանը նախորդող գործընթացներին , անմիջականորեն չեն վերաբերում սույն գործով սահմանադրական դատարանին ներկայացված խնդրանքին :","Այս առումով , դիմողի բերած այն փաստարկները , որոնք առնչվում են նախորդող ՀՀ Նախագահի թեկնածուի գրանցմանը գործընթացներին , անմիջականորեն չեն վերաբերում սույն գործով սահմանադրական դատարանին ներկայացված խնդրանքին :",[0] -> [1] -> [19] -> [33]
Մայք Բարոնյանը վարչապետին է ներկայացրել նաև նորագույն տեխնոլոգիաների միջոցով էներգիայի արտադրությանը և պղնձի վերամշակմանն առնչվող ներդրումային այլ ծրագրեր :,Մայք Բարոնյանը վարչապետին է ներկայացրել նաև առնչվող նորագույն տեխնոլոգիաների միջոցով էներգիայի արտադրությանը և պղնձի վերամշակմանն ներդրումային այլ ծրագրեր :,[0] -> [1] -> [19] -> [33]
"Հայաստանում 2018-ին տնտեսական ակտիվության ցուցանիշը կազմել է 5,8 % , սպառողական գների ինդեքսը ՝ 2,5 % . Հայաստանի Հանրապետության վիճակագրական կոմիտեն հրապարակել է ՀՀ սոցիալ - տնտեսական վիճակը բնութագրող ընթացիկ - օպերատիվ ամփոփմամբ ստացված նախնական հիմնական մակրոտնտեսական ցուցանիշները ։","Հայաստանում 2018-ին տնտեսական ակտիվության ցուցանիշը կազմել է 5,8 % , սպառողական գների ինդեքսը ՝ 2,5 % . Հայաստանի Հանրապետության վիճակագրական կոմիտեն հրապարակել է բնութագրող ՀՀ սոցիալ - տնտեսական վիճակը ընթացիկ - օպերատիվ ամփոփմամբ ստացված նախնական հիմնական մակրոտնտեսական ցուցանիշները ։",[0] -> [1] -> [19] -> [33]
Նիկոլ Փաշինյանը Վարդան Սրմաքեշի հետ քննարկել է նաև « Հին Երևան » ծրագրի իրականացմանը վերաբերող հարցեր :,Նիկոլ Փաշինյանը Վարդան Սրմաքեշի հետ քննարկել է նաև վերաբերող « Հին Երևան » ծրագրի իրականացմանը հարցեր :,[0] -> [1] -> [19] -> [33]
"Ոչ մի տեղ չսովորող , ոչ մի տեղ չաշխատող , ժամանակը անիմաստ սպանող , օր օրի աճող իրենց էներգիան վտանգավոր ձևերով դրսևորող , կասկածելի առօրյայով ապրող այս ջահելների ՝ տղաների ու աղջիկների և նրանց թիկունքներին սարի պես կանգնած ծնողների , հայրերի մասին է ։","Ոչ մի տեղ չսովորող , ոչ մի տեղ չաշխատող , ժամանակը անիմաստ սպանող , վտանգավոր ձևերով դրսևորող օր օրի աճող իրենց էներգիան , կասկածելի առօրյայով ապրող այս ջահելների ՝ տղաների ու աղջիկների և նրանց թիկունքներին սարի պես կանգնած ծնողների , հայրերի մասին է ։",[0] -> [1] -> [19] -> [33]
Ամեն տարի աշնանային գիշերահավասարին նախորդող օրվա երեկոյան Մկաց Աղբյուրը հանկարծակի ժայթքում էր ։,Ամեն տարի նախորդող աշնանային գիշերահավասարին օրվա երեկոյան Մկաց Աղբյուրը հանկարծակի ժայթքում էր ։,[0] -> [1] -> [19] -> [33]
Հայ գրականության մեջ բարձրացրել է կնոջ դերին առնչվող հարցեր :,Հայ գրականության մեջ բարձրացրել է առնչվող կնոջ դերին հարցեր :,[0] -> [1] -> [19] -> [33]
"Ու հիմա մեծ միջնորմ էր խոյացած , բարձր ցանկապատ , որ ոչ անցք ուներ , որտեղից կարելի էր տեսնել մյուս կողմը , ոչ սանդուղք ՝ բարձրանալու համար վեր ու վերևից նայելու այն կողմը ՝ երազի պես մի տեղ , մղձավանջի պես մի բան , Եսայու էությանը հակառակ , աշխարհը անհասկանալի ու անտրամաբան դարձնող ...","Ու հիմա մեծ միջնորմ էր խոյացած , բարձր ցանկապատ , որ ոչ անցք ուներ , որտեղից կարելի էր տեսնել մյուս կողմը , ոչ սանդուղք ՝ բարձրանալու համար վեր ու վերևից նայելու այն կողմը ՝ երազի պես մի տեղ , մղձավանջի պես մի բան , Եսայու էությանը հակառակ , դարձնող աշխարհը անհասկանալի ու անտրամաբան ...",[0] -> [1] -> [19] -> [33]
