sen_str,swapped_sen_str,leaf_rule
"n ye nsiirinin sòrò yòrò min , n ye a bila yen .","n ye nsiirinin sòrò yòrò min , n ye bila a yen .",[0]
u ye muso nin kun tigè a la .,u ye tigè muso nin kun a la .,[0]
"syèfan fana yèlènna , ko syèdennin ka buguri cè ka a bila ale jukòrò ko ni ale binna ko ale tè ci .","syèfan fana yèlènna , ko syèdennin ka buguri cè ka bila a ale jukòrò ko ni ale binna ko ale tè ci .",[0]
"Namaramatu tagara don numunkè dò fè , ko e ma a ye fulakè nin bè n gèn wa ?","Namaramatu tagara don numunkè dò fè , ko e ma a ye fulakè nin bè gèn n wa ?",[0]
a sinna ka cènin fila yèlèma ka kè fònyòn ye diye boli .,a sinna ka yèlèma cènin fila ka kè fònyòn ye diye boli .,[0]
"lon kelen kèra , a denw ye dumunni kè .","lon kelen kèra , a denw ye kè dumunni .",[0]
a ye muso ta ka a di a ma .,a ye ta muso ka a di a ma .,[0]
"bòn , a seginna ka taga a ba fè , fo jinèmuso min ni Amadu Tara furula u ka jinèdugu la , jinèmuso nin nana ka na a nyini u ka dugu la .","bòn , a seginna ka taga a ba fè , fo jinèmuso min ni Amadu Tara furula u ka jinèdugu la , jinèmuso nin nana ka na nyini a u ka dugu la .",[0]
"bòn a ye a fò a ye ko a bè na sani dugu ka jè , ko a bèna a ta ko ka a segin , ko ni a ma a sòrò yen o la sa , ko o tuma na ko a tè se ka taga ni a ye , ko a tè se ka segin tugun .","bòn a ye a fò a ye ko a bè na sani dugu ka jè , ko a bèna a ta ko ka a segin , ko ni a ma sòrò a yen o la sa , ko o tuma na ko a tè se ka taga ni a ye , ko a tè se ka segin tugun .",[0]
"ko : n na , ko ne kun li !","ko : n na , ko li ne kun !",[0]
n ye a da nin de la .,n ye da a nin de la .,[0]
"a ko e ka kolonkala minè dòròn , i ka a susu .","a ko e ka minè kolonkala dòròn , i ka a susu .",[0]
"a ye o kògòba yèlèma o la , u ye o munumunu fo ka o fèn ka o kè kògòji ye , ka o kè kògòji ye .","a ye o kògòba yèlèma o la , u ye o munumunu fo ka fèn o ka o kè kògòji ye , ka o kè kògòji ye .",[0]
"a bolo tigèlen tuma min , jinamuso ye i kanto ko ne kò ani i ba kò , jòn nugulen bè ?","a bolo tigèlen tuma min , jinamuso ye kanto i ko ne kò ani i ba kò , jòn nugulen bè ?",[0]
"n ye o ye yòrò min , n ye o bila yen .","n ye o ye yòrò min , n ye bila o yen .",[0]
"tinòò , na ye a falennò kè .","tinòò , na ye kè a falennò .",[0]
a ye bamuso nyun .,a ye nyun bamuso .,[0]
a ye muso dun .,a ye dun muso .,[0]
"a ye ji bò , ka a ta ka a di jinamuso nyakelen ma , ka o fo .","a ye ji bò , ka ta a ka a di jinamuso nyakelen ma , ka o fo .",[0]
