sen_str,swapped_sen_str,leaf_rule
"Da Vadda hod se richte gfreit , ois a seine Kinda wieder gseng hod , wei er sie nua ungrn alloa glossn hod .","Da Vadda hod se richte gfreit , ois a seine Kinda wieder gseng hod , wei er nua ungrn alloa glossn sie hod .",[0] -> [14] -> [15]
wo und um wia vui Uhr ko I „ Titanic “ i m Kino oschaun ?,wo und um wia vui Uhr ko I i m Kino oschaun „ Titanic “ ?,[0] -> [14] -> [15]
Da Tom hot die Opfibutzen in ' Biomükübi ghaut .,Da Tom hot in ' Biomükübi ghaut die Opfibutzen .,[0] -> [14] -> [15]
"J-Pop hot a grouße Ehnlichkeit mit da koreanischen Popmusik ( K-Pop ) , sodass Laid , daj wou se ned damid auskenna , de zwoa Richtunga kamm ausanandhajdn kìnna .","J-Pop hot a grouße Ehnlichkeit mit da koreanischen Popmusik ( K-Pop ) , sodass Laid , daj wou se ned damid auskenna , kamm ausanandhajdn de zwoa Richtunga kìnna .",[0] -> [14] -> [15]
"Fia olle fümf Aung , de weja unda n' Ogsagtn is , grejgt oana vo eam a Fümfal , da nada deaf se grod so vui Fümfaln aus Haferl nemma .","Fia olle fümf Aung , de weja unda n' Ogsagtn is , grejgt oana vo eam a Fümfal , da nada deaf se nemma grod so vui Fümfaln aus Haferl .",[0] -> [14] -> [15]
I dad gern an Disch für 6 Leid um Simme bei m Sale e Pepe in Hirten reservieren .,I dad gern reservieren an Disch für 6 Leid um Simme bei m Sale e Pepe in Hirten .,[0] -> [14] -> [15]
Da Nachbar vo m Bäda hod an Zaun rot ogmoid .,Da Nachbar vo m Bäda hod rot ogmoid an Zaun .,[0] -> [14] -> [15]
"Untan Murad IV. san Kafäähaisa owa daun niedagrissn wuan und Kafäätrinka san deaoatig vafoigt wuan , dass es sea vüü Todesopfa deswegn gem hod .","Untan Murad IV. san Kafäähaisa owa daun niedagrissn wuan und Kafäätrinka san deaoatig vafoigt wuan , dass es deswegn gem sea vüü Todesopfa hod .",[0] -> [14] -> [15]
"Da Vadda hod se richte gfreit , ois a seine Kinda wieder gseng hod , wei er sie nua ungrn alloa glossn hod .","Da Vadda hod se richte gfreit , ois a wieder gseng seine Kinda hod , wei er sie nua ungrn alloa glossn hod .",[0] -> [14] -> [15]
"Neichare Analysn seit de 1990a Joah haum aundere Eagebnisse brocht , wia dass de Schneckn untaranaund vawaundt san .","Neichare Analysn seit de 1990a Joah haum brocht aundere Eagebnisse , wia dass de Schneckn untaranaund vawaundt san .",[0] -> [14] -> [15]
"I hob 's gwusst , dass i 's tuan kau .","I hob 's gwusst , dass i tuan 's kau .",[0] -> [14] -> [15]
"D' Gretel hod 's Broud unter d' Schiazn gnumma , weil da Hansl ja d' Stoana in da Daschn ghobt hod .","D' Gretel hod 's Broud unter d' Schiazn gnumma , weil da Hansl ja in da Daschn ghobt d' Stoana hod .",[0] -> [14] -> [15]
"De Kloaourler Wijd- und Fischliafarantn vo m Soizburga Erschzbischof homd a Kuahaut mid Moos ausgstopft , dass s ner Kua änlich gschaut houd und homd an da Stej vo m Moong a Packai Zindpuifer aiche do .","De Kloaourler Wijd- und Fischliafarantn vo m Soizburga Erschzbischof homd a Kuahaut mid Moos ausgstopft , dass s ner Kua änlich gschaut houd und homd an da Stej vo m Moong aiche do a Packai Zindpuifer .",[0] -> [14] -> [15]
Wer hot da 's Haxl gstölt ?,Wer hot da gstölt 's Haxl ?,[0] -> [14] -> [15]
Konnst du mia de Wegga ozoagn ?,Konnst du mia ozoagn de Wegga ?,[0] -> [14] -> [15]
