sen_str,swapped_sen_str,leaf_rule
mʔa i= buːn =oːk gʷʔaa ini =t =heːb /,mʔa i= buːn =oːk gʷʔaa =heːb ini =t /,[0] -> [1] -> [5]
jaː iraːnaj aːn hinin / tiːlaleːnan =i tiːlal =eː =ka // tʔa areː / geː / niraːkʷ =hoːk nijad =aj // malia doːr / dʔijaː =t rhiisa =hoːn eːn =heːb //,jaː iraːnaj aːn hinin / tiːlaleːnan =i tiːlal =eː =ka // tʔa areː / geː / niraːkʷ =hoːk nijad =aj // malia doːr / dʔijaː =t rhiisa =hoːn =heːb eːn //,[0] -> [1] -> [5]
mmm / w= ʔaji =iːsoːn giːgisni =hoːk nijad indi =hoːb / w= ʔaji =iːsoːk ka= giːgistaːn =heːb //,mmm / w= ʔaji =iːsoːn giːgisni =hoːk nijad indi =hoːb / w= ʔaji =iːsoːk ka= =heːb giːgistaːn //,[0] -> [1] -> [5]
ʔagar =t areː doːra =ji ʃagaaman =hoːb // ʔeːja =heːb ini / uːn i= raw =uːn i= gʷʔaʤi //,ʔagar =t areː doːra =ji ʃagaaman =hoːb // =heːb ʔeːja ini / uːn i= raw =uːn i= gʷʔaʤi //,[0] -> [1] -> [5]
tuːt tuː= trig / gʷidaːt asʔa doːr // tuː= trig diːseːt // tifirʔa =jeː doːr // naː =t rhan =t / aʃbib =eːk winneːt / i= liːli aː= kna / gʷida na rhjaːn =heːb /,tuːt tuː= trig / gʷidaːt asʔa doːr // tuː= trig diːseːt // tifirʔa =jeː doːr // naː =t rhan =t / aʃbib =eːk winneːt / i= liːli aː= kna / gʷida na =heːb rhjaːn /,[0] -> [1] -> [5]
ʔeːja =ajt =heːb /,=heːb ʔeːja =ajt /,[0] -> [1] -> [5]
naː =t timrija jhaka rhisa =heːb diːt / w= ʔoːr =oː ahiːt jʔiːni //,naː =t timrija jhaka =heːb rhisa diːt / w= ʔoːr =oː ahiːt jʔiːni //,[0] -> [1] -> [5]
eːn i= raw =eː =dha atdagʷiːgʷ =eːk ideːrn =heːb =ajt / barijoːk ʔaraːw iːkta andi indi //,eːn i= raw =eː =dha atdagʷiːgʷ =eːk =heːb ideːrn =ajt / barijoːk ʔaraːw iːkta andi indi //,[0] -> [1] -> [5]
allaː sallami =hoːk id =heːb //,allaː sallami =hoːk =heːb id //,[0] -> [1] -> [5]
abij =i giːgi andi =hoːk =aj // jaː ʔar baruːk baː= giːgsa =heːb indi //,abij =i giːgi andi =hoːk =aj // jaː ʔar baruːk baː= =heːb giːgsa indi //,[0] -> [1] -> [5]
jaː iraːni / w= ʔoːr beːt =heːb hiːreːreːtiːt / jʔeːtiːt =heːb // oːt / ti= karaːma ti= tifirʔi =jeːt / iktimn =heːb // deː =t =i // indi eːn //,jaː iraːni / w= ʔoːr beːt =heːb hiːreːreːtiːt / =heːb // jʔeːtiːt oːt / ti= karaːma ti= tifirʔi =jeːt / iktimn =heːb // deː =t =i // indi eːn //,[0] -> [1] -> [5]
tiːjiwaːj =eːk soːja =heːb /,tiːjiwaːj =eːk =heːb soːja /,[0] -> [1] -> [5]
iraːnaj // kak saknaj andi =hoːb / difa diːtiːt =heːb matjajin =heːb /,iraːnaj // kak saknaj andi =hoːb / difa diːtiːt =heːb =heːb matjajin /,[0] -> [1] -> [5]
i= mhiːn =i sʔeː // koːba =t =iːb iːfi =t / ʔaːmanaːj =t tam =i =t / sallamta =heːb ini //,i= mhiːn =i sʔeː // koːba =t =iːb iːfi =t / ʔaːmanaːj =t tam =i =t / =heːb sallamta ini //,[0] -> [1] -> [5]
jʔan =it =hoːk / mʔari =t / bak tʔiit =eː =naː =t =iː / hi =heːb ani =hoːk =hoːb // tindi eːn //,jʔan =it =hoːk / mʔari =t / bak tʔiit =eː =naː =t =iː / =heːb hi ani =hoːk =hoːb // tindi eːn //,[0] -> [1] -> [5]
afraj / tiweːr =heːb iraːnaj uː= tak ʔaraːw =i akajeː hoːj giːgista =ja / tidi =t =heːb //,afraj / =heːb tiweːr iraːnaj uː= tak ʔaraːw =i akajeː hoːj giːgista =ja / tidi =t =heːb //,[0] -> [1] -> [5]
iraːnaj miːmaʃa =ji dar =iː hasamani =t ti= naː =t =iːb // t= ʔadi saffiimtini =heːb han andi /,iraːnaj miːmaʃa =ji dar =iː hasamani =t ti= naː =t =iːb // t= ʔadi =heːb saffiimtini han andi /,[0] -> [1] -> [5]
da / bʔeː =b eːjaːn =heːb ini //,da / bʔeː =b =heːb eːjaːn ini //,[0] -> [1] -> [5]
