sen_str,swapped_sen_str,leaf_rule
Ne lavaras ket an den pelec'h e klevas an istor .,Ne lavaras ket an den pelec'h e an istor klevas .,[0] -> [10] -> [11]
eilañ ar grafik,ar grafik eilañ,[0] -> [10] -> [11]
Int a zeuy pa roy mammig dezh o arc'hant .,Int a zeuy pa arc'hant roy mammig dezh o .,[0] -> [10] -> [11]
Fentus eo pa soñjer e c'hallfe bezañ degemeret e Gwened e r mizioù a zeu ar ... Paris Sant - Jermen marteze .,Fentus eo pa soñjer e c'hallfe bezañ ar ... Paris Sant - Jermen degemeret e Gwened e r mizioù a zeu marteze .,[0] -> [10] -> [11]
Treiñ a ra an Douar en-dro d' an Heol ( 360° ) en ur ober 365 devezh .,Treiñ a ra an Douar en-dro d' an Heol ( 360° ) en ur 365 devezh ober .,[0] -> [10] -> [11]
N' he deus klasket zoken gwalc'hiñ he belo .,N' he deus klasket zoken he belo gwalc'hiñ .,[0] -> [10] -> [11]
Merket e vo poentoù gane oc'h pa dizhoc'h harnez ar c'hoarierien all .,Merket e vo poentoù gane oc'h pa harnez ar c'hoarierien all dizhoc'h .,[0] -> [10] -> [11]
37 gwazour o doa embannet o youl da luskañ an argerzh -se war o zachenn barregezh ha bremañ e kemeront perzh da gas ar c'houlzad war-raok ;,37 gwazour o doa embannet o youl da luskañ an argerzh -se war o zachenn barregezh ha bremañ e perzh kemeront da gas ar c'houlzad war-raok ;,[0] -> [10] -> [11]
En em vodañ a raio pennoù ar sindikadoù adarre hiziv evit gwelet penaos kas ar stourm war-raok .,En em vodañ a raio pennoù ar sindikadoù adarre hiziv evit gwelet penaos ar stourm kas war-raok .,[0] -> [10] -> [11]
Reiñ a reont un neuz c'hwekoc'h d' an tren ha gallout a reer krouiñ kinkladurioù gouloù gant o . »,Reiñ a reont un neuz c'hwekoc'h d' an tren ha gallout a reer kinkladurioù gouloù krouiñ gant o . »,[0] -> [10] -> [11]
Bremañ e welan he deus lennet Lenaig al levr .,Bremañ e welan he deus al levr lennet Lenaig .,[0] -> [10] -> [11]
Evit pennadurezhioù Frañs libr eo ret adsevel ar porzh a-raok pep tra .,Evit pennadurezhioù Frañs libr eo ret ar porzh adsevel a-raok pep tra .,[0] -> [10] -> [11]
E-kreiz ar reuz e voe kreñvaet o galloud gant an Duged ha krouet un danvez Stad vodern .,E-kreiz ar reuz e voe kreñvaet o galloud gant an Duged ha un danvez Stad vodern krouet .,[0] -> [10] -> [11]
Ma fell de oc'h kemer perzh e n Erer Yaouank e c'hellit lakaat hoc'h anv e-pad ur pennadig c'hoazh .,Ma fell de oc'h perzh kemer e n Erer Yaouank e c'hellit lakaat hoc'h anv e-pad ur pennadig c'hoazh .,[0] -> [10] -> [11]
Setu an den na gontas ket an istor d imp .,Setu an den na an istor gontas ket d imp .,[0] -> [10] -> [11]
Glac'harus e oa planedenn ar baotred yaouank -se a veze ret dezh o kuitaat o zud .,Glac'harus e oa planedenn ar baotred yaouank -se a veze ret dezh o o zud kuitaat .,[0] -> [10] -> [11]
Dibabet he deus Breizh ivez degas skoazell d' an deskadurezh uhel evit diorren ur c'hinnig stummañ kempouezet e-barzh ar vro .,Dibabet he deus Breizh ivez skoazell degas d' an deskadurezh uhel evit diorren ur c'hinnig stummañ kempouezet e-barzh ar vro .,[0] -> [10] -> [11]
2002 Lidañ a reer digoradur ar framm touristel degemer « Douar an Holen »,2002 digoradur ar framm touristel degemer « Douar an Holen » Lidañ a reer,[0] -> [10] -> [11]
Klask un abadenn,un abadenn Klask,[0] -> [10] -> [11]
Evel-se e tiwaller na vefe paouezet ho roll gant embanner un deiziadur Kenrouedad .,Evel-se e tiwaller na vefe ho roll paouezet gant embanner un deiziadur Kenrouedad .,[0] -> [10] -> [11]
Ar Vreizhiz a ranko deskiñ terkañ mat o bro ma fell dezh o mirout he neuz dibar dezh i .,Ar Vreizhiz a ranko deskiñ terkañ mat o bro ma fell dezh o he neuz dibar mirout dezh i .,[0] -> [10] -> [11]
Stlepel a reas e liñsel pell diout añ hag e frotas e elgez .,Stlepel a reas e liñsel pell diout añ hag e e elgez frotas .,[0] -> [10] -> [11]
Souezhus e vefe eta gwelet ur gall o c'hounit an tournamant e r bloaz -mañ .,Souezhus e vefe eta ur gall o c'hounit an tournamant e r bloaz -mañ gwelet .,[0] -> [10] -> [11]
Arabat de oc'h en em santout re gablus ma rit fazioù .,Arabat de oc'h en em santout re gablus ma fazioù rit .,[0] -> [10] -> [11]
An holl arc'hant dastumet a servijo da seveniñ raktresoù pe da brenañ dafar evit gwellaat degemer ar vugale e n ospitalioù .,An holl arc'hant dastumet a servijo da seveniñ raktresoù pe da brenañ dafar evit gwellaat ar vugale degemer e n ospitalioù .,[0] -> [10] -> [11]
"E deroù an naontekvet kantved e oa , d’an nebeutañ , 80% eus an dud o komz kembraeg .","E deroù an naontekvet kantved e oa , d’an nebeutañ , 80% eus an dud o kembraeg komz .",[0] -> [10] -> [11]
ur gevredigezh rannvroel e servij obererien sevenadurel ar c'humunioù war ar maez pe ar c'hêrioù krenn,ur gevredigezh rannvroel e obererien sevenadurel ar c'humunioù servij war ar maez pe ar c'hêrioù krenn,[0] -> [10] -> [11]
An hini ma lennan e levr a zo aze .,An hini ma e levr lennan a zo aze .,[0] -> [10] -> [11]
Dedennet eo gant an deskadurezh ha kemer a ra perzh e kevredigezhioù a bep seurt a stourm evit stummañ ar re yaouank .,Dedennet eo gant an deskadurezh ha perzh e kevredigezhioù a bep seurt a stourm evit stummañ ar re yaouank kemer a ra .,[0] -> [10] -> [11]
Me a yelo di hag a gavo an teñzor .,Me a yelo di hag a an teñzor gavo .,[0] -> [10] -> [11]
