sen_str,swapped_sen_str,leaf_rule
"Ερ να μη τα πασαρέψης , τζαι σένα χα σε φα , τζαι μένα χα με φα » .","Ερ να μη τα πασαρέψης , τζαι σένα χα φα σε , τζαι μένα χα με φα » .",[0] -> [1] -> [2]
"« Απιδέ στέρου να νάχω τ’ αχίλι μου σ ο τσουφάλι μου , τζαι αβούτζι να μη με ζαναχεύει αν πίσι λαχτόρι .","« Απιδέ στέρου να νάχω τ’ αχίλι μου σ ο τσουφάλι μου , τζαι αβούτζι να μη ζαναχεύει με αν πίσι λαχτόρι .",[0] -> [1] -> [2]
"Ερ συ να ΄υρέφ να ζήσεις πρέφτει σε ν’ τα δόσ’ με τη μία σ α δύο του τα τζουφάλε ν’ τα κρεμήσ’ ‘ς σ ο ποτάμι , τζαι να γαλιτζέψεις τ΄ άβγο του !","Ερ συ να ΄υρέφ να ζήσεις πρέφτει σε ν’ δόσ’ τα με τη μία σ α δύο του τα τζουφάλε ν’ τα κρεμήσ’ ‘ς σ ο ποτάμι , τζαι να γαλιτζέψεις τ΄ άβγο του !",[0] -> [1] -> [2]
« Με μένα τίς χα με κρατήσει τζαι μη με φήτζει νά 'ρτω αδέ ; »,« Με μένα τίς χα κρατήσει με τζαι μη με φήτζει νά 'ρτω αδέ ; »,[0] -> [1] -> [2]
"« Ερ να με θέκ σ ο χαπίσι » , είπεν τι το πουλπούλι , « γω γάτιεν τζο τραγωδώ » .","« Ερ να θέκ με σ ο χαπίσι » , είπεν τι το πουλπούλι , « γω γάτιεν τζο τραγωδώ » .",[0] -> [1] -> [2]
"Ήτουν σ α σέρε μου , κέσκε ν τα φάω τσας τα είχα σ α σέρε μου » .","Ήτουν σ α σέρε μου , κέσκε ν φάω τα τσας τα είχα σ α σέρε μου » .",[0] -> [1] -> [2]
"Ερ συ να ΄υρέφ να ζήσεις πρέφτει σε ν’ τα δόσ’ με τη μία σ α δύο του τα τζουφάλε ν’ τα κρεμήσ’ ‘ς σ ο ποτάμι , τζαι να γαλιτζέψεις τ΄ άβγο του !","Ερ συ να ΄υρέφ να ζήσεις πρέφτει σε ν’ τα δόσ’ με τη μία σ α δύο του τα τζουφάλε ν’ κρεμήσ’ τα ‘ς σ ο ποτάμι , τζαι να γαλιτζέψεις τ΄ άβγο του !",[0] -> [1] -> [2]
"Ερ να μη τα πασαρέψης , τζαι σένα χα σε φα , τζαι μένα χα με φα » .","Ερ να μη τα πασαρέψης , τζαι σένα χα σε φα , τζαι μένα χα φα με » .",[0] -> [1] -> [2]
"Ερ ν τα δος με τε τσίκκι σ α τρία του τσουφάλε , χα με παρ .","Ερ ν τα δος με τε τσίκκι σ α τρία του τσουφάλε , χα παρ με .",[0] -> [1] -> [2]
« Με μένα τίς χα με κρατήσει τζαι μη με φήτζει να νάρτω αδέ ; »,« Με μένα τίς χα κρατήσει με τζαι μη με φήτζει να νάρτω αδέ ; »,[0] -> [1] -> [2]
