sen_str,swapped_sen_str,leaf_rule
我 常常 一边 洗 澡 ， 一边 唱 歌 。,我 常常 一边 洗 澡 ， 一边 歌 唱 。,[0] -> [1] -> [2]
全球 板塊 構造力 的 影響 形成 了 東 非 大裂谷 ， 乞力馬扎羅山 和 肯尼亞山 位 於 東 非 ， 它們 是 非洲 最高 的 兩 個 山峰 。,全球 板塊 構造力 的 影響 東 非 大裂谷 形成 了 ， 乞力馬扎羅山 和 肯尼亞山 位 於 東 非 ， 它們 是 非洲 最高 的 兩 個 山峰 。,[0] -> [1] -> [2]
当时 这 三 人 正 在 批评 自己 乐团 中 的 主唱 ， 而 伊恩 则 在 演唱 会 结束 后 试 着 接近 三 人 的 乐团 ， 并 建议 他 可以 担任 主唱 。,当时 这 三 人 正 在 批评 自己 乐团 中 的 主唱 ， 而 伊恩 则 在 演唱 会 结束 后 试 着 三 人 的 乐团 接近 ， 并 建议 他 可以 担任 主唱 。,[0] -> [1] -> [2]
但是 ， 當 我 建議 她 去 找 法蘭克 （ Frank ） 當 她 的 模特 時 ， 她 大笑 。,但是 ， 當 我 建議 她 去 找 法蘭克 （ Frank ） 她 的 模特 當 時 ， 她 大笑 。,[0] -> [1] -> [2]
按 航空 法規 要求 ， 飛行 員 在 執行 標準 儀錶 程序 時 ， 必須 持有 當前 版本 的 標準 儀錶 離場 程序 文字 描述 。,按 航空 法規 要求 ， 飛行 員 在 標準 儀錶 程序 執行 時 ， 必須 持有 當前 版本 的 標準 儀錶 離場 程序 文字 描述 。,[0] -> [1] -> [2]
日本 FC 平台 的 前 两 作 通过 密码 记忆 系统 记录 进度 。,日本 FC 平台 的 前 两 作 通过 密码 记忆 系统 进度 记录 。,[0] -> [1] -> [2]
在 我们 公司 ， 几乎 每 个 人 都 会 说 英文 。,在 我们 公司 ， 几乎 每 个 人 都 会 英文 说 。,[0] -> [1] -> [2]
1995 年 8 月 和 1998 年 2 月 兩 次 有 人 試圖 刺殺 謝瓦爾德納澤 。,1995 年 8 月 和 1998 年 2 月 兩 次 有 人 試圖 謝瓦爾德納澤 刺殺 。,[0] -> [1] -> [2]
牠們 的 大小 及 毛色 與 西班牙 羱羊 相近 ， 傾向 褐色 而非 黑斑 。,牠們 的 大小 及 毛色 與 西班牙 羱羊 相近 ， 褐色 傾向 而非 黑斑 。,[0] -> [1] -> [2]
到 了 1966 年 ， 民都洛水牛 的 分佈 地 就 只 餘下 三 個 地區 ； 到 了 2000 年 ， 牠們 只 能 在 餘下 的 兩 個 地區 生活 。,到 了 1966 年 ， 民都洛水牛 的 分佈 地 就 只 餘下 三 個 地區 ； 到 了 2000 年 ， 牠們 只 能 餘下 的 兩 個 地區 在 生活 。,[0] -> [1] -> [2]
