sen_str,swapped_sen_str,leaf_rule
"Եւ Յիսուս ասէ ՝ հայր , թող դոցա ՝ զի ոչ գիտեն զինչ գործեն :","Եւ Յիսուս ասէ ՝ հայր , թող դոցա ՝ զի ոչ գիտեն գործեն զինչ :",[0] -> [1] -> [2] -> [3] -> [7]
զի ես յ անձնէ իմմէ ոչ խաւսեցայ ՝ այլ որ առաքեաց ն զ իս հայր նա ետ ինձ պատուէր զինչ ասացից եւ զինչ խաւսեցայց .,զի ես յ անձնէ իմմէ ոչ խաւսեցայ ՝ այլ որ առաքեաց ն զ իս հայր նա ետ ինձ պատուէր ասացից զինչ եւ զինչ խաւսեցայց .,[0] -> [1] -> [2] -> [3] -> [7]
եւ ոչ գիտէր զինչ խաւսէր :,եւ ոչ գիտէր խաւսէր զինչ :,[0] -> [1] -> [2] -> [3] -> [7]
Եւ դուք մի խնդրէք զինչ ուտիցէք . կամ զինչ ըմպիցէք ՝ եւ մի զբաղնուք ՝ զի զ այն ամենայն հեթանոսք աշխարհի խնդրեն : Այղ ձեր հայր գիտէ զի պիտոյ է այն ամենայն :,Եւ դուք մի խնդրէք ուտիցէք զինչ . կամ զինչ ըմպիցէք ՝ եւ մի զբաղնուք ՝ զի զ այն ամենայն հեթանոսք աշխարհի խնդրեն : Այղ ձեր հայր գիտէ զի պիտոյ է այն ամենայն :,[0] -> [1] -> [2] -> [3] -> [7]
Վասն այդորիկ ասեմ ձեզ ՝ մի հոգայք վասն ոգւոց ձերոց զինչ ուտիցէք կամ զինչ ըմպիցէք ՝ եւ մի վասն մարմնոց ձերոց եթե զինչ ագանիցիք ՝,Վասն այդորիկ ասեմ ձեզ ՝ մի հոգայք վասն ոգւոց ձերոց զինչ ուտիցէք կամ ըմպիցէք զինչ ՝ եւ մի վասն մարմնոց ձերոց եթե զինչ ագանիցիք ՝,[0] -> [1] -> [2] -> [3] -> [7]
Այղ յորժամ տանիցին զ ձեզ ի ժողովուրդս . եւ ի պետութիւնս եւ յ իշխանութիւնս . մի հոգայցէք որպէս թե զինչ պատասխանի տայցէք . կամ զինչ ասիցէք ՝ զի հոգի ն սուրբ ուսուսցէ զ ձեզ ի նմին ժամու զինչ պարտ իցէ խաւսել :,Այղ յորժամ տանիցին զ ձեզ ի ժողովուրդս . եւ ի պետութիւնս եւ յ իշխանութիւնս . մի հոգայցէք որպէս թե պատասխանի տայցէք զինչ . կամ զինչ ասիցէք ՝ զի հոգի ն սուրբ ուսուսցէ զ ձեզ ի նմին ժամու զինչ պարտ իցէ խաւսել :,[0] -> [1] -> [2] -> [3] -> [7]
"այղ ոչ ՞ ասիցէ ց նա թե պատրաստեա զինչ ընթրելոց իցեմ , եւ գաւտի ածեալ պաշտեա զ իս մինչ կերայց եւ արբից . եւ ապա կերիցես եւ արբցես դու ՝","այղ ոչ ՞ ասիցէ ց նա թե պատրաստեա ընթրելոց զինչ իցեմ , եւ գաւտի ածեալ պաշտեա զ իս մինչ կերայց եւ արբից . եւ ապա կերիցես եւ արբցես դու ՝",[0] -> [1] -> [2] -> [3] -> [7]
Եւ յ այն բան եկին աշակերտք ն նորա ՝ եւ զարմանային զի ընդ կնոջ ն խաւսէր ՝ բայց ոչ ոք ասաց ի նոցանէ թե զինչ խնդրես ՝ կամ զինչ խաւսիս ընդ դմա :,Եւ յ այն բան եկին աշակերտք ն նորա ՝ եւ զարմանային զի ընդ կնոջ ն խաւսէր ՝ բայց ոչ ոք ասաց ի նոցանէ թե խնդրես զինչ ՝ կամ զինչ խաւսիս ընդ դմա :,[0] -> [1] -> [2] -> [3] -> [7]
Այղ ես ասեմ ձեզ ՝ եթե Էղիա եկն ՝ եւ արարին ընդ նմա զինչ եւ կամեցան որպէս եւ գրեալ է վասն նորա :,Այղ ես ասեմ ձեզ ՝ եթե Էղիա եկն ՝ եւ արարին ընդ նմա եւ կամեցան զինչ որպէս եւ գրեալ է վասն նորա :,[0] -> [1] -> [2] -> [3] -> [7]
Եւ յ այն բան եկին աշակերտք ն նորա ՝ եւ զարմանային զի ընդ կնոջ ն խաւսէր ՝ բայց ոչ ոք ասաց ի նոցանէ թե զինչ խնդրես ՝ կամ զինչ խաւսիս ընդ դմա :,Եւ յ այն բան եկին աշակերտք ն նորա ՝ եւ զարմանային զի ընդ կնոջ ն խաւսէր ՝ բայց ոչ ոք ասաց ի նոցանէ թե զինչ խնդրես ՝ կամ խաւսիս զինչ ընդ դմա :,[0] -> [1] -> [2] -> [3] -> [7]
եւ իբրեւ մերձ եղեւ առ նա . եհարց զ նա եւ ասէ ՝ զինչ կամիս դու զի արարից քեզ ՝,եւ իբրեւ մերձ եղեւ առ նա . եհարց զ նա եւ ասէ ՝ կամիս զինչ դու զի արարից քեզ ՝,[0] -> [1] -> [2] -> [3] -> [7]
Եւ ասէ ց նոսա ՝ տեսէք զինչ լսէք դ ՝,Եւ ասէ ց նոսա ՝ տեսէք լսէք զինչ դ ՝,[0] -> [1] -> [2] -> [3] -> [7]
Եւ դուք մի խնդրէք զինչ ուտիցէք . կամ զինչ ըմպիցէք ՝ եւ մի զբաղնուք ՝ զի զ այն ամենայն հեթանոսք աշխարհի խնդրեն : Այղ ձեր հայր գիտէ զի պիտոյ է այն ամենայն :,Եւ դուք մի խնդրէք զինչ ուտիցէք . կամ ըմպիցէք զինչ ՝ եւ մի զբաղնուք ՝ զի զ այն ամենայն հեթանոսք աշխարհի խնդրեն : Այղ ձեր հայր գիտէ զի պիտոյ է այն ամենայն :,[0] -> [1] -> [2] -> [3] -> [7]
եւ ոչ գտանեին թե զինչ արասցեն . զի ժողովուրդ ն ամենայն կախեալ կային զ նմանէ ի լսել :,եւ ոչ գտանեին թե արասցեն զինչ . զի ժողովուրդ ն ամենայն կախեալ կային զ նմանէ ի լսել :,[0] -> [1] -> [2] -> [3] -> [7]
արձակեա զ ժողովուրդս դ ՝ զի երթեալ շուրջ յ ագարակս եւ ի գեաւղս . գնեսցեն իւրեանց զինչ ուտիցեն ՝ զի աստ ինչ ուտել ոչ ունին :,արձակեա զ ժողովուրդս դ ՝ զի երթեալ շուրջ յ ագարակս եւ ի գեաւղս . գնեսցեն իւրեանց ուտիցեն զինչ ՝ զի աստ ինչ ուտել ոչ ունին :,[0] -> [1] -> [2] -> [3] -> [7]
Պատասխանի ետ Յիսուս եւ ասէ ց նոսա ՝ ոչ գիտէք զինչ խնդրէք ՝ կարէք ՞ ըմպել զ բաժակ ն զ որ ես ըմպելոց եմ . կամ զ մկրտութիւն ն մկրտել զ որ ես մկրտելոց ն եմ ՝,Պատասխանի ետ Յիսուս եւ ասէ ց նոսա ՝ ոչ գիտէք խնդրէք զինչ ՝ կարէք ՞ ըմպել զ բաժակ ն զ որ ես ըմպելոց եմ . կամ զ մկրտութիւն ն մկրտել զ որ ես մկրտելոց ն եմ ՝,[0] -> [1] -> [2] -> [3] -> [7]
Նա ուրացաւ առաջի ամենեցուն եւ ասէ ՝ թե ոչ գիտեմ զինչ խաւսիս դ :,Նա ուրացաւ առաջի ամենեցուն եւ ասէ ՝ թե ոչ գիտեմ խաւսիս զինչ դ :,[0] -> [1] -> [2] -> [3] -> [7]
ահաւանիկ նոքա գիտեն զինչ ասացի ես :,ահաւանիկ նոքա գիտեն ասացի զինչ ես :,[0] -> [1] -> [2] -> [3] -> [7]
