sen_str,swapped_sen_str,leaf_rule
及 卒 京師 民 罷 市,卒 及 京師 民 罷 市,[0] -> [1]
蠟 燭 有 心 還 惜 別,蠟 燭 心 有 還 惜 別,[0] -> [1]
天姥 連 天 向 天 橫,天姥 天 連 向 天 橫,[0] -> [1]
奪 其 卮,其 卮 奪,[0] -> [1]
成 王 定 鼎 於 郟鄏,成 王 鼎 定 於 郟鄏,[0] -> [1]
即 位 袒,位 即 袒,[0] -> [1]
上 高 其 節,上 其 節 高,[0] -> [1]
至 周,周 至,[0] -> [1]
繼 世 以 立 諸 侯 象 賢 也,繼 世 以 諸 侯 立 象 賢 也,[0] -> [1]
宴 梅 道 士 山 房,梅 道 士 山 房 宴,[0] -> [1]
喻 其 志 也,其 志 喻 也,[0] -> [1]
凡 學 之 道 嚴 師 為 難,凡 學 之 道 師 嚴 為 難,[0] -> [1]
穎 進 兵 入 京師,穎 進 兵 京師 入,[0] -> [1]
由 命 士 以 下 皆 漱 澣,由 命 士 下 以 皆 漱 澣,[0] -> [1]
則 民 之 報 禮 重,則 民 之 禮 報 重,[0] -> [1]
武 王 以 武 功 去 民 之 菑,武 王 以 武 功 民 之 菑 去,[0] -> [1]
則 民 瞻 其 顏 色 而 不 與 爭 也,則 民 其 顏 色 瞻 而 不 與 爭 也,[0] -> [1]
博 學 無 方,博 學 方 無,[0] -> [1]
若 使 子 異 人 歸 而 得 立,若 子 異 人 使 歸 而 得 立,[0] -> [1]
子夏 之 徒 不 能 賛 一 辭,子夏 之 徒 不 能 一 辭 賛,[0] -> [1]
以 及 其 親,以 其 親 及,[0] -> [1]
以 事 孔甲,以 孔甲 事,[0] -> [1]
以 謝 魯,以 魯 謝,[0] -> [1]
舍 矢 如 破,矢 舍 如 破,[0] -> [1]
以 待 來 年,以 來 年 待,[0] -> [1]
謂 布,布 謂,[0] -> [1]
服 其 人,其 人 服,[0] -> [1]
夫 秦 捐 德 絕 命 之 日 久 矣,夫 秦 德 捐 絕 命 之 日 久 矣,[0] -> [1]
必 張 於 有 鳥 無 鳥 之 際,必 張 於 鳥 有 無 鳥 之 際,[0] -> [1]
是 故 因 天 事 天,是 故 因 天 天 事,[0] -> [1]
其 一 人 專 心 致 志,其 一 人 專 心 志 致,[0] -> [1]
多 權 詐,權 詐 多,[0] -> [1]
大 古 冠 布,大 古 布 冠,[0] -> [1]
量 時 度 力,時 量 度 力,[0] -> [1]
置 明 師 以 養 天 下 之 士,置 明 師 以 天 下 之 士 養,[0] -> [1]
北 齊 擊 突厥 遷 柔然,北 齊 擊 突厥 柔然 遷,[0] -> [1]
效 愚 忠,愚 忠 效,[0] -> [1]
攻 武昌 降 之,武昌 攻 降 之,[0] -> [1]
公 之 伐 蒲,公 之 蒲 伐,[0] -> [1]
不 如 無 知 也,不 如 知 無 也,[0] -> [1]
曰 禎明,禎明 曰,[0] -> [1]
可 得 聞 乎,可 聞 得 乎,[0] -> [1]
臣 左 手 把 其 袖 而 右 手 揕 抗 其 胸,臣 左 手 把 其 袖 而 右 手 其 胸 揕 抗,[0] -> [1]
所 以 合 好 掩 惡 也,所 以 好 合 掩 惡 也,[0] -> [1]
為 之 不 以 樂 食,為 之 不 樂 以 食,[0] -> [1]
養 庶 老 於 左 學,庶 老 養 於 左 學,[0] -> [1]
覺 有 變 欲 還,覺 變 有 欲 還,[0] -> [1]
下 殤 用 棺 衣 棺,下 殤 棺 衣 用 棺,[0] -> [1]
必 有 妖 孽,必 妖 孽 有,[0] -> [1]
固 無 請 人 之 妻 不 得 而 怨 人 者 也,固 無 人 之 妻 請 不 得 而 怨 人 者 也,[0] -> [1]
置 酒,酒 置,[0] -> [1]
凡 男 拜 尚 左 手,凡 男 拜 左 手 尚,[0] -> [1]
既 卒 哭 而 服 王 事,既 卒 哭 而 王 事 服,[0] -> [1]
恐 田 野 之 蕪 穢,田 野 之 蕪 穢 恐,[0] -> [1]
君 桉 救 魏,君 桉 魏 救,[0] -> [1]
故 善 戰 者 服 上 刑,故 善 戰 者 上 刑 服,[0] -> [1]
因 物 之 精,物 之 精 因,[0] -> [1]
古 之 人 三 月 無 君,古 之 人 三 月 君 無,[0] -> [1]
遷 尸 卒 斂,遷 尸 斂 卒,[0] -> [1]
種 稻 而 復 奪 之,稻 種 而 復 奪 之,[0] -> [1]
戒 六 神 與 嚮 服,六 神 與 嚮 服 戒,[0] -> [1]
私 得 寶 於 外 者 疾 入 諫,私 寶 得 於 外 者 疾 入 諫,[0] -> [1]
東 鄰 殺 牛,東 鄰 牛 殺,[0] -> [1]
以 迎 其 君子,以 其 君子 迎,[0] -> [1]
百 姓 聞 王 鍾 鼓 之 聲 管 籥 之 音,百 姓 鍾 鼓 之 聲 管 籥 之 音 聞 王,[0] -> [1]
以 瞽瞍 為 父 而 有 舜,以 瞽瞍 父 為 而 有 舜,[0] -> [1]
今 有 國 非 直 七 尺 軀 也,今 國 有 非 直 七 尺 軀 也,[0] -> [1]
與 趙 魏 共 滅 知 氏,與 趙 魏 共 知 氏 滅,[0] -> [1]
曰 國 門,國 門 曰,[0] -> [1]
必 圖 晉 楚,必 晉 楚 圖,[0] -> [1]
桐 始 華,桐 華 始,[0] -> [1]
必 有 後 憂,必 後 憂 有,[0] -> [1]
夫 武 之 備 戒 之 已 久,夫 武 之 備 之 戒 已 久,[0] -> [1]
然 後 能 服 天 下,然 後 能 天 下 服,[0] -> [1]
天 子 使 吏 治 其 國 而 納 其 貢 稅 焉,天 子 吏 使 治 其 國 而 納 其 貢 稅 焉,[0] -> [1]
王 以 五 城 賂 齊,王 以 五 城 齊 賂,[0] -> [1]
今 又 行 數 千 里 而 以 助 魏,今 又 數 千 里 行 而 以 助 魏,[0] -> [1]
使 秦 業 帝,使 秦 帝 業,[0] -> [1]
內 事 以 柔 日,內 事 柔 日 以,[0] -> [1]
信 伏 兵,信 兵 伏,[0] -> [1]
適 會 魏 公 子 無忌 奪 晉 鄙 軍,適 魏 公 子 無忌 會 奪 晉 鄙 軍,[0] -> [1]
過 則 勿 憚 改,過 則 勿 改 憚,[0] -> [1]
使 子貢 說 驂 而 賻 之,使 子貢 驂 說 而 賻 之,[0] -> [1]
非 好 卑 而 惡 尊 也,非 卑 好 而 惡 尊 也,[0] -> [1]
終 始 如 一,終 始 一 如,[0] -> [1]
秦 之 欲 并 天 下 而 王 之 也,秦 之 欲 天 下 并 而 王 之 也,[0] -> [1]
人 亦 寧 朝 人 耳,人 亦 寧 人 朝 耳,[0] -> [1]
天 無 烈 風 淫 雨,天 烈 風 淫 雨 無,[0] -> [1]
以 求 見,以 見 求,[0] -> [1]
秦 令 起 賈 禁 之,秦 起 賈 令 禁 之,[0] -> [1]
殺 人 莫 敢 前,人 殺 莫 敢 前,[0] -> [1]
惟 以 割 地 責 金 幣 和 議 爲 辭,惟 以 割 地 金 幣 責 和 議 爲 辭,[0] -> [1]
豈 若 匹 夫 匹 婦 之 為 諒 也,豈 若 匹 夫 匹 婦 之 諒 為 也,[0] -> [1]
諸 侯 惡 魏 必 事 韓,諸 侯 惡 魏 必 韓 事,[0] -> [1]
若 有 疾 風 迅 雷 甚 雨,若 疾 風 迅 雷 甚 雨 有,[0] -> [1]
則 民 終 身 不 得 安,則 民 終 身 不 安 得,[0] -> [1]
分 部 悉 捕 諸 呂,部 分 悉 捕 諸 呂,[0] -> [1]
使 之 脩 德 學 道,使 之 脩 德 道 學,[0] -> [1]
功 不 什 者 不 易 器,功 不 什 者 不 器 易,[0] -> [1]
感 遇,遇 感,[0] -> [1]
