sen_str,swapped_sen_str,leaf_rule
Izgleda da tvrtka kojoj je Vlada RH dala koncesiju za marinu s 203 priveza u prirodnoj uvali u samom centru Sutomišćice do 2037. godine već godinama ne podmiruje svoje obveze ni prema državi ni prema poslovnim partnerima .,Izgleda da tvrtka je Vlada RH dala kojoj koncesiju za marinu s 203 priveza u prirodnoj uvali u samom centru Sutomišćice do 2037. godine već godinama ne podmiruje svoje obveze ni prema državi ni prema poslovnim partnerima .,[0] -> [1] -> [15]
"Iako je Stefanović pokušao predstaviti sporazume kao nešto što će unaprijediti život kosovskih Srba , oporba ga je oštro optužila za ugrožavanje državnih interesa .","Iako je Stefanović pokušao predstaviti sporazume kao nešto će unaprijediti što život kosovskih Srba , oporba ga je oštro optužila za ugrožavanje državnih interesa .",[0] -> [1] -> [15]
"Rumunjski grad Sibiu , zajedno s Luxembourgom , bit će Europski glavni grad kulture u 2007. godini na temelju odluke koju je Vijeće EU donijelo ranije ove godine .","Rumunjski grad Sibiu , zajedno s Luxembourgom , bit će Europski glavni grad kulture u 2007. godini na temelju odluke je Vijeće EU donijelo koju ranije ove godine .",[0] -> [1] -> [15]
"Vijeće preuzima nadležnost izbora i razrješenja sudaca , za što su ranije bili zaduženi zastupnici parlamenta .","Vijeće preuzima nadležnost izbora i razrješenja sudaca , su ranije bili zaduženi za što zastupnici parlamenta .",[0] -> [1] -> [15]
"Profesori pomažu svojim odgajanicima da uđu šire i dublje u sadržaje nastavnih predmeta koje su učili u osnovnoj školi , odnosno upoznavaju ih sa sadržajima o svijetu i sebi s kojima se susreću prvi put .","Profesori pomažu svojim odgajanicima da uđu šire i dublje u sadržaje nastavnih predmeta su učili koje u osnovnoj školi , odnosno upoznavaju ih sa sadržajima o svijetu i sebi s kojima se susreću prvi put .",[0] -> [1] -> [15]
Za jadnu dječicu koga briga .,Za jadnu dječicu briga koga .,[0] -> [1] -> [15]
Od ostalih vijesti iz kulture : srpska učenica ušla je u polufinale foto natjecanja koje organizira Google .,Od ostalih vijesti iz kulture : srpska učenica ušla je u polufinale foto natjecanja organizira koje Google .,[0] -> [1] -> [15]
"Sve ostale "" nebankovne "" institucije u protekle su se dvije godine suočile s pojačanim oprezom ulagača , utjecajem recesije , poljuljanim povjerenjem i investicijskim raspoloženjem , što su posebice osjetili akteri u segmentu otvorenih investicijskih fondova .","Sve ostale "" nebankovne "" institucije u protekle su se dvije godine suočile s pojačanim oprezom ulagača , utjecajem recesije , poljuljanim povjerenjem i investicijskim raspoloženjem , su posebice osjetili što akteri u segmentu otvorenih investicijskih fondova .",[0] -> [1] -> [15]
Otkup dijela dionica koji je zabranjen Divčevoj kompaniji dozvoljen je skupini malih dioničara koje predvodi glavni i odgovorni urednik i glavni ravnatelj Večernjih novosti Manojlo Vukotić .,Otkup dijela dionica koji je zabranjen Divčevoj kompaniji dozvoljen je skupini malih dioničara predvodi koje glavni i odgovorni urednik i glavni ravnatelj Večernjih novosti Manojlo Vukotić .,[0] -> [1] -> [15]
""" Ljudi sa strane mogu pomoći , ali zainteresirane strane moraju prikupiti viziju , hrabrost i političku volju potrebnu za postizanje sporazuma , sa svim elementima koje podrazumijeva kompromis "" , kazao je Prendergast .",""" Ljudi sa strane mogu pomoći , ali zainteresirane strane moraju prikupiti viziju , hrabrost i političku volju potrebnu za postizanje sporazuma , sa svim elementima podrazumijeva koje kompromis "" , kazao je Prendergast .",[0] -> [1] -> [15]
"Budući da 32 - bitni i 64 - bitni Windowsi koštaju jednako , nije teško zaključiti da je ovu varijantu radne stanice Z200 proizvođač namijenio korisnicima koji imaju potrebu za većim procesorskim performansama , no i dalje rade sa starim verzijama aplikacija kojima ne odgovaraju 64-bitni ili općenito moderni Microsoftovi OS-ovi .","Budući da 32 - bitni i 64 - bitni Windowsi koštaju jednako , nije teško zaključiti da je ovu varijantu radne stanice Z200 proizvođač namijenio korisnicima koji imaju potrebu za većim procesorskim performansama , no i dalje rade sa starim verzijama aplikacija ne odgovaraju kojima 64-bitni ili općenito moderni Microsoftovi OS-ovi .",[0] -> [1] -> [15]
"Ono što vam sa sigurnošću mogu reći jest da će do kraja 2002. godine svaki telefonski račun sadržavati kompletan izlist svakog pojedinog telefonskog razgovora , vrijeme trajanja razgovora i broj koji ste nazvali .","Ono vam sa sigurnošću mogu što reći jest da će do kraja 2002. godine svaki telefonski račun sadržavati kompletan izlist svakog pojedinog telefonskog razgovora , vrijeme trajanja razgovora i broj koji ste nazvali .",[0] -> [1] -> [15]
"Budući da taj stupanj nije sinkroniziran pri šaltanju je potrebno potpuno stati , za što nestrpljivi dio vozača nije imao dovoljno strpljenja .","Budući da taj stupanj nije sinkroniziran pri šaltanju je potrebno potpuno stati , nestrpljivi dio vozača nije imao za što dovoljno strpljenja .",[0] -> [1] -> [15]
"Investitorima se uloženi kapital obično vrati već kroz priključne takse koje plaćaju korisnici , dok se ostatak investicije pokrije poticajima i povoljnim kreditima .","Investitorima se uloženi kapital obično vrati već kroz priključne takse plaćaju koje korisnici , dok se ostatak investicije pokrije poticajima i povoljnim kreditima .",[0] -> [1] -> [15]
"Turski pisac Orhan Pamuk primio je Nobelovu nagradu za književnost na ceremoniji koja je u ponedjeljak ( 11. prosinac ) održana u Stockholmu , a kojoj je nazočilo 1.600 gostiju i švedska kraljevska obitelj .","Turski pisac Orhan Pamuk primio je Nobelovu nagradu za književnost na ceremoniji koja je u ponedjeljak ( 11. prosinac ) održana u Stockholmu , a je nazočilo kojoj 1.600 gostiju i švedska kraljevska obitelj .",[0] -> [1] -> [15]
"Osim toga , tri zemlje koje se nadaju prijamu u Savez -- Albanija , Hrvatska i Makedonija -- pohvaljene su za napredak kojeg su nedavno postigle , ali im nije navješteno kada bi mogle postati članice NATO-a .","Osim toga , tri zemlje koje se nadaju prijamu u Savez -- Albanija , Hrvatska i Makedonija -- pohvaljene su za napredak su nedavno postigle kojeg , ali im nije navješteno kada bi mogle postati članice NATO-a .",[0] -> [1] -> [15]
"Troje ostalih članova Vijeća bit će izabrani u parlamentu nakon otvorenog natječaja , a dvoje članova koje predloži predsjednik izabrat će zastupnici .","Troje ostalih članova Vijeća bit će izabrani u parlamentu nakon otvorenog natječaja , a dvoje članova predloži koje predsjednik izabrat će zastupnici .",[0] -> [1] -> [15]
"U nedavnom izvješću Glasa Rusije navodi se da ta zemlja pokušava uspostaviti međunarodnu "" petorku "" , koju bi činile Albanija , Makedonija , Crna Gora , Rusija i Srbija .","U nedavnom izvješću Glasa Rusije navodi se da ta zemlja pokušava uspostaviti međunarodnu "" petorku "" , bi činile koju Albanija , Makedonija , Crna Gora , Rusija i Srbija .",[0] -> [1] -> [15]
"Takav rezultat smo i očekivali s obzirom na ulaganja u nove knjižare , kao i kulturna događanja koja smo organizirali , kaže Krunić i dodaje da je u Rijeci otvorena nova knjižara .","Takav rezultat smo i očekivali s obzirom na ulaganja u nove knjižare , kao i kulturna događanja smo organizirali koja , kaže Krunić i dodaje da je u Rijeci otvorena nova knjižara .",[0] -> [1] -> [15]
"Pokret Vetvendosje , koji je osnovao Albin Kurti , postoji dulje vrijeme i poznat je po odlučnom protivljenju UN-ovoj upravi na Kosovu i Ahtisaarijevom planu .","Pokret Vetvendosje , je osnovao koji Albin Kurti , postoji dulje vrijeme i poznat je po odlučnom protivljenju UN-ovoj upravi na Kosovu i Ahtisaarijevom planu .",[0] -> [1] -> [15]
"Analitičari su pronašli i iznimno visoke vrijednosti za određene kemijske zagađivače , za koje se čini kako su prisutni samo u nekim područjima , te su izrazili zabrinutost razinama određenih pesticida .","Analitičari su pronašli i iznimno visoke vrijednosti za određene kemijske zagađivače , se čini za koje kako su prisutni samo u nekim područjima , te su izrazili zabrinutost razinama određenih pesticida .",[0] -> [1] -> [15]
"Izložba , koju je organiziralo bugarsko veleposlanstvo , trajat će do 27. prosinca .","Izložba , je organiziralo koju bugarsko veleposlanstvo , trajat će do 27. prosinca .",[0] -> [1] -> [15]
"Izaslanik UN-a predstavit će u petak svoj prijedlog rješenja za Kosovo visokim dužnosnicima šesteročlane Kontakt skupine , koju čine Britanija , Francuska , Njemačka , Italija , Rusija i Sjedinjene Države .","Izaslanik UN-a predstavit će u petak svoj prijedlog rješenja za Kosovo visokim dužnosnicima šesteročlane Kontakt skupine , čine koju Britanija , Francuska , Njemačka , Italija , Rusija i Sjedinjene Države .",[0] -> [1] -> [15]
"Jer , za razliku od onog što autor tvrdi , upravo je naš život , a ne život općenito , ono što cijenimo .","Jer , za razliku od onog što autor tvrdi , upravo je naš život , a ne život općenito , ono cijenimo što .",[0] -> [1] -> [15]
""" Zatražili smo od ministarstva obrane da osigura neke nekorištene vojarne , koje bismo pretvorili u centre za azilante "" , izjavio je za SETimes povjerenik za izbjeglice Vladimir Cucić .",""" Zatražili smo od ministarstva obrane da osigura neke nekorištene vojarne , bismo pretvorili koje u centre za azilante "" , izjavio je za SETimes povjerenik za izbjeglice Vladimir Cucić .",[0] -> [1] -> [15]
"Pa zar smo i u današnjim vremenima spali na pokuse koje će provoditi neki novi zločinci , ili barem ljudi bez savjesti .","Pa zar smo i u današnjim vremenima spali na pokuse će provoditi koje neki novi zločinci , ili barem ljudi bez savjesti .",[0] -> [1] -> [15]
"Osim toga imamo u planu ići sa peticijom registra HR. branitelja koju pozdravljaju svi diljem Lijepe naše , naravno osim onih koji su svoja prava stekli na nezakonit način i onih koji su im ih davali .","Osim toga imamo u planu ići sa peticijom registra HR. branitelja pozdravljaju koju svi diljem Lijepe naše , naravno osim onih koji su svoja prava stekli na nezakonit način i onih koji su im ih davali .",[0] -> [1] -> [15]
Mirjana Marinković iz Pridvorja kaže da su joj vukovi uzeli psa koji je bio pred kućom i odnijeli do škole koju pohađaju djeca od prvog do četvrtog razreda .,Mirjana Marinković iz Pridvorja kaže da su joj vukovi uzeli psa koji je bio pred kućom i odnijeli do škole pohađaju koju djeca od prvog do četvrtog razreda .,[0] -> [1] -> [15]
"Bosanci se pripremaju za utjecaj izmjene , za koju brojni ekonomski stručnjaci očekuju kako će izazvati povećanje cijena do 20 posto .","Bosanci se pripremaju za utjecaj izmjene , brojni ekonomski stručnjaci očekuju za koju kako će izazvati povećanje cijena do 20 posto .",[0] -> [1] -> [15]
"Naime , kako je izravno ovisan o vezi s Internetom , jasno je kako je više namijenjen preventivi nego čišćenju već zaraženog računala jer , ako zaraza prođe mrežu koju je raspleo , vrlo vjerojatno će prvo stradati upravo njegova veza sa poslužiteljima ( treba imati na umu kako postoji manja lokalna baza s definicijama koja se koristi u slučaju prekida veze ) .","Naime , kako je izravno ovisan o vezi s Internetom , jasno je kako je više namijenjen preventivi nego čišćenju već zaraženog računala jer , ako zaraza prođe mrežu je raspleo koju , vrlo vjerojatno će prvo stradati upravo njegova veza sa poslužiteljima ( treba imati na umu kako postoji manja lokalna baza s definicijama koja se koristi u slučaju prekida veze ) .",[0] -> [1] -> [15]
Nikome ne objašnjavamo da je taj proizvod apsolutno pogodio sve što nam treba .,Nikome ne objašnjavamo da je taj proizvod apsolutno pogodio sve nam treba što .,[0] -> [1] -> [15]
"Kad razgovarate s ljudima , ne slušajte samo što vam govore , slušajte i što zapravo ŽELE nekad su to sasvim dva vrlo različita pojma .","Kad razgovarate s ljudima , ne slušajte vam govore samo što , slušajte i što zapravo ŽELE nekad su to sasvim dva vrlo različita pojma .",[0] -> [1] -> [15]
"U međuvremenu , premijer Crne Gore Milo Đukanović , izjavio je kako jugoistočna Europa ulazi u fazu veće stabilnosti , koju među ostalim dokazuje i odluka EBRD-a o sastanku u Beogradu .","U međuvremenu , premijer Crne Gore Milo Đukanović , izjavio je kako jugoistočna Europa ulazi u fazu veće stabilnosti , među ostalim dokazuje koju i odluka EBRD-a o sastanku u Beogradu .",[0] -> [1] -> [15]
"Međutim , sada vidim da ima istine u onome što je rekao .","Međutim , sada vidim da ima istine u onome je rekao što .",[0] -> [1] -> [15]
""" Jedina ponuda koju nisam mogao odbiti bila je ponuda 26 drugih zemalja "" , rekao je .",""" Jedina ponuda nisam mogao koju odbiti bila je ponuda 26 drugih zemalja "" , rekao je .",[0] -> [1] -> [15]
Banke će učiniti sve što mogu da prodaju stanove koje su financirale .,Banke će učiniti sve što mogu da prodaju stanove su financirale koje .,[0] -> [1] -> [15]
