sen_str,swapped_sen_str,leaf_rule
"V kuchyni jako nevidím , co sníš , ale tady to nemohu přehlédnout ! ""","V kuchyni jako nevidím , sníš co , ale tady to nemohu přehlédnout ! """,[0] -> [1] -> [17]
"Nesmí spoléhat na elektrikáře , který ostatně sám žádné velké změny nemůže dělat a žárovky na pracovišti vyměňuje většinou podle toho , jaké má náhodou na skladě .","Nesmí spoléhat na elektrikáře , který ostatně sám žádné velké změny nemůže dělat a žárovky na pracovišti vyměňuje většinou podle toho , má jaké náhodou na skladě .",[0] -> [1] -> [17]
"A já ho budu odbírat dál , protože plavci plzeňské Slávie VŠ vědí , co chtějí , chtějí toho dosáhnout a pracují pro to tak , jak nejlépe umějí .","A já ho budu odbírat dál , protože plavci plzeňské Slávie VŠ vědí , chtějí co , chtějí toho dosáhnout a pracují pro to tak , jak nejlépe umějí .",[0] -> [1] -> [17]
"Ano , ležel tam někdo , kdo se kdysi jmenoval stejně jako já , někdo , koho jsem vůbec nikdy neznal a kdo neznal mě .","Ano , ležel tam někdo , kdo se kdysi jmenoval stejně jako já , někdo , jsem vůbec nikdy neznal koho a kdo neznal mě .",[0] -> [1] -> [17]
"Cíle , který si výtvarnice vytkla , ukázat návštěvníkům výstavy v Moskvě módu , jakou máme rádi , se jí podařilo dosáhnout .","Cíle , který si výtvarnice vytkla , ukázat návštěvníkům výstavy v Moskvě módu , máme jakou rádi , se jí podařilo dosáhnout .",[0] -> [1] -> [17]
"A na tyhle útržky napište šestnáct největších hodnot , jaké v životě máte , šestnáct věcí , na nichž vám v životě nejvíc záleží .","A na tyhle útržky napište šestnáct největších hodnot , v životě máte jaké , šestnáct věcí , na nichž vám v životě nejvíc záleží .",[0] -> [1] -> [17]
"Všude se musí stát samozřejmostí , že nejenom vedoucí činitelé , ale i dělníci , technici a jiní zaměstnanci budou znát výsledky hospodaření , úkoly , které plní jejich závod či dílna .","Všude se musí stát samozřejmostí , že nejenom vedoucí činitelé , ale i dělníci , technici a jiní zaměstnanci budou znát výsledky hospodaření , úkoly , plní které jejich závod či dílna .",[0] -> [1] -> [17]
"Chemie a fyzika pevných látek staví na fyzikálních poznatcích , které pro co nejstručnější zprávu lze zformulovat takto .","Chemie a fyzika pevných látek staví na fyzikálních poznatcích , pro co nejstručnější zprávu lze zformulovat které takto .",[0] -> [1] -> [17]
"Avšak žádná z věd , které jsme uváděli , ani z jiných , které jsme neuvedli , nedává úplnou a vyčerpávající odpověď na otázku , co tvoří podstatu lidskosti , neboť člověk je jejich předmětem jen určitými svými stránkami , zkoumají jej pouze z určitých aspektů .","Avšak žádná z věd , které jsme uváděli , ani z jiných , jsme neuvedli které , nedává úplnou a vyčerpávající odpověď na otázku , co tvoří podstatu lidskosti , neboť člověk je jejich předmětem jen určitými svými stránkami , zkoumají jej pouze z určitých aspektů .",[0] -> [1] -> [17]
"Museli jsme pokračovat v ornamentech , které kdosi kdysi vykouzlil .","Museli jsme pokračovat v ornamentech , kdosi kdysi vykouzlil které .",[0] -> [1] -> [17]
"Jako takový se marxismus zrodil a tento svůj charakter si důsledně podržuje , nesmiřitelný svou podstatou k jakýmkoliv antihumanistickým deformacím , které , jak ukazuje v posledních letech boj s kultem osobnosti a s jeho důsledky , odstraňuje nemilosrdně , byť očistný řez pronikal sebehlouběji do vlastního těla .","Jako takový se marxismus zrodil a tento svůj charakter si důsledně podržuje , nesmiřitelný svou podstatou k jakýmkoliv antihumanistickým deformacím , , jak ukazuje v posledních letech boj s kultem osobnosti a s jeho důsledky , odstraňuje které nemilosrdně , byť očistný řez pronikal sebehlouběji do vlastního těla .",[0] -> [1] -> [17]
