sen_str,swapped_sen_str,leaf_rule
Zo'n honderd belangstellenden zaten in de kerk op het moment dat Sterry het record brak .,Zo'n honderd belangstellenden zaten in de kerk op het moment dat Sterry brak het record .,[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Het was de eerste keer dat - in het vrouwentennis - iemand een Grandslamfinale won doordat de tegenpartij opgaf , menig sportcommentator en tennisser vond dat Henin de wedstrijd had moeten uitspelen , om de eer van de winst zo aan Mauresmo te geven .","Het was de eerste keer dat - in het vrouwentennis - iemand won een Grandslamfinale doordat de tegenpartij opgaf , menig sportcommentator en tennisser vond dat Henin de wedstrijd had moeten uitspelen , om de eer van de winst zo aan Mauresmo te geven .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"De zanger , geliefd geworden bij de linkse studentenbeweging door zijn liederen over de meidagen van 1968 , werd op een kannonade met tomaten getrakteerd toen hij zijn hotel verliet voor een optreden in het cultureel centrum .","De zanger , geliefd geworden bij de linkse studentenbeweging door zijn liederen over de meidagen van 1968 , werd op een kannonade met tomaten getrakteerd toen hij verliet zijn hotel voor een optreden in het cultureel centrum .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"De president van de Rechtbank in Groningen , mr. G. Overdiep , heeft de inbrekers , die hij gistermorgen voor zich kreeg allemaal ingeprent :","De president van de Rechtbank in Groningen , mr. G. Overdiep , heeft de inbrekers , hij gistermorgen voor zich kreeg die allemaal ingeprent :",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"In het boek van drs. J. Klatter - die "" Zwaantje "" beschrijft aan de hand van de belevenissen van wijlen dokter Allard Oosterhuis - lijkt het alsof dit zestal zo maar uit de lucht is komen vallen en er blijkt niet hoe het komt dat juist dit zestal zijn weg naar de vrije wereld vond via Zwaantje .","In het boek van drs. J. Klatter - die "" Zwaantje "" beschrijft aan de hand van de belevenissen van wijlen dokter Allard Oosterhuis - lijkt het alsof dit zestal zo maar uit de lucht is komen vallen en er blijkt niet hoe het komt dat juist dit zestal vond zijn weg naar de vrije wereld via Zwaantje .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"De fans zijn van mening dat juist datgene wat Rons personage in de boeken grappig maakt , in de films is weggelaten en is vervangen door een kinderachtig soort van grappenmakerij , hetgeen volgens de fans schade toebrengt aan de integriteit van het personage .","De fans zijn van mening dat juist datgene wat in de boeken grappig maakt Rons personage , in de films is weggelaten en is vervangen door een kinderachtig soort van grappenmakerij , hetgeen volgens de fans schade toebrengt aan de integriteit van het personage .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Omdat zij een relatief zeldzame rang bekleden , zijn hun uniformen niet per definitie standaard .","Omdat zij bekleden een relatief zeldzame rang , zijn hun uniformen niet per definitie standaard .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Een vlieg legt haar eitjes op het lichaam van het dier , waaruit maden komen die zich om te groeien een weg naar binnen vreten en zo het dier dodelijk kunnen verwonden .","Een vlieg legt haar eitjes op het lichaam van het dier , waaruit maden komen die zich om te groeien vreten een weg naar binnen en zo het dier dodelijk kunnen verwonden .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"De Morgan had een zoon genaamd George , die zelf ook een bijzondere naam verwierf aan de University College en de University of London .","De Morgan had een zoon genaamd George , die zelf ook verwierf een bijzondere naam aan de University College en de University of London .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Nederland is een monarchie en daaruit vloeit voort , dat Nederland zal moeten betalen voor de kosten , die de monarch maakt in de uitoefening van zijn ambt .","Nederland is een monarchie en daaruit vloeit voort , dat Nederland zal moeten betalen voor de kosten , de monarch maakt die in de uitoefening van zijn ambt .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Volgens de gemeente Amsterdam is de gehele kwestie terug te voeren op het feit dat het ministerie van Volkshuisvesting en Ruimtelijke Ordening de voorzieningen buiten de Woningwet laat vallen , zodat deze niet voor subsidie in aanmerking komen .","Volgens de gemeente Amsterdam is de gehele kwestie terug te voeren op het feit dat het ministerie van Volkshuisvesting en Ruimtelijke Ordening buiten de Woningwet laat de voorzieningen vallen , zodat deze niet voor subsidie in aanmerking komen .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Bij het gebod "" gij zult geen afgoden vereren "" zie je bijvoorbeeld een echtpaar dat zo verslaafd is aan Tv-kijken dat ze hun kijkbuis als een soort god zien .","Bij het gebod "" gij zult geen afgoden vereren "" zie je bijvoorbeeld een echtpaar dat zo verslaafd is aan Tv-kijken dat ze als een soort god zien hun kijkbuis .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"De teneur van "" Realengo 18 "" is dat een volk , dat zich aaneensluit , zich de sterkere onderdrukker van het lijf kan houden .","De teneur van "" Realengo 18 "" is dat een volk , dat aaneensluit zich , zich de sterkere onderdrukker van het lijf kan houden .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Bij paprika moeten de hommels wel worden bijgevoerd met suikerwater , omdat paprika geen nectar produceert .","Bij paprika moeten de hommels wel worden bijgevoerd met suikerwater , omdat paprika produceert geen nectar .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Kachalin liet zijn volgelingen zoveel mogelijk bij de clubs , waar hij ze steeds weer uitgebreid gadesloeg .","Kachalin liet zijn volgelingen zoveel mogelijk bij de clubs , waar hij steeds weer uitgebreid gadesloeg ze .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
"Toen hij de rechten op zijn muziek weer terug had , nam hij weer zijn vroegere naam aan ( 31 december 1999 ) .","Toen hij weer terug had de rechten op zijn muziek , nam hij weer zijn vroegere naam aan ( 31 december 1999 ) .",[0] -> [1] -> [15] -> [16] -> [17] -> [19]
Wel eist men dat de overheid de aankoop van dit terrein voor haar rekening neemt .,Wel eist men dat de overheid voor haar rekening neemt de aankoop van dit terrein .,[0] -> [1] -> [15] -> [16] -> [17] -> [19]
Zo was de moefti van Jeruzalem tegen het plan omdat hij niets voelde om concessies te doen en onderhandelingen te voeren over grondgebied dat hij als het onvoorwaardelijk bezit van het Palestijnse volk zag .,Zo was de moefti van Jeruzalem tegen het plan omdat hij niets voelde om concessies te doen en onderhandelingen te voeren over grondgebied hij als het onvoorwaardelijk bezit van het Palestijnse volk zag dat .,[0] -> [1] -> [15] -> [16] -> [17] -> [19]
