sen_str,swapped_sen_str,leaf_rule
At skipa løgtingið .,At løgtingið skipa .,[0] -> [1]
"Um summarið , tá ið ísurin tánar á vøtnum og í áum , fer elgurin úti at eta vatnplantur .","Um summarið , tá ið ísurin tánar á vøtnum og í áum , fer elgurin úti at vatnplantur eta .",[0] -> [1]
Endamálið var at seta á stovn kommunistiskt stýri í landinum .,Endamálið var at kommunistiskt stýri seta á stovn í landinum .,[0] -> [1]
Bóghvítuhvalurin kom eftir henni og dró hana til botns .,Bóghvítuhvalurin kom eftir henni og hana dró til botns .,[0] -> [1]
Teknaði Sjónleikarhúsið .,Sjónleikarhúsið Teknaði .,[0] -> [1]
Sendistovan í Russlandi verður eitt týdningarmikið amboð hjá okkum at styrkja handilsviðurskiftini við Russland og onnur eystanlond .,Sendistovan í Russlandi verður eitt týdningarmikið amboð hjá okkum at handilsviðurskiftini styrkja við Russland og onnur eystanlond .,[0] -> [1]
"Framsøkin Ung : Framsøkin Ung ( fyrr Framsøkin Ungdómur , stytt FU ) er eitt politiskt ungmannafelag í Føroyum .","Framsøkin Ung : Framsøkin Ung ( fyrr Framsøkin Ungdómur , FU stytt ) er eitt politiskt ungmannafelag í Føroyum .",[0] -> [1]
Ein spæta ( heilagi fuglurin hjá Marsi ) hjálpti úlvinum at geva børnunum at eta .,Ein spæta ( heilagi fuglurin hjá Marsi ) hjálpti úlvinum at børnunum geva at eta .,[0] -> [1]
Tí heittu teir á føroyingar um at skriva tey niður .,Tí heittu teir á føroyingar um at tey skriva niður .,[0] -> [1]
"Meðan hon gjørdi heilivágin , læt hon duldarfull gandaorð .","Meðan hon gjørdi heilivágin , duldarfull gandaorð læt hon .",[0] -> [1]
Oljuídnaðurin í landinum er við til at skapa búskaparliga vøksturin .,Oljuídnaðurin í landinum er við til at búskaparliga vøksturin skapa .,[0] -> [1]
- At stovnseta føroyskan háskúla .,- At føroyskan háskúla stovnseta .,[0] -> [1]
Heilsumyndugleikarnir royna at fáa fólk at leggja av .,Heilsumyndugleikarnir royna at fólk fáa at leggja av .,[0] -> [1]
Í 333 á.Kr. tók Aleksandur Mikli ræði á oynni .,Í 333 á.Kr. ræði á tók Aleksandur Mikli oynni .,[0] -> [1]
"Og at drekka vín er eitt ritual , ein halgisiður , fyri samfelagsliga innliman .","Og at vín drekka er eitt ritual , ein halgisiður , fyri samfelagsliga innliman .",[0] -> [1]
Í miðøld hevði kirkjan mikið vald í samfelagnum .,Í miðøld mikið vald í samfelagnum hevði kirkjan .,[0] -> [1]
Í 2007 varð eitt álit skrivað og handað landsstýrismanninum í mentamálum .,Í 2007 varð eitt álit skrivað og landsstýrismanninum handað í mentamálum .,[0] -> [1]
Tók dr. polit .,dr. polit Tók .,[0] -> [1]
Í 16. øld royndu tveir sterkir valdsharrar at byggja eitt stórt ríki í Burma .,Í 16. øld royndu tveir sterkir valdsharrar at eitt stórt ríki byggja í Burma .,[0] -> [1]
Nú eru tó nógv øki friðað sum dýraverndargarðar at verja dýralívið .,Nú eru tó nógv øki friðað sum dýraverndargarðar at dýralívið verja .,[0] -> [1]
""" Sendistovan í Russlandi verður eitt týdningarmikið amboð hjá Føroyum at styrkja handilsviðurskiftini við Russland og onnur eystanlond "" , segði Johannesen .",""" Sendistovan í Russlandi verður eitt týdningarmikið amboð hjá Føroyum at handilsviðurskiftini styrkja við Russland og onnur eystanlond "" , segði Johannesen .",[0] -> [1]
Her byrjar at henda okkurt .,Her okkurt byrjar at henda .,[0] -> [1]
Bøndurnir fingu fíggjarligan stuðul at minka framleiðsluna .,Bøndurnir fíggjarligan stuðul at minka framleiðsluna fingu .,[0] -> [1]
"Í avstralskum fótbólti kunnu spælararnir sparka ella sláa bóltin , men ikki er loyvt at kasta hann .","Í avstralskum fótbólti kunnu spælararnir sparka ella sláa bóltin , men ikki er loyvt at hann kasta .",[0] -> [1]
Og so dregur landslagið nógv ferðafólk til Noregs at síggja órørda og stórfingna náttúru .,Og so nógv ferðafólk dregur landslagið til Noregs at síggja órørda og stórfingna náttúru .,[0] -> [1]
Bøndurnir fingu fíggjarligan stuðul at minka framleiðsluna .,Bøndurnir fingu fíggjarligan stuðul at framleiðsluna minka .,[0] -> [1]
Í alt telur kirkjan í dag 1 500 kirkjulið .,Í alt 1 500 kirkjulið telur kirkjan í dag .,[0] -> [1]
Tað er ókeypis at brúka fótbóltsvøllirnar hjá Tórshavnar kommunu .,Tað er ókeypis at fótbóltsvøllirnar hjá Tórshavnar kommunu brúka .,[0] -> [1]
Eitt annað prógv var at kasta kvinnuna á sjógv .,Eitt annað prógv var at kvinnuna kasta á sjógv .,[0] -> [1]
Falkur livir í einbýli og tolir ikki aðrar falkar nær hjá sær .,Falkur livir í einbýli og aðrar falkar tolir ikki nær hjá sær .,[0] -> [1]
Eftir hetta búsetti hon seg í Edinburgh .,Eftir hetta seg búsetti hon í Edinburgh .,[0] -> [1]
"Harumframt fekk Móses nógvar aðrar lógir , sum eru nevndar sáttmálabókin .","Harumframt nógvar aðrar lógir , sum eru nevndar sáttmálabókin fekk Móses .",[0] -> [1]
Ymsir hættir eru at vísa hæddarmun .,Ymsir hættir eru at hæddarmun vísa .,[0] -> [1]
Býurin er handils- og samferðslumiðdepilin landinum og hevur gott buss og ferjusamband .,Býurin er handils- og samferðslumiðdepilin landinum og gott buss og ferjusamband hevur .,[0] -> [1]
Sí eisini bretska hersetingin í Føroyum .,bretska hersetingin í Føroyum Sí eisini .,[0] -> [1]
Og so dregur landslagið nógv ferðafólk til Noregs at síggja órørda og stórfingna náttúru .,Og so dregur landslagið nógv ferðafólk til Noregs at órørda og stórfingna náttúru síggja .,[0] -> [1]
"Hetta kom í lag við kongsbrævi , dagfest 19. mars .","Hetta kom í lag við kongsbrævi , mars dagfest 19. .",[0] -> [1]
Ístaðin skutu hermenninir yvirmenninar og fóru uppí uppreisturin .,Ístaðin yvirmenninar skutu hermenninir og fóru uppí uppreisturin .,[0] -> [1]
Maðurin var kvikur og kreyp sær inn í holuna .,Maðurin var kvikur og sær kreyp inn í holuna .,[0] -> [1]
Ætlanin er at venda lítlu støddini á Føroyalandi til fyrimun .,Ætlanin er at lítlu støddini á Føroyalandi venda til fyrimun .,[0] -> [1]
"At prógva hetta , leggja vit sannleikan fram fyri ein uttanveltaðan heim "" .","At prógva hetta , leggja sannleikan vit fram fyri ein uttanveltaðan heim "" .",[0] -> [1]
Sí dømini fyri at síggja gongdina .,dømini Sí fyri at síggja gongdina .,[0] -> [1]
Meginparturin av fólkinum eru muslimar og tala arábiskt .,Meginparturin av fólkinum eru muslimar og arábiskt tala .,[0] -> [1]
"Eftir tað flutti hon til Bergens , og tók cand. polit .","Eftir tað flutti hon til Bergens , og cand. polit tók .",[0] -> [1]
At stjala eld .,At eld stjala .,[0] -> [1]
Børn og kvinnur við barn eru í størsta vandabólkinum at fáa malaria .,Børn og kvinnur við barn eru í størsta vandabólkinum at malaria fáa .,[0] -> [1]
Sí dømini fyri at síggja gongdina .,Sí dømini fyri at gongdina síggja .,[0] -> [1]
Í 2016 væntar oyggin at fáa yvir tíggju milliónir ferðafólk á vitjan .,Í 2016 væntar oyggin at yvir tíggju milliónir ferðafólk fáa á vitjan .,[0] -> [1]
Endamálið var at hjálpa stovnunum við KT-tænastum .,Endamálið var at stovnunum hjálpa við KT-tænastum .,[0] -> [1]
"Hetta var ein lítil meiriluti , sum kom at merkja samstarvið ímillum flokkarnar .","Hetta var ein lítil meiriluti , sum kom at samstarvið ímillum flokkarnar merkja .",[0] -> [1]
"Í 18. øld , hevði Danmark hug at gera Reykjavík til ein stóran bý .","Í 18. øld , hug at gera Reykjavík til ein stóran bý hevði Danmark .",[0] -> [1]
"Býurin liggur í landslutinum São Paulo , og hevði 718.646 íbúgvar í 2008 .","Býurin liggur í landslutinum São Paulo , og 718.646 íbúgvar hevði í 2008 .",[0] -> [1]
Nú koyrir bóndin sjálvur traktorin .,Nú traktorin koyrir bóndin sjálvur .,[0] -> [1]
"Sum frá líður , venur heilin seg við nikotinið .","Sum frá líður , seg venur heilin við nikotinið .",[0] -> [1]
"Fyri at orka tað , er ætlanin at byggja fleiri farstøðir í Kastrup .","Fyri at orka tað , er ætlanin at fleiri farstøðir byggja í Kastrup .",[0] -> [1]
At koyra rosinur og sukur í blóðpylsu er nýggjari fyribrigdi .,At rosinur og sukur koyra í blóðpylsu er nýggjari fyribrigdi .,[0] -> [1]
Høvuðsstaðurin er nýggjur býur ; farið varð at byggja hann í 1961 .,Høvuðsstaðurin er nýggjur býur ; farið varð at hann byggja í 1961 .,[0] -> [1]
Uppgávan hjá kirkjuni er at boða boðskapin .,Uppgávan hjá kirkjuni er at boðskapin boða .,[0] -> [1]
Ólavur fór sum smádrongur at spæla gittara .,Ólavur fór sum smádrongur at gittara spæla .,[0] -> [1]
Tveir tímar vóru teir um at sløkkja eldin .,Tveir tímar vóru teir um at eldin sløkkja .,[0] -> [1]
"Í 18. øld , hevði Danmark hug at gera Reykjavík til ein stóran bý .","Í 18. øld , hevði Danmark hug at Reykjavík gera til ein stóran bý .",[0] -> [1]
"Fyri at orka tað , er ætlanin at byggja fleiri farstøðir í Kastrup .","Fyri at tað orka , er ætlanin at byggja fleiri farstøðir í Kastrup .",[0] -> [1]
Endamál felagsins er at varðveita gomlu føroysku bátamentanina .,Endamál felagsins er at gomlu føroysku bátamentanina varðveita .,[0] -> [1]
