sen_str,swapped_sen_str,leaf_rule
"Esimerkiksi sähköjärjestelmien rakentaminen on ollut spesiaalihommaa , sillä samalla alueella on monenlaista , toinen toistaan häiritsevää toimintaa .","Esimerkiksi sähköjärjestelmien rakentaminen on ollut spesiaalihommaa , sillä samalla alueella on monenlaista , häiritsevää toinen toistaan toimintaa .",[0] -> [1] -> [2] -> [18] -> [20]
Raporttia varteen Jokinen ja Vironmäki kutsuivat 25 eri tahoja edustavaa henkilöä keskustelemaan yliopistojen yhteiskunnallisesta vuorovaikutuksesta .,Raporttia varteen Jokinen ja Vironmäki kutsuivat 25 edustavaa eri tahoja henkilöä keskustelemaan yliopistojen yhteiskunnallisesta vuorovaikutuksesta .,[0] -> [1] -> [2] -> [18] -> [20]
( 20 ) Toimivaltaisten viranomaisten välinen riittämätön tiedonvaihto johtaa eläinten suojelua kuljetusten aikana koskevan yhteisön lainsäädännön puutteelliseen täytäntöönpanoon .,( 20 ) Toimivaltaisten viranomaisten välinen riittämätön tiedonvaihto johtaa koskevan eläinten suojelua kuljetusten aikana yhteisön lainsäädännön puutteelliseen täytäntöönpanoon .,[0] -> [1] -> [2] -> [18] -> [20]
"On toivottavaa , että tietojen antamisesta aiheutuvan rasitteen vähentämiseksi kuukausitasetta koskevia tilastotietoja käytettäisiin lisäksi EKPJ:n vähimmäisvarantojärjestelmän alaisten luottolaitosten varantopohjan säännölliseen laskemiseen .","On toivottavaa , että tietojen antamisesta aiheutuvan rasitteen vähentämiseksi koskevia kuukausitasetta tilastotietoja käytettäisiin lisäksi EKPJ:n vähimmäisvarantojärjestelmän alaisten luottolaitosten varantopohjan säännölliseen laskemiseen .",[0] -> [1] -> [2] -> [18] -> [20]
hän lopetteli vuosia vaatinutta lisensiaattityötään .,hän lopetteli vaatinutta vuosia lisensiaattityötään .,[0] -> [1] -> [2] -> [18] -> [20]
Lepakoita häiritsevät myös niiden ulostetta keräävät maanviljelijät .,Lepakoita häiritsevät myös keräävät niiden ulostetta maanviljelijät .,[0] -> [1] -> [2] -> [18] -> [20]
"Turun yliopiston hoitotieteen laitoksella on tehty paljon osaamisen kehittämiseen liittyvää tutkimusta , kertoi päivän avannut professori Sanna Salanterä .","Turun yliopiston hoitotieteen laitoksella on tehty paljon osaamisen kehittämiseen liittyvää tutkimusta , kertoi avannut päivän professori Sanna Salanterä .",[0] -> [1] -> [2] -> [18] -> [20]
Rahastosta myönnetään vuosittain apurahoja pääasiassa opintojensa loppuvaiheessa oleville opiskelijoille ja myös loppututkinnon suorittaneille nuorille tutkijoille .,Rahastosta myönnetään vuosittain apurahoja pääasiassa opintojensa loppuvaiheessa oleville opiskelijoille ja myös suorittaneille loppututkinnon nuorille tutkijoille .,[0] -> [1] -> [2] -> [18] -> [20]
Vuoden parhaaksi ei-syötäväksi tuotteeksi nimettiin valkosipulin olomuotoja analysoivat grafiikkataulut .,Vuoden parhaaksi ei-syötäväksi tuotteeksi nimettiin analysoivat valkosipulin olomuotoja grafiikkataulut .,[0] -> [1] -> [2] -> [18] -> [20]
"− Tuolloin tytöt eivät saaneet käydä koulua , tietävät useat historianläksynsä lukeneet opastettavat .","− Tuolloin tytöt eivät saaneet käydä koulua , tietävät useat lukeneet historianläksynsä opastettavat .",[0] -> [1] -> [2] -> [18] -> [20]
"1. Viranomaisen on huolehdittava siitä , että todistuksia myöntävillä viranomaisilla on riittävä eläinlääkintäalaa koskevan lainsäädännön tuntemus niiden eläinten ja eläintuotteiden osalta , joista heidän on annettava todistus ja että he ovat yleisesti ottaen perillä todistusten myöntämisessä ja laatimisessa noudatettavista säännöistä ja mikäli tarpeen , niiden tutkimusten , testien ja tarkastusten luonteesta ja laajuudesta , joita asiasta on suoritettava ennen todistusten laatimista .","1. Viranomaisen on huolehdittava siitä , että todistuksia myöntävillä viranomaisilla on riittävä koskevan eläinlääkintäalaa lainsäädännön tuntemus niiden eläinten ja eläintuotteiden osalta , joista heidän on annettava todistus ja että he ovat yleisesti ottaen perillä todistusten myöntämisessä ja laatimisessa noudatettavista säännöistä ja mikäli tarpeen , niiden tutkimusten , testien ja tarkastusten luonteesta ja laajuudesta , joita asiasta on suoritettava ennen todistusten laatimista .",[0] -> [1] -> [2] -> [18] -> [20]
"1 ) Asetuksen ( ETY ) N:o 2377/90 mukaisesti jäämien enimmäismäärät on vahvistettava asteittain kaikille farmakologisesti vaikuttaville aineille , joita käytetään yhteisössä elintarvikkeita tuottaville eläimille annettaviksi tarkoitetuissa eläinlääkkeissä .","1 ) Asetuksen ( ETY ) N:o 2377/90 mukaisesti jäämien enimmäismäärät on vahvistettava asteittain kaikille farmakologisesti vaikuttaville aineille , joita käytetään yhteisössä tuottaville elintarvikkeita eläimille annettaviksi tarkoitetuissa eläinlääkkeissä .",[0] -> [1] -> [2] -> [18] -> [20]
"Kun asiaa kysynyt valkovenäläinen mies sanoi heidän haluavan sitä , Putin sanoi taistelevansa liitoksen puolesta .","Kun kysynyt asiaa valkovenäläinen mies sanoi heidän haluavan sitä , Putin sanoi taistelevansa liitoksen puolesta .",[0] -> [1] -> [2] -> [18] -> [20]
Hän oli viimeisenä ammattilaisvuonnaan 2008 vanhin ProTour-tallia edustanut pyöräilijä .,Hän oli viimeisenä ammattilaisvuonnaan 2008 vanhin edustanut ProTour-tallia pyöräilijä .,[0] -> [1] -> [2] -> [18] -> [20]
"Komission päätös , tehty 15 päivänä joulukuuta 2003 , kalojen virusperäisen verenvuotoseptikemian ( VHS ) ja tarttuvan verta muodostavan kudoksen kuolion ( IHN ) osalta hyväksytyn vyöhykkeen aseman ja ei-hyväksytyillä vyöhykkeillä sijaitsevan näiden tautien osalta hyväksytyn tilan aseman saamista varten toteutettavien ohjelmien kelpuuttamisesta sekä päätöksen 2003/634/EY liitteiden I ja II muuttamisesta ( tiedoksiannettu numerolla K(2003) 4727 ) ( ETA:n kannalta merkityksellinen teksti ) ( 2003/904/EY )","Komission päätös , tehty 15 päivänä joulukuuta 2003 , kalojen virusperäisen verenvuotoseptikemian ( VHS ) ja tarttuvan muodostavan verta kudoksen kuolion ( IHN ) osalta hyväksytyn vyöhykkeen aseman ja ei-hyväksytyillä vyöhykkeillä sijaitsevan näiden tautien osalta hyväksytyn tilan aseman saamista varten toteutettavien ohjelmien kelpuuttamisesta sekä päätöksen 2003/634/EY liitteiden I ja II muuttamisesta ( tiedoksiannettu numerolla K(2003) 4727 ) ( ETA:n kannalta merkityksellinen teksti ) ( 2003/904/EY )",[0] -> [1] -> [2] -> [18] -> [20]
