sen_str,swapped_sen_str,leaf_rule
mar mei inoarren koenen se dy scheper net betelje,mar mei inoarren koenen se net betelje dy scheper,[0] -> [4]
het men dat ôfstjitten en is men helemaal oergongen,het men ôfstjitten dat en is men helemaal oergongen,[0] -> [4]
sy sille meikoarten dizze beafeart nei de hunebedden fan Drinte nochris oer dwaan,sy sille meikoarten nochris oer dwaan dizze beafeart nei de hunebedden fan Drinte,[0] -> [4]
en hy hie de stroopwafel ek noch klear stean dus eh,en hy hie ek noch klear stean de stroopwafel dus eh,[0] -> [4]
en op in keunstniverheidskoalle moatte je faak in byfak kiezen,en op in keunstniverheidskoalle moatte je faak kiezen in byfak,[0] -> [4]
se wolle it helemaal ôfskaffe hin dy eh rail tenders,se wolle helemaal ôfskaffe it hin dy eh rail tenders,[0] -> [4]
en ik bin ek even by dy distributie west eh dy we opset ha,en ik bin ek even by dy distributie west eh we opset dy ha,[0] -> [4]
even noch eh werom nei vroeger wannear bist dan lid wurden,even noch eh werom nei vroeger wannear bist dan wurden lid,[0] -> [4]
dy't hjir profijt fan ha kin,dy't hjir fan ha profijt kin,[0] -> [4]
dêr kinne we in hele hoop oer sizze mar,dêr kinne we oer sizze in hele hoop mar,[0] -> [4]
foar de earste kategory hat Riek van Dyk fan de Ljouwerter Reddingsbrigade in kursus watergewenning jûn,foar de earste kategory hat Riek van Dyk fan de Ljouwerter Reddingsbrigade jûn in kursus watergewenning,[0] -> [4]
dy groei is inderdaad erg spektakulêr west eh,dy groei is inderdaad west erg spektakulêr eh,[0] -> [4]
eh doe wie it moeilijk,eh doe wie moeilijk it,[0] -> [4]
en as byfak hat er oan it Semitysk instituut yn Kampen ek Arabysk leard,en as byfak hat er oan it Semitysk instituut yn Kampen ek leard Arabysk,[0] -> [4]
takommend jier april sil Margreeth de Boer ôfskie nimme fan Ljouwert,takommend jier april sil Margreeth de Boer nimme ôfskie fan Ljouwert,[0] -> [4]
en mei Ann Mannen dy't yn oktober de V N yn New York tasprutsen hat,en mei Ann Mannen dy't yn oktober yn New York tasprutsen de V N hat,[0] -> [4]
mar se ha yn elk gefal in goed leven hân,mar se ha yn elk gefal hân in goed leven,[0] -> [4]
ûnderskied te meitsjen wie je fertrouwe kinne en wie net,ûnderskied te meitsjen je fertrouwe wie kinne en wie net,[0] -> [4]
en as je filmje dan moatte je ek in onderwerp ha,en as je filmje dan moatte je ek ha in onderwerp,[0] -> [4]
wêze en je toch noch jong fiele,wêze en je toch noch fiele jong,[0] -> [4]
foar welke plant he je echt in soad muoite dwaan moatten,foar welke plant he je dwaan echt in soad muoite moatten,[0] -> [4]
mar se soenen hun iene sit hâlde kinne neffens dizze prognoze,mar se soenen hâlde hun iene sit kinne neffens dizze prognoze,[0] -> [4]
grepen en eh toen is Zia-ul-Haq oan de macht kaam,grepen en eh toen is Zia-ul-Haq kaam oan de macht,[0] -> [4]
wat in bytsje bûten de taal leit mar toch de taal holpen hat eh doe eh,wat in bytsje bûten de taal leit mar toch holpen de taal hat eh doe eh,[0] -> [4]
