sen_str,swapped_sen_str,leaf_rule
jah þatei ƕa bidjiþ in namin meinamma þata tauja ei hauhjaidau atta in sunau,jah bidjiþ þatei ƕa in namin meinamma þata tauja ei hauhjaidau atta in sunau,[0] -> [16]
unte saei habaiþ gibada imma jah saei ni habaiþ jah þatei þugkeiþ haban afnimada af imma,unte saei habaiþ gibada imma jah saei ni habaiþ jah þugkeiþ haban þatei afnimada af imma,[0] -> [16]
aþþan sweþauh jabai ƕa managizo ƕopam bi waldufni unsar þatei atgaf frauja unsis du timreinai jah ni du gataurþai izwarai ni gaaiwiskonda,aþþan sweþauh jabai ƕa managizo ƕopam bi waldufni unsar atgaf þatei frauja unsis du timreinai jah ni du gataurþai izwarai ni gaaiwiskonda,[0] -> [16]
sweþauh þana stikl þanei ik driggka driggkats jah þizai daupeinai þizaiei ik daupjada daupjanda,sweþauh þana stikl ik driggka þanei driggkats jah þizai daupeinai þizaiei ik daupjada daupjanda,[0] -> [16]
duþþe þata aljaþro melja ei andwairþs hardaba ni taujau bi waldufnja þammei frauja fragaf mis du gatimreinai jan ni du gataurþai,duþþe þata aljaþro melja ei andwairþs hardaba ni taujau bi waldufnja frauja fragaf þammei mis du gatimreinai jan ni du gataurþai,[0] -> [16]
iþ nu sokeiþ mik usqiman mannan izei sunja izwis rodida þoei hausida fram guda,iþ nu sokeiþ mik usqiman mannan izei sunja izwis rodida hausida þoei fram guda,[0] -> [16]
jabai nu þatei ni wiljau ik þata tauja ju ni ik waurkja ita ak sei bauiþ in mis frawaurhts,jabai nu ni wiljau þatei ik þata tauja ju ni ik waurkja ita ak sei bauiþ in mis frawaurhts,[0] -> [16]
and dulþ þan ƕarjoh biuhts was sa kindins fraletan ainana þizai managein bandjan þanei wildedun,and dulþ þan ƕarjoh biuhts was sa kindins fraletan ainana þizai managein bandjan wildedun þanei,[0] -> [16]
daga ƕammeh gaswiltandans in izwaraizos ƕoftuljos broþrjus þoei haba in Xristau Iesu fraujin unsaramma,daga ƕammeh gaswiltandans in izwaraizos ƕoftuljos broþrjus haba þoei in Xristau Iesu fraujin unsaramma,[0] -> [16]
þatainei þizei unledane ei gamuneima þatei usdaudida þata silbo taujan,þatainei þizei unledane ei gamuneima usdaudida taujan þatei þata silbo,[0] -> [16]
frauja sai sa skatts þeins þanei habaida galagidana in fanin,frauja sai sa skatts þeins habaida þanei galagidana in fanin,[0] -> [16]
unte ik andnam at fraujin þatei jah anafalh izwis þatei frauja Iesus in þizaiei naht galewiþs was nam hlaif jah awiliudonds gabrak jah qaþ,unte ik andnam at fraujin jah anafalh þatei izwis þatei frauja Iesus in þizaiei naht galewiþs was nam hlaif jah awiliudonds gabrak jah qaþ,[0] -> [16]
jah þata waurd þatei hauseiþ nist mein ak þis sandjandins mik attins,jah þata waurd hauseiþ þatei nist mein ak þis sandjandins mik attins,[0] -> [16]
frauja sai þanei frijos siuks ist,frauja sai frijos þanei siuks ist,[0] -> [16]
jah ik bidja attan jah anþarana parakletu gibiþ izwis ei sijai miþ izwis du aiwa ahma sunjos þanei so manaseiþs ni mag niman unte ni saiƕiþ ina nih kann ina,jah ik bidja attan jah anþarana parakletu gibiþ izwis ei sijai miþ izwis du aiwa ahma sunjos so manaseiþs ni mag niman þanei unte ni saiƕiþ ina nih kann ina,[0] -> [16]
hauhei þeinana sunu ei sunus þeins hauhjai þuk swaswe atgaft imma waldufni allaize leike ei all þatei atgaft imma gibai im libain aiweinon,hauhei þeinana sunu ei sunus þeins hauhjai þuk swaswe atgaft imma waldufni allaize leike ei all atgaft þatei imma gibai im libain aiweinon,[0] -> [16]
aþþan sa parakletus ahma sa weiha þanei sandeiþ atta in namin meinamma sa izwis laiseiþ allata jah gamaudeiþ izwis allis þatei qaþ du izwis,aþþan sa parakletus ahma sa weiha sandeiþ þanei atta in namin meinamma sa izwis laiseiþ allata jah gamaudeiþ izwis allis þatei qaþ du izwis,[0] -> [16]
manna auk þatei saijiþ þata jah sneiþiþ,manna auk saijiþ þatei þata jah sneiþiþ,[0] -> [16]
jah laistida ina manageins filu unte gaseƕun taiknins þozei gatawida bi siukaim,jah laistida ina manageins filu unte gaseƕun taiknins gatawida þozei bi siukaim,[0] -> [16]
atgaf auk izwis in frumistjam þatei andnam ei Xristus gaswalt faur frawaurhtins unsaros afar bokom jaþ þatei ganawistroþs was jaþ þatei urrais þridjin daga afar bokom jaþ þatei ataugids ist Kefin jah afar þata þaim ainlibim,atgaf auk izwis in frumistjam andnam þatei ei Xristus gaswalt faur frawaurhtins unsaros afar bokom jaþ þatei ganawistroþs was jaþ þatei urrais þridjin daga afar bokom jaþ þatei ataugids ist Kefin jah afar þata þaim ainlibim,[0] -> [16]
aþþan jabai melida ni in þis anamahtjandins ni in þis anamahtidins ak du gabairhtjan usdaudein unsara þoei faur izwis habam wiþra izwis in andwairþja gudis,aþþan jabai melida ni in þis anamahtjandins ni in þis anamahtidins ak du gabairhtjan usdaudein unsara faur izwis habam þoei wiþra izwis in andwairþja gudis,[0] -> [16]
sildaleik auk dishabaida ina jah allans þans miþ imma in gafahis þize fiske þanzei ganutun samaleiko h þan jah Iakobau jah Iohannen sununs Zaibaidaiaus þaiei wesun gadailans Seimona,sildaleik auk dishabaida ina jah allans þans miþ imma in gafahis þize fiske ganutun þanzei samaleiko h þan jah Iakobau jah Iohannen sununs Zaibaidaiaus þaiei wesun gadailans Seimona,[0] -> [16]
jah usnemun þrins tiguns silubreinaize andawairþi þis wairþodins þatei garahnidedun fram sunum Israelis jah atgebun ins und akra kasjins swaswe anabauþ mis frauja,jah usnemun þrins tiguns silubreinaize andawairþi þis wairþodins garahnidedun þatei fram sunum Israelis jah atgebun ins und akra kasjins swaswe anabauþ mis frauja,[0] -> [16]
