sen_str,swapped_sen_str,leaf_rule
"Weraha Zuze kɨhaw kurɨ , arapuha haropa ɨwate kurɨ .","Weraha Zuze kɨhaw kurɨ , haropa arapuha ɨwate kurɨ .",[0] -> [12] -> [14]
"Ikuʔegwepe ur Zuze ihɨ aʔepe , migaw iapopa .","Ikuʔegwepe ur Zuze ihɨ aʔepe , iapopa migaw .",[0] -> [12] -> [14]
"Aze tɨ paw , ɨ paw izuwi wixe oho ɨwɨ apɨteromo kurɨ .","Aze paw tɨ , ɨ paw izuwi wixe oho ɨwɨ apɨteromo kurɨ .",[0] -> [12] -> [14]
Oho hoko iko ɨrɨhupe ipira pɨhɨkpa .,Oho hoko iko ɨrɨhupe pɨhɨkpa ipira .,[0] -> [12] -> [14]
Uzan waiko maʔe iʔupa wa .,Uzan waiko iʔupa maʔe wa .,[0] -> [12] -> [14]
Epɨhɨk netakihe aguza izukapa nehe,Epɨhɨk netakihe izukapa aguza nehe,[0] -> [12] -> [14]
"Kuzagwer wetun inegwer aʔe wa , aguza akagwer kaxigwer hetunpa aʔe wa .","Kuzagwer wetun inegwer aʔe wa , hetunpa aguza akagwer kaxigwer aʔe wa .",[0] -> [12] -> [14]
"Aze ɨ tɨ paw wanuwi , umano paw rupi aʔe wa .","Aze ɨ paw tɨ wanuwi , umano paw rupi aʔe wa .",[0] -> [12] -> [14]
Uzewɨr zekaipo zakare oho ipɨpor hekarpa aʔe no .,Uzewɨr zekaipo zakare oho hekarpa ipɨpor aʔe no .,[0] -> [12] -> [14]
"Uzemiʔikar kaʔape , arapuha hekarpa .","Uzemiʔikar kaʔape , hekarpa arapuha .",[0] -> [12] -> [14]
Ohoputar uhɨ rupi umaʔe iputukapa kurɨ .,Ohoputar uhɨ rupi iputukapa umaʔe kurɨ .,[0] -> [12] -> [14]
"Ohoputar Mari ʔɨpe aʔe kurɨ , umaʔe iputukapa kurɨ .","Ohoputar Mari ʔɨpe aʔe kurɨ , iputukapa umaʔe kurɨ .",[0] -> [12] -> [14]
"Aze tɨ paw ɨrɨkaw nehe , uzuka omokatupe nehe .","Aze paw tɨ ɨrɨkaw nehe , uzuka omokatupe nehe .",[0] -> [12] -> [14]
"Aze ɨ tɨ paw wanuwi , umano paw rupi wa .","Aze ɨ paw tɨ wanuwi , umano paw rupi wa .",[0] -> [12] -> [14]
Omono maniʔok hɨtɨkpa kurɨ,Omono hɨtɨkpa maniʔok kurɨ,[0] -> [12] -> [14]
"Wezɨw aguza wa huakeaʔi aʔe kurɨ , temiʔu ɨwɨ rehehar hekarpa aʔe kurɨ .","Wezɨw aguza wa huakeaʔi aʔe kurɨ , hekarpa temiʔu ɨwɨ rehehar aʔe kurɨ .",[0] -> [12] -> [14]
"— Maiʔin aipo wɨramiri iko pa , iʔi zekaipo kwarer wɨramiri izeʔeg henupa aʔe no .","— Maiʔin aipo wɨramiri iko pa , iʔi zekaipo kwarer henupa wɨramiri izeʔeg aʔe no .",[0] -> [12] -> [14]
Tenetehar umuhemkar omogwer wamiri imuzeʔazna .,Tenetehar umuhemkar imuzeʔazna omogwer wamiri .,[0] -> [12] -> [14]
Aha kaʔi hexakpa kurɨ,Aha hexakpa kaʔi kurɨ,[0] -> [12] -> [14]
Zakare zekaipo uzewɨr wi ipɨpor hekarpa aʔe no .,Zakare zekaipo uzewɨr wi hekarpa ipɨpor aʔe no .,[0] -> [12] -> [14]
Wapɨk ɨwɨra rehe waʔɨr haropa .,Wapɨk ɨwɨra rehe haropa waʔɨr .,[0] -> [12] -> [14]
Oho umaʔe iputukapa aʔe .,Oho iputukapa umaʔe aʔe .,[0] -> [12] -> [14]
"Aze ɨ pa ran tɨ paw , maʔe pupe wanekon aʔe wa no , aʔe mehe uhem oho izuwi aʔe wa kurɨ .","Aze ɨ pa ran paw tɨ , maʔe pupe wanekon aʔe wa no , aʔe mehe uhem oho izuwi aʔe wa kurɨ .",[0] -> [12] -> [14]
"Upɨhɨk maʔe uzeupe wa ɨ ʔaromo wanekon wa , maʔe kurer iʔupa wa .","Upɨhɨk maʔe uzeupe wa ɨ ʔaromo wanekon wa , iʔupa maʔe kurer wa .",[0] -> [12] -> [14]
Uzuhez katu taz ahu kara aʔe .,kara Uzuhez katu taz ahu aʔe .,[0] -> [1] -> [2] -> [8]
Nuxiʔukwaw wanam aʔe wa .,wanam Nuxiʔukwaw aʔe wa .,[0] -> [1] -> [2] -> [8]
"Upɨhɨk imuwa aʔe kurɨ , wetɨk imono kaʔape no .","imuwa Upɨhɨk aʔe kurɨ , wetɨk imono kaʔape no .",[0] -> [1] -> [2] -> [8]
Weraha awaxi kok pupe aʔe wa .,awaxi Weraha kok pupe aʔe wa .,[0] -> [1] -> [2] -> [8]
Awɨze tue ukwaw maʔe uhɨ rupi katete aʔe wa kurɨ .,Awɨze tue maʔe ukwaw uhɨ rupi katete aʔe wa kurɨ .,[0] -> [1] -> [2] -> [8]
"Ukwawkatu wekohaw , nezewe aʔe wa .","wekohaw Ukwawkatu , nezewe aʔe wa .",[0] -> [1] -> [2] -> [8]
Uʔu tuʔum oho waiko aʔe wa no .,tuʔum Uʔu oho waiko aʔe wa no .,[0] -> [1] -> [2] -> [8]
Naʔe zekaipo wenu ipeku izeʔeg aʔe no .,Naʔe zekaipo izeʔeg wenu ipeku aʔe no .,[0] -> [1] -> [2] -> [8]
Naʔe ipeku weruwewe heraha aʔe kurɨ .,Naʔe ipeku heraha weruwewe aʔe kurɨ .,[0] -> [1] -> [2] -> [8]
"Aʔe mehe we zekaipo hoko aʔe no , omomor zekaipo kwarer imugwawpa aʔe kurɨ .","Aʔe mehe we zekaipo hoko aʔe no , kwarer omomor zekaipo imugwawpa aʔe kurɨ .",[0] -> [1] -> [2] -> [8]
Upɨhɨk paku aʔe no .,paku Upɨhɨk aʔe no .,[0] -> [1] -> [2] -> [8]
Uʔu pixan aguza paw rupi aʔe .,aguza Uʔu pixan paw rupi aʔe .,[0] -> [1] -> [2] -> [8]
Aʔe rupi uzapo tenetehar zekeʔa aʔe wa kurɨ .,Aʔe rupi zekeʔa uzapo tenetehar aʔe wa kurɨ .,[0] -> [1] -> [2] -> [8]
Ukwaw katu wekohaw aʔe wa no .,wekohaw Ukwaw katu aʔe wa no .,[0] -> [1] -> [2] -> [8]
"Zuze reimaw aʔe , uʔu kupiʔi iko aʔe .","Zuze reimaw aʔe , kupiʔi uʔu iko aʔe .",[0] -> [1] -> [2] -> [8]
"Ikatuahɨ wanekohaw aʔe wa no , taʔe nuʔukwaw tuzukaʔi aʔe wa xe ; nuʔukwaw wamiri aʔe wa .","Ikatuahɨ wanekohaw aʔe wa no , taʔe tuzukaʔi nuʔukwaw aʔe wa xe ; nuʔukwaw wamiri aʔe wa .",[0] -> [1] -> [2] -> [8]
Ukwaw katu wekohaw aʔe no .,wekohaw Ukwaw katu aʔe no .,[0] -> [1] -> [2] -> [8]
"Upɨhɨk zanu ɨ ʔaromo aʔe xe , taʔei pɨtuhem ɨpe aʔe xe .","zanu Upɨhɨk ɨ ʔaromo aʔe xe , taʔei pɨtuhem ɨpe aʔe xe .",[0] -> [1] -> [2] -> [8]
"Nezewe ukwaw ohohaw aʔe wa no , ɨ pupe wanekon wa ipɨtehem ɨpe wa no .","Nezewe ohohaw ukwaw aʔe wa no , ɨ pupe wanekon wa ipɨtehem ɨpe wa no .",[0] -> [1] -> [2] -> [8]
Umugweraw kwarer zekaipo Mair aʔe .,kwarer Umugweraw zekaipo Mair aʔe .,[0] -> [1] -> [2] -> [8]
Ukwawkatu umunarhaw pina rehe aʔe no .,umunarhaw Ukwawkatu pina rehe aʔe no .,[0] -> [1] -> [2] -> [8]
Umeʔegkarputar Zuze muhag oho tawpe aʔe nehe,muhag Umeʔegkarputar Zuze oho tawpe aʔe nehe,[0] -> [1] -> [2] -> [8]
Nezewe uzuhez katu tariʔɨr wamiri aʔe no .,Nezewe wamiri uzuhez katu tariʔɨr aʔe no .,[0] -> [1] -> [2] -> [8]
"Uʔu awaxi aʔe , iʔi Zuze izupe .","awaxi Uʔu aʔe , iʔi Zuze izupe .",[0] -> [1] -> [2] -> [8]
Ukwawkatu wikohawaʔi aʔe wa no .,wikohawaʔi Ukwawkatu aʔe wa no .,[0] -> [1] -> [2] -> [8]
Opoʔo akaʔu aʔe,akaʔu Opoʔo aʔe,[0] -> [1] -> [2] -> [8]
Aʔe ukwaw wemiʔuaʔi oho waiko aʔe wa no .,Aʔe wemiʔuaʔi ukwaw oho waiko aʔe wa no .,[0] -> [1] -> [2] -> [8]
Uʔu zapukaz kupiʔi iko aʔe .,kupiʔi Uʔu zapukaz iko aʔe .,[0] -> [1] -> [2] -> [8]
"Taz ahu aʔe , oʔok kara oho iko aʔe , uzurupopok oho iko .","Taz ahu aʔe , kara oʔok oho iko aʔe , uzurupopok oho iko .",[0] -> [1] -> [2] -> [8]
Uʔu arapapa ipiraʔi iko aʔe,ipiraʔi Uʔu arapapa iko aʔe,[0] -> [1] -> [2] -> [8]
Omono zekaipo inaza kok pupe aʔe kurɨ .,inaza Omono zekaipo kok pupe aʔe kurɨ .,[0] -> [1] -> [2] -> [8]
Nuzapokwaw ko wanemiʔuram itɨmaw romo wanupe aʔe no .,ko Nuzapokwaw wanemiʔuram itɨmaw romo wanupe aʔe no .,[0] -> [1] -> [2] -> [8]
