sen_str,swapped_sen_str,leaf_rule
Adlaa ts’ą̀’ ddha kak dideezhùu dîitth’àk .,Adlaa ts’ą̀’ ddha kak dîitth’àk dideezhùu .,[0]
Shicheii tsal veenjit kwaiitryah ałtsii .,Shicheii tsal veenjit ałtsii kwaiitryah .,[0]
"Shinee’ok shidink’ee vintł’ihihtin , vadzaih eenjit naazhrii yindhan geh’àn .","Shinee’ok vintł’ihihtin shidink’ee , vadzaih eenjit naazhrii yindhan geh’àn .",[0]
"Gwiink’oo dąį’ , naadoo ts’eh naraa’ąįį .","Gwiink’oo dąį’ , naraa’ąįį naadoo ts’eh .",[0]
"Gishreiin'ąįį dąį’ , tł’oo ts’eh neenaal’ąįį geet’ihthan .","Gishreiin'ąįį dąį’ , neenaal’ąįį tł’oo ts’eh geet’ihthan .",[0]
Tsiigehtchic gwat’san yagha’ ch’iitsii tyąh yee’aa .,Tsiigehtchic gwat’san yee’aa yagha’ ch’iitsii tyąh .,[0]
Dinjii nahtryąh nah’yą̀’ .,Dinjii nah’yą̀’ nahtryąh .,[0]
Gwintsàl dinjii zhuh k’yàa ch’îihtth’ak ts’ą̀’ jidìi eegìnkhii gàashandàii .,Gwintsàl dinjii zhuh k’yàa ch’îihtth’ak ts’ą̀’ gàashandàii jidìi eegìnkhii .,[0]
Van kat dinjik tr’ąąh’in .,Van kat tr’ąąh’in dinjik .,[0]
Voozhrì’ John òozhìi .,Voozhrì’ òozhìi John .,[0]
Kǫ’ ts’ą̀’ vadzaih tsìk keech’ahch’yàa .,Kǫ’ ts’ą̀’ keech’ahch’yàa vadzaih tsìk .,[0]
Łyàa dinjik tr’èełk’ee jì gwiheezyàa .,Łyàa tr’èełk’ee dinjik jì gwiheezyàa .,[0]
Jack Jill hàa bingò tseegii’in ts’ą̀’ gadlàa .,Jack Jill hàa tseegii’in bingò ts’ą̀’ gadlàa .,[0]
Shoozhrì’ Matthew òozhìi .,Shoozhrì’ òozhìi Matthew .,[0]
"Ch'iitąįį gwiink’oo dąį’ , gwiyehdak ik naltsuu ts’à’ ts’eh nal’ąįį .","Ch'iitąįį gwiink’oo dąį’ , gwiyehdak ik naltsuu ts’à’ nal’ąįį ts’eh .",[0]
Yagha’ tr’injaa ląįį tsal ahchyaa .,Yagha’ tr’injaa ahchyaa ląįį tsal .,[0]
Gwintsàl dinjii zhuh k’yàa ch’îihtth’ak ts’ą̀’ jidìi eegìnkhii gàashandàii .,Gwintsàl ch’îihtth’ak dinjii zhuh k’yàa ts’ą̀’ jidìi eegìnkhii gàashandàii .,[0]
Shih tthoo jak a'àa .,Shih tthoo a'àa jak .,[0]
"Thał zhrąįį zhidhin’yùu dąį’ , thah zhrąįį chan nantsuu jì’ gwiheezyàa .","Thał zhrąįį zhidhin’yùu dąį’ , chan nantsuu thah zhrąįį jì’ gwiheezyàa .",[0]
Vikì’ kal gwànlii ts’ą̀’ ts’èh dhaa yindhàn .,Vikì’ kal gwànlii ts’ą̀’ yindhàn ts’èh dhaa .,[0]
"Ch'iitąįį gwiink’oo dąį’ , gwiyehdak ik naltsuu ts’à’ ts’eh nal’ąįį .","Ch'iitąįį gwiink’oo dąį’ , naltsuu gwiyehdak ik ts’à’ ts’eh nal’ąįį .",[0]
Ch'ahan digii ahchyaa .,Ch'ahan ahchyaa digii .,[0]
