sen_str,swapped_sen_str,leaf_rule
ya cêː wânnan kòː bàː dai tà ciː shì ba //,ya cêː wânnan kòː bàː dai tà shì ciː ba //,[0] -> [1]
mukàn yi àmfàːniː dà wânnan &//,mukàn àmfàːniː dà wânnan yi &//,[0] -> [1]
kawài < sai dai kà jeː kà ɗakkoː dànkalìː kà r̃ibìɗaː //,kawài < sai dai kà jeː kà dànkalìː ɗakkoː kà r̃ibìɗaː //,[0] -> [1]
dà suː >+ mukèː yîn sànaː'àn noːmaː dà suː //,dà suː >+ mukèː sànaː'àn noːmaː yîn dà suː //,[0] -> [1]
bàː sai kaː sâː daːwàː koː masàr̃aː ba //,bàː sai kaː daːwàː koː masàr̃aː sâː ba //,[0] -> [1]
yaː yi niːsaː //,yaː niːsaː yi //,[0] -> [1]
eː mun ga àbin nàn ɗîn //,eː mun àbin nàn ɗîn ga //,[0] -> [1]
naː ci ɓeːr̃aː //,naː ɓeːr̃aː ci //,[0] -> [1]
sai sù yi manà hùːɗaː //,sai sù hùːɗaː yi manà //,[0] -> [1]
tôː Allàː yà ƙaːràː manà laːfiyàː //,tôː Allàː yà laːfiyàː ƙaːràː manà //,[0] -> [1]
kawai tòː < noːman dà ya yi < gàbaː ɗaya sai < tsuntsàːyeː sukà koːmàː sukà dingà cîn àmfàːnîn //,kawai tòː < noːman dà ya yi < gàbaː ɗaya sai < tsuntsàːyeː sukà koːmàː sukà cîn àmfàːnîn dingà //,[0] -> [1]
an kaːmàː shi ?//,an shi kaːmàː ?//,[0] -> [1]
yash shìga ruwaː |c yat taɓà tàhiyàː |c yat taɓà tàhiyàː |c sai ruwaː sunkà zan jaː wur //,yash shìga ruwaː |c yat tàhiyàː taɓà |c yat taɓà tàhiyàː |c sai ruwaː sunkà zan jaː wur //,[0] -> [1]
mòːr̃i < à gan kì baƙa-baƙaː //= à sâː ki à boːkitì //= kì zama faraː //,mòːr̃i < à gan kì baƙa-baƙaː //= à ki sâː à boːkitì //= kì zama faraː //,[0] -> [1]
yac cânyè zàkaràː //,yac zàkaràː cânyè //,[0] -> [1]
sai Doːdòː yac cêː mà Ƙurƙìyaː [ keː < tàhi kì kiraːyoː mài ayaː wàjên nan shì zakà |c shì ɗeːbèː min gaːshìn geːmèː!//] //,sai Doːdòː yac cêː mà Ƙurƙìyaː [ keː < tàhi kì mài ayaː wàjên nan kiraːyoː shì zakà |c shì ɗeːbèː min gaːshìn geːmèː!//] //,[0] -> [1]
tòː sai à zoː à shânyaː shi //,tòː sai à zoː à shi shânyaː //,[0] -> [1]
kaː dasà ràkeː ?//,kaː ràkeː dasà ?//,[0] -> [1]
