sen_str,swapped_sen_str,leaf_rule
ה שופטת החליטה להתחשב ב נסיבות אלה ו להטיל על_ _הוא עונש של שנה ו חצי מאסר ב ה_ פועל ו שלוש שנים על - תנאי .,ה שופטת החליטה להתחשב ב נסיבות אלה ו עונש של שנה ו חצי מאסר ב ה_ פועל ו שלוש שנים על - תנאי להטיל על_ _הוא .,[0] -> [1] -> [2] -> [4]
"זה כ 02 שנה מתאמצת חבורת שמרנים , בין_ _הם אירווינג קריסטול , להשיג סובסידיה פילנטרופית ל הוגים רבים יותר מ ה ימין .","זה כ 02 שנה מתאמצת חבורת שמרנים , בין_ _הם אירווינג קריסטול , סובסידיה פילנטרופית ל הוגים רבים יותר מ ה ימין להשיג .",[0] -> [1] -> [2] -> [4]
"שתי ה מנות , ה מספיקות ל ארוחה קלה ל שניים , יעלו רק 30 ש""ח .","שתי ה מנות , ה מספיקות ל ארוחה קלה ל שניים , רק 30 ש""ח יעלו .",[0] -> [1] -> [2] -> [4]
"כתוב : "" ב חוכמה עשה ל_ _אתה מלחמה "" .","כתוב : "" ב חוכמה מלחמה עשה ל_ _אתה "" .",[0] -> [1] -> [2] -> [4]
"ה ממשלה הבטיחה תוספת כ ה_ זאת ב כמה הזדמנויות , אך ה דבר לא יצא אל ה פועל .","ה ממשלה תוספת כ ה_ זאת הבטיחה ב כמה הזדמנויות , אך ה דבר לא יצא אל ה פועל .",[0] -> [1] -> [2] -> [4]
ב ה_ פיקוח על ה בנקים עדיין לומדים את_ _הם ל צורך הסקת מסקנות אפשריות .,ב ה_ פיקוח על ה בנקים עדיין את_ _הם לומדים ל צורך הסקת מסקנות אפשריות .,[0] -> [1] -> [2] -> [4]
"ב מעמקי ה מערב ה תיכון של ארה""ב קל להאמין ש ה עולם נברא ב צלם אמריקה , ש הוא מלא אנשים הגיוניים ו פרגמטיים , ו ש ה אותוריטה ה מוסרית של מוסד ש איש , כולל ארה""ב , מעולם לא לקח ב רצינות תעשה רושם מיידי על סדאם חוסיין .","ב מעמקי ה מערב ה תיכון של ארה""ב קל להאמין ש ה עולם נברא ב צלם אמריקה , ש הוא מלא אנשים הגיוניים ו פרגמטיים , ו ש ה אותוריטה ה מוסרית של מוסד ש איש , כולל ארה""ב , מעולם לא לקח ב רצינות רושם מיידי תעשה על סדאם חוסיין .",[0] -> [1] -> [2] -> [4]
"מפני ש היא מחייבת לאפשר ל ה_ פלשתינאים לנהל את חיים_ _של_ _הם ב עצמם , לגייס הון זר ו להשקיע ב ה_ חינוך ו ב ה_ בריאות ו ב ביטחון - פנים בלתי מזוין ו ליצור בסיס הנהגתי ל ניהול משא ו מתן מדיני עם ישראל על פתרון ה קבע .","מפני ש היא מחייבת לאפשר ל ה_ פלשתינאים לנהל את חיים_ _של_ _הם ב עצמם , לגייס הון זר ו להשקיע ב ה_ חינוך ו ב ה_ בריאות ו ב ביטחון - פנים בלתי מזוין ו בסיס הנהגתי ל ניהול משא ו מתן מדיני עם ישראל על פתרון ה קבע ליצור .",[0] -> [1] -> [2] -> [4]
"כ מרצה ב ה_ מכללה ל מינהל ו אני משוכנע ש ה דברים נכונים גם לגבי ה מכללות ה אחרות אני יכול לומר דבר אחד : מי ש מנע מ תלמידים אלה את זכות_ _של_ _הם ללמוד מקצוע כ חפץ_ _של_ _הם ו כ רצון_ _של_ _הם עשה מעשה ש אין ל_ _הוא מחילה ו אין ל_ _הוא כפרה לא מ בחינה אקדמית , לא מ בחינה חברתית ו לא מ בחינה לאומית .","כ מרצה ב ה_ מכללה ל מינהל ו אני משוכנע ש ה דברים נכונים גם לגבי ה מכללות ה אחרות אני יכול לומר דבר אחד : מי ש מנע מ תלמידים אלה את זכות_ _של_ _הם ללמוד מקצוע כ חפץ_ _של_ _הם ו כ רצון_ _של_ _הם מעשה ש אין ל_ _הוא מחילה ו אין ל_ _הוא כפרה לא מ בחינה אקדמית , לא מ בחינה חברתית ו לא מ בחינה לאומית עשה .",[0] -> [1] -> [2] -> [4]
"הוא לא התבלבל , ו הם נראו כ מי ש מצאו שלל רב .","הוא לא התבלבל , ו הם נראו כ מי ש שלל רב מצאו .",[0] -> [1] -> [2] -> [4]
"ו לא רק זה , אלא ש ב ה_ מחזר ה חדש יש גם הזדמנות להפיק רווח .","ו לא רק זה , אלא ש ב ה_ מחזר ה חדש יש גם הזדמנות רווח להפיק .",[0] -> [1] -> [2] -> [4]
"ה מקורות מסרו כי יחידה של צה""ל עצרה קבוצה של סטודנטים מ אוניברסיטת ביר זית ו הובילה את_ _היא ל מקום ה מרוחק כ שני ק""ם מ ה עיירה ביר זית , סמוך ל התנחלות עטרה .","ה מקורות מסרו כי יחידה של צה""ל קבוצה של סטודנטים מ אוניברסיטת ביר זית עצרה ו הובילה את_ _היא ל מקום ה מרוחק כ שני ק""ם מ ה עיירה ביר זית , סמוך ל התנחלות עטרה .",[0] -> [1] -> [2] -> [4]
קווין מקהייל ( 24 נק ) ו לארי בירד ( 23 נק ) לא הושיעו את ה ירוקים .,קווין מקהייל ( 24 נק ) ו לארי בירד ( 23 נק ) לא את ה ירוקים הושיעו .,[0] -> [1] -> [2] -> [4]
"אני מלמדת את ה אדם להפעיל את עין_ _של_ _הוא כפי ש עשה ב ה_ עבר , כש היתה ל_ _הוא ראייה תקינה "" .","אני את ה אדם מלמדת להפעיל את עין_ _של_ _הוא כפי ש עשה ב ה_ עבר , כש היתה ל_ _הוא ראייה תקינה "" .",[0] -> [1] -> [2] -> [4]
הם יקבלו תעודות זהות ירוקות .,הם תעודות זהות ירוקות יקבלו .,[0] -> [1] -> [2] -> [4]
"ה קיבוץ יכול להפיק מ קליטת ה עלייה תועלת חברתית ו כלכלית , כמו גם השפעה פוליטית "" .","ה קיבוץ יכול תועלת חברתית ו כלכלית , כמו גם השפעה פוליטית להפיק מ קליטת ה עלייה "" .",[0] -> [1] -> [2] -> [4]
"הם השקיעו ב שיפוץ ה מבנה , ש היה ב ה_ עבר ב שימוש בנק לאומי , כ 001 אלף דולר .","הם כ 001 אלף דולר השקיעו ב שיפוץ ה מבנה , ש היה ב ה_ עבר ב שימוש בנק לאומי , .",[0] -> [1] -> [2] -> [4]
"ו ב כל זאת , שאלנו את פנקייביץ , מה עשה את ה הבדל בין מי ש הצילו יהודים לבין מי ש יכלו להצילם את _הם ו לא עשו זאת ?","ו ב כל זאת , שאלנו את פנקייביץ , מה עשה את ה הבדל בין מי ש הצילו יהודים לבין מי ש יכלו להצילם את _הם ו לא זאת עשו ?",[0] -> [1] -> [2] -> [4]
"ה משלחת יצאה אמנם ל ארה""ב כש על סדר ה יום בעיקר נושאי רכש ו תקציב , אך אין ספק כי איש_ _של_ _היא ינסו להחיות את ה דיאלוג ה אסטראטגי גם ב כל ה אמור ב משבר ה מפרץ .","ה משלחת יצאה אמנם ל ארה""ב כש על סדר ה יום בעיקר נושאי רכש ו תקציב , אך אין ספק כי איש_ _של_ _היא ינסו את ה דיאלוג ה אסטראטגי גם ב כל ה אמור ב משבר ה מפרץ להחיות .",[0] -> [1] -> [2] -> [4]
ב ה_ חודש ש עבר הוכיחו ה יפאנים ב ניו - יורק את נכונות_ _של_ _הם להמשיך ו להוציא כספים על יצירות אמנות .,ב ה_ חודש ש עבר הוכיחו ה יפאנים ב ניו - יורק את נכונות_ _של_ _הם להמשיך ו כספים להוציא על יצירות אמנות .,[0] -> [1] -> [2] -> [4]
"ה עותרים טוענים כי ה וועדה לא כיבדה את ה הנחות ב תשלומי ה ארנונה ש אושרו ב שנה קודמת , אלא סטתה מן_ _הן ל חובת מקבלי ה הנחה .","ה עותרים טוענים כי ה וועדה לא את ה הנחות ב תשלומי ה ארנונה ש אושרו ב שנה קודמת כיבדה , אלא סטתה מן_ _הן ל חובת מקבלי ה הנחה .",[0] -> [1] -> [2] -> [4]
ה פיקוח על ה בנקים בוחן ב ימים אלה מחדש ניהול_ _של_ _הם של תיקי השקעות ב מטבע חוץ ב ה_ מערכת ה בנקאית .,ה פיקוח על ה בנקים ניהול_ _של_ _הם של תיקי השקעות ב מטבע חוץ ב ה_ מערכת ה בנקאית בוחן ב ימים אלה מחדש .,[0] -> [1] -> [2] -> [4]
"מ חיפה הישווה ב שבת את ה שיא ה לאומי ב ירי ב רובה אוויר , לאחר ש צבר 586 נקודות מ - 600 אפשריות .","מ חיפה את ה שיא ה לאומי ב ירי ב רובה אוויר הישווה ב שבת , לאחר ש צבר 586 נקודות מ - 600 אפשריות .",[0] -> [1] -> [2] -> [4]
"ב פנייה_ _של_ _הוא ל חברי ה התאחדות אומר נשיא ה קבלנים , מרדכי יונה , כי ה דרך של פנייה מרוכזת של ה חברים דרך ה התאחדות מבטיחה ליווי צמוד ל כל בקשה עד מילוי_ _של_ _היא .","ב פנייה_ _של_ _הוא ל חברי ה התאחדות אומר נשיא ה קבלנים , מרדכי יונה , כי ה דרך של פנייה מרוכזת של ה חברים דרך ה התאחדות ליווי צמוד ל כל בקשה מבטיחה עד מילוי_ _של_ _היא .",[0] -> [1] -> [2] -> [4]
נכון ש היו רבים ש ראו את ה תמונה ב צורה כ ה_ זאת .,נכון ש היו רבים ש את ה תמונה ראו ב צורה כ ה_ זאת .,[0] -> [1] -> [2] -> [4]
"מארק , ש לא דיבר גרמנית , אמר ל ה_ מתורגמן : תגיד ל_ _היא ש אני רוצה ללכת אתה _היא ל ה_ מיטה .","מארק , ש לא גרמנית דיבר , אמר ל ה_ מתורגמן : תגיד ל_ _היא ש אני רוצה ללכת אתה _היא ל ה_ מיטה .",[0] -> [1] -> [2] -> [4]
"ל טענה_ _של_ _הוא , אין ל ה_ ממשלה קונצפציה ברורה , ו היא לא קיבלה את הצעות ה הסתדרות ב כמה תחומים , כמו הטלת מס ל קליטת ה עלייה על כל ה ציבור , הקפאת רמת ה חיים ל שנתיים ו טיפול ב תוספת ה יוקר .","ל טענה_ _של_ _הוא , אין ל ה_ ממשלה קונצפציה ברורה , ו היא לא את הצעות ה הסתדרות ב כמה תחומים , כמו הטלת מס ל קליטת ה עלייה על כל ה ציבור , הקפאת רמת ה חיים ל שנתיים ו טיפול ב תוספת ה יוקר קיבלה .",[0] -> [1] -> [2] -> [4]
הוא ראה את פנים_ _של_ _הם של רוצחים ש חיסלו ב בית ה קפה כמה מ יריב_ _של_ _הם .,הוא ראה את פנים_ _של_ _הם של רוצחים ש כמה מ יריב_ _של_ _הם חיסלו ב בית ה קפה .,[0] -> [1] -> [2] -> [4]
"החלטת ה אוצר להעניק תוספת שכר של 9 % ל שאר ה עובדים ב ה_ מגזר ה ציבורי היא גם , כפי ש ציין זאת נגיד בנק ישראל , מיכאל ברונו , איתות שלילי ל ה_ משק .","החלטת ה אוצר תוספת שכר של 9 % להעניק ל שאר ה עובדים ב ה_ מגזר ה ציבורי היא גם , כפי ש ציין זאת נגיד בנק ישראל , מיכאל ברונו , איתות שלילי ל ה_ משק .",[0] -> [1] -> [2] -> [4]
"אבל פרקליטת ה מדינה , דורית בייניש , דוחה את ה הגדרה ה זאת , ו נראה ש לפחות ב עניין זה ה צדק עם_ _היא .","אבל פרקליטת ה מדינה , דורית בייניש , את ה הגדרה ה זאת דוחה , ו נראה ש לפחות ב עניין זה ה צדק עם_ _היא .",[0] -> [1] -> [2] -> [4]
"מכבי חיפה השיג ניצחון חוץ על בית""ר ת""א 85 99 , ש שיפר את מעמד_ _של_ _הוא ב מרכז ה טבלה .","מכבי חיפה השיג ניצחון חוץ על בית""ר ת""א 85 99 , ש את מעמד_ _של_ _הוא ב מרכז ה טבלה שיפר .",[0] -> [1] -> [2] -> [4]
"לפעמים , אחרי ש קיבל מימון פטור מ מס באמצעות ה התאחדות של_ _הוא שלא ל מטרות רווח מקרין טרנר את ה סרטים ה דוקומנטריים ב רשת ה טלוויזיה של_ _הוא ה קיימת בהחלט כדי לשאת רווחים ו ב רשתות אחרות כמו_ _היא .","לפעמים , אחרי ש מימון פטור מ מס קיבל באמצעות ה התאחדות של_ _הוא שלא ל מטרות רווח מקרין טרנר את ה סרטים ה דוקומנטריים ב רשת ה טלוויזיה של_ _הוא ה קיימת בהחלט כדי לשאת רווחים ו ב רשתות אחרות כמו_ _היא .",[0] -> [1] -> [2] -> [4]
"ו זה מה ש מביא את שגב ל ה_ פסקה ה לא - תיאמן ה באה : "" ה מסע כרך פולחן ש כולו _הוא רגשות ו סמלים , ו סגידה ביזארית לעתים ל זיכרון , ל מוות ו ל קיטש .","ו זה מה ש מביא את שגב ל ה_ פסקה ה לא - תיאמן ה באה : "" ה מסע פולחן ש כולו _הוא רגשות ו סמלים , ו סגידה ביזארית לעתים ל זיכרון , ל מוות ו ל קיטש כרך .",[0] -> [1] -> [2] -> [4]
"למרות ש בית""ר ירושלים ראשון ב ה_ טבלה , אני מהמר על ניצחון של באר שבע ( ב ה_ שעה ה ראשית 1430 ) , בגלל ה ביתיות ו גם מפני ש ל שחקני באר שבע תהיה שאפתנות מיוחדת לנצח את ה מוליך .","למרות ש בית""ר ירושלים ראשון ב ה_ טבלה , אני מהמר על ניצחון של באר שבע ( ב ה_ שעה ה ראשית 1430 ) , בגלל ה ביתיות ו גם מפני ש ל שחקני באר שבע תהיה שאפתנות מיוחדת את ה מוליך לנצח .",[0] -> [1] -> [2] -> [4]
לאחר ה פיגוע נסגר ה אזור ו כל ה סוחרים נעלו את ה חנויות .,לאחר ה פיגוע נסגר ה אזור ו כל ה סוחרים את ה חנויות נעלו .,[0] -> [1] -> [2] -> [4]
"ה רחצה מכינה את גוף_ _של_ _הוא ל מימוש_ _של_ _הן , ו דוניה לוקרסיה , ש זה עתה מלאו ל_ _היא 40 שנה , משלבת ל מרבה ה אושר פנטזיה ו מציאות גופנית .","ה רחצה את גוף_ _של_ _הוא מכינה ל מימוש_ _של_ _הן , ו דוניה לוקרסיה , ש זה עתה מלאו ל_ _היא 40 שנה , משלבת ל מרבה ה אושר פנטזיה ו מציאות גופנית .",[0] -> [1] -> [2] -> [4]
