sen_str,swapped_sen_str,leaf_rule
Iujki kiluiaj por in kixtiliaj pulque .,Iujki kiluiaj por in pulque kixtiliaj .,[0] -> [1] -> [2] -> [3]
"Neje sitalimej no chijchiujtokej kemej ne tonal , sekin kachi uejueyin uan oksekin kachi tsikitsitsin sayoj ke nochin mochiuaj ika ijpotok teyin monotsa hidrógeno uan mixuak .","Neje sitalimej no chijchiujtokej kemej ne tonal , sekin kachi uejueyin uan oksekin kachi tsikitsitsin sayoj ke nochin mochiuaj ika ijpotok teyin hidrógeno uan mixuak monotsa .",[0] -> [1] -> [2] -> [3]
"Susana Cruz , tein kiyekana in Programa de Ciencias Ambientales de la Universidad Autónoma de Puebla , techpaleuij miak maj tikinixmatikan intokayuan in xiuit uan kuouit .","Susana Cruz , tein in Programa de Ciencias Ambientales de la Universidad Autónoma de Puebla kiyekana , techpaleuij miak maj tikinixmatikan intokayuan in xiuit uan kuouit .",[0] -> [1] -> [2] -> [3]
"Ika titamij tiktasojkamatiliaj in Telesecundaria Tetsijtsilin uan no in itayekankauj Coral Morales Espinosa akin techpaleuij ika tomin maj tikixnextikan in amaix maseual kopa una koyo kopa , ika in tekit techpaleuia maj tikixnextikan nochi in maseualtamachilis tein moijkuiloua , maj kiixmatikan maseualmej uan nochi in okseki tokniuan .","Ika titamij tiktasojkamatiliaj in Telesecundaria Tetsijtsilin uan no in itayekankauj Coral Morales Espinosa akin techpaleuij ika tomin maj tikixnextikan in amaix maseual kopa una koyo kopa , ika in tekit techpaleuia maj tikixnextikan nochi in maseualtamachilis tein moijkuiloua , maj maseualmej uan nochi in okseki tokniuan kiixmatikan .",[0] -> [1] -> [2] -> [3]
"Kemej , in kouamej teyin kuali kitaj tokauanyoj uan nekmej kuali kitaj nochin tapalmej teyin kipia se xochit .","Kemej , in kouamej teyin kuali kitaj tokauanyoj uan nekmej kuali nochin tapalmej teyin kipia se xochit . kitaj",[0] -> [1] -> [2] -> [3]
"Susana Cruz , tein kiyekana in Programa de Ciencias Ambientales de la Universidad Autónoma de Puebla , techpaleuij miak maj tikinixmatikan intokayuan in xiuit uan kuouit .","Susana Cruz , tein kiyekana in Programa de Ciencias Ambientales de la Universidad Autónoma de Puebla , techpaleuij miak maj intokayuan in xiuit uan kuouit tikinixmatikan .",[0] -> [1] -> [2] -> [3]
Maweweyak achi pihpitsawak wan kipia n' ipuntas tepitsin nen ikwapan .,Maweweyak achi pihpitsawak wan n' ipuntas kipia tepitsin nen ikwapan .,[0] -> [1] -> [2] -> [3]
"In tepos teyin monotsa horno de microondas , teyin ika se tatotonia , kitekitiltiya se tauil teyin amo ueli tikitaj , nejin monotsa microondas no ijkon in celulares uan teposejekatanojnotsalonimej kitekitiltiyaj in tauil teyin amo ueli tikitaj .","In tepos teyin horno de microondas , teyin ika se tatotonia monotsa , kitekitiltiya se tauil teyin amo ueli tikitaj , nejin monotsa microondas no ijkon in celulares uan teposejekatanojnotsalonimej kitekitiltiyaj in tauil teyin amo ueli tikitaj .",[0] -> [1] -> [2] -> [3]
"Ne kwowtah , pos yon ne , tehwan no tikiliah mismo de yeh , ahmolkilit .","Ne kwowtah , pos yon ne , tehwan no mismo de yeh , ahmolkilit tikiliah .",[0] -> [1] -> [2] -> [3]
"In sesek , cuando se tayi se momaka cuenta .","In sesek , cuando se tayi se cuenta momaka .",[0] -> [1] -> [2] -> [3]
