sen_str,swapped_sen_str,leaf_rule
nu-u š-ma-aš ḪUR.SAG.MEŠ pé-ra-an ták-ša-at-ni-ya-an-ta-ru,nu-u ḪUR.SAG.MEŠ ták-ša-at-ni-ya-an-ta-ru š-ma-aš pé-ra-an,[0] -> [1]
ták-ku ÌR-na-aš na-aš-ma GÉME-aš QA-AS SÚ na-aš-ma GÌR ŠU ku-iš-ki [tu-wa-ar-ni-iz-zi] 10 GÍN KÙ.BABBAR pa-a-i,ták-ku ÌR-na-aš na-aš-ma GÉME-aš QA-AS SÚ na-aš-ma GÌR ŠU ku-iš-ki [tu-wa-ar-ni-iz-zi] pa-a-i 10 GÍN KÙ.BABBAR,[0] -> [1]
nu ḫa-aš-ta-a-e [an-d]a li-iš-ša-an-zi,nu [an-d]a li-iš-ša-an-zi ḫa-aš-ta-a-e,[0] -> [1]
nu ak-kán-za ku-e-da-aš uk-tu-ri-ya-aš wa-ra-a-ni nu a-pé-e-da-aš uk-tu-ri-ya-aš a-ra-aḫ-za-an-da 12 NINDA.GUR4.RA.MEŠ GAM ti-ya-an-zi,nu ak-kán-za ku-e-da-aš uk-tu-ri-ya-aš wa-ra-a-ni nu a-pé-e-da-aš uk-tu-ri-ya-aš a-ra-aḫ-za-an-da GAM ti-ya-an-zi 12 NINDA.GUR4.RA.MEŠ,[0] -> [1]
n a-an kán iš-tar-na ar-ḫa pa-a-un,n kán iš-tar-na ar-ḫa pa-a-un a-an,[0] -> [1]
NIM.LÀL te-ri-ya-aš UD-aš mi-u-wa-aš UD-aš KASKAL-an pa-a-an-du,NIM.LÀL te-ri-ya-aš UD-aš mi-u-wa-aš UD-aš pa-a-an-du KASKAL-an,[0] -> [1]
ták-ku GUD.ḪI.A A.ŠÀ-ni pa-a-an-zi Ù BE-EL A.ŠÀ ú-e-mi-<ez->zi UD 1 KAM tu-u-ri-ez-zi,ták-ku GUD.ḪI.A pa-a-an-zi A.ŠÀ-ni Ù BE-EL A.ŠÀ ú-e-mi-<ez->zi UD 1 KAM tu-u-ri-ez-zi,[0] -> [1]
n a-an ar-ḫa ú-wa-te-er,n ar-ḫa ú-wa-te-er a-an,[0] -> [1]
ḫa-me-eš-ḫi-ya-a z BABBAR-TIM wa-aš-ša[-ši],ḫa-me-eš-ḫi-ya-a z wa-aš-ša[-ši] BABBAR-TIM,[0] -> [1]
up-pé-eš-šar-MEŠ ma-a t-ta ku-e up-pa-aḫ-ḫu-un nu ḫu-u-ma-an LÚ ṬE4-ME KA ma-ni-ya-[aḫ-ḫu-un],up-pé-eš-šar-MEŠ ma-a t-ta up-pa-aḫ-ḫu-un ku-e nu ḫu-u-ma-an LÚ ṬE4-ME KA ma-ni-ya-[aḫ-ḫu-un],[0] -> [1]
