sen_str,swapped_sen_str,leaf_rule
Bab punika dipuntandhani kanthi kasuksesan ipun Maldini ngrebut peringkat tiga ing Ballon d ' Or versi majalah France Football nalika taun 1994 lan 2003 .,Bab punika dipuntandhani kanthi kasuksesan ipun Maldini peringkat tiga ngrebut ing Ballon d ' Or versi majalah France Football nalika taun 1994 lan 2003 .,[0] -> [1] -> [2]
Aku selak nggarap revisian ku . ”,Aku selak revisian ku nggarap . ”,[0] -> [1] -> [2]
"Wukir saiki uga melu dadi sukarelawan nunggoni taman waca , gentenan karo liya e .","Wukir saiki uga melu dadi sukarelawan taman waca nunggoni , gentenan karo liya e .",[0] -> [1] -> [2]
"Para warga padha metu karo nggawani sampah sing wis dipisah antara e sampah teles lan sampah garing ing sajroning bak sampah ; Cecep ( 17 ) , gawean e luwih enteng amarga wis didhewekake sampah e , dheweke ora perlu antri .","Para warga padha metu karo sampah sing wis dipisah antara e sampah teles lan sampah garing ing sajroning bak sampah nggawani ; Cecep ( 17 ) , gawean e luwih enteng amarga wis didhewekake sampah e , dheweke ora perlu antri .",[0] -> [1] -> [2]
"Ananging , jare e Freddy Widya Ariesta , supaya bisa ngematake makna e , tembang Cublak-cublak Suweng ora bisa dimaknani ngono wae apa ana e jroning basa Indonesia .","Ananging , jare e Freddy Widya Ariesta , supaya bisa makna e ngematake , tembang Cublak-cublak Suweng ora bisa dimaknani ngono wae apa ana e jroning basa Indonesia .",[0] -> [1] -> [2]
""" Gek Mbah Kung wis katon pulih nanging kok Mbah Uti sansaya nemen malah kaya wong bingung gek njur merem wae , ” wangsulan ku karo sangga uwang .",""" Gek Mbah Kung wis katon pulih nanging kok Mbah Uti sansaya nemen malah kaya wong bingung gek njur merem wae , ” wangsulan ku karo uwang sangga .",[0] -> [1] -> [2]
"Cara e dolanan , salah siji e bocah kudu mbungkuk banjur kanca-kanca e padha mbukak dlamakan tangan e lan diselehake sadhuwure geger e bocah sing mbungkuk mau .","Cara e dolanan , salah siji e bocah kudu mbungkuk banjur kanca-kanca e padha dlamakan tangan e mbukak lan diselehake sadhuwure geger e bocah sing mbungkuk mau .",[0] -> [1] -> [2]
"Vesta wujud sabuk asteroid paling utami ingkang kadang-kala ketingal tanpa piranti tambahan ( ing saperangan kadadosan ingkang cekap langka , asteroid ingkang cedhak kaliyan bumi saged ketingal tanpa bantuan teknis ; pirsani 99942 Apophis ) .","Vesta wujud sabuk asteroid paling utami ingkang kadang-kala ketingal tanpa piranti tambahan ( ing saperangan kadadosan ingkang cekap langka , asteroid ingkang cedhak kaliyan bumi saged ketingal tanpa bantuan teknis ; 99942 Apophis pirsani ) .",[0] -> [1] -> [2]
"Kudu bisa nglembah manah , ora nyepelekake wong liya , sarta bisa tanggap lan trep karo swara ati e .","Kudu bisa nglembah manah , ora wong liya nyepelekake , sarta bisa tanggap lan trep karo swara ati e .",[0] -> [1] -> [2]
"Mula ora maido , kahanan iku gawe muntabing masarakat , utamane para pandhemen lan seniman reyog .","Mula ora maido , kahanan iku muntabing masarakat , utamane para pandhemen lan seniman reyog gawe .",[0] -> [1] -> [2]
Kabeh wis ngerti menawa Tari butuh dhuwit akeh .,Kabeh wis ngerti menawa Tari dhuwit akeh butuh .,[0] -> [1] -> [2]
Aku akeh sambat yen ana garapan sekolah aku mesthi kangelan amarga nora nduwe laptop .,Aku akeh sambat yen ana garapan sekolah aku mesthi kangelan amarga nora laptop nduwe .,[0] -> [1] -> [2]
Mbah Carik malah ngguyu keprungu pitakon ku .,Mbah Carik malah ngguyu pitakon ku keprungu .,[0] -> [1] -> [2]
"Rong dina kepungkur sawise ketemu bocah wadon , geganthilane ati ku .","Rong dina kepungkur sawise bocah wadon ketemu , geganthilane ati ku .",[0] -> [1] -> [2]
"Album studhio kang kapapat , Viva la Vida or Death and All His Friends ( 2008 ) , diprodhuksi dening Brian Eno lan entuk komentar positif uga entuk sawetara nominasi Grammy Award lan menang ing 51st Grammy Awards .","Album studhio kang kapapat , Viva la Vida or Death and All His Friends ( 2008 ) , diprodhuksi dening Brian Eno lan entuk komentar positif uga sawetara nominasi Grammy Award entuk lan menang ing 51st Grammy Awards .",[0] -> [1] -> [2]
Alon-alon aku ngajak kanca karang taruna gawe bedhengan kanggo ngingu lele organik .,Alon-alon aku ngajak kanca karang taruna bedhengan gawe kanggo ngingu lele organik .,[0] -> [1] -> [2]
