sen_str,swapped_sen_str,leaf_rule
तिह्नां कमरे विच महात्मा गांधी दी इक्क तस्वीर रखणे दी भी सलाह दित्ती ।,तिह्नां कमरे विच रखणे महात्मा गांधी दी इक्क तस्वीर दी भी सलाह दित्ती ।,[0] -> [1]
इस ताईं ज़िला स्तर पर इक्क बड्डी योजना बणाई गेइयो है ।,इस ताईं ज़िला स्तर पर बणाई इक्क बड्डी योजना गेइयो है ।,[0] -> [1]
झाणुए दे अंगणे विच मुन्नुए दी किताब सुटी दित्तियो है ।,झाणुए दे अंगणे विच सुटी दित्तियो मुन्नुए दी किताब है ।,[0] -> [1]
इसदे कने ही तिह्नां रिंकू चौहान जो धरैंस रखणे दी सलाह देई दित्ती ।,इसदे कने ही तिह्नां धरैंस रखणे दी सलाह देई दित्ती रिंकू चौहान जो ।,[0] -> [1]
असां दे जमाने बिच मदरसे नेडे नी हुन्दे थे ।,असां दे जमाने बिच नेडे नी हुन्दे मदरसे थे ।,[0] -> [1]
शहरां ते दूर - दुरेडैं ग्रां विच हल्ली भी बच्छुआं ने ही खेतिया जो लाणे दा कम्म हुन्दा है ।,शहरां ते दूर - दुरेडैं ग्रां विच हल्ली भी बच्छुआं ने ही लाणे दा कम्म हुन्दा खेतिया जो है ।,[0] -> [1]
तिन्नी असां तांई बड़ा ही छैळ खाणा त्यार कित्ता ।,तिन्नी असां तांई त्यार बड़ा ही छैळ खाणा कित्ता ।,[0] -> [1]
तिन्ना तिह्नां जो रात्ती केइयां किस्मा दे खाणें बणाई के खुआए ।,तिन्ना रात्ती केइयां किस्मा दे खाणें बणाई के खुआए तिह्नां जो ।,[0] -> [1]
स्टेडियम विच हुण लोकां जो मन्त्रिए कने मिलणे दा मौक़ा तां मिल्ला ।,स्टेडियम विच हुण लोकां जो मिल्ला मन्त्रिए कने मिलणे दा मौक़ा तां ।,[0] -> [1]
कोई पैंती मिनटां तिकर घळाटी चलदी रेह्यी ।,कोई पैंती मिनटां तिकर चलदी घळाटी रेह्यी ।,[0] -> [1]
तिज्जो अंबरे च मते सारे तारे नजरी औणे ।,तिज्जो अंबरे च मते सारे नजरी औणे तारे ।,[0] -> [1]
इत्थू रोज़ सतलुजा ते 250 घनमीटर पाणी छड्डेया जा करदा है ।,इत्थू रोज़ सतलुजा ते छड्डेया 250 घनमीटर पाणी जा करदा है ।,[0] -> [1]
तिह्नां दस्सेया जे प्रधान त्रींह बड्डेयां खूह्आं पर 19 हज़ार रूपेइये खर्च करा करदा है ।,तिह्नां दस्सेया जे प्रधान त्रींह बड्डेयां खूह्आं पर खर्च करा 19 हज़ार रूपेइये करदा है ।,[0] -> [1]
इसते बाद कांगड़े देयां ग्रां विच 5 कने 6 तरीख जो तिन्नी लोकां कने मिलणा है ।,इसते बाद कांगड़े देयां ग्रां विच 5 कने 6 तरीख जो तिन्नी मिलणा लोकां कने है ।,[0] -> [1]
सारे लोक बुड्ढे पास्सें गौरा ने दिक्खणा लगी पे ।,सारे लोक गौरा ने दिक्खणा लगी बुड्ढे पास्सें पे ।,[0] -> [1]
पर इसा बारिया तिह्नां मते अम्ब नी तोड़े ।,पर इसा बारिया तिह्नां नी तोड़े मते अम्ब ।,[0] -> [1]
असां तिसजो सौग्गी लेईके चलणे दी कोशिश करगे ।,असां सौग्गी लेईके तिसजो चलणे दी कोशिश करगे ।,[0] -> [1]
बिट्टी बक्खे वाळे बल्लड़े विच टेनिस खेला करदी थी ।,बिट्टी बक्खे वाळे बल्लड़े विच खेला टेनिस करदी थी ।,[0] -> [1]
हुण मन्दरे कने मस्जिदा दे मुद्दे जो लोक महत्त्व नी दिंदे ।,हुण लोक महत्त्व नी दिंदे मन्दरे कने मस्जिदा दे मुद्दे जो ।,[0] -> [1]
इसा ही भ्यागा मेरे बापू इंगलैण्ड जो निकळी गै ।,इसा ही भ्यागा मेरे बापू निकळी इंगलैण्ड जो गै ।,[0] -> [1]
लोकां जो हुण इस बारे विच डर छडी देणा चाहिदा ।,लोकां जो हुण इस बारे विच छडी देणा डर चाहिदा ।,[0] -> [1]
क्या तुसां इसा तस्वीरा विच माहणुए पछैणी सकदे ?,क्या तुसां इसा तस्वीरा विच पछैणी माहणुए सकदे ?,[0] -> [1]
गरीबुए ते टब्बरे दा पेट नी भरोया ।,गरीबुए ते टब्बरे दा नी भरोया पेट ।,[0] -> [1]
हुण तां प्रधानमंत्री इक्क गल्ल करदे हन कने अगले दिन तिसा परा मुकरी जांदे हन ।,हुण तां प्रधानमंत्री करदे इक्क गल्ल हन कने अगले दिन तिसा परा मुकरी जांदे हन ।,[0] -> [1]
