sen_str,swapped_sen_str,leaf_rule
Mie nävin Annua monešša tapahtumašša ta kuulin kerran hänen šuušta šemmosen ajatukšen :,Mie Annua nävin monešša tapahtumašša ta kuulin kerran hänen šuušta šemmosen ajatukšen :,[0] -> [1] -> [9]
"Keppijen alla hiän pani koivun lehtie , jotta ne ei painettais olka-päitä .","Keppijen alla hiän koivun lehtie pani , jotta ne ei painettais olka-päitä .",[0] -> [1] -> [9]
"Lämpimäšti paisto päivyä , linnut vičerrettih .","Lämpimäšti päivyä paisto , linnut vičerrettih .",[0] -> [1] -> [9]
Omalla ruavolla tahon herättyä ihmisissä haluo tuntie kotimuata paremmin ta käyvä šitä kaččomašša .,Omalla ruavolla tahon herättyä ihmisissä haluo kotimuata tuntie paremmin ta käyvä šitä kaččomašša .,[0] -> [1] -> [9]
Šiätijöh kuuluu noin viisi miljonie ošallistujua ta še toimiu yli šuašša muašša .,Šiätijöh viisi miljonie ošallistujua kuuluu noin ta še toimiu yli šuašša muašša .,[0] -> [1] -> [9]
Muamo kuiteski pani kesselih veičet ta hyö lähettih matkah .,Muamo kuiteski veičet pani kesselih ta hyö lähettih matkah .,[0] -> [1] -> [9]
"Patriotismi on aivan šamua : konša tiijät ta šuvaičet omua muata ta omua kulttuurie , šilloin paremmin maltat ta kunnivoičet toisie maita ta toisie kulttuurija .","Patriotismi on aivan šamua : konša omua muata tiijät ta šuvaičet ta omua kulttuurie , šilloin paremmin maltat ta kunnivoičet toisie maita ta toisie kulttuurija .",[0] -> [1] -> [9]
"Konša ihmini tuntou valehušta , niin tuškin hiän avuau omua šieluo ta rupieu ruatamah šiun kera .","Konša ihmini tuntou valehušta , niin tuškin hiän omua šieluo avuau ta rupieu ruatamah šiun kera .",[0] -> [1] -> [9]
"Muamo šito okšah valkien paikan , jotta rutompah löytyä tie .","Muamo valkien paikan šito okšah , jotta rutompah löytyä tie .",[0] -> [1] -> [9]
"Konša ihmini tuntou valehušta , niin tuškin hiän avuau omua šieluo ta rupieu ruatamah šiun kera .","Konša ihmini valehušta tuntou , niin tuškin hiän avuau omua šieluo ta rupieu ruatamah šiun kera .",[0] -> [1] -> [9]
