sen_str,swapped_sen_str,leaf_rule
Sago ge ǂhôana nî ǀhaoǀhao .,Sago ge nî ǀhaoǀhao ǂhôana .,[0] -> [1] -> [2] -> [3]
Nēsisa ǁgammi ǀnōb ra khâi khami i ge ra ǁgam-e ra ǁkhae ǂnuwiǂgoagu ǂamǃnâ ra ǁhōxūsen hina tsūǃōse E ǂgawab xa ǀgawise ī tama ga .,Nēsisa ǁgammi ǀnōb ra khâi khami i ge ra ra ǁkhae ǁgam-e ǂnuwiǂgoagu ǂamǃnâ ra ǁhōxūsen hina tsūǃōse E ǂgawab xa ǀgawise ī tama ga .,[0] -> [1] -> [2] -> [3]
Tita ge Brooklyns ǃnâ a ǂnoaba-ao tsî ta ti ǀhawesasiba xu ǁaeba go ǁhûiǂui î ta Rudolf Abela hui ǁkhā ga .,Tita ge Brooklyns ǃnâ a ǂnoaba-ao tsî ta ti ǀhawesasiba xu ǁaeba go ǁhûiǂui î ta hui Rudolf Abela ǁkhā ga .,[0] -> [1] -> [2] -> [3]
""" tare-e ts goro dī "" ti ts ta ǂâi ?",""" ts goro dī tare-e "" ti ts ta ǂâi ?",[0] -> [1] -> [2] -> [3]
Mûǃāxase hoa khoen ge ǂanǂansa Titanici di ǂhôasa a ǂan .,Mûǃāxase hoa khoen ge a ǂan ǂanǂansa Titanici di ǂhôasa .,[0] -> [1] -> [2] -> [3]
""" ǁkhawa ts nē ǀgôasa ū tsî ǃgû tite """,""" ǁkhawa ts ū nē ǀgôasa tsî ǃgû tite """,[0] -> [1] -> [2] -> [3]
Perub ge dōba go ǁkhowaam,Perub ge go ǁkhowaam dōba,[0] -> [1] -> [2] -> [3]
"Nausa ta ga mî o , ti klienti ge hoaraga mîǁguiga ra ǃgôaǃgâ .","Nausa ta ga mî o , ti klienti ge ra ǃgôaǃgâ hoaraga mîǁguiga .",[0] -> [1] -> [2] -> [3]
Sida ge ' ǂhanub ' ti ra ǀonǂgai tsî da ge nē ǁgarage ra sao tsî ǃkhais ge sida Amerikan ǃHūǁî se ra dī .,Sida ge ' ǂhanub ' ti ra ǀonǂgai tsî da ge ra sao nē ǁgarage tsî ǃkhais ge sida Amerikan ǃHūǁî se ra dī .,[0] -> [1] -> [2] -> [3]
"nē i a o "" tareba ǁnāba ? "" ti ts ga ǀnîsi ǃgoreba mû tsî gara mî o","nē i a o "" tareba ǁnāba ? "" ti ts ga ǀnîsi mû ǃgoreba tsî gara mî o",[0] -> [1] -> [2] -> [3]
ǁÎn ge ǁîn khoeba ǃhoa b nî aiǃâ ǂhâba-oa hâ .,ǁÎn ge ǃhoa b nî aiǃâ ǂhâba-oa ǁîn khoeba hâ .,[0] -> [1] -> [2] -> [3]
Tita ge ǁae tama hâ tarina go ǂgomǃgâ hâ ǃkhaisa .,Tita ge ǁae tama hâ go ǂgomǃgâ tarina hâ ǃkhaisa .,[0] -> [1] -> [2] -> [3]
