sen_str,swapped_sen_str,leaf_rule
"Ri ajtij kubʼij chi ke : rajawaxik keqachajij ri awaj , are utikoʼn ri Ajaw .","Ri ajtij kubʼij chi ke : rajawaxik ri awaj keqachajij , are utikoʼn ri Ajaw .",[0] -> [1] -> [2] -> [3] -> [7]
Kʼo jun tojbʼal kinyaʼ chi awe we kachʼak ri etzʼanem .,Kʼo jun tojbʼal kinyaʼ chi awe we ri etzʼanem kachʼak .,[0] -> [1] -> [2] -> [3] -> [7]
"Ri imul xuchʼij taj , xkanaj pa bʼe , rumal ri nimal kujaluj ri imul , xutzaq ri anim .","Ri imul xuchʼij taj , xkanaj pa bʼe , rumal ri nimal kujaluj ri imul , ri anim xutzaq .",[0] -> [1] -> [2] -> [3] -> [7]
"Xkʼulmataj jumul , xubʼan jun nimalaj jabʼ , man xbʼeyetaj ta na xukʼis le uyuqʼ chi ke .","Xkʼulmataj jumul , jun nimalaj jabʼ xubʼan , man xbʼeyetaj ta na xukʼis le uyuqʼ chi ke .",[0] -> [1] -> [2] -> [3] -> [7]
Ri wonon kel bʼi k are taq kumajij ri saqʼij .,Ri wonon kel bʼi k are taq ri saqʼij kumajij .,[0] -> [1] -> [2] -> [3] -> [7]
"Ri a Kel xkikot ri ranimaʼ , xuto ri xubʼij ri ratiʼt ch ech .","Ri a Kel xkikot ri ranimaʼ , ri xubʼij ri ratiʼt ch ech xuto .",[0] -> [1] -> [2] -> [3] -> [7]
"we mna chaloqʼ axiyal , na kimbʼe ta awukʼ .","we mna axiyal chaloqʼ , na kimbʼe ta awukʼ .",[0] -> [1] -> [2] -> [3] -> [7]
"Ri nim taq chuchqajawibʼ , xoqujeʼ kkaj kkikamisaj ri Lasaro .","Ri nim taq chuchqajawibʼ , xoqujeʼ kkaj ri Lasaro kkikamisaj .",[0] -> [1] -> [2] -> [3] -> [7]
Rajawaxik kakʼaman ch awe le utijik le lej .,Rajawaxik kakʼaman ch awe le le lej utijik .,[0] -> [1] -> [2] -> [3] -> [7]
Xopan jun qʼij xbʼe utukel pa tijobʼal xuriq apan oq jupuq tzʼiʼ pa ri bʼe .,Xopan jun qʼij xbʼe utukel pa tijobʼal jupuq tzʼiʼ xuriq apan oq pa ri bʼe .,[0] -> [1] -> [2] -> [3] -> [7]
Noʼjim ukemik le pas awumal .,Noʼjim le pas ukemik awumal .,[0] -> [1] -> [2] -> [3] -> [7]
"We kabʼan elaqʼ pwaq , kape ri mebʼaʼil pa awiʼ .","We elaqʼ pwaq kabʼan , kape ri mebʼaʼil pa awiʼ .",[0] -> [1] -> [2] -> [3] -> [7]
Xepe le winaq xolkikʼam a le ali .,Xepe le winaq le ali xolkikʼam a .,[0] -> [1] -> [2] -> [3] -> [7]
"Utz ch aqe kaqatoʼ qibʼ , taq kʼo kʼaxkʼolil , katewechiʼn ri Ajaw pa qawiʼ .","Utz ch aqe kaqatoʼ qibʼ , taq kʼo kʼaxkʼolil , ri Ajaw pa qawiʼ katewechiʼn .",[0] -> [1] -> [2] -> [3] -> [7]
Utz ukemik le pas ch awe .,Utz le pas ukemik ch awe .,[0] -> [1] -> [2] -> [3] -> [7]
Xekiqʼil le ajchakibʼ xkiwok le ja .,Xekiqʼil le ajchakibʼ le ja xkiwok .,[0] -> [1] -> [2] -> [3] -> [7]
"Ri imul xumaj ri anim , xuya kan le kok .","Ri imul xumaj ri anim , le kok xuya kan .",[0] -> [1] -> [2] -> [3] -> [7]
"Kʼo kebʼ ubʼantajik le kubʼan kʼax chi kech le e winaq , Trypanosoma brucei gambiense ( T.b.g ) chiʼl Trypanosoma brucei rhodesiense ( T.b.r. ) .","Kʼo kebʼ ubʼantajik le kʼax kubʼan chi kech le e winaq , Trypanosoma brucei gambiense ( T.b.g ) chiʼl Trypanosoma brucei rhodesiense ( T.b.r. ) .",[0] -> [1] -> [2] -> [3] -> [7]
Aninaq ukemik le pas awumal .,Aninaq le pas ukemik awumal .,[0] -> [1] -> [2] -> [3] -> [7]
Utz ukemik le pas ch awe .,Utz le pas ukemik ch awe .,[0] -> [1] -> [2] -> [3] -> [7]
Ri ajtij Lol xuta chi ke jawi xkichap wi ri alaj imul .,Ri ajtij Lol xuta chi ke jawi ri alaj imul xkichap wi .,[0] -> [1] -> [2] -> [3] -> [7]
Are chiʼ kubʼan ri jabʼ kajinin ri nimaʼ .,Are chiʼ ri jabʼ kubʼan kajinin ri nimaʼ .,[0] -> [1] -> [2] -> [3] -> [7]
