sen_str,swapped_sen_str,leaf_rule
"그것들은 거의 완벽하게 지성을 갖춘 로봇이라고 할 수 있었는데 , 그 주요 임무는 화성에서 생물체를 찾는 것이었다 .","그것들은 거의 완벽하게 갖춘 지성을 로봇이라고 할 수 있었는데 , 그 주요 임무는 화성에서 생물체를 찾는 것이었다 .",[0] -> [1] -> [3]
"이런 점은 작가가 현실 속에 뿌리를 두지 못하고 , 개별화된 몇 개의 관념에 문학을 종속시키는 아이디얼리즘과 밀접한 관련을 지닌다 .","이런 점은 작가가 현실 속에 뿌리를 두지 못하고 , 개별화된 몇 개의 관념에 종속시키는 문학을 아이디얼리즘과 밀접한 관련을 지닌다 .",[0] -> [1] -> [3]
트로이는 전력을 기울여 방어하되 도무지 밖에 나와 싸우기를 꺼려 한다 .,트로이는 전력을 기울여 방어하되 도무지 꺼려 한다 밖에 나와 싸우기를 .,[0] -> [1] -> [3]
한국에서 공부하면 공부뿐만 아니라 그 나라의 문화나 생활습관도 알 수 있다 .,한국에서 공부하면 알 공부뿐만 아니라 그 나라의 문화나 생활습관도 수 있다 .,[0] -> [1] -> [3]
고대 사회에서는 암석과 무생물이 지능과 마력을 가지고 살아 있다고 믿었다 .,고대 사회에서는 암석과 무생물이 가지고 지능과 마력을 살아 있다고 믿었다 .,[0] -> [1] -> [3]
왜냐하면 이 노래가 활발해서 듣는 사람에게 좋은 기분을 줄 수 있기 때문이다 .,왜냐하면 이 노래가 활발해서 듣는 사람에게 줄 좋은 기분을 수 있기 때문이다 .,[0] -> [1] -> [3]
직장에 다니는 교민들 중에는 전날 퇴근 직후 일찍 귀가해 축구 경기시간에 알람을 맞춰 놓고 미리 잠을 청하는 사람들도 많았다 .,직장에 다니는 교민들 중에는 전날 퇴근 직후 일찍 귀가해 축구 경기시간에 알람을 맞춰 놓고 미리 청하는 잠을 사람들도 많았다 .,[0] -> [1] -> [3]
예를 들어서 텔레비전을 통해서 화면을 볼수 있으며 소리를 들수 있기는 하지만 라디오가 화면을 볼수 없다 .,예를 들어서 텔레비전을 통해서 볼수 화면을 있으며 소리를 들수 있기는 하지만 라디오가 화면을 볼수 없다 .,[0] -> [1] -> [3]
방통위는 또 LBS 산업 활성화를 위해 프라이버시 침해 위협이 낮은 사업자에 대해 허가 • 신고 의무 및 보호조치 규정을 환화하는 등 법 • 제도를 개선하기로 했다 .,방통위는 또 LBS 산업 활성화를 위해 프라이버시 침해 위협이 낮은 사업자에 대해 허가 • 신고 의무 및 보호조치 규정을 환화하는 등 법 • 개선하기로 제도를 했다 .,[0] -> [1] -> [3]
[ 유가증권 ] 의 경우 주식시장이 활황을 누렸던 1989 년에는 29.4 % 에 이르렀으나 이후 증시가 침체기를 맞이하면서 1991 년에는 7.0 % 로 낮아졌다 .,[ 유가증권 ] 의 경우 주식시장이 누렸던 활황을 1989 년에는 29.4 % 에 이르렀으나 이후 증시가 침체기를 맞이하면서 1991 년에는 7.0 % 로 낮아졌다 .,[0] -> [1] -> [3]
"임원들은 예상 목표를 달성하거나 초과 달성한 공로로 150 만 달러의 거금을 나눠 갖거나 각자 평균 약 15,000 달러를 받는 등 이른바 "" 성공 보수 "" 를 받았다 .","임원들은 달성하거나 예상 목표를 초과 달성한 공로로 150 만 달러의 거금을 나눠 갖거나 각자 평균 약 15,000 달러를 받는 등 이른바 "" 성공 보수 "" 를 받았다 .",[0] -> [1] -> [3]
주위의 산 그림자는 회색 내지 어둡게 빙면 위에 그림자를 드리운다 .,주위의 산 그림자는 회색 내지 어둡게 빙면 위에 드리운다 그림자를 .,[0] -> [1] -> [3]
"개강 중 수시로 교체하여 전시하고 있으며 , 특별 전시회도 열고 있다 .","개강 중 수시로 교체하여 전시하고 있으며 , 열고 특별 전시회도 있다 .",[0] -> [1] -> [3]
"처음에 살을 뺄 목적으로 시작했는데 , 이제는 저의 건강을 유지하기 위해서 운동을 합니다 .","처음에 살을 뺄 목적으로 시작했는데 , 이제는 위해서 저의 건강을 유지하기 운동을 합니다 .",[0] -> [1] -> [3]
