sen_str,swapped_sen_str,leaf_rule
"et si nos taliter non adimpleverimus sicut supra legitur aut si de ipsa casa et res foris exierimus alibit ad avitandum , aut per nos peiorata vel subtracta fuerit , spondeo ego qui supra Miciulo cum meis heredes conponere tibi Ambrosius episcopus vel ad sucessoribus tuis penam , argentum soledos quatraginta , quia taliter nos convenit .","et si nos taliter non adimpleverimus sicut supra legitur aut si de ipsa casa et res foris exierimus alibit ad avitandum , aut per nos peiorata vel subtracta fuerit , spondeo ego qui supra Miciulo cum meis heredes penam conponere tibi Ambrosius episcopus vel ad sucessoribus tuis , argentum soledos quatraginta , quia taliter nos convenit .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et , si quiscumque de heredibus meis contra hanc meae dotalis paginam in aliquo agere aut causare quesierit per quolibet ingenium et non permiserit omnia permanere sicut supra a me constitutum est aut vel aliquit de ipsa res da ipsa bassilica subtragi quesierit , sit componiturus ipse heres meus in ipso sancto loco vel ad ipso presbitero , qui inivi cannonico ordinem ordinatus fuerit , penam , auri soledos numero ducentos ;","et , si quiscumque de heredibus meis contra hanc meae dotalis paginam in aliquo agere aut causare quesierit per quolibet ingenium et non permiserit omnia permanere sicut supra a me constitutum est aut vel aliquit de ipsa res da ipsa bassilica subtragi quesierit , sit , penam componiturus ipse heres meus in ipso sancto loco vel ad ipso presbitero , qui inivi cannonico ordinem ordinatus fuerit , auri soledos numero ducentos ;",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si a nos vobis hec omnia qualiter superius legitur per singulos annos sic non fuerint adimpleta et conservata , aut si suprascripta ecclesia , seo casis et rebus quas mihi superius dedisti , relaxaverimus , aud si per nos peioratas adparuerit , spondeo ego qui supra Ebroacho conponere tibi qui supra Hieremias episcopus , vel ad subcessoribus tuis , penam , argentum soledos centum , quia taliter inter nos convenit et duas inter nos cartulas Adalfridi notarium scribere rogavimus .","et si a nos vobis hec omnia qualiter superius legitur per singulos annos sic non fuerint adimpleta et conservata , aut si suprascripta ecclesia , seo casis et rebus quas mihi superius dedisti , relaxaverimus , aud si per nos peioratas adparuerit , spondeo ego qui supra Ebroacho , penam conponere tibi qui supra Hieremias episcopus , vel ad subcessoribus tuis , argentum soledos centum , quia taliter inter nos convenit et duas inter nos cartulas Adalfridi notarium scribere rogavimus .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si nos vobis taliter non adimpleverimus sicut supra legitur , aut si suprascripta casa et res relassaverimus , vel si per nos pegiorata fuerit , spondeo ego qui supra Ermifridi , una cum meis heredes , conponere tibi qui supra Gherardus episcopus , vel a subcessoribus tuis , penam , argentum soledos viginti , quia taliter inter nos convenit , et duas inter nos cartulas Lopo notarium scribere rogavimus .","et si nos vobis taliter non adimpleverimus sicut supra legitur , aut si suprascripta casa et res relassaverimus , vel si per nos pegiorata fuerit , spondeo ego qui supra Ermifridi , una cum meis heredes , , penam conponere tibi qui supra Gherardus episcopus , vel a subcessoribus tuis , argentum soledos viginti , quia taliter inter nos convenit , et duas inter nos cartulas Lopo notarium scribere rogavimus .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si nos vobis taliter non adimpleverimus sicut supra legitur aut suprascripta petia de terra relassaverimus vel si aput nos pegiorata fuerit , spondimus cum nostris heredibus conponere tibi vel ad tuis heredes penam , argentum soledos viginti , quia taliter inter nos convenit .","et si nos vobis taliter non adimpleverimus sicut supra legitur aut suprascripta petia de terra relassaverimus vel si aput nos pegiorata fuerit , spondimus cum nostris heredibus penam conponere tibi vel ad tuis heredes , argentum soledos viginti , quia taliter inter nos convenit .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"unde repromitto ego qui supra Andreas , una cum meis heredibus , tibi domno Hieremia episcopo , vel ad successoribus tuis , ut si nos vobis in aliquo de quas tibi supra dedi intentionaverimus aut subtragi quesierimus per quolibet ingenio , et eas vobis ab omni homines defendere non potuerimus , spondeo cum meis heredibus conponere tibi , vel ad successoribus tuis , iam dicta terra in duplum , in ferquidem loco , sub estimationem quales tunc fuerint .","unde repromitto ego qui supra Andreas , una cum meis heredibus , tibi domno Hieremia episcopo , vel ad successoribus tuis , ut si nos vobis in aliquo de quas tibi supra dedi intentionaverimus aut subtragi quesierimus per quolibet ingenio , et eas vobis ab omni homines defendere non potuerimus , spondeo cum meis heredibus , iam dicta terra conponere tibi , vel ad successoribus tuis in duplum , in ferquidem loco , sub estimationem quales tunc fuerint .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si a nos vobis ec omnia qualiter superius legitur per singulos annos sic non fuerint adinpleta et conservata aut si suprascripta casa et res relaxaverimus vel si per me pegiorata fuerit , spondeo ego qui supra Viventius presbitero conponere tibi qui supra Gherardus episcopus vel ad subcessoribus tuis penam , argentum soledos viginti , quia taliter inter nos convenit .","et si a nos vobis ec omnia qualiter superius legitur per singulos annos sic non fuerint adinpleta et conservata aut si suprascripta casa et res relaxaverimus vel si per me pegiorata fuerit , spondeo ego qui supra Viventius presbitero penam conponere tibi qui supra Gherardus episcopus vel ad subcessoribus tuis , argentum soledos viginti , quia taliter inter nos convenit .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si ego sic non adimplevero et non conservavero sicut supra legitur aut suprascripta ecclesia sancti Georgi et rebus eius relaxavero vel si per me fuerit peiorata , spondeo ego qui supra Gumprandus presbitero conponere tibi Ataprando presbitero vel ad successoribus tuis penam , argentum soledos centum , quia taliter inter nos convenit .","et si ego sic non adimplevero et non conservavero sicut supra legitur aut suprascripta ecclesia sancti Georgi et rebus eius relaxavero vel si per me fuerit peiorata , spondeo ego qui supra Gumprandus presbitero penam conponere tibi Ataprando presbitero vel ad successoribus tuis , argentum soledos centum , quia taliter inter nos convenit .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si a nos vobis hec omnia , qualiter superius legitur , per singulos annos sic non fuerint adimpletam et conservatam aut si suprascripta casa et res relaxaverimus alibit ad abitandum vel si per nos peioratam fuerit , spondeo ego qui supra Angalperto una cum meis heredes conponere tibi qui supra Ramolfo presbitero vel ad successoribus tuis penam , argentum soledos trigintam , quia taliter inter nos conveni .","et si a nos vobis hec omnia , qualiter superius legitur , per singulos annos sic non fuerint adimpletam et conservatam aut si suprascripta casa et res relaxaverimus alibit ad abitandum vel si per nos peioratam fuerit , spondeo ego qui supra Angalperto una cum meis heredes penam conponere tibi qui supra Ramolfo presbitero vel ad successoribus tuis , argentum soledos trigintam , quia taliter inter nos conveni .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
"et si nos singulas capitula vobis non adinpleverimus , qualiter superius legitur , aut si ipsam ecclesiam vel res demittere quesierimus vel si aput nos pegiorata fuerit , spondimus nos qui supra Acrimundo et Ghiselprando presbiteris germanis conponere tibi cui supra Petro episcopo vel successoribus tuis penam , argentum soledos tricentos , quia taliter inter nos convenit .","et si nos singulas capitula vobis non adinpleverimus , qualiter superius legitur , aut si ipsam ecclesiam vel res demittere quesierimus vel si aput nos pegiorata fuerit , spondimus nos qui supra Acrimundo et Ghiselprando presbiteris germanis penam conponere tibi cui supra Petro episcopo vel successoribus tuis , argentum soledos tricentos , quia taliter inter nos convenit .",[0] -> [1] -> [2] -> [3] -> [4] -> [5] -> [7]
